Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,9.58,9.77,9.37,9.40,19943900,9.40
2016-04-01,9.44,9.64,9.35,9.63,17540800,9.63
2016-03-31,9.70,9.86,9.53,9.58,19912100,9.58
2016-03-30,9.83,9.87,9.63,9.68,18448800,9.68
2016-03-29,9.55,9.75,9.37,9.72,24581600,9.72
2016-03-28,9.67,9.84,9.47,9.70,16042900,9.70
2016-03-24,9.18,9.61,9.04,9.57,20720100,9.57
2016-03-23,9.69,9.80,9.25,9.32,25371400,9.32
2016-03-22,9.76,9.96,9.68,9.85,19823600,9.85
2016-03-21,9.94,10.04,9.71,9.89,19085000,9.89
2016-03-18,10.00,10.22,9.80,10.03,33522400,10.03
2016-03-17,9.86,10.00,9.73,9.94,39227200,9.94
2016-03-16,9.19,9.77,9.10,9.74,33941400,9.74
2016-03-15,9.50,9.52,9.11,9.16,31413700,9.16
2016-03-14,9.41,9.80,9.36,9.67,21664200,9.67
2016-03-11,9.71,9.85,9.45,9.52,23346400,9.52
2016-03-10,9.38,9.63,9.22,9.59,24924300,9.59
2016-03-09,9.43,9.52,9.12,9.42,21765900,9.42
2016-03-08,9.77,9.90,9.29,9.33,37791000,9.33
2016-03-07,9.66,10.07,9.61,10.04,41542400,10.04
2016-03-04,9.59,10.04,9.42,9.57,40736700,9.57
2016-03-03,9.40,9.70,9.17,9.47,35492900,9.47
2016-03-02,9.15,9.70,9.10,9.62,48764600,9.62
2016-03-01,9.12,9.20,8.92,9.11,16203300,9.11
2016-02-29,8.95,9.11,8.85,8.93,20952100,8.93
2016-02-26,9.12,9.21,8.82,8.87,22360200,8.87
2016-02-25,8.79,8.92,8.55,8.87,27645400,8.87
2016-02-24,8.26,8.79,8.25,8.76,30995200,8.76
2016-02-23,8.75,8.77,8.51,8.53,26334700,8.53
2016-02-22,8.04,8.93,8.04,8.91,54926400,8.91
2016-02-19,8.03,8.09,7.84,7.87,30882200,7.87
2016-02-18,8.54,8.56,8.08,8.12,29248700,8.12
2016-02-17,8.23,8.60,8.20,8.52,29017100,8.52
2016-02-16,7.80,8.13,7.68,8.12,21811000,8.12
2016-02-12,7.53,7.78,7.36,7.69,25980400,7.69
2016-02-11,7.36,7.55,7.11,7.33,31846300,7.33
2016-02-10,7.90,7.91,7.45,7.54,27036000,7.54
2016-02-09,7.72,7.95,7.58,7.81,26451500,7.81
2016-02-08,7.73,8.42,7.71,7.90,39502400,7.90
2016-02-05,8.14,8.50,7.88,8.12,42783400,8.12
2016-02-04,7.64,8.45,7.63,8.31,53494500,8.31
2016-02-03,7.06,7.57,6.85,7.55,33790000,7.55
2016-02-02,7.02,7.07,6.91,6.97,22162900,6.94
2016-02-01,7.38,7.38,7.11,7.21,26539500,7.178967
2016-01-29,6.98,7.29,6.98,7.29,35772400,7.258623
2016-01-28,7.17,7.19,6.82,7.00,26887400,6.969871
2016-01-27,7.06,7.28,6.92,6.96,34547400,6.930043
2016-01-26,6.89,7.18,6.77,7.14,36559900,7.109268
2016-01-25,6.81,7.00,6.76,6.80,34030400,6.770732
2016-01-22,7.29,7.42,6.83,6.87,34384300,6.84043
2016-01-21,6.74,7.26,6.71,7.09,47630200,7.059484
2016-01-20,6.51,6.81,6.14,6.74,67550000,6.71099
2016-01-19,6.98,7.02,6.56,6.74,51940800,6.71099
2016-01-15,6.94,7.02,6.77,6.90,52299000,6.870301
2016-01-14,7.09,7.37,6.85,7.24,44292600,7.208838
2016-01-13,7.32,7.44,7.08,7.13,45704300,7.099311
2016-01-12,8.01,8.02,7.10,7.28,91384000,7.248666
2016-01-11,8.29,8.29,7.90,8.00,47942500,7.965567
2016-01-08,8.52,8.56,8.02,8.07,41731900,8.035265
2016-01-07,8.39,8.51,8.23,8.27,34080800,8.234405
2016-01-06,9.00,9.02,8.55,8.61,55199300,8.572941
