Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,50.57,51.060001,50.369999,50.830002,2644900,50.830002
2016-04-01,50.099998,50.580002,49.75,50.540001,1415700,50.540001
2016-03-31,49.720001,50.16,49.349998,50.099998,2517500,50.099998
2016-03-30,49.900002,49.900002,49.389999,49.75,1617100,49.75
2016-03-29,49.200001,49.900002,49.150002,49.889999,1355200,49.889999
2016-03-28,49.490002,49.66,48.919998,49.200001,835400,49.200001
2016-03-24,48.82,49.279999,48.720001,49.25,1179900,49.25
2016-03-23,48.77,49.169998,48.509998,48.990002,1511600,48.990002
2016-03-22,48.849998,49.130001,48.52,48.869999,1713500,48.869999
2016-03-21,48.889999,49.09,48.16,48.779999,1285900,48.779999
2016-03-18,49.029999,49.419998,48.419998,48.98,2856200,48.98
2016-03-17,48.32,49.029999,48.23,48.900002,1438000,48.900002
2016-03-16,48.060001,48.580002,47.540001,48.43,1744400,48.43
2016-03-15,48.189999,48.529999,47.959999,48.18,1667200,48.18
2016-03-14,48.009998,48.41,47.889999,48.32,1371900,48.32
2016-03-11,47.970001,48.50,47.869999,48.220001,1666300,48.220001
2016-03-10,48.200001,48.349998,47.389999,47.939999,2972700,47.939999
2016-03-09,47.799999,48.41,47.77,48.27,1318000,48.27
2016-03-08,47.150002,47.889999,46.939999,47.849998,1732600,47.849998
2016-03-07,46.830002,47.439999,46.700001,47.130001,1461000,47.130001
2016-03-04,46.779999,47.599998,46.52,47.349998,1856400,46.925
2016-03-03,46.98,47.00,46.23,47.00,1490600,46.578143
2016-03-02,46.630001,46.98,45.560001,46.959999,2047600,46.538501
2016-03-01,47.189999,47.540001,46.529999,46.93,1916200,46.508771
2016-02-29,46.400002,47.439999,46.310001,46.950001,2610500,46.528592
2016-02-26,47.84,47.900002,46.470001,46.490002,2665800,46.072722
2016-02-25,47.66,48.220001,47.529999,48.130001,2108700,47.698001
2016-02-24,46.529999,47.560001,46.32,47.48,2839700,47.053834
2016-02-23,45.939999,46.630001,45.759998,46.52,1557600,46.102452
2016-02-22,45.560001,46.360001,45.459999,46.23,2395400,45.815054
2016-02-19,45.810001,46.689999,45.099998,45.599998,4164000,45.190707
2016-02-18,45.25,46.59,45.16,46.279999,3893900,45.864604
2016-02-17,45.549999,45.57,45.189999,45.310001,1640000,44.903313
2016-02-16,45.32,45.619999,44.91,45.580002,2170400,45.17089
2016-02-12,45.310001,45.709999,44.84,45.25,1134200,44.84385
2016-02-11,46.16,46.43,45.34,45.369999,1552900,44.962772
2016-02-10,46.029999,46.470001,45.34,46.200001,2547000,45.785324
2016-02-09,45.93,46.50,45.84,46.080002,2285400,45.666402
2016-02-08,46.619999,46.939999,45.549999,46.169998,2379500,45.755591
2016-02-05,46.18,46.740002,45.540001,46.490002,2971700,46.072722
2016-02-04,47.16,47.389999,46.259998,46.529999,3032000,46.11236
2016-02-03,46.77,47.900002,46.73,47.330002,4515600,46.905183
2016-02-02,45.529999,46.50,45.330002,46.380001,2622100,45.963709
2016-02-01,44.73,45.810001,44.689999,45.66,1843300,45.25017
2016-01-29,44.299999,44.970001,44.080002,44.919998,2402600,44.51681
2016-01-28,43.139999,44.099998,42.75,43.849998,1537300,43.456415
2016-01-27,42.779999,43.459999,42.540001,43.200001,1851400,42.812251
2016-01-26,42.759998,43.419998,42.549999,42.759998,1621400,42.376198
2016-01-25,43.060001,43.09,42.540001,42.669998,1783600,42.287006
2016-01-22,42.349998,43.02,42.099998,42.950001,1872200,42.564495
2016-01-21,42.330002,42.52,41.759998,42.130001,2107500,41.751855
2016-01-20,43.389999,43.50,41.50,42.330002,3700000,41.950061
2016-01-19,44.00,44.00,43.139999,43.450001,4015400,43.060007
2016-01-15,43.119999,43.700001,42.91,43.509998,2010100,43.119466
2016-01-14,43.060001,43.970001,42.860001,43.709999,1493900,43.317672
2016-01-13,43.540001,43.75,43.049999,43.139999,2263300,42.752788
2016-01-12,43.639999,43.639999,42.98,43.380001,1797100,42.990636
2016-01-11,43.540001,43.849998,43.41,43.52,2237900,43.129379
2016-01-08,43.880001,44.049999,43.43,43.509998,2139200,43.119466
2016-01-07,43.470001,44.080002,43.400002,43.849998,3190200,43.456415
2016-01-06,43.240002,43.93,43.150002,43.82,1974500,43.426685
2016-01-05,43.02,43.59,42.349998,43.540001,2295800,43.1492
2016-01-04,43.130001,43.220001,42.580002,43.029999,2664400,42.643775
2015-12-31,43.950001,44.00,42.919998,43.23,2080400,42.841981
2015-12-30,44.18,44.369999,43.919998,44.00,994100,43.60507
2015-12-29,44.150002,44.439999,44.02,44.119999,1070900,43.723992
2015-12-28,43.610001,44.049999,43.57,44.040001,891000,43.644712
2015-12-24,43.759998,43.810001,43.59,43.68,345800,43.287942
2015-12-23,43.360001,43.950001,43.34,43.849998,1120200,43.456415
2015-12-22,42.98,43.290001,42.439999,43.200001,1520800,42.812251
2015-12-21,43.279999,43.529999,42.66,42.860001,1473900,42.475303
2015-12-18,43.790001,43.849998,43.009998,43.200001,3492100,42.812251
2015-12-17,43.060001,44.060001,43.00,44.029999,3129800,43.634799
2015-12-16,42.259998,43.119999,42.040001,43.00,1794000,42.614046
2015-12-15,42.00,42.27,41.810001,41.939999,1856000,41.563558
2015-12-14,41.700001,41.889999,41.41,41.799999,2144700,41.424816
2015-12-11,41.52,42.080002,41.330002,41.720001,1658400,41.345536
2015-12-10,42.580002,42.66,41.549999,41.709999,1968100,41.335623
2015-12-09,42.52,43.00,42.369999,42.580002,2099800,42.197817
2015-12-08,42.889999,43.07,42.43,42.740002,2338800,42.356381
2015-12-07,42.799999,43.02,42.599998,42.970001,1885100,42.584316
2015-12-04,42.48,43.380001,42.439999,43.34,2711000,42.529808
2015-12-03,42.639999,42.82,41.98,42.25,3152100,41.460184
2015-12-02,43.939999,43.939999,42.77,42.830002,1928000,42.029344
2015-12-01,44.00,44.09,43.450001,43.830002,1960700,43.01065
2015-11-30,43.450001,44.07,43.419998,43.759998,2954200,42.941955
2015-11-27,43.279999,43.450001,43.110001,43.310001,657500,42.50037
2015-11-25,43.240002,43.369999,43.049999,43.16,1157500,42.353173
2015-11-24,43.169998,43.34,42.75,43.220001,1455200,42.412052
2015-11-23,44.029999,44.169998,43.259998,43.34,1591500,42.529808
2015-11-20,43.93,44.34,43.880001,44.110001,2942400,43.285414
2015-11-19,43.419998,43.91,43.369999,43.700001,2279500,42.883079
2015-11-18,42.830002,43.290001,42.369999,43.220001,2386000,42.412052
2015-11-17,43.82,44.330002,42.740002,42.860001,3251500,42.058782
2015-11-16,43.240002,43.950001,43.02,43.93,3025100,43.108779
2015-11-13,43.630001,44.09,43.009998,43.130001,2072400,42.323735
2015-11-12,44.200001,44.509998,43.41,43.50,2065500,42.686817
2015-11-11,43.900002,44.400002,43.880001,44.220001,1545800,43.393359
2015-11-10,43.09,43.880001,43.09,43.810001,1639800,42.991023
2015-11-09,42.349998,43.23,41.880001,43.139999,2139800,42.333546
2015-11-06,43.77,44.490002,42.18,42.549999,2444400,41.754575
2015-11-05,44.150002,44.459999,43.939999,44.02,1781800,43.197097
2015-11-04,43.889999,44.32,43.889999,44.209999,1063000,43.383543
2015-11-03,43.759998,43.970001,43.549999,43.869999,1174000,43.049899
2015-11-02,43.700001,44.02,43.389999,43.919998,1430900,43.098964
2015-10-30,43.580002,43.849998,43.34,43.68,1428800,42.863452
2015-10-29,43.82,43.869999,42.950001,43.41,1850100,42.598499
2015-10-28,44.439999,44.709999,43.509998,44.029999,1519600,43.206908
2015-10-27,44.27,44.68,44.25,44.490002,1326800,43.658312
2015-10-26,44.060001,44.43,43.720001,44.41,1542500,43.579805
2015-10-23,44.41,44.560001,43.68,43.990002,1303300,43.167659
2015-10-22,44.23,44.610001,44.189999,44.50,1422400,43.668123
2015-10-21,44.450001,44.650002,44.080002,44.150002,944100,43.324667
2015-10-20,44.150002,44.52,43.970001,44.32,1052200,43.491488
2015-10-19,43.970001,44.299999,43.740002,44.290001,1294600,43.46205
2015-10-16,44.169998,44.439999,43.91,44.099998,1079300,43.275599
2015-10-15,43.599998,44.060001,43.389999,43.939999,927400,43.11859
2015-10-14,43.720001,43.959999,43.34,43.389999,1508600,42.578873
2015-10-13,43.610001,43.799999,43.32,43.650002,2276200,42.834014
2015-10-12,43.200001,43.740002,43.139999,43.720001,1436300,42.902705
2015-10-09,43.130001,43.240002,42.779999,43.119999,2145500,42.31392
2015-10-08,42.099998,43.209999,42.00,43.119999,1970400,42.31392
2015-10-07,42.439999,42.509998,42.07,42.209999,1025900,41.420931
2015-10-06,42.540001,42.669998,42.080002,42.310001,917500,41.519064
2015-10-05,42.450001,42.740002,42.040001,42.619999,1146500,41.823266
2015-10-02,42.200001,42.32,41.650002,42.32,1043200,41.528875
2015-10-01,42.310001,42.439999,41.459999,41.779999,1971900,40.998969
2015-09-30,41.900002,42.290001,41.630001,42.27,1522200,41.479811
2015-09-29,41.549999,41.790001,41.25,41.689999,1360100,40.910651
2015-09-28,41.389999,41.810001,41.240002,41.540001,1740100,40.763458
2015-09-25,41.169998,41.830002,40.810001,41.369999,1716700,40.596634
2015-09-24,40.700001,41.189999,40.43,41.049999,1688800,40.282616
2015-09-23,40.50,40.880001,40.360001,40.799999,1121800,40.03729
2015-09-22,40.52,40.790001,40.41,40.50,1595600,39.742898
2015-09-21,40.52,41.060001,40.389999,40.82,1704100,40.056916
2015-09-18,40.23,40.73,40.16,40.369999,2931900,39.615328
2015-09-17,39.700001,41.07,39.619999,40.540001,2627200,39.782152
2015-09-16,39.220001,39.740002,39.110001,39.689999,1345900,38.948039
2015-09-15,38.98,39.34,38.700001,39.200001,1380000,38.467201
2015-09-14,38.84,39.220001,38.790001,38.98,1449100,38.251313
2015-09-11,38.34,38.82,38.259998,38.82,1472200,38.094304
2015-09-10,38.290001,38.91,38.150002,38.43,1238300,37.711595
2015-09-09,38.98,39.119999,38.389999,38.459999,1679100,37.741033
2015-09-08,38.689999,39.009998,38.48,38.98,1684700,38.251313
2015-09-04,38.860001,38.91,38.349998,38.560001,1571700,37.43683
2015-09-03,39.23,39.41,39.029999,39.25,1135000,38.10673
2015-09-02,39.560001,39.599998,38.639999,39.080002,1759300,37.941684
2015-09-01,39.389999,39.959999,38.889999,39.119999,2420200,37.980516
2015-08-31,40.939999,41.009998,39.889999,40.290001,2572400,39.116438
2015-08-28,41.009998,41.209999,40.509998,41.07,1577100,39.873717
2015-08-27,40.75,41.040001,40.259998,41.02,2447600,39.825174
2015-08-26,40.290001,40.650002,39.66,40.549999,2825400,39.368863
2015-08-25,41.450001,41.450001,39.75,39.77,2749600,38.611584
2015-08-24,41.07,41.98,40.48,40.68,3089700,39.495077
2015-08-21,43.189999,43.360001,42.509998,42.509998,2201100,41.271772
2015-08-20,43.220001,43.849998,43.189999,43.310001,1384100,42.048472
2015-08-19,43.02,43.650002,42.779999,43.549999,1757300,42.281479
2015-08-18,43.240002,43.459999,43.00,43.200001,1931100,41.941676
2015-08-17,42.779999,43.610001,42.619999,43.400002,1778400,42.135851
2015-08-14,42.52,42.82,42.310001,42.740002,2406000,41.495075
