Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,11.56,11.66,11.31,11.36,5408000,11.36
2016-04-01,11.68,11.69,11.41,11.57,8225400,11.57
2016-03-31,11.62,11.80,11.57,11.80,5579700,11.80
2016-03-30,11.73,11.78,11.60,11.62,3254400,11.62
2016-03-29,11.39,11.66,11.35,11.65,4590300,11.65
2016-03-28,11.61,11.63,11.41,11.41,6335000,11.41
2016-03-24,11.24,11.58,11.16,11.57,6718800,11.57
2016-03-23,11.58,11.58,11.28,11.30,5354800,11.30
2016-03-22,11.50,11.65,11.40,11.54,6763900,11.54
2016-03-21,11.60,11.64,11.51,11.54,6268000,11.54
2016-03-18,11.53,11.70,11.53,11.62,7910400,11.62
2016-03-17,11.37,11.57,11.28,11.53,6899200,11.53
2016-03-16,10.93,11.41,10.91,11.39,8457400,11.39
2016-03-15,10.89,11.00,10.85,10.97,6634000,10.97
2016-03-14,10.87,11.01,10.81,10.96,4139300,10.96
2016-03-11,10.94,11.01,10.83,10.91,4656400,10.91
2016-03-10,10.50,10.81,10.43,10.81,4152600,10.81
2016-03-09,10.69,10.79,10.47,10.50,9489500,10.50
2016-03-08,10.85,10.87,10.58,10.62,6036500,10.62
2016-03-07,10.74,10.99,10.68,10.89,6141400,10.89
2016-03-04,10.43,10.82,10.27,10.79,6365900,10.79
2016-03-03,10.29,10.46,10.09,10.45,4890200,10.45
2016-03-02,10.06,10.29,9.94,10.28,4153500,10.28
2016-03-01,9.83,10.17,9.76,10.12,5067400,10.12
2016-02-29,9.85,9.97,9.78,9.80,4246800,9.80
2016-02-26,10.01,10.14,9.80,9.87,4623500,9.87
2016-02-25,10.03,10.08,9.52,9.97,6824300,9.97
2016-02-24,9.50,10.14,9.32,10.03,7188700,10.03
2016-02-23,9.71,9.79,9.51,9.58,4159900,9.58
2016-02-22,9.66,9.80,9.53,9.79,4750900,9.79
2016-02-19,9.64,9.64,9.34,9.41,4249300,9.41
2016-02-18,9.64,9.76,9.50,9.70,4311100,9.70
2016-02-17,9.44,9.74,9.38,9.62,6345300,9.62
2016-02-16,9.28,9.46,9.20,9.38,4665400,9.38
2016-02-12,9.01,9.19,8.88,9.17,6103400,9.17
2016-02-11,9.38,9.40,8.97,9.00,8537200,9.00
2016-02-10,9.50,9.62,9.25,9.53,4219400,9.53
2016-02-09,9.33,9.64,9.20,9.51,5318800,9.51
2016-02-08,9.68,9.71,9.32,9.44,5516600,9.44
2016-02-05,9.54,9.97,9.54,9.75,8112300,9.75
2016-02-04,9.70,10.11,9.70,9.80,8181700,9.80
2016-02-03,9.41,9.79,9.36,9.75,9178600,9.75
2016-02-02,9.36,9.49,9.27,9.29,7765200,9.29
2016-02-01,9.47,9.54,9.30,9.46,6064600,9.46
2016-01-29,9.12,9.51,9.11,9.50,11456200,9.50
2016-01-28,9.22,9.34,9.09,9.16,5352200,9.05
2016-01-27,9.04,9.21,8.96,9.08,4714200,8.970961
2016-01-26,8.81,9.10,8.77,9.04,4372000,8.931441
2016-01-25,9.13,9.19,8.74,8.74,7285300,8.635044
2016-01-22,9.28,9.39,9.07,9.17,5393900,9.05988
2016-01-21,8.64,9.27,8.59,9.11,10491700,9.0006
2016-01-20,8.60,8.70,8.22,8.62,9920300,8.516485
2016-01-19,8.64,8.82,8.43,8.72,8836700,8.615284
2016-01-15,8.63,8.65,8.32,8.54,8596100,8.437445
2016-01-14,8.66,8.89,8.51,8.85,10538000,8.743723
2016-01-13,8.80,9.08,8.57,8.64,8486900,8.536245
2016-01-12,9.10,9.11,8.68,8.75,6157100,8.644924
2016-01-11,9.12,9.22,8.81,9.03,7406300,8.921561
2016-01-08,9.01,9.20,8.78,9.13,8175600,9.02036
2016-01-07,9.09,9.20,8.99,9.00,7402900,8.891921
2016-01-06,9.40,9.48,9.20,9.23,4588100,9.119159
2016-01-05,9.47,9.59,9.28,9.56,4393800,9.445197
2016-01-04,9.44,9.48,9.22,9.43,4813500,9.316758
2015-12-31,9.50,9.73,9.37,9.57,5060200,9.455076
2015-12-30,9.61,9.66,9.50,9.50,3101100,9.385917
2015-12-29,9.55,9.64,9.47,9.61,3064000,9.494596
2015-12-28,9.56,9.63,9.39,9.46,3747700,9.346397
2015-12-24,9.53,9.65,9.52,9.58,1518200,9.464956
2015-12-23,9.32,9.58,9.31,9.54,4075600,9.425437
2015-12-22,9.19,9.31,9.14,9.29,5072600,9.178439
2015-12-21,9.08,9.28,9.01,9.16,6410900,9.05
2015-12-18,9.17,9.18,8.94,9.06,10816500,8.951201
2015-12-17,9.37,9.50,9.16,9.20,5173700,9.08952
2015-12-16,9.29,9.39,9.13,9.37,6392500,9.257478
2015-12-15,8.90,9.36,8.89,9.25,9588900,9.138919
2015-12-14,9.05,9.15,8.76,8.83,8153300,8.723963
2015-12-11,9.17,9.20,8.96,8.97,5028900,8.862282
2015-12-10,9.26,9.35,9.16,9.28,3841400,9.168559
2015-12-09,9.19,9.43,9.15,9.26,4657500,9.148799
2015-12-08,9.11,9.27,9.07,9.20,5166400,9.08952
2015-12-07,9.26,9.30,8.96,9.21,6041600,9.0994
2015-12-04,9.52,9.60,9.30,9.32,7114600,9.208078
2015-12-03,9.56,9.75,9.50,9.52,8198300,9.405677
2015-12-02,9.99,10.00,9.60,9.60,6522100,9.484717
2015-12-01,10.02,10.09,9.92,9.98,5685100,9.860152
2015-11-30,10.00,10.08,9.98,9.99,5934700,9.870033
2015-11-27,9.89,10.02,9.83,9.99,3529100,9.870033
2015-11-25,9.66,9.92,9.66,9.88,3414000,9.761354
2015-11-24,9.64,9.94,9.61,9.90,5932800,9.781113
2015-11-23,9.67,9.75,9.58,9.66,5665400,9.543996
2015-11-20,9.62,9.81,9.58,9.67,3592600,9.553876
2015-11-19,9.72,9.76,9.45,9.57,5628600,9.455076
2015-11-18,9.57,9.75,9.50,9.73,4158500,9.613155
2015-11-17,9.82,9.92,9.50,9.54,5588400,9.425437
2015-11-16,9.77,9.90,9.67,9.81,5320300,9.692195
2015-11-13,9.76,9.90,9.72,9.80,5439800,9.682315
2015-11-12,9.84,10.07,9.73,9.73,7210300,9.613155
2015-11-11,10.10,10.13,9.87,10.05,3917400,9.929312
2015-11-10,9.96,10.12,9.94,10.07,6384600,9.949072
2015-11-09,10.16,10.23,9.81,9.90,6001500,9.781113
2015-11-06,9.77,10.23,9.61,10.20,8551800,10.077511
2015-11-05,10.48,10.70,9.85,9.88,12512200,9.761354
2015-11-04,10.95,11.06,10.79,10.82,5298800,10.690065
2015-11-03,10.94,11.03,10.77,10.93,8388300,10.798745
2015-11-02,10.98,11.09,10.91,11.02,4724800,10.887664
2015-10-30,11.01,11.07,10.92,10.95,4194600,10.818504
2015-10-29,10.95,11.07,10.87,11.00,5062400,10.867904
2015-10-28,10.88,11.21,10.81,11.12,6819300,10.887663
2015-10-27,10.83,10.90,10.75,10.87,6140600,10.642887
2015-10-26,10.99,11.05,10.78,10.88,5762700,10.652678
2015-10-23,11.08,11.16,10.92,11.05,6876400,10.819126
2015-10-22,10.81,11.04,10.75,11.04,6531500,10.809335
2015-10-21,10.95,11.07,10.73,10.76,4407900,10.535185
2015-10-20,10.69,10.92,10.59,10.88,5857200,10.652678
2015-10-19,10.68,10.74,10.52,10.74,8835900,10.515603
2015-10-16,10.82,10.82,10.62,10.78,4805400,10.554767
2015-10-15,10.62,10.79,10.51,10.78,5732500,10.554767
2015-10-14,10.64,10.76,10.56,10.57,5219300,10.349155
2015-10-13,10.64,10.85,10.62,10.63,6091200,10.407901
2015-10-12,10.73,10.84,10.65,10.71,3739100,10.48623
2015-10-09,10.77,10.84,10.65,10.72,4889000,10.496021
2015-10-08,10.49,10.80,10.47,10.76,5153600,10.535185
2015-10-07,10.55,10.75,10.48,10.53,9647600,10.30999
2015-10-06,10.24,10.46,10.15,10.46,9134500,10.241453
2015-10-05,10.15,10.41,10.14,10.27,6932900,10.055423
2015-10-02,9.81,10.09,9.79,10.09,5792100,9.879184
2015-10-01,9.86,10.00,9.72,9.89,8680300,9.683363
2015-09-30,9.53,9.82,9.47,9.79,11244700,9.585452
2015-09-29,9.81,9.86,9.42,9.46,7961200,9.262347
2015-09-28,9.92,10.05,9.79,9.81,6557900,9.605034
2015-09-25,10.08,10.16,9.91,9.96,8741400,9.7519
2015-09-24,10.05,10.08,9.85,10.00,10031700,9.791064
2015-09-23,10.50,10.51,10.14,10.14,8352600,9.928139
2015-09-22,10.73,10.78,10.43,10.48,9721400,10.261035
2015-09-21,11.00,11.09,10.75,10.78,5736900,10.554767
2015-09-18,11.05,11.12,10.88,10.94,9536700,10.711424
2015-09-17,11.18,11.38,11.06,11.17,6194500,10.936619
2015-09-16,11.15,11.20,11.10,11.18,7226200,10.94641
2015-09-15,11.11,11.17,10.99,11.12,5604700,10.887663
2015-09-14,11.12,11.25,10.99,11.07,5485900,10.838708
2015-09-11,11.20,11.24,11.05,11.13,3949800,10.897455
2015-09-10,11.23,11.47,11.21,11.24,6734000,11.005156
2015-09-09,11.39,11.56,11.27,11.30,5740900,11.063903
2015-09-08,11.24,11.36,11.09,11.32,7716800,11.083484
