Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,64.139999,64.150002,63.459999,63.59,1852000,63.59
2016-04-01,63.00,64.169998,62.830002,64.120003,2211800,64.120003
2016-03-31,63.73,63.970001,63.080002,63.139999,2314900,63.139999
2016-03-30,63.50,64.330002,63.400002,63.73,1565800,63.73
2016-03-29,62.93,63.349998,62.650002,63.18,1438700,63.18
2016-03-28,62.790001,63.41,62.790001,63.16,1566600,63.16
2016-03-24,62.91,62.939999,62.34,62.700001,1744500,62.700001
2016-03-23,63.459999,63.669998,63.189999,63.400002,1918100,63.400002
2016-03-22,63.060001,63.73,62.849998,63.34,1776900,63.34
2016-03-21,63.25,63.68,63.119999,63.279999,1486600,63.279999
2016-03-18,63.66,63.950001,63.009998,63.52,3854300,63.52
2016-03-17,62.330002,63.779999,61.860001,63.389999,2804300,63.389999
2016-03-16,61.450001,62.619999,61.25,62.459999,2631800,62.459999
2016-03-15,61.23,61.66,61.049999,61.549999,1814400,61.549999
2016-03-14,61.84,62.080002,61.509998,61.650002,2063300,61.650002
2016-03-11,61.119999,62.349998,60.959999,62.27,2453900,62.27
2016-03-10,60.529999,61.00,59.869999,60.369999,1905800,60.369999
2016-03-09,60.43,60.77,59.66,60.43,2526400,60.43
2016-03-08,60.110001,60.580002,59.32,60.060001,2938400,60.060001
2016-03-07,60.580002,60.98,60.369999,60.549999,2499700,60.549999
2016-03-04,61.23,61.369999,60.689999,61.029999,2064100,61.029999
2016-03-03,61.259998,61.380001,60.75,60.98,2546200,60.98
2016-03-02,61.02,61.450001,60.779999,61.41,2080800,61.41
2016-03-01,59.919998,61.16,59.919998,61.07,2373400,61.07
2016-02-29,60.18,60.439999,59.52,59.52,2012100,59.52
2016-02-26,60.580002,60.77,60.02,60.169998,2084000,60.169998
2016-02-25,59.720001,60.349998,59.150002,60.330002,1716700,60.330002
2016-02-24,58.73,59.82,58.459999,59.630001,1683100,59.630001
2016-02-23,59.639999,59.779999,59.25,59.369999,1573800,59.369999
2016-02-22,59.810001,60.060001,59.43,59.700001,2139500,59.700001
2016-02-19,58.98,59.349998,58.540001,59.32,2710800,59.32
2016-02-18,59.240002,59.41,58.810001,59.16,2078600,59.16
2016-02-17,58.75,59.369999,58.700001,59.07,2200000,59.07
2016-02-16,58.099998,58.360001,57.349998,58.130001,2495700,58.130001
2016-02-12,56.52,57.380001,56.259998,57.310001,2633100,57.310001
2016-02-11,55.610001,56.599998,55.240002,55.599998,3429200,55.599998
2016-02-10,58.299999,58.860001,57.43,57.490002,2228400,57.08
2016-02-09,57.509998,58.360001,57.049999,57.93,2780600,57.516861
2016-02-08,57.389999,58.200001,57.040001,58.00,2623500,57.586362
2016-02-05,57.970001,58.490002,57.66,58.209999,2286500,57.794863
2016-02-04,57.139999,58.110001,56.959999,58.02,2279200,57.606219
2016-02-03,58.400002,58.830002,56.080002,57.32,2556700,56.911211
2016-02-02,56.73,58.619999,55.740002,57.279999,5002800,56.871495
2016-02-01,57.360001,57.560001,56.310001,56.509998,5643100,56.106986
2016-01-29,57.98,58.09,56.549999,57.959999,5189200,57.546646
2016-01-28,57.889999,58.490002,57.41,58.310001,2118400,57.894152
2016-01-27,57.41,58.27,56.91,57.450001,2513400,57.040285
2016-01-26,57.029999,57.810001,56.939999,57.52,1589400,57.109785
2016-01-25,57.240002,57.630001,56.439999,56.549999,3149300,56.146702
2016-01-22,56.720001,57.32,56.549999,57.27,2193600,56.861568
2016-01-21,55.740002,56.459999,55.349998,55.82,2422400,55.421908
2016-01-20,55.450001,56.18,54.57,55.549999,2957900,55.153834
2016-01-19,57.080002,57.27,56.110001,56.490002,2764900,56.087132
2016-01-15,56.02,57.029999,55.880001,56.610001,3446800,56.206275
2016-01-14,57.02,57.889999,56.509998,57.32,2709400,56.911211
2016-01-13,58.32,58.84,56.669998,56.91,2803700,56.504135
2016-01-12,57.630001,57.939999,57.02,57.799999,2372500,57.387787
2016-01-11,57.02,57.290001,56.27,57.080002,2011800,56.672925
2016-01-08,57.669998,57.790001,56.610001,56.709999,2230300,56.305561
2016-01-07,57.119999,58.00,56.93,57.209999,2353000,56.801995
2016-01-06,58.330002,58.610001,57.950001,58.200001,1863700,57.784936
2016-01-05,59.169998,59.630001,58.740002,59.099998,2050000,58.678515
2016-01-04,58.790001,59.18,58.200001,59.18,2474200,58.757947
2015-12-31,60.150002,60.549999,59.849998,59.900002,1025800,59.472813
2015-12-30,60.849998,61.060001,60.419998,60.52,933200,60.08839
2015-12-29,60.77,61.16,60.509998,60.939999,1194500,60.505393
2015-12-28,59.970001,60.419998,59.810001,60.389999,1402600,59.959316
2015-12-24,60.209999,60.540001,60.00,60.18,883700,59.750815
2015-12-23,59.799999,60.419998,59.66,60.32,1185500,59.889816
2015-12-22,58.580002,59.490002,58.490002,59.279999,1717800,58.857232
2015-12-21,58.389999,58.900002,58.09,58.48,1864600,58.062938
2015-12-18,59.970001,60.00,58.290001,58.290001,3464900,57.874294
2015-12-17,61.709999,61.720001,60.380001,60.380001,1978700,59.949389
2015-12-16,61.220001,61.959999,60.98,61.700001,2014000,61.259975
2015-12-15,60.18,61.279999,60.18,60.919998,2576400,60.485535
2015-12-14,60.02,60.18,58.990002,59.540001,2379300,59.11538
2015-12-11,60.119999,60.799999,59.389999,59.709999,1956300,59.284166
2015-12-10,61.18,61.59,60.970001,61.09,1586800,60.654325
2015-12-09,61.91,62.610001,60.98,61.259998,1959200,60.823111
2015-12-08,62.209999,62.299999,61.66,62.119999,2588600,61.676978
2015-12-07,63.389999,63.669998,62.439999,62.799999,2725500,62.352129
2015-12-04,63.139999,63.639999,62.799999,63.52,3476700,63.066995
2015-12-03,65.709999,65.709999,62.619999,63.099998,5218700,62.649988
2015-12-02,65.940002,66.529999,65.510002,65.589996,2098600,65.122228
2015-12-01,65.480003,66.089996,65.389999,65.989998,2192300,65.519377
2015-11-30,65.300003,65.559998,64.910004,65.239998,2749500,64.774726
2015-11-27,65.300003,65.599998,65.120003,65.300003,937000,64.834303
2015-11-25,65.389999,65.540001,65.059998,65.099998,1108600,64.635725
2015-11-24,64.910004,65.610001,64.879997,65.389999,1594100,64.923658
2015-11-23,65.699997,65.889999,65.330002,65.400002,1747200,64.933589
2015-11-20,65.519997,66.230003,65.309998,65.660004,2976000,65.191736
2015-11-19,64.989998,65.419998,64.760002,65.370003,2416600,64.903804
2015-11-18,63.75,65.00,63.470001,64.919998,2985200,64.457008
2015-11-17,63.799999,64.209999,63.310001,63.50,2122500,63.047137
2015-11-16,62.68,63.68,62.27,63.669998,2274800,63.215923
2015-11-13,63.27,63.580002,62.880001,63.220001,2034700,62.36206
2015-11-12,63.759998,64.339996,63.290001,63.32,2538000,62.460701
2015-11-11,64.419998,64.599998,64.120003,64.370003,2039600,63.496455
2015-11-10,63.450001,64.57,63.450001,64.309998,2392700,63.437264
2015-11-09,64.300003,64.360001,63.299999,63.560001,2531900,62.697446
2015-11-06,64.32,64.989998,64.00,64.32,3080400,63.447131
2015-11-05,64.190002,64.510002,63.98,64.169998,1728500,63.299165
2015-11-04,64.040001,64.370003,63.869999,64.169998,2143100,63.299165
2015-11-03,64.18,64.440002,63.880001,64.040001,2797400,63.170932
2015-11-02,63.93,64.599998,63.919998,64.510002,1866000,63.634555
2015-10-30,64.400002,64.50,63.75,63.75,3261000,62.884866
