Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,31.68,32.369999,31.639999,31.870001,1772100,31.870001
2016-04-01,31.43,31.809999,31.129999,31.559999,1444300,31.559999
2016-03-31,31.77,31.99,31.450001,31.540001,1439900,31.540001
2016-03-30,31.709999,31.84,31.32,31.719999,1320300,31.719999
2016-03-29,31.48,31.959999,31.309999,31.709999,1193700,31.709999
2016-03-28,31.35,31.780001,31.049999,31.58,1691700,31.58
2016-03-24,30.74,31.540001,30.58,31.41,1514900,31.41
2016-03-23,31.50,31.620001,30.629999,30.83,1983300,30.83
2016-03-22,32.049999,32.509998,31.65,31.67,3217600,31.67
2016-03-21,31.700001,31.93,31.049999,31.059999,1748300,31.059999
2016-03-18,32.07,32.380001,31.57,31.700001,2432200,31.700001
2016-03-17,31.59,31.93,31.16,31.85,1934900,31.85
2016-03-16,31.18,31.940001,30.92,31.639999,1812700,31.639999
2016-03-15,32.119999,32.150002,30.809999,31.26,2271300,31.26
2016-03-14,32.240002,32.599998,32.099998,32.23,1933800,32.23
2016-03-11,32.450001,32.48,32.029999,32.459999,1502600,32.459999
2016-03-10,31.969999,32.50,31.870001,32.209999,1704100,32.209999
2016-03-09,31.700001,32.259998,31.48,31.85,2356100,31.85
2016-03-08,31.90,32.549999,31.559999,31.610001,1740400,31.610001
2016-03-07,32.220001,32.830002,31.60,31.99,3223400,31.99
2016-03-04,31.17,32.810001,30.75,32.279999,4506500,32.279999
2016-03-03,30.290001,31.34,29.639999,31.139999,4693600,31.139999
2016-03-02,31.10,31.450001,28.41,30.41,12693100,30.41
2016-03-01,29.190001,29.440001,28.870001,29.34,5201500,29.14
2016-02-29,28.610001,29.50,28.299999,29.049999,5304600,28.851976
2016-02-26,28.059999,28.549999,27.48,28.48,3576800,28.285862
2016-02-25,27.780001,28.280001,27.32,28.200001,2670000,28.007772
2016-02-24,27.450001,27.879999,26.969999,27.799999,2472200,27.610497
2016-02-23,27.959999,28.299999,27.540001,27.700001,2238400,27.51118
2016-02-22,26.709999,27.950001,26.48,27.780001,2539700,27.590635
2016-02-19,26.299999,26.52,25.74,26.50,1674400,26.319359
2016-02-18,25.809999,26.809999,25.620001,26.60,2309000,26.418678
2016-02-17,25.59,26.23,25.43,25.85,1833600,25.673791
2016-02-16,25.120001,25.540001,24.530001,25.34,1514000,25.167267
2016-02-12,24.27,24.870001,24.040001,24.77,1994100,24.601153
2016-02-11,23.48,24.549999,23.48,24.08,2378300,23.915856
2016-02-10,24.32,24.459999,23.76,23.790001,1711300,23.627833
2016-02-09,24.370001,24.93,23.450001,24.129999,2573000,23.965514
2016-02-08,24.110001,24.66,23.639999,24.629999,3285200,24.462106
2016-02-05,25.389999,25.76,24.25,24.42,2839100,24.253538
2016-02-04,26.41,26.780001,25.209999,25.389999,2640500,25.216925
2016-02-03,26.60,27.219999,25.84,26.709999,2631800,26.527927
2016-02-02,26.26,26.84,26.040001,26.40,2869900,26.220041
2016-02-01,26.129999,26.59,25.74,26.35,2011800,26.170382
2016-01-29,25.68,26.469999,25.57,26.24,2253700,26.061132
2016-01-28,26.139999,26.27,25.370001,25.52,1884700,25.34604
2016-01-27,25.68,26.219999,25.389999,25.690001,1670000,25.514881
2016-01-26,25.18,25.950001,25.139999,25.709999,2224600,25.534744
2016-01-25,25.75,25.83,24.799999,25.00,1988300,24.829584
2016-01-22,26.549999,26.690001,25.459999,25.84,1648300,25.663859
2016-01-21,25.57,26.42,25.40,26.15,2894900,25.971745
