Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,104.629997,105.239998,104.50,104.849998,989900,104.849998
2016-04-01,104.089996,105.010002,103.629997,104.870003,2169100,104.870003
2016-03-31,103.959999,104.760002,103.620003,104.449997,1435400,104.449997
2016-03-30,103.199997,104.120003,102.93,103.959999,1441700,103.959999
2016-03-29,102.050003,103.059998,101.739998,102.940002,1368800,102.940002
2016-03-28,101.510002,102.489998,101.25,102.139999,880900,102.139999
2016-03-24,100.029999,101.32,99.669998,101.129997,2178000,101.129997
2016-03-23,101.459999,101.459999,100.050003,100.510002,2459900,100.510002
2016-03-22,101.309998,102.230003,100.970001,101.459999,2531100,101.459999
2016-03-21,101.080002,101.860001,100.93,101.589996,2092600,101.589996
2016-03-18,102.169998,102.480003,100.980003,101.470001,3524800,101.470001
2016-03-17,99.940002,102.580002,99.580002,102.00,1950200,102.00
2016-03-16,99.110001,100.550003,99.080002,99.790001,1296600,99.790001
2016-03-15,98.910004,99.93,98.910004,99.889999,990900,99.889999
2016-03-14,99.93,100.639999,99.769997,99.769997,1419600,99.769997
2016-03-11,99.629997,100.589996,98.919998,100.480003,1102000,100.480003
2016-03-10,99.190002,99.540001,97.620003,98.559998,931500,98.559998
2016-03-09,98.739998,98.949997,98.300003,98.720001,966000,98.720001
2016-03-08,98.470001,99.589996,98.199997,98.440002,1115100,98.440002
2016-03-07,98.330002,99.290001,98.040001,99.139999,1025600,99.139999
2016-03-04,98.00,99.459999,97.949997,98.93,1432400,98.93
2016-03-03,97.129997,98.349998,97.07,98.220001,1050500,98.220001
2016-03-02,95.980003,97.410004,95.599998,97.389999,1332200,97.389999
2016-03-01,95.989998,96.809998,95.690002,95.949997,1749000,95.949997
2016-02-29,95.440002,96.449997,95.260002,95.290001,1788500,95.290001
2016-02-26,95.68,96.50,95.440002,95.760002,1462100,95.760002
2016-02-25,94.910004,95.449997,94.519997,95.309998,1171500,95.309998
2016-02-24,93.080002,95.120003,92.919998,94.660004,1642400,94.660004
2016-02-23,93.209999,95.019997,92.879997,94.07,2361600,94.07
2016-02-22,94.360001,94.690002,93.43,93.769997,1283400,93.769997
2016-02-19,94.279999,94.419998,92.980003,93.580002,1241900,93.580002
2016-02-18,94.75,95.019997,93.989998,94.57,1754000,94.57
2016-02-17,95.089996,95.580002,94.709999,95.00,2137500,95.00
2016-02-16,94.650002,94.989998,93.900002,94.150002,1725300,94.150002
2016-02-12,93.760002,94.980003,93.720001,93.800003,1672100,93.800003
2016-02-11,91.309998,93.230003,90.860001,92.690002,1741600,92.690002
2016-02-10,93.040001,94.790001,92.650002,92.830002,1497700,92.830002
2016-02-09,92.470001,93.50,92.110001,92.879997,2074500,92.879997
2016-02-08,92.269997,93.699997,91.959999,92.980003,1969400,92.980003
2016-02-05,89.199997,92.889999,89.010002,92.870003,2243700,92.870003
2016-02-04,87.449997,89.040001,87.209999,88.949997,1237900,88.949997
2016-02-03,87.059998,88.110001,86.309998,87.739998,1414200,87.739998
2016-02-02,86.489998,87.010002,85.910004,86.199997,888300,86.199997
