Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,143.729996,144.080002,142.00,142.699997,1530100,142.699997
2016-04-01,143.50,145.539993,141.899994,145.309998,1333000,145.309998
2016-03-31,145.130005,145.679993,143.320007,144.050003,1228500,144.050003
2016-03-30,145.00,147.160004,144.369995,145.25,1350300,145.25
2016-03-29,142.25,145.970001,141.529999,145.029999,1984200,144.169996
2016-03-28,142.360001,143.639999,141.960007,143.130005,1723500,142.281269
2016-03-24,144.039993,144.360001,141.320007,141.759995,1161200,140.919382
2016-03-23,142.460007,143.929993,141.529999,143.929993,2508700,143.076513
2016-03-22,140.00,143.889999,139.740005,143.070007,2740700,142.221627
2016-03-21,141.259995,141.860001,139.729996,140.690002,1903300,139.855735
2016-03-18,141.100006,142.740005,140.309998,141.589996,2901300,140.750392
2016-03-17,137.100006,141.399994,136.199997,140.960007,2250000,140.124138
2016-03-16,133.289993,136.449997,133.160004,136.059998,1554500,135.253185
2016-03-15,135.070007,135.479996,133.630005,134.050003,1712100,133.25511
2016-03-14,135.979996,136.669998,135.259995,136.25,2628800,135.442061
2016-03-11,135.979996,137.779999,135.00,136.470001,1283500,135.660758
2016-03-10,135.470001,136.089996,133.020004,134.600006,4220200,133.801851
2016-03-09,135.110001,135.50,133.690002,134.679993,9906800,133.881364
2016-03-08,133.919998,135.089996,131.940002,134.220001,13888000,133.4241
2016-03-07,134.690002,136.00,133.779999,135.00,897500,134.199473
2016-03-04,135.669998,136.240005,133.580002,134.789993,1233000,133.990712
2016-03-03,134.509995,135.949997,134.009995,134.880005,1090900,134.08019
2016-03-02,133.410004,134.979996,132.649994,134.220001,932500,133.4241
2016-03-01,133.779999,135.229996,131.910004,134.389999,1309500,133.59309
2016-02-29,133.429993,134.759995,132.410004,132.470001,1835900,131.684477
2016-02-26,133.660004,134.470001,133.009995,133.639999,825900,132.847537
2016-02-25,132.100006,133.00,130.449997,132.990005,633200,132.201398
