Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,15.54,15.88,15.07,15.19,2550800,15.19
2016-04-01,16.15,16.41,15.69,16.379999,1462700,16.379999
2016-03-31,16.85,17.00,16.059999,16.299999,1777500,16.299999
2016-03-30,16.42,17.040001,16.209999,16.799999,1773300,16.799999
2016-03-29,15.72,16.190001,15.02,16.190001,2060200,16.190001
2016-03-28,16.26,16.43,15.63,16.200001,1129300,16.200001
2016-03-24,15.56,16.200001,15.36,16.200001,1472800,16.200001
2016-03-23,17.26,17.32,15.67,15.84,2591200,15.84
2016-03-22,17.280001,17.629999,17.110001,17.57,1652500,17.57
2016-03-21,17.18,17.60,16.969999,17.540001,1640300,17.540001
2016-03-18,17.68,18.379999,16.99,17.25,4198900,17.25
2016-03-17,16.49,17.860001,15.77,17.389999,3893000,17.389999
2016-03-16,15.44,16.32,14.94,16.309999,2351000,16.309999
2016-03-15,15.20,15.78,14.77,15.44,1742000,15.44
2016-03-14,15.80,16.50,15.05,15.77,2797900,15.77
2016-03-11,16.469999,16.75,16.02,16.07,2343500,16.07
2016-03-10,15.89,16.41,15.34,16.309999,2560400,16.309999
2016-03-09,16.450001,16.74,15.44,15.84,2122900,15.84
2016-03-08,16.48,16.76,15.91,16.40,3096800,16.32
2016-03-07,15.88,16.879999,15.50,16.879999,3139700,16.797658
2016-03-04,15.51,16.389999,15.03,15.58,3518200,15.504
2016-03-03,15.27,15.49,14.80,15.29,3953200,15.215415
2016-03-02,13.79,15.36,13.69,15.35,3816000,15.275122
2016-03-01,13.66,13.87,13.38,13.69,2739200,13.623219
2016-02-29,12.57,13.59,12.53,13.41,3308600,13.344585
2016-02-26,11.98,12.60,11.95,12.32,2181100,12.259902
2016-02-25,11.81,12.11,11.41,11.78,2164700,11.722536
2016-02-24,11.65,11.90,10.81,11.81,2403500,11.752391
2016-02-23,12.26,12.45,11.76,11.94,1953000,11.881756
2016-02-22,11.73,12.51,11.73,12.37,2608000,12.309658
2016-02-19,11.35,11.48,10.88,11.34,2340800,11.284683
2016-02-18,12.28,12.29,11.28,11.57,3198800,11.513561
2016-02-17,11.63,12.74,11.61,12.29,4306900,12.230049
2016-02-16,10.98,11.53,10.56,11.51,2718700,11.453854
2016-02-12,9.73,10.80,9.61,10.74,3208300,10.68761
2016-02-11,9.64,9.96,9.15,9.48,2693100,9.433756
2016-02-10,9.94,10.12,9.62,9.80,1914200,9.752195
2016-02-09,9.68,10.11,9.35,9.96,4249000,9.911415
2016-02-08,10.14,10.18,9.54,9.87,3527800,9.821854
2016-02-05,10.19,11.02,10.08,10.47,4251200,10.418927
2016-02-04,9.18,10.78,9.13,10.38,5261700,10.329366
2016-02-03,8.39,9.02,8.04,9.01,3090600,8.966049
2016-02-02,8.64,8.81,8.26,8.29,2539900,8.249561
2016-02-01,9.37,9.39,8.65,8.90,3103000,8.856585
2016-01-29,8.15,9.38,8.12,9.38,3954700,9.334244
2016-01-28,8.68,8.82,8.07,8.14,4136100,8.100293
2016-01-27,7.76,8.55,7.60,8.39,4095800,8.349074
2016-01-26,7.20,8.39,7.13,7.96,6375700,7.921171
2016-01-25,8.20,8.23,7.60,7.69,3878700,7.652488
2016-01-22,8.58,9.04,8.16,8.27,4473300,8.229659
2016-01-21,7.84,8.54,7.71,8.29,4148900,8.249561
2016-01-20,7.39,7.98,7.08,7.82,4898300,7.781854
2016-01-19,8.44,8.44,7.54,7.62,2403800,7.582829
2016-01-15,8.46,8.46,7.98,8.25,2965500,8.209756
2016-01-14,8.55,9.02,8.34,8.88,2806600,8.836683
2016-01-13,8.87,9.36,8.42,8.47,3406700,8.428683
2016-01-12,9.22,9.39,8.36,8.73,4066100,8.687414
2016-01-11,9.58,9.82,9.09,9.13,2496200,9.085464
2016-01-08,9.48,9.71,9.44,9.48,2681600,9.433756
2016-01-07,10.32,10.33,9.45,9.52,3564600,9.473561
2016-01-06,10.86,10.96,10.63,10.70,1859800,10.647805
2016-01-05,11.49,11.63,10.82,11.16,2251600,11.105561
2016-01-04,11.02,11.66,10.61,11.49,2979500,11.433951
2015-12-31,11.27,11.55,11.04,11.25,1883900,11.195122
2015-12-30,10.84,11.56,10.82,11.35,1987100,11.294635
2015-12-29,11.31,11.31,10.79,11.05,2154000,10.996098
2015-12-28,11.90,11.90,11.03,11.14,2594600,11.085659
2015-12-24,12.36,12.43,11.84,12.13,1055300,12.070829
2015-12-23,12.27,12.65,12.14,12.37,3863800,12.309658
2015-12-22,10.67,12.07,10.65,11.93,3082200,11.871805
2015-12-21,10.56,10.73,10.28,10.65,2660100,10.598048
2015-12-18,10.47,10.78,10.41,10.46,3938700,10.408976
2015-12-17,10.42,10.77,10.35,10.47,2713900,10.418927
2015-12-16,10.81,10.90,10.15,10.59,3519300,10.458732
2015-12-15,12.30,12.47,10.67,10.77,6021000,10.636501
2015-12-14,12.62,13.02,12.28,12.29,2867500,12.137659
2015-12-11,13.25,13.40,12.56,12.94,3930500,12.779602
2015-12-10,11.94,13.78,11.92,13.58,4264700,13.411669
2015-12-09,11.76,12.08,11.53,11.90,3093400,11.752493
2015-12-08,11.90,11.91,11.45,11.53,2797400,11.38708
2015-12-07,12.23,12.34,12.06,12.13,2280800,11.979643
2015-12-04,12.75,12.77,12.35,12.46,2606900,12.305552
2015-12-03,12.85,13.18,12.65,12.78,1864400,12.621585
2015-12-02,12.81,13.10,12.62,12.73,2458000,12.572205
2015-12-01,12.73,13.05,12.63,13.00,2373600,12.838858
2015-11-30,12.47,13.03,12.30,12.67,2275900,12.512949
2015-11-27,12.51,12.57,11.98,12.42,1056600,12.266048
2015-11-25,12.84,12.90,12.25,12.60,1732400,12.443817
2015-11-24,12.04,13.00,12.04,12.94,1900500,12.779602
2015-11-23,12.25,12.50,12.03,12.14,1936100,11.989519
2015-11-20,13.37,13.41,12.26,12.32,2668600,12.167287
2015-11-19,13.33,13.53,13.12,13.27,1676100,13.105512
2015-11-18,12.80,13.37,12.62,13.33,1988600,13.164768
2015-11-17,12.83,13.02,12.44,12.57,1687000,12.414188
2015-11-16,12.98,13.31,12.56,12.85,2137900,12.690718
2015-11-13,13.06,13.22,12.71,13.01,1889800,12.848735
2015-11-12,13.23,13.74,12.89,12.91,2094700,12.749974
2015-11-11,14.03,14.07,13.21,13.55,1664400,13.382041
2015-11-10,13.88,14.18,13.65,13.88,1608500,13.707951
2015-11-09,14.30,14.33,13.79,13.99,1520800,13.816587
2015-11-06,14.20,14.33,13.78,14.29,2967200,14.112868
2015-11-05,15.00,15.11,14.17,14.31,1974000,14.132621
2015-11-04,15.78,15.92,14.99,15.20,1900600,15.011588
2015-11-03,15.18,16.040001,15.18,15.73,2235900,15.535018
2015-11-02,14.61,15.34,14.61,15.16,1430000,14.972084
2015-10-30,14.64,14.81,14.18,14.70,1707200,14.517786
2015-10-29,14.35,14.87,14.29,14.33,1132600,14.152372
2015-10-28,13.45,14.98,13.45,14.59,3265000,14.40915
2015-10-27,13.59,13.83,13.30,13.49,2067400,13.322784
2015-10-26,14.51,14.65,13.68,13.71,2407300,13.540058
2015-10-23,14.37,14.60,13.96,14.56,4447800,14.379522
2015-10-22,13.65,14.32,13.56,14.17,3071600,13.994356
2015-10-21,14.75,14.79,13.57,13.61,4205700,13.441297
2015-10-20,16.700001,16.73,14.45,15.00,6333600,14.814067
2015-10-19,17.209999,17.32,16.74,16.98,1404500,16.769524
2015-10-16,18.110001,18.15,17.129999,17.440001,1180200,17.223823
2015-10-15,17.549999,18.23,17.26,18.190001,1366500,17.964526
2015-10-14,18.120001,18.26,17.389999,17.549999,2293300,17.332458
2015-10-13,17.610001,18.379999,17.34,17.98,1217200,17.757128
2015-10-12,18.65,18.74,17.73,17.91,949100,17.687996
2015-10-09,18.52,19.10,18.469999,18.57,2196300,18.339815
2015-10-08,17.540001,18.34,17.440001,18.27,1697000,18.043535
2015-10-07,16.84,17.91,16.700001,17.549999,2987500,17.332458
2015-10-06,16.52,17.07,16.459999,16.870001,2233000,16.660889
2015-10-05,15.90,16.719999,15.90,16.52,2121000,16.315227
2015-10-02,14.39,15.51,14.30,15.50,1748200,15.30787
2015-10-01,14.09,14.72,13.95,14.41,1813700,14.231381
2015-09-30,14.38,14.45,13.74,14.18,1815700,14.004232
2015-09-29,14.42,14.57,13.66,14.09,1643000,13.915348
2015-09-28,14.74,14.84,14.04,14.29,1743600,14.112868
2015-09-25,16.129999,16.309999,15.14,15.18,1510100,14.991837
2015-09-24,15.33,16.110001,15.21,16.00,1138600,15.801672
2015-09-23,16.34,16.40,15.38,15.43,1447700,15.238738
2015-09-22,16.389999,16.389999,15.86,16.209999,1387200,16.009068
2015-09-21,17.540001,17.540001,16.68,16.870001,1079800,16.660889
2015-09-18,17.889999,17.92,17.040001,17.25,2464500,17.036178
2015-09-17,18.389999,18.84,18.219999,18.290001,1054900,18.063287
2015-09-16,18.209999,18.559999,18.02,18.469999,1079600,18.241054
2015-09-15,17.370001,18.18,17.280001,18.110001,1155100,17.885518
2015-09-14,17.879999,18.02,17.09,17.40,1117800,17.184318
2015-09-11,18.10,18.190001,17.629999,18.030001,787800,17.80651
2015-09-10,18.00,18.450001,17.719999,18.120001,931000,17.895394
2015-09-09,18.610001,18.809999,17.85,18.02,853500,17.796634
2015-09-08,18.73,18.73,18.190001,18.469999,1070500,18.241054
2015-09-04,17.780001,18.15,17.709999,17.93,1120600,17.707749
2015-09-03,18.58,18.950001,17.90,18.10,1580600,17.875642
2015-09-02,19.07,19.07,18.299999,18.809999,919100,18.57684
2015-09-01,18.51,18.940001,18.35,18.58,1228500,18.349692
2015-08-31,19.10,19.49,18.75,19.309999,1065100,19.070642
2015-08-28,18.809999,19.700001,18.59,19.34,1657900,19.100271
2015-08-27,17.76,19.18,17.68,19.040001,1795200,18.803991
2015-08-26,17.34,17.700001,16.91,17.60,1747000,17.38184
2015-08-25,18.08,18.35,16.92,16.950001,1723000,16.739897
2015-08-24,17.40,17.99,16.58,17.290001,2463200,17.075683
2015-08-21,18.040001,18.120001,17.610001,17.610001,1386100,17.391716
2015-08-20,19.16,19.16,18.42,18.43,1167700,18.201551
2015-08-19,19.280001,19.42,18.690001,18.870001,1483500,18.636098
2015-08-18,19.790001,19.860001,19.41,19.49,723300,19.248411
2015-08-17,19.82,19.950001,19.65,19.790001,748900,19.544694
2015-08-14,19.90,20.440001,19.65,20.17,1509500,19.742215
2015-08-13,20.280001,20.379999,19.690001,19.91,1715300,19.487729
2015-08-12,20.85,20.889999,20.18,20.459999,3546700,20.026063
2015-08-11,21.66,21.66,20.610001,21.030001,2024000,20.583975
2015-08-10,21.49,22.67,21.01,22.549999,1790700,22.071736
2015-08-07,21.450001,21.90,20.83,20.959999,1170800,20.515458
2015-08-06,21.040001,21.59,20.879999,21.549999,1415200,21.092945
2015-08-05,21.040001,22.25,20.950001,21.040001,1471600,20.593764
2015-08-04,20.98,21.190001,20.42,20.57,1606200,20.133731
2015-08-03,21.139999,21.27,20.57,20.780001,2111100,20.339278
2015-07-31,22.10,22.110001,21.290001,21.32,1572800,20.867824
