Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,61.009998,61.060001,60.459999,60.619999,3367300,60.619999
2016-04-01,60.98,61.66,60.560001,61.099998,4149300,61.099998
2016-03-31,60.509998,61.52,60.279999,61.400002,6271400,61.400002
2016-03-30,60.98,61.00,60.189999,60.290001,5095100,60.290001
2016-03-29,60.110001,60.650002,59.459999,60.599998,4194900,60.599998
2016-03-28,60.77,60.790001,59.860001,60.279999,3254200,60.279999
2016-03-24,60.220001,60.52,59.599998,60.470001,3541800,60.470001
2016-03-23,60.700001,60.91,60.279999,60.630001,3594900,60.630001
2016-03-22,60.77,60.900002,59.91,60.610001,4772700,60.610001
2016-03-21,60.990002,61.380001,60.849998,61.209999,3662100,61.209999
2016-03-18,60.310001,61.450001,60.029999,61.220001,8235000,61.220001
2016-03-17,59.549999,60.50,59.32,60.080002,4601200,60.080002
2016-03-16,58.91,59.900002,58.720001,59.700001,4847400,59.700001
2016-03-15,59.360001,59.400002,58.630001,59.23,3750600,59.23
2016-03-14,59.509998,59.939999,59.009998,59.57,4212500,59.57
2016-03-11,59.529999,59.91,59.02,59.459999,7804700,59.459999
2016-03-10,59.290001,59.459999,58.049999,58.75,6481600,58.75
2016-03-09,59.73,59.790001,58.52,59.049999,6469000,59.049999
2016-03-08,58.84,60.00,58.709999,59.43,10542200,59.43
2016-03-07,58.00,59.48,57.630001,59.00,9358700,59.00
2016-03-04,58.439999,58.650002,57.810001,58.290001,5407400,58.290001
2016-03-03,57.16,58.18,57.16,58.09,6841300,58.09
2016-03-02,56.880001,57.23,56.57,57.119999,7264700,57.119999
2016-03-01,56.029999,56.84,55.619999,56.799999,9147000,56.799999
2016-02-29,55.299999,56.150002,54.810001,55.580002,10307300,55.580002
2016-02-26,55.709999,55.900002,55.150002,55.380001,5885500,55.380001
2016-02-25,54.779999,55.389999,54.299999,55.389999,4379200,55.389999
2016-02-24,54.450001,54.869999,53.560001,54.639999,5585000,54.639999
2016-02-23,55.52,55.599998,54.959999,55.110001,5866700,55.110001
2016-02-22,54.709999,55.630001,54.709999,55.630001,6535700,55.630001
2016-02-19,54.25,55.029999,54.029999,54.709999,6549100,54.709999
2016-02-18,53.50,54.349998,53.450001,54.150002,8502900,54.150002
2016-02-17,53.50,54.00,53.299999,53.610001,8610900,53.610001
2016-02-16,53.009998,53.48,52.73,53.18,6945000,53.18
2016-02-12,51.880001,52.73,51.639999,52.66,6083400,52.66
2016-02-11,51.220001,51.59,50.27,51.110001,9142900,51.110001
2016-02-10,53.00,53.43,52.279999,52.290001,7040100,52.290001
2016-02-09,52.259998,53.02,51.91,52.630001,8455800,52.630001
2016-02-08,53.240002,53.450001,52.23,52.400002,11815800,52.400002
2016-02-05,54.720001,54.849998,53.810001,53.98,9091000,53.98
2016-02-04,54.080002,54.459999,53.810001,54.380001,6870600,54.380001
2016-02-03,54.00,54.290001,52.830002,54.110001,9728400,54.110001
2016-02-02,54.330002,54.389999,53.490002,53.66,11664200,53.66
2016-02-01,53.41,54.990002,53.00,54.700001,9860300,54.700001
2016-01-29,53.18,53.709999,53.049999,53.50,13920800,53.50
2016-01-28,54.68,54.759998,52.150002,52.880001,17859200,52.880001
2016-01-27,55.369999,55.82,54.419998,54.52,10852000,54.52
2016-01-26,55.200001,55.740002,54.959999,55.09,12834600,55.09
2016-01-25,54.459999,55.77,54.139999,55.02,18455300,55.02
2016-01-22,58.389999,58.889999,54.139999,55.060001,43731600,55.060001
2016-01-21,63.00,64.32,62.509998,62.639999,8832500,62.639999
2016-01-20,61.540001,63.540001,61.290001,63.029999,9026000,63.029999
2016-01-19,63.41,63.790001,62.240002,62.639999,7336000,62.639999
2016-01-15,62.029999,63.049999,61.50,62.91,8643800,62.91
2016-01-14,62.849998,63.75,62.369999,63.290001,6664000,63.290001
2016-01-13,63.650002,64.370003,62.23,62.849998,11291200,62.849998
2016-01-12,64.800003,64.900002,63.599998,64.400002,7560000,64.400002
2016-01-11,63.740002,64.209999,63.099998,64.050003,8157100,64.050003
2016-01-08,64.18,64.410004,63.57,63.630001,10003600,63.630001
2016-01-07,63.310001,64.25,63.080002,63.84,11323900,63.84
2016-01-06,65.239998,65.550003,64.239998,64.419998,9752200,64.419998
2016-01-05,67.370003,67.709999,65.669998,66.550003,10809200,66.260002
2016-01-04,68.089996,68.18,66.769997,67.589996,9248300,67.295464
2015-12-31,70.010002,70.32,69.529999,69.550003,3531300,69.246929
2015-12-30,70.510002,70.75,70.080002,70.160004,2792700,69.854272
2015-12-29,70.279999,70.610001,70.120003,70.550003,3838800,70.242572
2015-12-28,70.00,70.099998,69.360001,69.760002,2860700,69.456013
