Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,126.540001,127.970001,125.879997,126.339996,5035200,126.339996
2016-04-01,126.230003,127.089996,125.110001,126.959999,5235100,126.959999
2016-03-31,128.089996,128.380005,125.25,126.940002,8722700,126.940002
2016-03-30,131.479996,132.729996,128.020004,128.580002,5885300,128.580002
2016-03-29,129.830002,130.929993,128.179993,130.880005,4873800,130.880005
2016-03-28,132.529999,132.619995,130.550003,131.289993,3291400,131.289993
2016-03-24,131.610001,132.229996,130.029999,132.119995,4569500,132.119995
2016-03-23,134.990005,135.00,132.740005,132.860001,4345600,132.860001
2016-03-22,135.139999,136.100006,134.779999,135.119995,4983700,135.119995
2016-03-21,133.460007,136.779999,133.389999,135.860001,5612100,135.860001
2016-03-18,131.240005,134.679993,131.009995,133.960007,8993300,133.960007
2016-03-17,128.070007,131.600006,127.419998,130.699997,5792700,130.699997
2016-03-16,126.239998,128.130005,125.75,127.57,5146700,127.57
2016-03-15,125.550003,126.370003,124.209999,126.360001,3659700,126.360001
2016-03-14,123.93,127.00,123.860001,126.339996,4273300,126.339996
2016-03-11,124.129997,125.50,123.860001,124.629997,3209800,124.629997
2016-03-10,123.139999,123.82,121.43,122.940002,4109100,122.940002
2016-03-09,122.379997,123.260002,122.029999,122.860001,3378900,122.860001
2016-03-08,121.980003,122.970001,121.309998,122.349998,5246000,122.349998
2016-03-07,120.800003,123.32,120.57,122.900002,4475500,122.900002
2016-03-04,120.169998,122.230003,119.849998,121.07,4414700,121.07
2016-03-03,118.839996,119.730003,118.25,119.610001,3397900,119.610001
2016-03-02,119.629997,120.75,118.50,119.650002,4168100,119.650002
2016-03-01,119.010002,120.989998,118.25,119.959999,4588900,119.959999
2016-02-29,118.120003,119.470001,117.50,118.18,4108300,118.18
2016-02-26,117.75,119.449997,117.50,118.160004,3754800,118.160004
2016-02-25,116.349998,117.599998,115.779999,116.82,4660100,116.82
2016-02-24,115.370003,115.959999,112.510002,115.589996,6845500,115.589996
2016-02-23,116.970001,118.50,115.93,116.900002,3743300,116.900002
2016-02-22,115.160004,118.970001,115.160004,117.389999,4919900,117.389999
2016-02-19,117.309998,117.330002,114.419998,115.160004,6760400,115.160004
2016-02-18,116.910004,118.230003,116.68,117.57,6481200,117.57
2016-02-17,114.029999,116.830002,113.989998,116.339996,6593000,116.339996
2016-02-16,109.730003,112.760002,109.00,112.599998,7448000,112.599998
2016-02-12,105.120003,109.839996,105.00,108.629997,12937400,108.629997
2016-02-11,113.18,113.400002,102.099998,108.440002,33685000,108.440002
