Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,153.990005,155.979996,153.550003,154.919998,888300,154.919998
2016-04-01,151.240005,153.75,150.710007,153.490005,882200,153.490005
2016-03-31,152.199997,152.759995,151.369995,151.820007,890100,151.820007
2016-03-30,152.470001,152.820007,151.380005,152.539993,713700,152.539993
2016-03-29,149.210007,151.720001,148.589996,151.520004,705200,151.520004
2016-03-28,149.559998,149.559998,148.259995,149.029999,702800,149.029999
2016-03-24,148.490005,149.279999,147.740005,149.130005,642900,149.130005
2016-03-23,149.649994,150.149994,149.059998,149.240005,539300,149.240005
2016-03-22,148.919998,150.130005,148.339996,149.550003,1000200,149.550003
2016-03-21,150.179993,150.460007,149.029999,149.169998,883500,149.169998
2016-03-18,148.539993,150.449997,146.570007,150.240005,2102300,150.240005
2016-03-17,149.520004,149.699997,146.119995,147.710007,1137800,147.710007
2016-03-16,149.360001,150.080002,148.199997,149.779999,904400,149.779999
2016-03-15,149.699997,150.539993,149.00,149.289993,977300,149.289993
2016-03-14,149.100006,151.229996,149.100006,150.759995,735200,150.759995
2016-03-11,149.130005,150.130005,148.229996,149.779999,1320200,149.779999
2016-03-10,147.690002,148.960007,147.240005,148.509995,1219300,148.509995
2016-03-09,147.690002,147.910004,145.779999,147.110001,1203700,147.110001
2016-03-08,147.580002,148.130005,146.550003,147.190002,869900,147.190002
2016-03-07,148.880005,149.380005,147.899994,148.679993,967200,148.019994
2016-03-04,149.850006,149.850006,148.309998,149.149994,1081200,148.487909
2016-03-03,150.649994,150.649994,148.029999,149.50,951900,148.836361
2016-03-02,149.820007,151.199997,149.25,150.720001,1151700,150.050947
2016-03-01,148.600006,150.119995,147.229996,150.119995,1418100,149.453604
2016-02-29,149.289993,150.119995,147.229996,147.449997,1490400,146.795458
2016-02-26,149.00,150.169998,148.919998,149.639999,1228700,148.975739
2016-02-25,147.740005,148.979996,146.889999,148.669998,826500,148.010044
2016-02-24,145.00,147.899994,144.729996,147.470001,938900,146.815374
2016-02-23,145.979996,147.070007,145.50,146.460007,1026700,145.809863
2016-02-22,145.630005,146.300003,144.979996,145.679993,651800,145.033311
2016-02-19,143.360001,145.00,142.380005,144.899994,913300,144.256775
2016-02-18,144.50,144.800003,142.729996,143.179993,753200,142.544409
2016-02-17,143.309998,144.210007,142.059998,144.110001,764600,143.470288
2016-02-16,141.190002,142.490005,140.490005,142.119995,1394300,141.489117
2016-02-12,136.869995,139.949997,136.389999,139.809998,1625400,139.189373
2016-02-11,135.630005,136.360001,134.210007,135.330002,1589200,134.729264
2016-02-10,136.220001,139.220001,135.889999,136.139999,1124600,135.535666
2016-02-09,129.580002,135.380005,129.50,134.339996,1701000,133.743654
2016-02-08,134.240005,134.960007,129.789993,132.880005,1854400,132.290143
2016-02-05,137.50,137.949997,134.710007,135.25,1227500,134.649618
2016-02-04,140.470001,140.990005,137.410004,137.910004,1812700,137.297813
2016-02-03,147.00,147.00,139.570007,141.080002,2324100,140.45374
2016-02-02,144.919998,145.899994,143.910004,145.050003,1505100,144.406118
2016-02-01,144.110001,146.460007,140.529999,146.020004,1571400,145.371813
2016-01-29,143.309998,145.369995,143.00,145.369995,1679300,144.72469
2016-01-28,146.610001,146.949997,141.759995,142.279999,1446900,141.64841
2016-01-27,145.630005,148.179993,144.919998,146.039993,982000,145.391714
2016-01-26,144.770004,145.860001,143.669998,145.509995,775700,144.864068
2016-01-25,145.119995,146.699997,144.690002,144.899994,974600,144.256775
2016-01-22,143.369995,144.990005,143.070007,144.759995,867200,144.117397
2016-01-21,140.899994,142.100006,139.130005,141.649994,1118700,141.021202
2016-01-20,140.850006,141.960007,137.690002,140.860001,1323800,140.234715
2016-01-19,143.830002,144.350006,141.380005,142.50,1258400,141.867435
2016-01-15,142.350006,144.509995,141.710007,142.429993,1804800,141.797738
2016-01-14,141.669998,145.779999,141.389999,145.410004,1738900,144.764521
2016-01-13,143.460007,144.410004,140.919998,141.380005,1318500,140.752411
2016-01-12,142.399994,143.529999,140.380005,142.449997,972500,141.817653
2016-01-11,143.089996,143.449997,139.240005,141.149994,1282600,140.523421
2016-01-08,145.190002,146.009995,142.029999,142.360001,1272300,141.728057
2016-01-07,144.520004,145.509995,143.429993,144.529999,1586600,143.888422
2016-01-06,145.839996,147.729996,144.929993,146.940002,1774000,146.287728
2016-01-05,148.649994,149.699997,147.800003,148.419998,1080300,147.761153
2016-01-04,150.619995,151.449997,146.020004,147.949997,2813900,147.293239
2015-12-31,154.729996,155.449997,154.080002,154.089996,1087700,153.405982
2015-12-30,156.690002,156.889999,155.009995,155.429993,1134200,154.74003
2015-12-29,156.660004,156.770004,155.809998,156.529999,967200,155.835153
2015-12-28,155.589996,155.779999,154.820007,155.369995,598500,154.680299
2015-12-24,155.839996,156.559998,155.479996,155.910004,269600,155.21791
2015-12-23,155.279999,156.039993,154.589996,155.869995,654600,155.178079
2015-12-22,154.600006,155.369995,152.309998,154.369995,1105800,153.684738
2015-12-21,153.800003,154.600006,152.660004,153.589996,800300,152.908202
2015-12-18,155.050003,155.589996,153.110001,153.119995,1776100,152.440287
2015-12-17,156.110001,157.50,155.350006,155.910004,1229600,155.21791
2015-12-16,154.600006,156.110001,153.130005,155.889999,1156400,155.197995
2015-12-15,154.089996,155.50,152.970001,153.289993,1535000,152.60953
2015-12-14,152.479996,153.679993,150.949997,153.190002,1290200,152.509983
2015-12-11,152.570007,153.899994,150.949997,151.679993,874800,151.006677
2015-12-10,152.729996,154.789993,152.050003,154.350006,935900,153.664838
2015-12-09,154.100006,155.529999,151.610001,152.869995,1367300,152.191397
2015-12-08,154.00,154.759995,152.429993,154.699997,1554800,154.013275
2015-12-07,154.320007,154.809998,152.800003,153.619995,1224000,152.280999
2015-12-04,150.179993,154.880005,150.110001,154.809998,1066300,153.460629
2015-12-03,152.059998,152.429993,149.350006,149.929993,1127300,148.62316
2015-12-02,152.889999,153.00,151.570007,151.779999,798100,150.457041
2015-12-01,151.100006,152.820007,151.100006,152.669998,1093700,151.339283
2015-11-30,151.580002,151.990005,150.229996,150.25,1028400,148.940378
2015-11-27,150.839996,152.199997,150.100006,151.289993,645700,149.971307
2015-11-25,150.529999,150.949997,149.630005,150.119995,746800,148.811506
2015-11-24,147.839996,150.720001,147.839996,150.550003,659800,149.237766
2015-11-23,151.309998,152.050003,150.440002,150.919998,585800,149.604536
2015-11-20,150.720001,152.460007,149.960007,151.220001,1302100,149.901925
2015-11-19,151.130005,151.410004,149.520004,149.960007,931900,148.652913
2015-11-18,151.220001,151.690002,150.470001,151.539993,1131100,150.219127
2015-11-17,150.800003,151.800003,149.690002,150.960007,735300,149.644196
2015-11-16,148.789993,150.860001,148.580002,150.789993,849500,149.475665
2015-11-13,148.520004,149.759995,148.00,148.679993,696700,147.384055
2015-11-12,150.809998,151.929993,148.360001,148.429993,924800,147.136235
2015-11-11,152.289993,153.25,151.880005,151.960007,672700,150.63548
2015-11-10,152.259995,152.75,151.75,152.110001,714100,150.784166
2015-11-09,152.520004,152.759995,151.330002,152.410004,811100,151.081555
2015-11-06,151.660004,152.850006,151.529999,152.50,950100,151.170767
2015-11-05,151.50,152.580002,151.100006,152.240005,1156200,150.913038
2015-11-04,151.00,151.889999,149.009995,151.009995,1480600,149.693748
2015-11-03,144.509995,146.699997,143.830002,146.630005,1272200,145.351936
2015-11-02,143.470001,145.050003,143.059998,144.809998,1064200,143.547792
2015-10-30,143.130005,143.990005,142.520004,142.520004,1097800,141.277759
2015-10-29,142.00,143.759995,142.00,143.229996,805800,141.981562
2015-10-28,141.059998,141.979996,139.320007,141.970001,749700,140.73255
2015-10-27,139.839996,141.070007,139.820007,140.75,506600,139.523183
2015-10-26,140.139999,140.470001,139.279999,139.899994,747800,138.680586
2015-10-23,138.940002,141.240005,137.899994,140.220001,1251800,138.997804
2015-10-22,140.320007,141.160004,137.639999,138.449997,923300,137.243227
2015-10-21,140.520004,140.759995,138.110001,139.759995,736500,138.541807
2015-10-20,139.300003,140.539993,139.300003,139.759995,611300,138.541807
2015-10-19,139.399994,140.089996,138.830002,139.949997,465200,138.730153
2015-10-16,137.850006,139.649994,137.190002,139.559998,717800,138.343553
2015-10-15,136.580002,137.089996,135.490005,137.070007,971800,135.875266
2015-10-14,136.779999,137.809998,135.580002,135.759995,567800,134.576672
2015-10-13,137.580002,138.490005,136.619995,136.910004,523000,135.716657
2015-10-12,137.509995,138.949997,137.270004,138.460007,428700,137.25315
2015-10-09,137.100006,138.25,136.850006,137.759995,693600,136.559239
2015-10-08,136.889999,137.320007,135.119995,137.119995,682800,135.924818
2015-10-07,135.50,137.270004,134.169998,137.240005,1059300,136.043782
2015-10-06,136.789993,136.899994,132.929993,134.589996,1442500,133.416872
2015-10-05,136.320007,137.300003,135.850006,136.990005,1359700,135.795962
2015-10-02,130.949997,135.449997,130.199997,135.369995,1464800,134.190072
2015-10-01,132.490005,132.830002,130.220001,132.190002,1314800,131.037797
2015-09-30,132.279999,133.669998,131.399994,132.660004,1004400,131.503701
2015-09-29,129.899994,131.800003,128.949997,130.889999,1451300,129.749125
2015-09-28,135.279999,135.440002,128.869995,130.399994,2084300,129.26339
2015-09-25,139.229996,140.460007,135.410004,136.149994,1111500,134.963272
2015-09-24,138.229996,139.110001,137.690002,138.839996,1237100,137.629827
2015-09-23,138.059998,139.449997,137.470001,139.279999,1035700,138.065995
2015-09-22,137.639999,138.50,137.050003,138.259995,778200,137.054881
2015-09-21,139.070007,140.279999,138.50,139.110001,1045300,137.897478
2015-09-18,138.589996,139.389999,138.119995,138.330002,2085400,137.124278
2015-09-17,138.809998,141.330002,138.649994,139.800003,1080500,138.581466
2015-09-16,137.50,139.160004,137.139999,138.869995,943700,137.659565
2015-09-15,136.399994,137.820007,135.979996,137.179993,564400,135.984293
2015-09-14,136.179993,136.389999,135.240005,136.259995,1148300,135.072314
2015-09-11,134.970001,136.779999,134.320007,135.979996,968800,134.794755
2015-09-10,136.089996,136.539993,134.800003,135.199997,1115900,134.021555
2015-09-09,139.220001,139.979996,135.630005,135.899994,838800,134.715451
2015-09-08,135.75,138.029999,135.259995,138.020004,1382800,136.816983
2015-09-04,135.419998,135.979996,133.179993,134.320007,1176600,133.149236
2015-09-03,137.00,138.229996,136.020004,136.529999,1025500,134.745187
2015-09-02,136.229996,137.00,134.729996,136.720001,1170500,134.932706
2015-09-01,138.50,139.229996,134.289993,134.889999,1791700,133.126627
2015-08-31,142.720001,143.630005,140.389999,141.020004,1009100,139.176496
2015-08-28,142.429993,143.110001,141.529999,142.830002,841100,140.962832
2015-08-27,141.160004,143.039993,140.490005,142.949997,1193300,141.081259
2015-08-26,139.759995,140.330002,136.75,139.940002,1531000,138.110613
2015-08-25,141.070007,141.880005,137.619995,137.619995,2213200,135.820934
2015-08-24,138.470001,138.470001,133.50,138.199997,2918600,136.393354
2015-08-21,142.779999,143.919998,141.880005,141.919998,1797900,140.064725
2015-08-20,145.660004,145.789993,143.520004,143.580002,1572700,141.703028
2015-08-19,146.580002,147.389999,145.160004,146.509995,1017500,144.594718
2015-08-18,148.100006,148.470001,146.710007,147.080002,945900,145.157274
2015-08-17,147.649994,148.649994,147.00,148.600006,616900,146.657407
2015-08-14,147.410004,148.490005,146.910004,148.270004,663700,146.33172
2015-08-13,147.779999,148.289993,146.75,147.600006,734400,145.67048
2015-08-12,148.289993,148.300003,145.710007,147.929993,1628900,145.996153
2015-08-11,149.149994,149.889999,147.259995,148.600006,1155200,146.657407
