Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,41.799999,42.580002,40.240002,41.470001,7146100,41.470001
2016-04-01,42.950001,44.02,42.669998,42.950001,3028800,42.950001
2016-03-31,43.32,44.040001,43.189999,43.830002,2114300,43.830002
2016-03-30,43.27,44.32,42.619999,43.369999,3764400,43.369999
2016-03-29,43.330002,43.43,42.330002,42.720001,2888600,42.720001
2016-03-28,44.82,44.93,43.57,43.869999,1845900,43.869999
2016-03-24,44.27,44.849998,43.759998,44.68,2644300,44.68
2016-03-23,46.23,46.599998,44.919998,44.959999,1894000,44.959999
2016-03-22,46.540001,47.169998,46.18,46.43,2474200,46.43
2016-03-21,47.130001,47.59,46.450001,47.040001,2499700,47.040001
2016-03-18,47.279999,47.470001,46.610001,47.439999,5365200,47.439999
2016-03-17,46.27,47.049999,45.740002,46.810001,3688200,46.810001
2016-03-16,44.650002,46.009998,44.310001,45.900002,4051400,45.900002
2016-03-15,43.279999,44.220001,42.759998,44.209999,2136600,44.209999
2016-03-14,44.93,45.419998,43.389999,43.880001,3872600,43.880001
2016-03-11,44.25,46.00,43.880001,45.790001,3679500,45.790001
2016-03-10,44.200001,44.610001,42.599998,43.529999,2273500,43.529999
2016-03-09,44.759998,45.299999,43.669998,44.310001,3295000,44.310001
2016-03-08,46.25,46.459999,43.869999,44.049999,3886600,44.049999
2016-03-07,45.779999,47.52,45.66,46.580002,4994200,46.580002
2016-03-04,46.669998,47.450001,45.529999,46.200001,3414500,46.200001
2016-03-03,45.139999,46.990002,45.139999,46.549999,3166100,46.549999
2016-03-02,44.23,45.509998,43.09,45.41,3298600,45.41
2016-03-01,43.290001,44.470001,43.16,44.259998,3002500,44.259998
2016-02-29,44.169998,44.529999,42.23,42.869999,3488400,42.869999
2016-02-26,44.099998,45.189999,43.759998,44.25,2425300,44.08
2016-02-25,41.830002,43.779999,41.50,43.25,3071600,43.083841
2016-02-24,41.639999,42.279999,41.200001,41.91,1873300,41.748989
2016-02-23,43.490002,43.709999,42.360001,42.490002,3534300,42.326763
2016-02-22,43.119999,43.720001,42.77,43.490002,2629100,43.322921
2016-02-19,42.130001,42.25,41.299999,42.139999,2585900,41.978105
2016-02-18,43.060001,43.330002,41.830002,41.990002,1830300,41.828684
2016-02-17,41.82,42.93,41.470001,42.490002,2398200,42.326763
2016-02-16,40.689999,41.470001,40.259998,41.200001,4099100,41.041718
2016-02-12,40.400002,40.790001,39.400002,39.900002,4239400,39.746713
2016-02-11,40.400002,40.990002,39.110001,39.779999,3393600,39.627171
2016-02-10,41.75,42.32,41.220001,41.509998,3310000,41.350524
2016-02-09,42.23,42.900002,41.59,41.75,5533500,41.589604
2016-02-08,43.130001,43.599998,42.220001,42.82,6173600,42.655493
2016-02-05,43.75,45.09,42.650002,44.849998,4157300,44.677693
2016-02-04,44.98,45.849998,43.91,44.240002,2297200,44.07004
2016-02-03,42.720001,44.459999,41.959999,44.41,2771700,44.239385
2016-02-02,42.200001,42.50,41.779999,42.00,1739100,41.838644
2016-02-01,42.560001,43.650002,42.060001,43.290001,2744300,43.123689
2016-01-29,43.299999,44.16,42.549999,43.509998,4162700,43.342841
2016-01-28,42.00,43.290001,41.560001,43.119999,2857400,42.95434
2016-01-27,39.849998,41.880001,39.740002,40.830002,2722500,40.67314
2016-01-26,40.299999,40.59,39.389999,39.970001,2590600,39.816444
2016-01-25,41.259998,41.77,39.119999,39.18,2800500,39.029478
2016-01-22,42.52,42.950001,40.66,42.040001,2047900,41.878491
2016-01-21,38.77,41.330002,38.50,40.73,3398100,40.573522
2016-01-20,39.00,39.34,37.580002,38.880001,3123800,38.730631
2016-01-19,40.110001,40.869999,39.259998,39.790001,3032300,39.637135
2016-01-15,39.48,40.220001,38.990002,39.889999,2455800,39.736749
2016-01-14,39.450001,41.549999,38.619999,41.169998,2356700,41.011831
2016-01-13,41.799999,42.189999,38.650002,39.25,4142400,39.099209
2016-01-12,42.200001,42.25,40.130001,41.040001,2517200,40.882333
2016-01-11,41.639999,42.27,40.77,41.509998,4344300,41.350524
2016-01-08,42.889999,43.009998,41.380001,41.580002,1905000,41.420259
2016-01-07,42.57,43.830002,42.32,42.52,3202200,42.356646
2016-01-06,44.48,45.50,43.549999,43.650002,4854900,43.482306
2016-01-05,47.189999,47.880001,45.560001,45.919998,2560500,45.743582
2016-01-04,45.849998,47.43,45.560001,47.25,2987400,47.068474
2015-12-31,45.380001,46.400002,45.32,46.150002,1341200,45.972702
2015-12-30,45.950001,46.82,45.740002,45.759998,1481900,45.584197
2015-12-29,46.91,47.040001,45.799999,46.490002,1181700,46.311396
2015-12-28,46.84,47.330002,45.619999,45.689999,2338800,45.514466
2015-12-24,47.68,48.599998,47.060001,47.720001,1498000,47.53667
2015-12-23,45.990002,47.66,45.849998,47.630001,3402600,47.447015
2015-12-22,44.099998,45.41,43.93,45.169998,2274000,44.996463
2015-12-21,44.220001,44.389999,43.169998,43.759998,3074900,43.59188
2015-12-18,43.240002,44.50,42.779999,43.919998,9370900,43.751266
2015-12-17,44.880001,45.41,43.330002,43.360001,6107300,43.193419
2015-12-16,46.439999,46.939999,44.669998,44.759998,8231400,44.588039
2015-12-15,47.66,49.759998,46.07,46.50,10739900,46.321355
2015-12-14,45.23,47.169998,43.00,46.779999,12964200,46.600279
2015-12-11,50.919998,51.279999,47.029999,47.799999,8541700,47.61636
2015-12-10,52.759998,53.490002,51.349998,51.68,7793900,51.481455
2015-12-09,49.50,53.470001,49.50,53.029999,7452000,52.826267
2015-12-08,49.009998,51.18,48.509998,49.369999,3161300,49.180328
2015-12-07,51.470001,51.790001,48.799999,49.860001,6474300,49.668448
2015-12-04,51.919998,52.82,51.099998,52.619999,3876900,52.417843
2015-12-03,54.639999,54.880001,52.27,52.619999,5601000,52.417843
2015-12-02,54.279999,55.240002,53.279999,53.849998,4845300,53.643117
2015-12-01,53.830002,54.84,53.150002,54.759998,3262400,54.54962
2015-11-30,53.060001,55.189999,52.810001,54.07,3900300,53.692926
2015-11-27,52.080002,52.939999,51.810001,52.779999,981200,52.411921
2015-11-25,52.82,53.200001,52.360001,52.50,1614400,52.133875
2015-11-24,51.630001,53.689999,51.470001,53.09,2950500,52.719761
2015-11-23,50.82,51.490002,50.459999,51.419998,2277800,51.061405
2015-11-20,50.869999,51.150002,49.630001,51.009998,4404600,50.654265
2015-11-19,51.27,51.48,50.400002,50.869999,2832600,50.515242
2015-11-18,49.970001,51.84,49.939999,51.68,5667200,51.319594
2015-11-17,49.41,49.790001,48.759998,49.470001,3150100,49.125007
2015-11-16,47.57,49.889999,47.57,49.389999,4510200,49.045563
2015-11-13,48.00,48.389999,46.84,47.66,3366400,47.327628
2015-11-12,48.169998,49.759998,47.759998,48.139999,6345100,47.804281
2015-11-11,49.950001,49.950001,47.709999,49.00,3384400,48.658284
2015-11-10,51.32,51.48,49.73,49.830002,4165600,49.482497
2015-11-09,51.950001,51.970001,50.27,51.66,2399300,51.299733
2015-11-06,49.490002,52.150002,49.130001,52.080002,3944700,51.716806
2015-11-05,51.310001,51.619999,49.599998,49.880001,8398300,49.532148
2015-11-04,54.240002,54.27,50.700001,51.560001,5678000,51.200432
2015-11-03,53.709999,54.759998,53.240002,54.459999,3967000,54.080206
2015-11-02,52.700001,53.470001,51.810001,53.290001,3681900,52.918367
2015-10-30,52.810001,53.380001,52.060001,52.68,2404200,52.31262
2015-10-29,52.740002,53.330002,52.110001,52.59,1528000,52.223248
2015-10-28,52.09,53.540001,51.610001,52.799999,2275300,52.431782
2015-10-27,51.630001,53.09,51.400002,51.50,4670600,51.140849
2015-10-26,53.779999,53.91,52.299999,52.459999,2931200,52.094153
2015-10-23,55.060001,55.400002,52.049999,53.93,3389600,53.553903
2015-10-22,54.970001,56.169998,54.970001,55.59,4318400,55.202326
2015-10-21,52.950001,55.110001,52.950001,54.41,3866100,54.030555
2015-10-20,53.279999,53.889999,52.970001,53.169998,3546200,52.799201
2015-10-19,53.25,54.009998,52.900002,53.330002,3513800,52.958089
2015-10-16,56.810001,56.810001,53.34,53.830002,5420500,53.454602
2015-10-15,55.049999,56.209999,54.209999,56.189999,2558400,55.798141
2015-10-14,55.049999,55.419998,54.540001,55.009998,2087000,54.626369
2015-10-13,55.32,56.389999,54.75,55.02,1832400,54.636302
2015-10-12,56.580002,56.689999,55.009998,55.68,1444500,55.291699
2015-10-09,57.50,57.869999,55.939999,56.439999,2140500,56.046397
2015-10-08,56.68,57.43,55.439999,57.330002,1778900,56.930194
2015-10-07,56.130001,58.23,55.939999,56.68,3471000,56.284725
2015-10-06,55.00,56.389999,54.27,55.310001,3408900,54.92428
2015-10-05,54.049999,54.91,53.57,54.630001,3212800,54.249022
2015-10-02,50.669998,53.349998,50.580002,53.349998,3167100,52.977946
2015-10-01,52.630001,52.970001,50.529999,51.18,2681500,50.823081
2015-09-30,50.849998,52.139999,50.82,52.040001,4118900,51.677084
2015-09-29,51.009998,51.560001,49.970001,50.470001,2423000,50.118033
2015-09-28,51.939999,52.09,50.459999,50.50,3266400,50.147823
2015-09-25,53.759998,53.849998,51.970001,52.50,2630200,52.133875
2015-09-24,53.310001,53.990002,53.00,53.209999,3452900,52.838923
2015-09-23,54.619999,54.619999,53.720001,54.00,1725800,53.623415
2015-09-22,53.310001,54.970001,53.02,54.290001,3932700,53.911393
2015-09-21,54.299999,55.029999,53.48,54.73,5218400,54.348323
2015-09-18,54.189999,54.450001,53.16,53.470001,4364500,53.097112
2015-09-17,55.57,56.139999,55.009998,55.290001,2220100,54.904419
2015-09-16,53.669998,55.779999,53.57,55.66,2543200,55.271838
