Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,45.189999,45.50,44.349998,45.169998,769500,45.169998
2016-04-01,45.290001,45.66,45.119999,45.200001,869300,45.200001
2016-03-31,45.360001,45.720001,44.66,45.290001,705800,45.290001
2016-03-30,45.540001,45.669998,45.23,45.41,595800,45.41
2016-03-29,45.290001,45.580002,44.84,45.41,601700,45.41
2016-03-28,44.27,45.50,44.049999,45.119999,705800,45.119999
2016-03-24,43.509998,44.540001,43.240002,44.220001,768400,44.220001
2016-03-23,44.689999,44.689999,43.459999,43.779999,882000,43.779999
2016-03-22,45.040001,45.330002,44.439999,44.799999,771300,44.799999
2016-03-21,44.48,45.299999,44.380001,45.23,718200,45.23
2016-03-18,44.73,45.23,44.349998,44.650002,944700,44.650002
2016-03-17,43.779999,44.889999,43.330002,44.77,842800,44.77
2016-03-16,43.09,44.139999,43.040001,43.860001,909000,43.860001
2016-03-15,44.709999,44.939999,43.98,44.119999,700700,43.91
2016-03-14,45.91,46.009998,44.43,44.889999,927400,44.676335
2016-03-11,45.860001,46.07,45.50,45.610001,759700,45.392909
2016-03-10,45.470001,45.919998,44.470001,45.650002,1091900,45.43272
2016-03-09,44.779999,45.029999,44.16,44.869999,574300,44.65643
2016-03-08,45.630001,45.91,44.50,44.580002,912700,44.367813
2016-03-07,43.09,46.130001,42.459999,45.50,2258700,45.283432
2016-03-04,42.400002,43.970001,42.400002,42.900002,1794600,42.695809
2016-03-03,41.25,42.02,41.23,41.889999,1378900,41.690614
2016-03-02,41.509998,41.66,40.889999,41.599998,682600,41.401994
2016-03-01,40.369999,41.720001,40.029999,41.709999,940200,41.511471
2016-02-29,40.27,40.869999,40.110001,40.450001,543100,40.25747
2016-02-26,39.93,40.450001,39.720001,40.330002,515300,40.138042
2016-02-25,40.040001,40.060001,39.279999,39.84,647100,39.650373
2016-02-24,38.540001,39.919998,38.360001,39.790001,723700,39.600611
2016-02-23,38.529999,38.98,38.00,38.68,753700,38.495894
2016-02-22,37.560001,38.279999,37.450001,38.110001,662600,37.928607
2016-02-19,37.77,37.93,37.139999,37.75,723500,37.57032
2016-02-18,37.360001,38.259998,36.439999,38.02,1193100,37.839036
2016-02-17,37.77,38.310001,37.439999,37.779999,893800,37.600176
2016-02-16,36.610001,37.889999,36.310001,37.619999,951500,37.440938
2016-02-12,36.369999,36.709999,35.900002,36.25,661000,36.07746
2016-02-11,36.25,36.810001,35.860001,36.189999,455700,36.017744
2016-02-10,36.580002,37.330002,36.369999,36.630001,497400,36.455652
2016-02-09,36.82,37.43,36.200001,36.34,676900,36.167032
2016-02-08,37.02,37.27,36.450001,37.139999,668600,36.963223
2016-02-05,37.700001,38.16,37.040001,37.34,739200,37.162272
2016-02-04,38.48,38.560001,37.009998,37.75,922200,37.57032
2016-02-03,39.389999,39.43,38.330002,39.02,821400,38.834276
2016-02-02,39.00,39.349998,38.720001,39.240002,746800,39.05323
2016-02-01,38.400002,39.220001,38.209999,39.200001,875400,39.013419
2016-01-29,37.450001,38.810001,37.450001,38.779999,585700,38.595416
