Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,2.34,2.40,2.24,2.25,2060400,2.25
2016-04-01,2.30,2.43,2.20,2.41,2134900,2.41
2016-03-31,2.60,2.60,2.32,2.32,1872000,2.32
2016-03-30,2.35,2.46,2.27,2.44,1931800,2.44
2016-03-29,2.39,2.54,2.26,2.35,3553300,2.35
2016-03-28,2.54,2.65,2.39,2.41,1716200,2.41
2016-03-24,2.32,2.79,2.29,2.56,2534900,2.56
2016-03-23,2.46,2.49,2.35,2.40,2105800,2.40
2016-03-22,2.50,2.70,2.32,2.66,1772600,2.66
2016-03-21,2.40,2.54,2.23,2.54,2518500,2.54
2016-03-18,2.29,2.52,2.25,2.50,5255200,2.50
2016-03-17,2.53,2.69,2.20,2.40,6475500,2.40
2016-03-16,2.14,2.49,2.00,2.19,11818800,2.19
2016-03-15,4.31,4.47,3.92,4.01,4850700,4.01
2016-03-14,6.09,6.25,4.16,4.48,10743600,4.48
2016-03-11,6.42,7.07,6.31,6.55,9407500,6.55
2016-03-10,5.85,7.13,5.46,6.39,14739900,6.39
2016-03-09,4.72,6.24,4.41,5.89,15995700,5.89
2016-03-08,4.59,4.83,4.05,4.54,4493900,4.54
2016-03-07,3.65,4.95,3.50,4.79,6512300,4.79
2016-03-04,3.30,4.10,3.06,3.39,8593100,3.39
2016-03-03,2.39,3.35,2.35,3.24,6184900,3.24
2016-03-02,2.47,2.47,2.34,2.44,2135400,2.44
2016-03-01,2.48,2.50,2.22,2.43,2078500,2.43
2016-02-29,2.29,2.46,2.26,2.44,3486100,2.44
2016-02-26,2.33,2.39,2.18,2.21,2395900,2.21
2016-02-25,2.31,2.37,2.17,2.31,1705500,2.31
2016-02-24,2.11,2.32,2.10,2.31,1565500,2.31
2016-02-23,2.19,2.25,2.02,2.11,1429800,2.11
2016-02-22,2.10,2.34,2.10,2.16,2283100,2.16
2016-02-19,2.22,2.37,2.01,2.04,1949900,2.04
2016-02-18,2.41,2.45,2.20,2.31,1847600,2.31
2016-02-17,2.25,2.64,2.20,2.49,1737200,2.49
2016-02-16,2.44,2.50,2.25,2.32,1324900,2.32
2016-02-12,2.42,2.57,2.27,2.43,1444400,2.43
2016-02-11,2.90,2.97,2.15,2.36,4019200,2.36
2016-02-10,4.30,4.43,3.28,3.36,2765000,3.36
2016-02-09,3.95,3.96,3.35,3.38,1067600,3.38
2016-02-08,4.14,4.25,3.86,3.91,774500,3.91
2016-02-05,4.55,4.66,4.13,4.24,759600,4.24
2016-02-04,4.11,4.64,4.11,4.59,1109000,4.59
2016-02-03,4.31,4.40,3.77,4.18,1030400,4.18
2016-02-02,4.44,4.44,4.10,4.25,845300,4.25
2016-02-01,4.53,4.74,4.14,4.55,1120200,4.55
2016-01-29,4.00,4.60,4.00,4.45,1725600,4.45
2016-01-28,4.26,4.26,3.80,4.00,913300,4.00
2016-01-27,4.05,4.38,3.84,4.00,1919900,4.00
2016-01-26,3.79,4.18,3.53,4.01,1738800,4.01
2016-01-25,3.66,4.30,3.61,3.73,2570800,3.73
2016-01-22,3.57,4.05,3.25,3.45,2511700,3.45
2016-01-21,3.32,3.72,3.14,3.38,2067900,3.38
2016-01-20,3.36,3.53,2.83,3.38,1529000,3.38
2016-01-19,3.98,4.04,3.44,3.47,1548500,3.47
2016-01-15,4.01,4.20,3.75,3.93,1373400,3.93
2016-01-14,4.18,4.65,3.99,4.21,1527000,4.21
2016-01-13,4.48,5.33,3.97,4.09,2049900,4.09
2016-01-12,5.23,5.23,4.31,4.48,2343500,4.48
2016-01-11,6.65,6.69,5.25,5.33,2384700,5.33
2016-01-08,6.65,6.82,6.62,6.67,667200,6.67
2016-01-07,7.12,7.16,6.50,6.66,1082800,6.66
2016-01-06,7.34,7.59,7.17,7.34,992300,7.34
2016-01-05,7.85,7.85,7.22,7.45,755100,7.45
2016-01-04,7.60,7.87,7.33,7.75,900500,7.75
2015-12-31,7.88,8.18,7.62,7.68,1057800,7.68
2015-12-30,7.85,8.22,7.82,8.03,742200,8.03
2015-12-29,8.53,8.56,7.90,8.17,723100,8.17
2015-12-28,9.57,9.57,8.11,8.24,1135000,8.24
2015-12-24,8.63,9.74,8.63,9.64,1004200,9.64
2015-12-23,8.59,9.12,8.44,8.65,1347900,8.65
2015-12-22,7.45,8.84,7.40,8.49,1594500,8.49
2015-12-21,7.66,8.00,7.40,7.41,997500,7.41
2015-12-18,7.48,7.86,7.41,7.64,2308400,7.64
2015-12-17,7.99,7.99,7.36,7.49,512000,7.49
2015-12-16,7.14,8.27,7.14,8.00,1249400,8.00
2015-12-15,7.21,7.95,7.06,7.15,1027400,7.15
2015-12-14,8.70,8.70,7.59,7.66,1136000,7.66
2015-12-11,9.40,9.41,8.75,8.82,585400,8.82
2015-12-10,9.46,9.71,9.24,9.27,642200,9.27
2015-12-09,9.90,10.25,9.04,9.24,956400,9.24
2015-12-08,9.43,10.11,9.05,10.09,669200,10.09
2015-12-07,9.97,10.24,9.51,9.71,970100,9.71
2015-12-04,10.74,10.83,10.00,10.09,650300,10.09
2015-12-03,10.95,11.10,10.29,10.75,909200,10.75
2015-12-02,10.94,11.68,10.81,11.04,772000,11.04
2015-12-01,11.33,11.56,10.88,11.10,545500,11.10
2015-11-30,10.71,11.53,10.50,11.40,795300,11.40
2015-11-27,11.23,11.26,10.71,10.96,490100,10.96
2015-11-25,11.74,12.00,11.16,11.28,1364300,11.28
2015-11-24,11.65,12.19,11.62,11.90,607700,11.90
2015-11-23,13.08,13.08,11.67,11.71,1042600,11.71
2015-11-20,11.14,11.74,11.00,11.29,715500,11.29
2015-11-19,12.69,12.72,11.65,11.84,1053600,11.84
2015-11-18,12.69,13.33,12.36,12.89,492100,12.89
2015-11-17,13.83,13.99,12.37,12.68,760200,12.68
2015-11-16,13.89,14.53,13.66,13.88,478500,13.88
2015-11-13,13.44,14.48,13.05,13.79,744700,13.79
2015-11-12,13.30,14.06,13.04,13.51,733800,13.51
2015-11-11,14.77,14.85,13.20,13.73,872000,13.73
2015-11-10,14.80,15.12,14.16,14.47,715500,14.47
2015-11-09,15.17,15.47,14.66,15.09,782400,15.09
2015-11-06,15.40,15.65,14.26,14.59,883700,14.59
2015-11-05,14.79,15.75,14.79,15.49,1109200,15.49
2015-11-04,14.35,15.25,14.35,14.60,1073500,14.60
2015-11-03,13.96,14.80,13.70,14.34,1122200,14.34
2015-11-02,12.73,14.48,12.50,13.68,1900000,13.68
2015-10-30,12.99,13.01,11.75,12.79,2559700,12.79
2015-10-29,17.27,17.27,13.18,13.19,3578400,13.19
2015-10-28,16.780001,18.209999,16.780001,17.379999,1238900,17.379999
2015-10-27,21.00,21.00,16.870001,16.93,2689900,16.93
2015-10-26,23.18,24.24,21.60,21.66,645300,21.66
2015-10-23,23.67,24.860001,22.85,23.309999,472600,23.309999
2015-10-22,24.15,24.59,22.879999,23.59,490300,23.59
2015-10-21,23.41,24.02,22.59,23.76,466700,23.76
2015-10-20,23.65,24.700001,22.950001,23.280001,574000,23.280001
2015-10-19,22.049999,24.26,22.00,24.00,689800,24.00
2015-10-16,23.530001,23.530001,21.51,22.700001,754300,22.700001
2015-10-15,21.190001,23.950001,21.09,23.58,618500,23.58
2015-10-14,21.200001,22.16,21.07,21.57,540500,21.57
2015-10-13,21.309999,22.35,20.82,21.049999,589000,21.049999
2015-10-12,25.129999,25.34,22.040001,22.450001,557800,22.450001
2015-10-09,24.60,27.32,24.049999,24.49,1224100,24.49
2015-10-08,23.049999,24.950001,22.25,24.00,842600,24.00
2015-10-07,27.90,28.00,22.75,22.98,2002000,22.98
2015-10-06,19.67,27.00,19.50,26.51,3224100,26.51
2015-10-05,18.950001,19.76,18.27,19.719999,744200,19.719999
2015-10-02,17.790001,18.799999,17.18,18.139999,1098500,18.139999
2015-10-01,19.450001,21.969999,16.889999,17.73,5509400,17.73
2015-09-30,1.270001,1.380001,1.250001,1.380001,661200,20.700011
2015-09-29,1.200001,1.290001,1.170001,1.260001,323400,18.900009
2015-09-28,1.220001,1.230001,1.150001,1.220001,299200,18.300008
2015-09-25,1.420001,1.440001,1.180001,1.220001,723200,18.300008
2015-09-24,1.120001,1.440001,1.090001,1.410001,1230400,21.15001
2015-09-23,1.210001,1.230001,1.110001,1.130001,548200,16.950009
2015-09-22,1.310001,1.430001,1.190001,1.190001,661400,17.850009
2015-09-21,1.480001,1.480001,1.350001,1.370001,441300,20.550009
2015-09-18,1.390001,1.410001,1.300001,1.410001,685600,21.15001
2015-09-17,1.470001,1.530001,1.370001,1.410001,767100,21.15001
2015-09-16,1.500001,1.640001,1.490001,1.580001,629500,23.700013
2015-09-15,1.560001,1.660001,1.500001,1.510001,704100,22.650011
2015-09-14,1.680001,1.710001,1.550001,1.590001,631700,23.850012
2015-09-11,1.730001,1.750001,1.650001,1.650001,483400,24.750012
2015-09-10,2.020001,2.020001,1.750001,1.780001,900300,26.700014
2015-09-09,2.360001,2.370001,2.000001,2.010001,983600,30.150015
2015-09-08,2.350001,2.400001,2.220001,2.250001,598900,33.750017
