Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,42.360001,42.700001,41.98,42.060001,14376300,42.060001
2016-04-01,41.52,42.599998,41.299999,42.470001,17734200,42.470001
2016-03-31,41.830002,42.34,41.59,41.75,15535600,41.75
2016-03-30,41.98,42.59,41.849998,41.880001,14722300,41.880001
2016-03-29,41.779999,41.779999,41.139999,41.720001,18089800,41.720001
2016-03-28,42.099998,42.18,41.68,41.919998,13016100,41.919998
2016-03-24,41.779999,41.939999,41.029999,41.939999,22711800,41.939999
2016-03-23,43.279999,43.50,42.279999,42.369999,23921800,42.369999
2016-03-22,43.27,43.630001,42.91,43.380001,14794700,43.380001
2016-03-21,43.43,44.259998,43.25,43.599998,16133900,43.599998
2016-03-18,43.43,43.970001,43.25,43.540001,30503500,43.540001
2016-03-17,41.990002,42.93,41.380001,42.849998,24224300,42.849998
2016-03-16,42.130001,43.049999,41.50,42.23,22724800,42.23
2016-03-15,42.259998,42.619999,41.970001,42.59,13665500,42.59
2016-03-14,42.66,42.91,42.209999,42.669998,15274300,42.669998
2016-03-11,42.27,43.009998,41.759998,42.990002,20944800,42.990002
2016-03-10,41.610001,42.150002,40.610001,41.369999,21054000,41.369999
2016-03-09,41.360001,41.43,40.630001,41.150002,18569600,41.150002
2016-03-08,42.150002,42.310001,40.990002,41.049999,26116900,41.049999
2016-03-07,42.360001,42.93,42.080002,42.610001,22045100,42.610001
2016-03-04,43.07,43.59,42.470001,42.830002,27897100,42.830002
2016-03-03,42.139999,42.869999,41.889999,42.830002,21749300,42.830002
2016-03-02,41.240002,42.25,41.09,42.220001,28383800,42.220001
2016-03-01,39.150002,41.290001,39.099998,41.27,30261000,41.27
2016-02-29,39.43,39.799999,38.849998,38.849998,21823400,38.849998
2016-02-26,39.060001,40.02,38.759998,39.50,23744600,39.50
2016-02-25,38.23,38.650002,38.009998,38.619999,19871300,38.619999
2016-02-24,37.439999,38.18,36.610001,38.09,25810300,38.09
2016-02-23,39.119999,39.189999,38.040001,38.220001,26093800,38.220001
2016-02-22,39.669998,39.970001,39.299999,39.52,21992400,39.52
2016-02-19,38.82,39.060001,38.060001,38.990002,22335900,38.990002
2016-02-18,39.93,39.990002,38.619999,38.919998,24088100,38.919998
2016-02-17,39.709999,40.290001,39.50,39.779999,29086800,39.779999
2016-02-16,38.59,39.220001,38.32,38.889999,30794800,38.889999
2016-02-12,36.029999,37.869999,35.98,37.540001,38061800,37.540001
2016-02-11,36.00,36.16,34.52,34.98,48723500,34.98
2016-02-10,38.50,39.09,37.380001,37.41,33330200,37.41
2016-02-09,36.93,38.07,36.68,37.509998,39412700,37.509998
2016-02-08,39.139999,39.18,37.18,37.810001,35165100,37.810001
2016-02-05,41.02,41.439999,39.549999,39.860001,23521700,39.860001
2016-02-04,40.110001,41.57,40.049999,40.790001,26732600,40.790001
2016-02-03,40.650002,40.709999,38.040001,40.360001,43662900,40.360001
2016-02-02,41.860001,41.860001,40.279999,40.419998,31246900,40.419998
2016-02-01,42.360001,42.830002,42.00,42.48,22023600,42.48
2016-01-29,40.799999,42.59,40.779999,42.580002,35858400,42.580002
2016-01-28,41.200001,41.389999,40.07,40.389999,23181500,40.389999
2016-01-27,40.369999,41.689999,40.23,40.560001,28274800,40.510001
2016-01-26,39.599998,40.790001,39.50,40.50,23508400,40.450074
2016-01-25,40.810001,40.959999,39.450001,39.549999,31924000,39.501244
2016-01-22,41.049999,41.349998,40.82,41.060001,30187200,41.009385
2016-01-21,40.509998,41.389999,40.029999,40.150002,34976700,40.100507
2016-01-20,40.52,41.029999,39.439999,40.490002,49905400,40.440088
2016-01-19,42.849998,43.119999,41.66,41.939999,39032700,41.888297
2016-01-15,42.509998,43.689999,41.849998,42.470001,52452600,42.417647
2016-01-14,45.419998,45.82,44.57,45.380001,30129500,45.324059
2016-01-13,47.32,47.349998,44.970001,45.189999,27925800,45.134291
2016-01-12,47.50,47.50,46.27,46.880001,26310000,46.82221
2016-01-11,46.560001,46.990002,45.93,46.849998,26284600,46.792244
2016-01-08,48.73,48.740002,46.029999,46.130001,30643000,46.073135
2016-01-07,49.07,49.380001,47.50,47.560001,37902900,47.501372
2016-01-06,50.099998,50.580002,49.759998,50.119999,22501800,50.058214
2016-01-05,51.540001,51.610001,50.41,50.860001,17444900,50.797303
2016-01-04,50.75,51.189999,50.189999,51.130001,23440200,51.066971
2015-12-31,52.07,52.389999,51.75,51.75,11281800,51.686206
2015-12-30,52.84,52.939999,52.25,52.299999,8763300,52.235527
2015-12-29,52.759998,53.220001,52.740002,52.98,10155100,52.914689
2015-12-28,52.57,52.57,51.959999,52.380001,8761700,52.31543
2015-12-24,52.48,52.970001,52.450001,52.709999,4671200,52.645021
2015-12-23,52.299999,52.639999,52.080002,52.630001,14950200,52.565122
2015-12-22,51.990002,52.130001,51.389999,52.009998,13241300,51.945883
2015-12-21,51.709999,51.91,51.080002,51.790001,16929000,51.726157
2015-12-18,52.459999,52.68,51.16,51.209999,25509600,51.14687
2015-12-17,54.009998,54.200001,52.709999,52.84,17179600,52.774862
2015-12-16,53.040001,54.009998,52.299999,53.900002,26044800,53.833557
2015-12-15,51.849998,52.799999,51.849998,52.52,21630200,52.455257
2015-12-14,51.139999,51.73,50.50,51.099998,21586800,51.037005
2015-12-11,51.939999,52.209999,50.669998,51.110001,24093500,51.046995
2015-12-10,52.889999,53.240002,52.169998,52.650002,16333800,52.585098
2015-12-09,53.049999,53.810001,52.310001,52.810001,19903700,52.7449
2015-12-08,53.84,54.009998,53.18,53.389999,14785500,53.324183
2015-12-07,54.77,54.880001,53.91,54.400002,15077300,54.33294
2015-12-04,53.66,55.330002,53.52,55.09,21464100,55.022088
2015-12-03,54.419998,54.599998,53.349998,53.509998,19750000,53.444034
2015-12-02,54.990002,55.02,54.029999,54.139999,15288800,54.073259
2015-12-01,54.400002,54.91,54.25,54.880001,11856000,54.812348
2015-11-30,54.34,54.459999,53.970001,54.09,14603100,54.023321
2015-11-27,54.060001,54.369999,53.720001,54.209999,5483300,54.143172
2015-11-25,54.290001,54.330002,53.759998,54.080002,9859400,54.013335
2015-11-24,53.810001,54.509998,53.709999,54.18,12950900,54.11321
2015-11-23,54.669998,54.84,54.150002,54.279999,14547100,54.213085
2015-11-20,55.369999,55.369999,54.549999,54.75,14896000,54.682507
2015-11-19,54.880001,55.299999,54.740002,55.060001,11997500,54.992127
2015-11-18,53.849998,55.029999,53.759998,54.98,19100300,54.912223
2015-11-17,53.889999,54.220001,53.23,53.490002,14845300,53.424062
2015-11-16,52.959999,53.689999,52.490002,53.689999,14896600,53.623813
2015-11-13,53.169998,53.580002,52.669998,53.169998,16828800,53.104453
2015-11-12,54.52,54.52,53.450001,53.459999,17735000,53.394097
2015-11-11,56.119999,56.139999,54.779999,54.900002,15834000,54.832324
2015-11-10,55.529999,56.169998,55.00,55.799999,17657400,55.731212
2015-11-09,55.919998,56.189999,55.07,55.709999,19921800,55.641323
2015-11-06,55.77,56.459999,55.490002,55.869999,21654400,55.801126
2015-11-05,53.779999,54.400002,53.75,54.150002,13632500,54.083248
2015-11-04,54.369999,54.50,53.66,53.830002,16985200,53.763643
2015-11-03,53.560001,54.389999,53.52,54.16,13518300,54.093234
2015-11-02,53.450001,54.049999,53.34,53.830002,11999700,53.763643
2015-10-30,53.75,53.82,52.93,53.169998,18430200,53.104453
2015-10-29,54.50,55.060001,53.619999,53.66,23153900,53.593851
2015-10-28,52.860001,54.959999,52.709999,54.73,23403900,54.612594
2015-10-27,52.709999,52.91,52.240002,52.610001,13232400,52.497143
2015-10-26,53.23,53.59,52.75,53.110001,14530700,52.996071
2015-10-23,53.00,53.669998,52.950001,53.639999,19927100,53.524932
2015-10-22,52.18,52.869999,52.150002,52.509998,22320500,52.397355
2015-10-21,52.990002,53.16,51.790001,51.810001,15577800,51.69886
2015-10-20,52.860001,53.200001,52.599998,52.84,11195800,52.726649
2015-10-19,52.360001,53.18,52.330002,52.860001,13616200,52.746607
2015-10-16,53.34,53.360001,52.57,52.689999,17529400,52.57697
2015-10-15,51.830002,53.18,51.119999,52.970001,31023100,52.856372
2015-10-14,51.07,51.220001,50.380001,50.720001,22288000,50.611198
2015-10-13,50.849998,51.709999,50.830002,51.209999,13337900,51.100145
2015-10-12,51.360001,51.490002,50.880001,51.279999,11187000,51.169994
2015-10-09,51.82,52.02,50.93,51.380001,14341200,51.269782
2015-10-08,51.09,51.84,50.75,51.650002,16903000,51.539203
2015-10-07,51.48,51.849998,50.889999,51.32,16572000,51.20991
2015-10-06,51.049999,51.50,50.830002,51.060001,12602100,50.950469
2015-10-05,50.400002,51.34,50.34,51.16,14881200,51.050253
2015-10-02,48.509998,49.880001,47.709999,49.880001,27320900,49.773
2015-10-01,49.419998,50.00,49.220001,49.889999,16291000,49.782977
2015-09-30,49.810001,49.84,48.900002,49.610001,17629000,49.503579
2015-09-29,49.049999,49.450001,48.470001,49.00,16485000,48.894887
2015-09-28,50.630001,50.700001,48.950001,49.029999,21919800,48.924821
2015-09-25,50.169998,50.720001,49.869999,50.549999,22341800,50.441561
2015-09-24,49.66,49.75,48.75,49.130001,32241000,49.024609
2015-09-23,50.400002,50.650002,49.950001,50.119999,13680200,50.012483
2015-09-22,49.950001,50.450001,49.860001,50.380001,19610600,50.271927
2015-09-21,50.82,51.099998,50.360001,50.709999,14936600,50.601217
2015-09-18,50.700001,50.84,50.110001,50.290001,33404600,50.18212
2015-09-17,52.610001,53.00,51.380001,51.650002,24075200,51.539203
2015-09-16,52.259998,52.709999,51.790001,52.59,17369500,52.477186
2015-09-15,51.18,52.290001,51.060001,52.00,17858900,51.888451
2015-09-14,51.080002,51.18,50.68,50.98,11427000,50.870639
2015-09-11,51.009998,51.150002,50.630001,51.099998,12001800,50.99038
2015-09-10,50.560001,51.50,50.290001,51.07,17467000,50.960446
2015-09-09,52.400002,52.619999,50.73,50.880001,16930900,50.770855
2015-09-08,51.400002,51.880001,51.02,51.650002,17160200,51.539203
2015-09-04,51.130001,51.299999,50.119999,50.59,19054500,50.481476
2015-09-03,51.959999,52.709999,51.59,51.790001,15708700,51.678902
2015-09-02,51.810001,52.029999,50.990002,51.75,17515800,51.638987
2015-09-01,52.400002,52.400002,50.290001,50.939999,28621600,50.830724
2015-08-31,53.130001,53.66,52.720001,53.48,20629000,53.365276
2015-08-28,53.09,53.560001,52.82,53.279999,17205400,53.165704
2015-08-27,53.189999,53.619999,52.349998,53.439999,26467300,53.325361
2015-08-26,51.41,52.380001,50.25,52.279999,30721900,52.167849
2015-08-25,52.700001,52.75,49.880001,49.880001,27809200,49.773
2015-08-24,49.130001,52.529999,47.099998,50.34,37767000,50.232012
2015-08-21,54.400002,55.049999,53.580002,53.599998,33437500,53.485017
2015-08-20,56.029999,56.310001,55.330002,55.330002,28455500,55.21131
2015-08-19,57.18,57.52,56.560001,57.00,17673200,56.877725
2015-08-18,57.669998,57.919998,57.400002,57.549999,11593200,57.426545
2015-08-17,57.16,57.849998,56.990002,57.77,11139200,57.646074
2015-08-14,57.18,57.720001,57.18,57.59,8864000,57.46646
2015-08-13,57.029999,57.599998,56.50,57.330002,15837900,57.207019
2015-08-12,56.939999,57.240002,55.310001,56.91,27428700,56.787918
