Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,45.299999,45.450001,44.740002,45.41,3285600,45.41
2016-04-01,44.330002,45.84,44.209999,45.759998,3929500,45.759998
2016-03-31,44.860001,45.029999,44.50,44.619999,3082200,44.619999
2016-03-30,44.689999,45.209999,44.459999,44.950001,2701400,44.950001
2016-03-29,44.330002,44.66,44.209999,44.439999,2281000,44.439999
2016-03-28,44.060001,44.43,43.799999,44.279999,2853300,44.279999
2016-03-24,43.700001,44.349998,43.389999,44.07,4792600,44.07
2016-03-23,42.869999,43.34,42.599998,43.310001,3462700,43.310001
2016-03-22,43.029999,43.130001,42.709999,42.939999,2863500,42.939999
2016-03-21,43.110001,43.50,42.939999,43.139999,2058300,43.139999
2016-03-18,43.720001,43.77,43.029999,43.259998,5643100,43.259998
2016-03-17,44.00,44.139999,43.57,43.669998,2538700,43.669998
2016-03-16,43.849998,44.009998,43.360001,43.91,2640200,43.91
2016-03-15,43.59,44.27,43.490002,44.09,2804100,44.09
2016-03-14,43.59,43.91,43.50,43.77,1829300,43.77
2016-03-11,43.68,43.889999,43.389999,43.860001,2084500,43.860001
2016-03-10,43.299999,43.66,43.139999,43.400002,2461100,43.400002
2016-03-09,43.00,43.290001,42.790001,43.25,1894900,43.25
2016-03-08,42.59,43.060001,42.549999,42.779999,1894600,42.779999
2016-03-07,42.959999,43.169998,42.650002,42.84,2599900,42.84
2016-03-04,43.09,43.490002,43.029999,43.299999,2357400,43.299999
2016-03-03,42.619999,43.110001,42.450001,43.09,2185600,43.09
2016-03-02,42.419998,42.82,42.119999,42.759998,1972900,42.759998
2016-03-01,42.34,42.630001,42.080002,42.509998,2334800,42.509998
2016-02-29,42.009998,42.450001,42.00,42.060001,2103700,42.060001
2016-02-26,42.799999,43.029999,42.009998,42.080002,1706000,42.080002
2016-02-25,42.099998,42.50,41.939999,42.48,2350900,42.48
2016-02-24,41.639999,42.02,41.27,41.98,1707400,41.98
2016-02-23,41.77,42.09,41.75,41.919998,1527600,41.919998
2016-02-22,41.84,42.150002,41.650002,41.91,2426800,41.91
2016-02-19,41.639999,41.91,41.16,41.84,2204500,41.84
2016-02-18,41.720001,42.00,41.400002,41.759998,1694100,41.759998
2016-02-17,42.00,42.139999,41.700001,41.700001,2626100,41.700001
2016-02-16,41.799999,41.98,41.189999,41.77,3203700,41.77
2016-02-12,41.450001,41.720001,41.080002,41.599998,3913800,41.599998
2016-02-11,39.650002,40.50,39.50,40.259998,2861800,40.259998
2016-02-10,39.77,40.630001,39.599998,40.240002,2854400,40.240002
2016-02-09,38.830002,40.00,38.68,39.700001,3510900,39.700001
2016-02-08,39.110001,39.32,38.240002,39.130001,3756200,39.130001
2016-02-05,40.080002,40.50,39.240002,39.389999,3046100,39.389999
2016-02-04,40.939999,41.07,39.810001,40.029999,3566100,40.029999
2016-02-03,40.990002,41.23,40.360001,41.130001,2910900,41.130001
2016-02-02,41.490002,41.610001,40.849998,40.91,2852200,40.91
2016-02-01,41.52,42.139999,41.360001,41.98,3709400,41.98
2016-01-29,40.630001,41.810001,40.560001,41.639999,5461500,41.639999
2016-01-28,39.48,40.52,39.259998,40.110001,2742900,40.110001
2016-01-27,39.34,40.049999,38.98,39.34,2441200,39.34
2016-01-26,39.259998,39.830002,39.029999,39.50,2109200,39.25
2016-01-25,39.900002,40.00,38.919998,39.080002,4131300,38.83266
2016-01-22,39.669998,40.330002,39.400002,40.25,3257600,39.995253
2016-01-21,39.25,39.419998,38.68,39.25,3774700,39.001582
2016-01-20,38.470001,38.91,37.970001,38.700001,3713400,38.455064
2016-01-19,39.25,39.41,38.720001,38.869999,4538400,38.623986
