Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,55.299999,55.650002,54.720001,54.82,2967600,54.82
2016-04-01,54.599998,55.400002,54.290001,55.169998,4086300,55.169998
2016-03-31,54.689999,55.380001,54.689999,55.09,4459000,55.09
2016-03-30,55.130001,55.16,54.060001,54.610001,4020100,54.610001
2016-03-29,54.220001,55.029999,54.02,54.900002,3170900,54.900002
2016-03-28,54.25,55.00,54.00,54.610001,2981100,54.610001
2016-03-24,53.00,54.18,52.75,54.060001,2784100,54.060001
2016-03-23,53.849998,53.939999,53.279999,53.50,2634900,53.50
2016-03-22,53.759998,54.290001,53.299999,53.860001,2890100,53.860001
2016-03-21,54.619999,54.77,53.43,54.02,4073600,54.02
2016-03-18,54.490002,54.779999,54.049999,54.709999,5892900,54.709999
2016-03-17,54.389999,54.75,54.009998,54.25,4711300,54.25
2016-03-16,52.91,54.98,52.91,54.439999,8498300,54.439999
2016-03-15,52.73,53.189999,51.830002,52.59,6518500,52.59
2016-03-14,52.689999,53.860001,52.68,53.299999,5078800,53.299999
2016-03-11,52.110001,53.16,52.080002,53.119999,4338400,53.119999
2016-03-10,52.25,52.299999,50.990002,51.779999,3730400,51.779999
2016-03-09,52.73,53.099998,51.59,52.099998,6949300,52.099998
2016-03-08,51.560001,52.02,50.970001,51.18,4530300,51.030001
2016-03-07,51.00,52.02,50.889999,52.00,4103600,51.847597
2016-03-04,51.43,51.73,51.009998,51.400002,4298500,51.249357
2016-03-03,50.25,51.650002,50.189999,51.48,5959000,51.329121
2016-03-02,49.900002,50.41,49.419998,50.150002,3757500,50.003021
2016-03-01,48.669998,50.279999,48.549999,50.25,6543700,50.102726
2016-02-29,48.299999,48.82,47.880001,48.380001,7813500,48.238208
2016-02-26,48.029999,48.810001,47.75,48.299999,3897900,48.158441
2016-02-25,47.950001,48.240002,47.150002,47.639999,3584300,47.500375
2016-02-24,46.259998,47.700001,45.779999,47.48,4243800,47.340844
2016-02-23,46.77,47.549999,46.369999,46.959999,4322300,46.822368
2016-02-22,45.470001,46.98,45.41,46.869999,5144600,46.732631
2016-02-19,45.48,45.869999,44.900002,45.09,5359700,44.957849
2016-02-18,46.490002,46.639999,45.41,45.790001,4419300,45.655799
2016-02-17,45.279999,46.759998,45.25,46.560001,5567500,46.423542
2016-02-16,43.779999,45.619999,43.540001,44.919998,6002000,44.788346
2016-02-12,43.610001,44.040001,42.52,43.18,6762700,43.053447
2016-02-11,42.119999,43.93,41.900002,43.57,7652900,43.442304
2016-02-10,41.470001,43.619999,41.360001,42.880001,7266900,42.754328
2016-02-09,43.299999,44.189999,42.59,42.650002,7335800,42.525002
2016-02-08,45.650002,45.779999,43.349998,44.360001,7405900,44.229989
2016-02-05,48.220001,48.540001,46.049999,46.25,6104800,46.11445
2016-02-04,49.799999,50.32,47.849998,48.41,8107700,48.268119
2016-02-03,47.040001,48.459999,46.66,48.259998,5454000,48.118557
2016-02-02,47.360001,47.650002,46.529999,46.630001,2999400,46.493337
2016-02-01,47.16,48.23,46.779999,47.91,2778600,47.769584
2016-01-29,46.619999,47.799999,46.48,47.50,3705900,47.360786
2016-01-28,47.759998,47.939999,45.77,46.290001,4273900,46.154333
2016-01-27,47.349998,48.41,47.00,47.34,3955200,47.201255
2016-01-26,46.700001,47.709999,46.43,47.509998,3746000,47.370755
2016-01-25,46.650002,46.939999,45.84,46.290001,4575700,46.154333
2016-01-22,46.50,47.299999,46.060001,46.939999,4554400,46.802426
2016-01-21,44.02,46.459999,43.860001,45.77,7068900,45.635857
2016-01-20,44.639999,44.700001,42.18,44.02,7172400,43.890986
2016-01-19,46.299999,46.740002,44.919998,45.389999,4918600,45.256969
2016-01-15,45.560001,46.349998,45.080002,45.880001,4856600,45.745535
2016-01-14,45.040001,47.330002,44.860001,46.73,6171000,46.593042
2016-01-13,47.060001,47.23,44.91,44.939999,5601500,44.808288
2016-01-12,47.040001,47.560001,46.419998,47.02,3884900,46.882193
2016-01-11,46.689999,47.07,45.669998,46.779999,6583700,46.642895
2016-01-08,45.52,47.130001,45.52,46.459999,6530900,46.323833
2016-01-07,45.34,46.389999,44.75,45.34,6308500,45.207117
2016-01-06,45.549999,46.869999,45.50,46.130001,4444300,45.994802
2016-01-05,46.599998,46.759998,45.950001,46.119999,4098300,45.98483
2016-01-04,46.330002,46.889999,46.130001,46.650002,5456300,46.513279
2015-12-31,46.490002,47.52,46.34,47.130001,3163600,46.991872
2015-12-30,47.16,47.459999,46.720001,46.759998,1990200,46.622953
2015-12-29,47.119999,47.41,46.740002,47.290001,2523400,47.151402
2015-12-28,47.200001,47.52,46.610001,46.830002,2995600,46.692752
2015-12-24,47.119999,48.02,47.110001,47.439999,2025700,47.300961
2015-12-23,46.77,47.380001,46.599998,47.23,4171600,47.091577
2015-12-22,45.900002,46.93,45.810001,46.610001,4706700,46.473395
2015-12-21,45.900002,46.18,45.369999,45.790001,2828900,45.655799
2015-12-18,46.27,46.490002,45.59,45.66,6537500,45.526179
2015-12-17,47.57,47.720001,46.439999,46.52,3019500,46.383659
2015-12-16,47.290001,47.790001,46.380001,47.50,4698600,47.360786
2015-12-15,46.75,47.27,46.599998,46.830002,3446100,46.692752
2015-12-14,46.889999,47.25,45.709999,46.34,5453800,46.204186
2015-12-11,47.889999,48.049999,46.740002,46.84,6294200,46.702721
2015-12-10,48.450001,49.049999,48.23,48.529999,3484900,48.387766
2015-12-09,49.50,49.52,47.900002,48.360001,5156500,48.218266
2015-12-08,50.02,50.330002,49.50,49.84,4178900,49.544368
2015-12-07,49.77,50.57,49.369999,50.450001,4531100,50.150751
2015-12-04,49.540001,50.240002,49.029999,50.009998,4005300,49.713358
2015-12-03,50.07,50.459999,48.830002,49.330002,6249900,49.037395
2015-12-02,50.990002,51.09,49.549999,50.049999,6009800,49.753122
2015-12-01,50.759998,51.259998,50.560001,51.099998,5217000,50.796893
2015-11-30,50.919998,51.00,50.349998,50.48,4352500,50.180572
2015-11-27,50.709999,50.919998,50.16,50.75,3470500,50.44897
2015-11-25,50.529999,51.09,50.400002,50.98,3954500,50.677606
2015-11-24,50.66,50.860001,50.310001,50.540001,5066900,50.240217
2015-11-23,51.650002,51.84,50.939999,50.98,4717800,50.677606
2015-11-20,51.98,52.18,51.310001,51.689999,4299600,51.383393
2015-11-19,51.43,51.799999,51.029999,51.75,4641100,51.443039
2015-11-18,50.84,51.43,50.779999,51.310001,4684500,51.00565
2015-11-17,51.029999,51.509998,50.43,50.779999,3628100,50.478791
