Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,51.59,52.16,51.509998,52.150002,3175200,52.150002
2016-04-01,50.419998,51.580002,50.380001,51.48,2404500,51.48
2016-03-31,51.209999,51.82,50.689999,50.740002,2787400,50.740002
2016-03-30,50.57,51.130001,50.41,51.09,1071100,51.09
2016-03-29,50.049999,50.41,49.970001,50.330002,1226000,50.330002
2016-03-28,49.779999,50.540001,49.68,50.049999,3115100,50.049999
2016-03-24,49.639999,49.939999,49.419998,49.59,2112900,49.59
2016-03-23,49.380001,50.060001,49.139999,49.799999,2237400,49.799999
2016-03-22,49.639999,49.82,49.41,49.52,834800,49.52
2016-03-21,49.419998,50.060001,49.259998,49.68,1378300,49.68
2016-03-18,50.23,50.23,49.02,49.549999,2946500,49.549999
2016-03-17,49.830002,50.41,49.57,50.209999,2214800,50.209999
2016-03-16,49.869999,50.040001,48.799999,49.689999,2124400,49.689999
2016-03-15,50.279999,50.889999,50.080002,50.240002,1465400,50.240002
2016-03-14,50.150002,50.75,50.080002,50.68,1234000,50.68
2016-03-11,50.349998,50.599998,50.150002,50.349998,844800,50.349998
2016-03-10,49.77,50.490002,49.580002,50.060001,888000,50.060001
2016-03-09,49.119999,49.709999,48.959999,49.639999,884700,49.639999
2016-03-08,49.029999,49.209999,48.650002,48.959999,744300,48.959999
2016-03-07,49.279999,49.490002,48.98,49.09,1514600,49.09
2016-03-04,49.130001,49.490002,48.91,49.43,795000,49.43
2016-03-03,48.389999,49.330002,48.009998,49.23,1238100,49.23
2016-03-02,48.599998,48.75,48.360001,48.459999,1390400,48.459999
2016-03-01,48.77,49.25,48.57,49.02,1567100,48.72
2016-02-29,49.029999,49.099998,48.509998,48.509998,1867800,48.213119
2016-02-26,50.029999,50.18,48.68,49.09,1595600,48.789571
2016-02-25,49.34,50.130001,49.049999,50.099998,1293200,49.793388
2016-02-24,48.869999,49.50,48.540001,49.470001,883300,49.167246
2016-02-23,49.169998,49.529999,48.860001,49.029999,1117300,48.729937
2016-02-22,49.209999,49.580002,49.169998,49.380001,1511600,49.077797
2016-02-19,48.66,49.209999,48.490002,48.93,1437700,48.63055
2016-02-18,48.990002,48.990002,48.490002,48.599998,1453200,48.302568
2016-02-17,49.029999,49.50,48.75,49.060001,1937700,48.759756
2016-02-16,48.599998,49.07,48.220001,48.77,1485600,48.47153
2016-02-12,47.490002,48.240002,46.919998,48.189999,1346000,47.895077
2016-02-11,46.790001,47.959999,46.41,47.209999,2171200,46.921075
2016-02-10,47.73,47.98,47.52,47.57,1623600,47.278873
2016-02-09,46.139999,47.900002,46.119999,47.619999,2292200,47.328566
2016-02-08,46.330002,46.900002,46.110001,46.66,2872400,46.374442
2016-02-05,47.419998,47.419998,46.52,46.720001,2470700,46.434076
2016-02-04,46.119999,46.759998,46.02,46.720001,2342800,46.434076
2016-02-03,46.419998,46.580002,45.610001,46.34,1323900,46.056401
2016-02-02,46.720001,46.880001,46.259998,46.34,1289300,46.056401
2016-02-01,46.540001,47.50,46.419998,47.169998,2789600,46.881319
2016-01-29,46.27,46.610001,46.02,46.419998,2167200,46.135909
2016-01-28,45.68,46.220001,45.439999,46.040001,1401800,45.758238
2016-01-27,45.91,46.080002,45.16,45.470001,1397900,45.191726
2016-01-26,45.650002,46.220001,45.639999,45.889999,1690300,45.609154
2016-01-25,45.419998,45.919998,45.18,45.619999,2054800,45.340806
2016-01-22,45.66,45.720001,45.16,45.34,2321800,45.062521
2016-01-21,45.75,45.93,44.959999,45.16,2862100,44.883622
2016-01-20,45.720001,46.169998,44.50,45.82,3127900,45.539583
2016-01-19,46.299999,46.52,46.049999,46.290001,2298800,46.006708
2016-01-15,45.290001,46.18,45.259998,45.900002,3426300,45.619095
2016-01-14,46.209999,46.490002,45.970001,46.18,2185300,45.89738
2016-01-13,46.849998,47.099998,46.16,46.25,2806400,45.966952
2016-01-12,46.599998,47.049999,46.330002,46.880001,1278100,46.593097
2016-01-11,46.549999,46.900002,46.080002,46.450001,1291900,46.165728
2016-01-08,47.119999,47.400002,46.369999,46.48,2989000,46.195544
2016-01-07,47.41,47.669998,46.639999,46.970001,3253400,46.682546
2016-01-06,47.459999,47.91,47.09,47.889999,3944900,47.596914
2016-01-05,48.709999,48.880001,47.299999,47.950001,3823700,47.656548
2016-01-04,48.279999,48.669998,47.790001,48.650002,3344200,48.352265
2015-12-31,49.439999,49.580002,48.919998,49.240002,1704000,48.938655
2015-12-30,50.029999,50.060001,49.50,49.619999,1774100,49.316326
2015-12-29,49.970001,50.240002,49.799999,49.93,1174400,49.62443
2015-12-28,49.970001,50.150002,49.41,49.700001,1815000,49.395838
2015-12-24,50.029999,50.290001,49.919998,50.02,692600,49.71388
2015-12-23,49.98,50.119999,49.549999,50.080002,2517400,49.773514
2015-12-22,48.93,49.900002,48.799999,49.779999,2878300,49.475347
2015-12-21,49.060001,49.09,48.470001,48.849998,3035400,48.551038
2015-12-18,48.77,48.91,48.099998,48.669998,3736500,48.372139
2015-12-17,50.810001,50.810001,48.52,49.009998,5653800,48.710059
2015-12-16,50.330002,51.299999,50.080002,51.240002,2870000,50.926415
2015-12-15,49.950001,50.220001,49.639999,50.00,1584600,49.694002
2015-12-14,49.029999,49.779999,48.389999,49.73,2281300,49.425654
2015-12-11,49.23,49.50,48.610001,48.880001,2722700,48.580857
2015-12-10,49.639999,50.299999,49.580002,49.650002,3080700,49.346145
2015-12-09,49.200001,50.029999,49.119999,49.639999,2419000,49.336204
2015-12-08,49.419998,50.049999,49.279999,49.630001,2761600,49.326267
2015-12-07,49.970001,50.290001,49.450001,49.720001,2006300,49.415716
2015-12-04,49.759998,50.470001,49.630001,50.080002,2790500,49.773514
2015-12-03,49.84,49.98,49.110001,49.599998,2304700,49.296448
2015-12-02,50.470001,50.529999,49.73,49.77,1864900,49.46541
2015-12-01,50.720001,50.720001,50.18,50.450001,2016700,50.141248
2015-11-30,51.540001,51.57,50.290001,50.299999,2385300,49.992165
2015-11-27,51.57,51.630001,51.27,51.560001,443600,51.244456
2015-11-25,50.860001,51.720001,50.689999,51.439999,1701500,51.125188
2015-11-24,50.34,51.080002,50.07,50.82,1787700,50.508983
2015-11-23,50.310001,50.830002,50.240002,50.560001,1998200,50.250576
2015-11-20,50.959999,51.25,50.060001,50.099998,1593900,49.793388
2015-11-19,50.73,51.360001,50.540001,50.77,1541100,50.45929
2015-11-18,50.419998,50.77,49.939999,50.709999,1970600,50.399656
2015-11-17,51.00,51.419998,50.259998,50.41,2583000,49.823206
2015-11-16,50.830002,51.25,50.470001,50.959999,2013000,50.366803
2015-11-13,51.599998,52.110001,50.810001,50.860001,2318400,50.267968
2015-11-12,51.18,51.68,51.00,51.610001,2310600,51.009238
2015-11-11,51.290001,52.029999,51.049999,51.540001,1998400,50.940053
2015-11-10,50.09,51.189999,50.09,51.009998,2040900,50.41622
