Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,92.57,93.190002,92.120003,92.330002,428700,92.330002
2016-04-01,91.800003,92.860001,91.110001,92.790001,689200,92.790001
2016-03-31,92.410004,92.519997,91.269997,92.209999,645300,92.209999
2016-03-30,92.550003,93.199997,92.230003,92.510002,528300,92.510002
2016-03-29,91.309998,92.43,90.660004,92.199997,368900,92.199997
2016-03-28,91.43,92.019997,90.779999,91.970001,801600,91.970001
2016-03-24,90.870003,91.57,90.129997,91.25,401400,91.25
2016-03-23,92.480003,92.709999,91.610001,91.669998,407900,91.669998
2016-03-22,91.889999,92.849998,91.50,92.449997,413000,92.449997
2016-03-21,91.400002,92.959999,91.400002,92.669998,704900,92.669998
2016-03-18,91.660004,92.589996,91.279999,91.629997,935400,91.629997
2016-03-17,90.309998,91.400002,89.50,91.309998,611600,91.309998
2016-03-16,88.970001,90.599998,88.639999,90.400002,439100,90.400002
2016-03-15,89.139999,89.300003,88.540001,89.110001,466400,89.110001
2016-03-14,89.370003,89.980003,89.339996,89.599998,419600,89.599998
2016-03-11,88.529999,89.949997,88.209999,89.769997,460800,89.769997
2016-03-10,88.68,89.07,87.32,87.809998,600500,87.809998
2016-03-09,88.599998,88.889999,88.18,88.360001,645900,88.360001
2016-03-08,88.260002,88.739998,87.860001,87.919998,711500,87.919998
2016-03-07,88.519997,89.599998,88.389999,89.07,566700,89.07
2016-03-04,89.00,90.389999,88.68,89.660004,605700,89.660004
2016-03-03,88.699997,89.25,88.300003,89.199997,491000,89.199997
2016-03-02,89.00,89.209999,88.150002,88.75,479500,88.75
2016-03-01,88.339996,89.339996,87.540001,88.870003,638100,88.870003
2016-02-29,88.269997,88.730003,87.389999,87.57,716900,87.57
2016-02-26,88.93,88.949997,88.18,88.440002,544700,88.440002
2016-02-25,88.790001,89.050003,87.769997,88.639999,588700,88.639999
2016-02-24,88.489998,88.550003,87.690002,88.309998,1060000,88.309998
2016-02-23,87.529999,90.580002,87.529999,89.099998,1682400,89.099998
2016-02-22,87.00,88.190002,86.739998,88.160004,1130300,88.160004
2016-02-19,85.220001,86.459999,84.510002,86.07,1273800,86.07
2016-02-18,84.25,85.790001,84.029999,85.190002,954400,85.190002
2016-02-17,83.220001,84.589996,83.209999,84.300003,933300,84.300003
2016-02-16,81.989998,82.989998,81.18,82.800003,1185700,82.800003
2016-02-12,78.900002,80.989998,78.550003,80.949997,1423400,80.949997
2016-02-11,78.190002,78.860001,76.029999,78.300003,1650400,78.300003
2016-02-10,80.82,81.279999,79.470001,79.57,900700,79.24
2016-02-09,80.339996,81.290001,79.889999,80.75,2073000,80.415106
2016-02-08,80.43,81.75,79.879997,81.169998,1628200,80.833363
2016-02-05,80.410004,81.410004,80.160004,81.269997,1429100,80.932946
2016-02-04,78.82,81.010002,78.82,80.400002,1080500,80.066559
2016-02-03,79.699997,79.93,77.699997,78.870003,1442700,78.542906
2016-02-02,80.480003,81.059998,78.699997,78.919998,1044600,78.592694
2016-02-01,80.760002,82.110001,80.129997,81.550003,1323100,81.211791
2016-01-29,81.690002,82.230003,80.43,80.879997,1951000,80.544564
2016-01-28,80.309998,81.43,79.779999,81.169998,1108300,80.833363
2016-01-27,81.00,82.110001,79.489998,79.809998,1640100,79.479002
2016-01-26,81.949997,83.739998,80.730003,82.440002,1664400,82.0981
2016-01-25,84.339996,84.470001,79.519997,80.480003,2465300,80.146229
2016-01-22,82.779999,84.900002,81.239998,84.440002,2383100,84.089805
2016-01-21,85.330002,86.309998,84.629997,85.800003,1481900,85.444165
2016-01-20,84.639999,85.639999,83.209999,84.940002,1082700,84.587732
2016-01-19,86.349998,86.900002,84.690002,85.620003,1015100,85.264912
2016-01-15,85.610001,86.830002,85.139999,85.849998,879400,85.493954
2016-01-14,87.349998,87.910004,85.959999,87.360001,663900,86.997693
2016-01-13,89.279999,89.459999,87.029999,87.190002,843700,86.8284
2016-01-12,88.300003,88.959999,87.349998,88.809998,698700,88.441677
2016-01-11,87.629997,88.129997,86.510002,87.339996,805400,86.977772
2016-01-08,89.610001,90.18,86.949997,87.110001,1134400,86.74873
2016-01-07,89.589996,90.419998,87.949997,89.32,1065300,88.949564
2016-01-06,91.790001,92.389999,90.330002,90.93,639700,90.552887
2016-01-05,90.769997,92.639999,90.699997,92.620003,1013200,92.235881
2016-01-04,90.599998,91.150002,89.400002,90.639999,798900,90.264089
2015-12-31,92.709999,92.709999,91.75,92.300003,470000,91.917208
2015-12-30,93.410004,94.040001,93.00,93.269997,397400,92.883179
2015-12-29,92.769997,93.910004,92.629997,93.290001,446400,92.9031
2015-12-28,92.169998,92.610001,91.349998,92.410004,307600,92.026752
2015-12-24,92.00,92.540001,91.970001,92.330002,158600,91.947082
2015-12-23,92.00,92.360001,91.449997,92.339996,315600,91.957035
2015-12-22,90.410004,91.769997,89.970001,91.589996,482200,91.210146
2015-12-21,89.010002,90.349998,89.010002,89.889999,483000,89.517199
2015-12-18,89.529999,89.959999,88.18,88.18,1160900,87.814292
2015-12-17,90.639999,91.139999,89.269997,89.739998,843600,89.36782
2015-12-16,89.629997,90.959999,89.040001,90.57,780000,90.19438
2015-12-15,89.93,90.010002,88.610001,88.879997,819500,88.511386
2015-12-14,89.610001,89.910004,88.650002,89.43,561100,89.059108
2015-12-11,89.129997,90.419998,88.989998,89.32,659000,88.949564
2015-12-10,90.160004,90.879997,89.739998,90.220001,337400,89.845833
2015-12-09,90.459999,91.440002,89.57,90.129997,555500,89.756202
2015-12-08,90.839996,91.43,90.00,90.940002,466000,90.562848
2015-12-07,91.269997,91.970001,90.839996,91.739998,512300,91.359525
2015-12-04,90.660004,92.160004,90.660004,91.809998,589200,91.429235
2015-12-03,91.779999,91.830002,89.660004,90.120003,638100,89.746249
2015-12-02,93.010002,93.129997,91.580002,91.709999,786700,91.329651
2015-12-01,93.32,93.730003,92.519997,92.879997,792000,92.494797
2015-11-30,93.459999,93.589996,92.449997,92.68,783800,92.295629
2015-11-27,93.839996,94.169998,93.290001,93.459999,225700,93.072393
2015-11-25,94.239998,95.110001,93.610001,93.980003,634200,93.590241
2015-11-24,93.699997,94.470001,93.139999,94.010002,882700,93.620115
2015-11-23,94.290001,94.559998,93.589996,93.940002,947800,93.550406
2015-11-20,92.720001,94.230003,92.660004,93.68,1312600,93.291482
2015-11-19,90.269997,92.330002,90.099998,92.260002,1209400,91.877373
2015-11-18,88.82,90.059998,88.690002,90.00,649400,89.626744
2015-11-17,88.099998,88.849998,87.730003,88.669998,1067600,88.302258
2015-11-16,85.00,87.809998,84.980003,87.650002,731000,87.286491
2015-11-13,85.919998,86.529999,84.779999,84.809998,578300,84.458266
2015-11-12,86.599998,87.309998,85.510002,86.190002,670200,85.832547
2015-11-11,87.550003,88.089996,87.169998,87.650002,433200,86.957859
2015-11-10,86.540001,87.239998,85.629997,87.120003,656800,86.432046
2015-11-09,87.529999,87.839996,86.129997,86.75,782900,86.064965
2015-11-06,88.160004,88.769997,87.519997,87.75,394400,87.057068
2015-11-05,88.120003,88.779999,87.82,88.610001,657300,87.910277
2015-11-04,88.199997,88.690002,87.559998,88.099998,661300,87.404303
2015-11-03,87.849998,88.389999,87.720001,88.110001,733600,87.414226
2015-11-02,87.010002,88.949997,86.239998,88.18,891300,87.483673
2015-10-30,88.00,88.00,85.019997,86.720001,1746000,86.035203
2015-10-29,88.809998,89.160004,88.209999,88.910004,1048700,88.207911
2015-10-28,86.690002,88.919998,86.290001,88.860001,832800,88.158303
2015-10-27,86.059998,86.809998,86.059998,86.449997,467200,85.767331
2015-10-26,86.690002,87.18,86.230003,86.489998,352800,85.807016
2015-10-23,87.550003,87.760002,86.709999,86.849998,703500,86.164173
2015-10-22,84.580002,87.290001,84.580002,87.160004,476800,86.471731
2015-10-21,84.279999,84.629997,83.220001,84.080002,349700,83.41605
2015-10-20,83.400002,84.18,83.00,83.959999,427300,83.296995
2015-10-19,83.209999,83.639999,83.00,83.519997,418000,82.860467
2015-10-16,83.720001,84.110001,83.18,83.629997,593000,82.969599
2015-10-15,83.019997,83.50,82.540001,83.419998,500600,82.761259
2015-10-14,84.620003,84.809998,82.260002,82.519997,796000,81.868364
2015-10-13,85.879997,86.120003,84.599998,84.639999,783500,83.971626
2015-10-12,86.529999,86.599998,85.800003,86.400002,395500,85.71773
2015-10-09,86.68,87.620003,86.489998,86.599998,464700,85.916148
2015-10-08,85.050003,86.760002,84.529999,86.610001,407100,85.926071
2015-10-07,84.860001,85.610001,84.629997,85.419998,489000,84.745465
2015-10-06,83.809998,84.620003,83.779999,84.18,451200,83.515259
2015-10-05,83.059998,83.910004,82.709999,83.839996,831800,83.17794
2015-10-02,80.120003,82.260002,79.900002,82.239998,402200,81.590576
2015-10-01,81.669998,81.889999,80.400002,81.269997,538200,80.628235
2015-09-30,80.639999,82.00,80.50,81.839996,1197100,81.193734
2015-09-29,79.639999,80.379997,79.18,80.029999,640900,79.398029
2015-09-28,79.769997,80.540001,79.459999,79.629997,657700,79.001186
2015-09-25,81.790001,81.800003,80.190002,80.550003,666500,79.913927
2015-09-24,80.419998,81.419998,79.82,81.00,561300,80.36037
2015-09-23,81.900002,82.599998,80.93,81.349998,467800,80.707605
2015-09-22,82.080002,84.160004,81.57,82.080002,520000,81.431844
2015-09-21,83.730003,84.110001,82.989998,83.279999,729900,82.622365
2015-09-18,83.470001,84.989998,83.129997,83.68,1441000,83.019208
2015-09-17,85.32,86.730003,84.790001,85.279999,614800,84.606571
2015-09-16,84.879997,85.220001,84.470001,85.150002,724600,84.477601
2015-09-15,84.00,85.220001,83.620003,85.080002,476800,84.408154
2015-09-14,84.449997,84.709999,83.349998,83.739998,487800,83.078731
2015-09-11,83.599998,84.82,83.089996,84.599998,862600,83.931941
2015-09-10,82.150002,84.209999,82.099998,84.00,1115500,83.33668
2015-09-09,84.010002,84.550003,82.040001,82.400002,1050900,81.749317
2015-09-08,82.730003,83.610001,82.110001,83.50,1048800,82.840629
2015-09-04,81.120003,82.110001,80.760002,81.860001,959000,81.21358
2015-09-03,81.260002,82.75,81.150002,82.099998,792000,81.451683
2015-09-02,80.029999,80.980003,79.540001,80.959999,1557600,80.320685
2015-09-01,80.620003,80.919998,78.849998,79.25,930300,78.62419
2015-08-31,82.989998,83.309998,81.830002,81.849998,1057800,81.203657
2015-08-28,83.389999,83.93,82.720001,83.419998,609200,82.761259
2015-08-27,83.309998,83.900002,82.040001,83.510002,657700,82.850552
2015-08-26,81.139999,82.68,79.900002,82.480003,733600,81.828687
2015-08-25,82.589996,82.589996,79.639999,79.709999,916600,79.080556
2015-08-24,79.629997,83.18,78.150002,80.669998,1521600,80.032974
2015-08-21,84.510002,85.050003,83.540001,83.660004,985900,82.999369
2015-08-20,86.730003,86.889999,85.040001,85.07,511500,84.398231
2015-08-19,87.040001,88.300003,86.68,87.449997,663200,86.759434
2015-08-18,87.43,87.940002,87.139999,87.279999,621200,86.590778
2015-08-17,86.879997,87.860001,86.480003,87.809998,378000,87.116592
2015-08-14,86.919998,87.489998,86.580002,87.32,391500,86.630463
2015-08-13,86.410004,87.330002,86.07,87.059998,670000,86.372514
2015-08-12,85.989998,86.870003,85.529999,86.699997,664800,85.687966
2015-08-11,87.32,87.360001,86.400002,86.779999,852700,85.767034
2015-08-10,86.730003,88.720001,86.730003,87.93,1364600,86.903611
2015-08-07,85.169998,85.629997,84.669998,85.589996,623000,84.590922
2015-08-06,85.209999,85.279999,84.529999,85.150002,946100,84.156063
2015-08-05,85.330002,85.639999,84.779999,84.910004,856400,83.918867
2015-08-04,85.199997,85.620003,84.690002,84.830002,715000,83.839799
2015-08-03,85.010002,85.540001,84.510002,85.199997,900600,84.205475
2015-07-31,85.449997,85.449997,84.32,84.620003,750000,83.632251
2015-07-30,84.540001,85.519997,84.300003,85.050003,938300,84.057232
2015-07-29,85.029999,85.589996,84.639999,84.839996,1200800,83.849676
2015-07-28,83.809998,85.160004,83.370003,84.730003,1213800,83.740967
2015-07-27,84.970001,85.019997,83.18,83.440002,1704900,82.466024
2015-07-24,90.010002,90.120003,84.68,85.459999,1955100,84.462442
2015-07-23,87.949997,88.709999,87.699997,88.410004,2576000,87.378012
2015-07-22,88.25,88.800003,87.519997,87.720001,1831500,86.696064
2015-07-21,91.489998,91.489998,87.580002,88.910004,2114800,87.872175
2015-07-20,92.839996,93.040001,91.970001,92.190002,473500,91.113887
2015-07-17,92.459999,93.059998,92.199997,92.889999,459800,91.805713
2015-07-16,93.540001,93.889999,92.50,92.82,745600,91.736531
2015-07-15,93.309998,93.779999,92.769997,92.989998,692400,91.904545
2015-07-14,92.900002,93.519997,92.879997,93.309998,823400,92.220809
2015-07-13,93.349998,93.510002,92.559998,93.019997,708900,91.934193
2015-07-10,92.50,92.959999,92.139999,92.550003,531100,91.469686
2015-07-09,92.139999,92.559998,91.580002,91.580002,454100,90.511007
2015-07-08,91.410004,92.309998,91.07,91.330002,871500,90.263925
2015-07-07,91.739998,92.07,90.599998,92.00,957200,90.926103
2015-07-06,91.809998,92.18,91.089996,91.550003,696000,90.481359
2015-07-02,93.599998,93.690002,92.360001,92.639999,361000,91.558632
2015-07-01,93.07,93.410004,92.519997,93.290001,500600,92.201046
2015-06-30,93.190002,93.459999,92.220001,92.349998,625400,91.272016
2015-06-29,93.980003,94.550003,92.57,92.629997,548100,91.548746
2015-06-26,95.129997,95.25,94.120003,94.730003,1242600,93.624239
2015-06-25,95.949997,96.040001,94.739998,94.860001,585500,93.752719
2015-06-24,95.360001,95.989998,95.150002,95.629997,924300,94.513728
2015-06-23,95.18,95.860001,95.019997,95.510002,683700,94.395133
2015-06-22,95.769997,95.919998,94.650002,95.290001,921300,94.1777
2015-06-19,95.510002,96.400002,95.510002,95.529999,687900,94.414897
2015-06-18,95.160004,96.25,94.650002,95.860001,779900,94.741046
2015-06-17,94.360001,95.139999,93.949997,94.809998,577900,93.7033
2015-06-16,92.989998,94.129997,92.720001,94.059998,643900,92.962055
2015-06-15,93.650002,93.730003,92.970001,93.349998,589400,92.260343
2015-06-12,94.32,94.879997,93.900002,94.120003,427400,93.021359
2015-06-11,94.199997,95.089996,94.050003,94.879997,634100,93.772483
2015-06-10,93.790001,94.75,93.650002,94.059998,554600,92.962055
2015-06-09,93.480003,94.019997,93.239998,93.349998,631000,92.260343
2015-06-08,92.93,93.779999,92.849998,93.349998,664800,92.260343
2015-06-05,93.379997,93.839996,92.470001,93.080002,1319600,91.993498
2015-06-04,94.379997,95.059998,93.459999,93.620003,1030400,92.527196
2015-06-03,94.50,95.510002,94.290001,95.07,859500,93.960267
2015-06-02,94.400002,95.059998,94.019997,94.25,1041000,93.149839
2015-06-01,95.25,95.720001,94.82,95.010002,696500,93.90097
2015-05-29,96.50,96.580002,94.720001,95.190002,1688500,94.078869
2015-05-28,96.440002,96.919998,96.169998,96.400002,926400,95.274744
2015-05-27,97.099998,97.220001,96.620003,96.68,822800,95.551474
2015-05-26,97.790001,97.940002,96.589996,96.699997,654800,95.571238
2015-05-22,98.300003,98.480003,97.610001,97.730003,490700,96.589221
2015-05-21,98.620003,98.900002,98.120003,98.370003,634300,97.22175
2015-05-20,98.93,99.040001,98.480003,98.529999,553800,97.379878
2015-05-19,98.949997,99.370003,98.43,98.639999,619700,97.488595
2015-05-18,98.220001,99.099998,98.120003,98.889999,528300,97.735677
2015-05-15,98.410004,98.620003,97.699997,98.220001,657000,97.073499
2015-05-14,97.760002,98.839996,97.440002,98.68,559600,97.201978
2015-05-13,96.459999,97.720001,96.360001,97.230003,775600,95.773699
2015-05-12,96.309998,96.690002,95.910004,96.459999,611400,95.015228
2015-05-11,97.260002,97.50,96.860001,96.900002,759700,95.44864
2015-05-08,96.720001,97.449997,96.650002,97.260002,1341900,95.803248
2015-05-07,96.279999,96.529999,95.650002,95.779999,908300,94.345412
2015-05-06,96.800003,96.93,95.690002,96.129997,723500,94.690169
2015-05-05,97.480003,97.870003,96.150002,96.400002,728900,94.956129
2015-05-04,97.669998,98.449997,97.599998,97.610001,381500,96.148005
2015-05-01,97.57,98.050003,97.089996,97.669998,543000,96.207104
2015-04-30,98.279999,98.68,96.830002,97.330002,925100,95.8722
2015-04-29,98.68,99.190002,98.089996,98.489998,952600,97.014821
2015-04-28,98.300003,99.029999,97.580002,99.00,682400,97.517185
2015-04-27,97.809998,98.470001,97.550003,98.370003,1220400,96.896624
2015-04-24,97.839996,98.230003,97.480003,97.790001,647100,96.325309
2015-04-23,96.029999,98.389999,95.559998,97.949997,882100,96.482909
2015-04-22,96.120003,96.610001,95.199997,96.550003,543500,95.103884
2015-04-21,96.639999,96.959999,95.900002,96.099998,526200,94.660619
2015-04-20,95.68,96.639999,95.510002,96.160004,613800,94.719726
2015-04-17,96.459999,96.459999,94.699997,95.029999,831100,93.606646
2015-04-16,96.93,97.410004,96.43,97.139999,458700,95.685043
2015-04-15,97.879997,98.309998,97.050003,97.290001,610900,95.832798
2015-04-14,97.839996,98.190002,97.110001,97.589996,749500,96.1283
2015-04-13,98.029999,98.82,97.709999,98.120003,921700,96.650368
2015-04-10,97.309998,98.309998,96.910004,98.279999,678700,96.807968
2015-04-09,97.300003,97.599998,96.529999,97.279999,785500,95.822946
2015-04-08,96.889999,97.839996,96.610001,97.339996,719500,95.882044
2015-04-07,96.209999,96.900002,96.019997,96.519997,631200,95.074327
2015-04-06,95.239998,96.879997,95.239998,96.470001,703600,95.02508
2015-04-02,96.150002,96.949997,95.82,95.970001,531000,94.532569
2015-04-01,96.120003,96.120003,94.300003,96.059998,893800,94.621217
2015-03-31,96.870003,96.980003,96.32,96.550003,635300,95.103884
2015-03-30,96.220001,97.489998,96.00,96.989998,609500,95.537288
