Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,34.310001,34.389999,33.57,33.700001,1301300,33.700001
2016-04-01,34.080002,34.299999,33.669998,34.27,1561200,34.27
2016-03-31,34.029999,34.490002,33.900002,34.389999,1179200,34.25
2016-03-30,33.610001,34.189999,33.560001,34.029999,1548700,33.891465
2016-03-29,32.299999,33.529999,32.25,33.48,3251500,33.343705
2016-03-28,31.959999,32.639999,31.83,32.360001,1704200,32.228265
2016-03-24,31.48,31.870001,31.40,31.860001,621300,31.730301
2016-03-23,31.559999,31.90,31.43,31.65,730100,31.521154
2016-03-22,31.51,31.73,31.41,31.60,706100,31.471359
2016-03-21,31.35,31.65,31.32,31.58,697200,31.45144
2016-03-18,31.559999,31.77,31.27,31.440001,1226500,31.31201
2016-03-17,30.91,31.68,30.85,31.59,791900,31.461399
2016-03-16,30.809999,30.940001,30.469999,30.889999,808800,30.764248
2016-03-15,30.49,30.98,30.41,30.90,1164000,30.774208
2016-03-14,30.540001,30.85,29.98,30.629999,843600,30.505306
2016-03-11,30.33,30.790001,30.309999,30.559999,806400,30.435592
2016-03-10,30.370001,30.73,29.66,30.10,1185600,29.977465
2016-03-09,30.25,30.389999,30.02,30.309999,1081000,30.186609
2016-03-08,30.530001,30.700001,29.76,30.030001,2040500,29.90775
2016-03-07,30.440001,30.90,30.27,30.700001,1163700,30.575023
2016-03-04,30.76,30.790001,30.25,30.51,1354800,30.385796
2016-03-03,30.25,30.780001,30.07,30.77,1388000,30.644738
2016-03-02,29.75,30.24,29.610001,30.219999,1729400,30.096976
2016-03-01,29.030001,30.00,28.879999,29.75,3197300,29.62889
2016-02-29,28.440001,29.10,28.129999,28.809999,2189200,28.692716
2016-02-26,28.07,28.620001,27.65,28.530001,2055700,28.413857
2016-02-25,27.82,27.92,27.34,27.879999,2226000,27.766501
2016-02-24,27.10,27.889999,27.10,27.790001,2157400,27.67687
2016-02-23,27.75,28.10,27.610001,27.68,1628500,27.567317
2016-02-22,27.82,28.10,27.459999,27.780001,1386400,27.66691
2016-02-19,27.200001,27.540001,26.91,27.450001,1874300,27.338254
2016-02-18,27.950001,28.030001,27.379999,27.530001,2043000,27.417928
2016-02-17,27.780001,28.07,27.34,28.02,1802100,27.905933
2016-02-16,28.10,28.41,27.559999,27.639999,2125500,27.527479
2016-02-12,27.25,27.75,26.91,27.620001,2126600,27.507562
2016-02-11,27.23,27.950001,26.74,27.049999,4212300,26.93988
2016-02-10,24.27,28.190001,24.27,27.719999,6942100,27.607153
2016-02-09,30.41,31.16,30.389999,30.799999,3363000,30.674614
2016-02-08,30.75,30.879999,30.17,30.700001,3019100,30.575023
2016-02-05,31.860001,32.080002,31.450001,31.49,2334400,31.361806
2016-02-04,31.24,32.150002,31.24,31.91,1488700,31.780096
2016-02-03,31.559999,31.75,30.75,31.280001,1859300,31.152662
2016-02-02,31.51,31.860001,31.190001,31.309999,1881000,31.182538
2016-02-01,31.90,32.029999,31.58,31.74,1835100,31.610788
2016-01-29,30.93,32.080002,30.92,32.07,1761000,31.939445
2016-01-28,30.82,31.08,30.450001,30.76,1240400,30.634778
2016-01-27,30.23,31.23,30.18,30.370001,1909100,30.246366
2016-01-26,29.82,30.48,29.74,30.27,1268600,30.146773
2016-01-25,30.309999,30.49,29.610001,29.790001,2071000,29.668728
2016-01-22,29.35,30.40,29.35,30.360001,3317100,30.236407
2016-01-21,29.190001,29.450001,28.76,28.809999,2915700,28.692716
2016-01-20,28.32,29.620001,28.15,29.219999,2096900,29.101047
2016-01-19,29.40,29.469999,28.709999,28.879999,1713200,28.76243
2016-01-15,28.58,29.120001,28.40,29.059999,1535400,28.941698
2016-01-14,29.00,29.719999,28.59,29.459999,1573600,29.340069
2016-01-13,29.969999,30.040001,28.690001,28.82,1773900,28.702675
2016-01-12,29.799999,30.00,29.34,29.809999,1705800,29.688645
2016-01-11,29.530001,29.709999,29.09,29.57,1941700,29.449622
2016-01-08,30.440001,30.549999,29.469999,29.50,2018000,29.379907
2016-01-07,30.17,30.76,30.129999,30.32,1429800,30.196569
2016-01-06,30.610001,30.950001,30.549999,30.74,1719800,30.614859
2016-01-05,31.639999,31.690001,30.959999,31.049999,2930800,30.923597
2016-01-04,31.860001,32.16,31.309999,31.639999,2683000,31.511195
2015-12-31,32.950001,33.110001,32.470001,32.68,1439800,32.546962
2015-12-30,33.150002,33.400002,33.009998,33.119999,1238100,32.845738
2015-12-29,33.049999,33.66,33.02,33.150002,1553000,32.875493
2015-12-28,33.09,33.139999,32.59,33.060001,995100,32.786238
2015-12-24,33.00,33.279999,32.98,33.169998,736200,32.895324
2015-12-23,32.25,33.209999,32.200001,33.040001,2002400,32.766403
2015-12-22,32.220001,32.470001,32.099998,32.220001,1848800,31.953193
2015-12-21,31.620001,32.360001,31.49,32.25,4134000,31.982944
2015-12-18,31.280001,31.75,31.02,31.51,6668000,31.249072
2015-12-17,31.33,31.92,31.059999,31.379999,4680200,31.120147
2015-12-16,30.60,31.48,30.280001,31.370001,3257300,31.110232
2015-12-15,30.219999,30.629999,29.950001,30.309999,2727800,30.059008
2015-12-14,29.889999,30.209999,29.51,29.92,2385500,29.672238
2015-12-11,30.219999,30.440001,29.559999,29.790001,2527200,29.543315
2015-12-10,30.48,30.76,30.35,30.620001,2960000,30.366442
