Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,9.10,9.24,8.93,9.24,145800,9.126
2016-04-01,8.88,9.00,8.81,8.93,436100,8.81982
2016-03-31,8.80,8.90,8.80,8.88,1422600,8.77044
2016-03-30,8.75,8.99,8.70,8.85,867800,8.74081
2016-03-29,8.77,8.98,8.75,8.98,18800,8.86921
2016-03-28,8.88,8.88,8.88,8.88,000,8.77044
2016-03-25,8.88,8.88,8.88,8.88,000,8.77044
2016-03-24,8.90,8.90,8.75,8.88,43600,8.77044
2016-03-23,8.82,8.90,8.77,8.80,432700,8.69143
2016-03-22,8.81,9.00,8.81,8.95,643600,8.83958
2016-03-21,9.00,9.00,9.00,9.00,000,8.88896
2016-03-18,8.78,9.00,8.77,9.00,303300,8.88896
2016-03-17,9.00,9.06,8.60,9.00,335700,8.88896
2016-03-16,8.90,9.10,8.80,8.89,366600,8.78032
2016-03-15,8.98,9.15,8.89,8.92,1239000,8.80995
2016-03-14,8.90,8.99,8.86,8.89,413300,8.78032
2016-03-11,8.95,9.00,8.90,8.90,421800,8.79019
2016-03-10,9.15,9.15,8.94,9.00,311200,8.88896
2016-03-09,9.04,9.20,9.04,9.19,242400,9.07662
2016-03-08,9.00,9.07,8.90,9.05,130900,8.93834
2016-03-07,9.05,9.06,8.90,8.95,119800,8.83958
2016-03-04,8.90,9.05,8.80,9.05,205200,8.93834
2016-03-03,9.10,9.10,8.88,8.90,180700,8.79019
2016-03-02,9.30,9.30,9.16,9.16,48400,9.04699
2016-03-01,9.30,9.30,9.16,9.25,233600,9.13588
2016-02-29,9.16,9.17,9.12,9.17,106500,9.05686
2016-02-26,9.25,9.25,9.16,9.16,462800,9.04699
2016-02-25,9.45,9.46,9.20,9.40,419300,9.28403
2016-02-24,9.21,9.45,9.20,9.26,570500,9.14575
2016-02-23,9.15,9.45,9.15,9.45,138800,9.33341
2016-02-22,9.17,9.25,9.16,9.25,167600,9.13588
2016-02-19,9.10,9.24,9.10,9.17,285500,9.05686
2016-02-18,9.10,9.19,9.10,9.18,274000,9.06674
