Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,51.34,51.380001,50.68,50.759998,2108900,50.759998
2016-04-01,50.580002,51.459999,50.369999,51.389999,3243800,51.389999
2016-03-31,50.23,51.130001,50.119999,50.919998,3993500,50.919998
2016-03-30,50.490002,50.880001,50.110001,50.259998,2776100,50.259998
2016-03-29,49.18,50.32,48.68,50.279999,3134100,50.279999
2016-03-28,49.740002,49.84,49.240002,49.279999,2236100,49.279999
2016-03-24,49.470001,49.700001,49.080002,49.68,1888700,49.68
2016-03-23,50.16,50.189999,49.709999,49.860001,1832900,49.860001
2016-03-22,50.00,50.349998,49.759998,50.169998,2948200,50.169998
2016-03-21,50.439999,50.669998,50.049999,50.41,1752900,50.41
2016-03-18,49.720001,50.630001,49.610001,50.59,5291600,50.59
2016-03-17,48.689999,49.869999,48.450001,49.52,2989600,49.52
2016-03-16,48.459999,49.48,48.290001,48.84,3299300,48.84
2016-03-15,48.16,48.75,47.82,48.709999,3220200,48.709999
2016-03-14,49.16,49.169998,48.240002,48.650002,2155000,48.650002
2016-03-11,48.799999,49.240002,48.77,49.18,2755800,49.18
2016-03-10,48.279999,48.529999,47.50,48.310001,2739100,48.310001
2016-03-09,48.549999,48.709999,47.779999,48.00,2130400,48.00
2016-03-08,48.18,48.77,48.060001,48.240002,3327000,48.240002
2016-03-07,48.299999,48.700001,47.75,48.68,2497700,48.68
2016-03-04,48.790001,49.060001,48.209999,48.529999,2725600,48.529999
2016-03-03,47.959999,48.849998,47.84,48.759998,3349200,48.759998
2016-03-02,47.650002,48.130001,47.369999,48.09,3574200,48.09
2016-03-01,46.689999,47.669998,46.369999,47.57,4002000,47.57
2016-02-29,47.169998,47.380001,46.41,46.419998,2847400,46.419998
2016-02-26,47.560001,47.77,47.029999,47.150002,2365200,47.150002
2016-02-25,46.75,47.16,46.25,47.16,2133900,47.16
2016-02-24,46.09,46.82,45.27,46.709999,2664600,46.709999
2016-02-23,47.00,47.290001,46.09,46.459999,2900200,46.459999
2016-02-22,46.490002,47.369999,46.240002,47.34,2801900,47.34
2016-02-19,46.279999,46.330002,45.759998,46.150002,1971300,46.150002
2016-02-18,46.439999,46.860001,45.98,46.389999,2437800,46.389999
2016-02-17,46.110001,46.849998,46.110001,46.439999,3233300,46.439999
2016-02-16,45.18,45.759998,45.00,45.669998,2659400,45.669998
2016-02-12,43.900002,44.529999,43.48,44.52,4046800,44.52
2016-02-11,44.139999,44.139999,42.860001,43.25,6535700,43.25
2016-02-10,46.02,46.57,45.48,45.77,4951500,45.77
2016-02-09,44.509998,46.200001,44.360001,45.869999,4275800,45.869999
2016-02-08,45.650002,45.68,44.419998,45.110001,4683200,45.110001
2016-02-05,46.25,46.779999,45.810001,46.25,5314500,46.25
2016-02-04,45.290001,46.41,45.139999,46.310001,6493100,46.310001
2016-02-03,45.200001,45.490002,43.73,45.400002,6136000,45.400002
2016-02-02,45.110001,45.139999,44.700001,45.029999,5160800,45.029999
2016-02-01,45.790001,46.32,44.650002,46.049999,5964900,45.77
2016-01-29,44.990002,45.959999,44.669998,45.790001,10805000,45.511583
2016-01-28,46.080002,46.990002,44.82,44.830002,12584500,44.557421
2016-01-27,48.50,49.619999,48.18,48.720001,6154100,48.423768
2016-01-26,48.049999,48.580002,47.799999,48.389999,4378200,48.095772
2016-01-25,48.310001,48.59,47.490002,47.59,4947700,47.300637
2016-01-22,48.860001,49.450001,48.23,48.59,4094100,48.294557
2016-01-21,48.779999,49.529999,48.290001,48.419998,4576500,48.125589
2016-01-20,47.860001,49.290001,47.290001,48.75,3926200,48.453584
2016-01-19,49.779999,49.880001,48.509998,48.91,2957100,48.612611
2016-01-15,48.650002,49.41,48.439999,49.16,4043300,48.861091
2016-01-14,49.060001,50.43,48.189999,50.16,5631500,49.855011
2016-01-13,51.439999,51.68,49.16,49.400002,4369800,49.099633
2016-01-12,50.970001,51.360001,50.360001,51.00,3418700,50.689903
2016-01-11,50.459999,50.799999,50.02,50.490002,3911700,50.183006
2016-01-08,50.990002,51.169998,49.880001,49.970001,3604200,49.666167
2016-01-07,50.790001,51.799999,50.459999,50.599998,4824100,50.292334
2016-01-06,51.82,52.360001,51.330002,51.560001,3210600,51.2465
2016-01-05,52.639999,53.09,52.220001,52.59,3061600,52.270236
2016-01-04,52.529999,52.77,52.09,52.709999,4186900,52.389505
2015-12-31,54.099998,54.490002,53.619999,53.619999,1989800,53.293972
2015-12-30,54.709999,54.939999,54.169998,54.25,3600300,53.920142
