Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,72.330002,72.639999,71.739998,72.07,703100,72.07
2016-04-01,71.18,72.68,70.919998,72.57,979000,72.169998
2016-03-31,71.989998,72.230003,71.269997,71.449997,1241300,71.056169
2016-03-30,71.889999,72.639999,71.529999,72.260002,998300,71.861709
2016-03-29,70.269997,71.519997,69.879997,71.480003,707600,71.08601
2016-03-28,70.059998,70.769997,69.620003,70.400002,880100,70.011961
2016-03-24,69.440002,69.910004,68.910004,69.790001,886200,69.405323
2016-03-23,70.010002,70.660004,69.849998,70.150002,817300,69.763339
2016-03-22,69.830002,70.18,69.160004,69.879997,888700,69.494823
2016-03-21,70.139999,70.290001,69.440002,70.019997,867600,69.634051
2016-03-18,69.230003,70.599998,69.07,70.110001,1704300,69.723559
2016-03-17,69.510002,69.699997,68.199997,69.080002,1073900,68.699237
2016-03-16,69.239998,69.980003,68.959999,69.68,784600,69.295928
2016-03-15,69.290001,69.650002,68.629997,69.300003,874900,68.918026
2016-03-14,70.139999,70.879997,69.75,69.849998,905000,69.46499
2016-03-11,68.75,71.07,68.610001,70.720001,1200900,70.330197
2016-03-10,69.040001,69.080002,67.360001,68.029999,1104200,67.655022
2016-03-09,68.629997,68.949997,68.099998,68.610001,761700,68.231826
2016-03-08,69.190002,69.230003,68.220001,68.43,897000,68.052818
2016-03-07,68.879997,70.00,68.860001,69.620003,988700,69.236262
2016-03-04,69.699997,69.959999,69.129997,69.32,1109100,68.937912
2016-03-03,67.699997,69.830002,67.699997,69.709999,1201000,69.325762
2016-03-02,68.209999,68.660004,67.389999,67.93,954700,67.555574
2016-03-01,67.800003,68.769997,66.650002,68.480003,922800,68.102546
2016-02-29,67.209999,67.510002,66.510002,66.529999,854000,66.163289
2016-02-26,66.830002,67.900002,66.779999,67.220001,998100,66.849489
2016-02-25,66.480003,66.959999,66.07,66.720001,1073800,66.352245
2016-02-24,65.599998,66.239998,65.059998,66.07,1011700,65.705826
2016-02-23,66.650002,66.860001,66.010002,66.139999,780100,65.77544
2016-02-22,66.830002,67.739998,66.510002,66.699997,819600,66.332351
2016-02-19,65.919998,66.419998,65.269997,66.309998,945400,65.944501
2016-02-18,64.639999,66.860001,63.849998,66.050003,1349400,65.685939
