Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,30.360001,30.389999,29.60,29.959999,2784100,29.959999
2016-04-01,30.040001,30.48,29.959999,30.40,3148100,30.40
2016-03-31,30.10,30.389999,29.959999,30.23,3995000,30.23
2016-03-30,30.91,31.00,30.15,30.17,3625700,30.17
2016-03-29,30.030001,30.870001,29.950001,30.719999,6125400,30.719999
2016-03-28,29.459999,29.92,29.280001,29.82,3377500,29.82
2016-03-24,29.43,29.48,29.08,29.40,3423300,29.40
2016-03-23,29.82,29.870001,29.309999,29.35,3591800,29.35
2016-03-22,29.67,30.110001,29.610001,29.780001,2662300,29.780001
2016-03-21,30.27,30.450001,29.50,29.92,4601600,29.92
2016-03-18,30.27,30.58,30.120001,30.209999,5441600,30.209999
2016-03-17,29.780001,30.27,29.610001,30.120001,3392000,30.120001
2016-03-16,29.10,29.959999,29.00,29.870001,3705200,29.870001
2016-03-15,29.200001,29.559999,29.110001,29.33,4727900,29.33
2016-03-14,29.299999,29.629999,29.040001,29.49,4055600,29.49
2016-03-11,28.40,29.65,28.309999,29.559999,8101300,29.559999
2016-03-10,28.23,28.610001,27.58,28.110001,4062900,28.110001
2016-03-09,27.91,28.219999,27.540001,28.059999,2787600,28.059999
2016-03-08,28.059999,28.219999,27.40,27.690001,4374000,27.690001
2016-03-07,28.25,28.43,27.950001,28.15,4201800,28.15
2016-03-04,28.629999,28.76,28.209999,28.40,5824100,28.40
2016-03-03,28.08,28.67,28.02,28.629999,4557200,28.629999
2016-03-02,27.549999,28.059999,27.469999,28.049999,4874500,28.049999
2016-03-01,26.99,27.75,26.90,27.67,3480400,27.67
2016-02-29,27.10,27.42,26.719999,26.719999,4392400,26.719999
2016-02-26,27.280001,27.68,27.030001,27.17,4166800,27.17
2016-02-25,26.50,27.33,26.469999,27.219999,5082400,27.219999
2016-02-24,25.99,26.50,25.700001,26.48,5047600,26.48
2016-02-23,25.93,26.360001,25.809999,26.309999,6637500,26.309999
2016-02-22,25.209999,26.120001,25.209999,26.10,6476000,26.10
2016-02-19,24.549999,25.129999,24.440001,25.01,8301700,25.01
2016-02-18,24.76,24.879999,24.26,24.58,4611500,24.58
2016-02-17,24.85,24.99,24.41,24.75,4773200,24.75
2016-02-16,24.450001,24.879999,24.26,24.780001,4886000,24.780001
2016-02-12,23.709999,24.23,23.33,24.209999,4595400,24.209999
2016-02-11,23.98,24.190001,23.01,23.23,5842100,23.23
2016-02-10,24.360001,24.780001,23.85,24.469999,5652300,24.469999
2016-02-09,23.09,24.16,22.969999,24.040001,9575700,24.040001
2016-02-08,24.120001,24.34,23.139999,23.48,9761500,23.48
2016-02-05,25.280001,25.75,24.35,24.440001,9298500,24.440001
2016-02-04,25.58,26.209999,25.42,25.67,5802000,25.67
2016-02-03,26.370001,26.549999,25.00,25.73,6887800,25.73
2016-02-02,26.85,26.90,26.01,26.18,5820600,26.100001
