Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,94.93,94.93,93.589996,93.75,2904800,93.75
2016-04-01,94.349998,95.790001,93.760002,95.629997,2012700,95.629997
2016-03-31,95.160004,95.199997,94.639999,94.860001,2138100,94.860001
2016-03-30,95.629997,95.889999,94.940002,95.029999,2416800,95.029999
2016-03-29,94.940002,95.480003,94.400002,95.260002,1987000,95.260002
2016-03-28,94.760002,95.239998,94.519997,94.980003,2019400,94.980003
2016-03-24,94.419998,94.839996,94.120003,94.779999,2987500,94.779999
2016-03-23,94.959999,95.00,94.400002,94.839996,1939700,94.839996
2016-03-22,93.800003,95.160004,93.650002,94.93,2676300,94.93
2016-03-21,95.00,95.269997,94.32,94.860001,2202800,94.700001
2016-03-18,94.019997,95.290001,93.540001,95.290001,7329100,95.129276
2016-03-17,91.400002,93.830002,91.239998,93.550003,4312700,93.392213
2016-03-16,91.650002,91.709999,90.839996,91.290001,2364700,91.136023
2016-03-15,91.239998,92.160004,91.099998,91.709999,2689800,91.555313
2016-03-14,90.559998,91.800003,90.050003,91.480003,2769500,91.325705
2016-03-11,90.169998,90.889999,89.82,90.610001,2866100,90.457169
2016-03-10,89.169998,89.57,88.32,89.209999,2816900,89.059529
2016-03-09,89.43,89.440002,88.300003,88.470001,2631000,88.32078
2016-03-08,89.860001,90.050003,88.790001,88.949997,3017500,88.799966
2016-03-07,90.230003,90.540001,89.900002,90.239998,3354700,90.087791
2016-03-04,90.980003,91.489998,90.25,90.709999,3447300,90.556999
2016-03-03,90.860001,91.139999,90.269997,90.830002,2628500,90.6768
2016-03-02,90.370003,91.580002,90.139999,90.489998,3349400,90.337369
2016-03-01,89.870003,90.779999,89.639999,90.599998,3928900,90.447184
2016-02-29,88.860001,89.879997,88.620003,89.269997,4393500,89.119426
2016-02-26,88.550003,89.269997,88.300003,89.07,3108400,88.919766
2016-02-25,87.199997,88.279999,86.919998,88.260002,2124800,88.111135
2016-02-24,86.839996,87.519997,86.32,87.199997,2746300,87.052917
2016-02-23,87.330002,87.889999,86.769997,87.32,1822100,87.172718
2016-02-22,87.50,88.080002,87.349998,87.75,2277100,87.601993
2016-02-19,86.57,86.989998,86.029999,86.650002,2626700,86.50385
2016-02-18,86.610001,87.190002,86.480003,86.669998,1727200,86.523813
2016-02-17,87.040001,87.449997,86.639999,87.07,2588400,86.923139
2016-02-16,86.18,86.790001,85.809998,86.489998,2866700,86.344116
2016-02-12,84.360001,84.959999,83.769997,84.919998,2575400,84.776764
2016-02-11,83.610001,84.639999,82.860001,83.589996,2857800,83.449006
2016-02-10,85.720001,86.830002,85.029999,85.209999,2167300,85.066276
2016-02-09,83.269997,85.93,83.050003,85.190002,2577500,85.046313
2016-02-08,84.529999,84.849998,82.870003,84.139999,4497200,83.998081
2016-02-05,86.029999,86.349998,84.660004,85.040001,3023900,84.896565
2016-02-04,84.860001,86.699997,84.809998,86.449997,3067500,86.304182
2016-02-03,85.120003,85.470001,83.400002,85.040001,2460300,84.896565
2016-02-02,84.849998,85.150002,84.040001,84.370003,2692000,84.227697
2016-02-01,86.419998,86.540001,85.309998,85.959999,2728800,85.815011
2016-01-29,85.040001,86.720001,84.50,86.650002,4527700,86.50385
2016-01-28,84.779999,85.080002,84.00,84.470001,3570300,84.327526
2016-01-27,84.68,85.57,83.650002,84.25,4857400,84.107896
2016-01-26,82.889999,84.949997,81.25,84.68,6550900,84.537171
2016-01-25,85.370003,85.650002,84.239998,84.379997,3115100,84.237674
2016-01-22,85.550003,85.709999,84.720001,85.349998,3553600,85.206039
2016-01-21,84.589996,85.07,83.849998,84.43,3847700,84.287593
2016-01-20,84.459999,85.650002,83.50,85.00,4732300,84.856631
2016-01-19,86.349998,86.610001,84.650002,85.610001,3358600,85.465603
2016-01-15,85.940002,86.410004,85.07,85.190002,4866100,85.046313
2016-01-14,86.57,87.800003,85.809998,87.309998,3081000,87.162732
2016-01-13,89.169998,89.209999,86.389999,86.519997,2975600,86.374064
2016-01-12,89.629997,89.629997,87.400002,88.550003,2897700,88.400646
2016-01-11,88.849998,89.099998,87.610001,88.449997,3332300,88.300809
2016-01-08,88.699997,89.68,88.290001,88.50,3347600,88.350728
2016-01-07,89.290001,90.00,88.160004,88.449997,4510300,88.300809
2016-01-06,90.779999,91.410004,90.07,90.779999,3683400,90.626881
2016-01-05,91.739998,92.129997,91.099998,91.849998,2851000,91.695076
2016-01-04,91.059998,91.900002,90.93,91.68,4391200,91.525364
2015-12-31,92.910004,93.68,92.739998,92.879997,1739500,92.723337
2015-12-30,94.080002,94.269997,93.139999,93.349998,1266200,93.192546
2015-12-29,94.00,94.589996,93.699997,94.169998,1661000,94.011162
2015-12-28,93.190002,93.550003,92.870003,93.410004,1282200,93.25245
2015-12-24,93.440002,93.889999,93.370003,93.400002,660700,93.242464
2015-12-23,93.080002,93.959999,92.879997,93.720001,1645500,93.561924
2015-12-22,92.919998,93.029999,91.730003,92.739998,2019700,92.583574
2015-12-21,91.660004,92.489998,91.559998,92.480003,2930700,92.324018
2015-12-18,91.309998,92.260002,91.110001,91.230003,6392500,91.076126
2015-12-17,94.650002,94.839996,91.870003,91.889999,3519600,91.735009
2015-12-16,93.010002,94.400002,92.400002,94.129997,3700400,93.836457
2015-12-15,94.050003,94.300003,92.400002,92.559998,5071600,92.271353
2015-12-14,93.370003,93.779999,92.559998,93.370003,2977400,93.078833
2015-12-11,93.589996,94.110001,92.639999,93.019997,2947100,92.729918
2015-12-10,94.629997,95.440002,94.309998,94.650002,2282500,94.35484
2015-12-09,95.099998,96.389999,94.199997,94.470001,2777600,94.175401
2015-12-08,94.660004,95.900002,94.25,95.769997,3792700,95.471342
2015-12-07,96.540001,96.709999,95.949997,96.300003,2280200,95.999696
2015-12-04,94.809998,96.699997,94.550003,96.529999,4564800,96.228974
2015-12-03,95.980003,96.309998,94.230003,94.550003,3290800,94.255153
2015-12-02,96.379997,96.800003,95.82,95.980003,2070600,95.680694
2015-12-01,96.949997,97.489998,96.379997,96.650002,3264400,96.348603
2015-11-30,96.879997,97.120003,96.260002,96.389999,2990000,96.089411
2015-11-27,97.199997,97.290001,96.660004,96.849998,871400,96.547976
2015-11-25,96.839996,97.07,96.43,96.830002,1417300,96.528042
2015-11-24,96.339996,96.779999,95.900002,96.510002,2344900,96.20904
2015-11-23,97.339996,97.550003,96.639999,97.209999,1318500,96.906854
2015-11-20,97.199997,97.620003,97.019997,97.349998,1940400,97.046417
2015-11-19,96.790001,97.349998,96.599998,96.949997,3259700,96.647663
2015-11-18,95.43,97.150002,95.199997,97.029999,2029300,96.727415
2015-11-17,95.080002,96.080002,94.669998,95.349998,2206800,95.052654
2015-11-16,93.610001,95.209999,93.540001,95.150002,2404400,94.85328
2015-11-13,93.82,94.290001,93.300003,93.540001,2171100,93.248301
2015-11-12,94.599998,95.550003,94.059998,94.089996,2146200,93.796581
2015-11-11,95.199997,96.099998,95.019997,95.120003,2034000,94.823375
2015-11-10,95.110001,95.470001,94.550003,95.099998,2235700,94.803433
2015-11-09,95.489998,95.940002,94.839996,95.389999,1931400,95.09253
2015-11-06,95.190002,95.830002,95.050003,95.830002,2006000,95.53116
2015-11-05,95.900002,96.279999,95.550003,95.639999,2868800,95.34175
2015-11-04,95.660004,96.080002,95.010002,95.809998,2895600,95.511218
2015-11-03,95.199997,95.900002,94.900002,95.699997,3223900,95.401561
2015-11-02,93.510002,95.769997,93.370003,95.529999,3787500,95.232093
2015-10-30,93.00,93.93,92.32,93.309998,4019200,93.019014
2015-10-29,92.269997,93.150002,91.800003,93.040001,2327100,92.74986
2015-10-28,91.779999,92.650002,91.389999,92.599998,2630000,92.31123
2015-10-27,91.730003,92.120003,91.309998,91.660004,2653300,91.374166
2015-10-26,92.82,93.129997,92.129997,92.379997,2437600,92.091914
2015-10-23,94.239998,94.239998,92.059998,92.82,5120800,92.530545
2015-10-22,88.489998,94.610001,88.089996,93.980003,7117500,93.686931
2015-10-21,89.870003,89.959999,88.989998,89.120003,5046200,88.842086
2015-10-20,88.849998,89.830002,88.510002,89.43,2410300,89.151117
2015-10-19,88.629997,89.150002,88.330002,89.150002,1733600,88.871991
2015-10-16,89.309998,89.440002,88.330002,88.940002,3114600,88.662647
2015-10-15,88.470001,89.139999,87.970001,89.059998,2092600,88.782268
2015-10-14,89.150002,89.370003,88.110001,88.239998,3642200,87.964825
2015-10-13,88.949997,89.75,88.730003,89.190002,2336800,88.911867
2015-10-12,88.43,89.510002,88.349998,89.480003,2338700,89.200964
2015-10-09,88.830002,89.389999,88.300003,88.510002,3944600,88.233988
2015-10-08,88.199997,89.050003,87.970001,88.889999,3220200,88.6128
2015-10-07,87.919998,88.769997,87.660004,88.440002,2693500,88.164206
2015-10-06,87.669998,87.93,86.519997,87.230003,3752500,86.95798
2015-10-05,87.209999,88.199997,86.900002,88.029999,3297600,87.755481
2015-10-02,84.199997,86.660004,83.849998,86.660004,3093700,86.389758
2015-10-01,85.269997,85.75,84.129997,85.330002,3359600,85.063904
2015-09-30,84.110001,85.290001,83.830002,85.209999,5390000,84.944276
2015-09-29,82.889999,83.620003,82.599998,83.209999,4789500,82.815931
2015-09-28,84.82,85.160004,82.300003,82.400002,5874300,82.009769
2015-09-25,85.980003,86.50,85.120003,85.290001,5289900,84.886082
2015-09-24,85.089996,85.209999,84.110001,85.019997,3696300,84.617357
2015-09-23,85.730003,86.129997,85.389999,85.669998,3017300,85.26428
2015-09-22,85.559998,85.959999,84.959999,85.57,5025100,85.164755
2015-09-21,86.480003,87.050003,85.809998,86.419998,3957500,86.010728
2015-09-18,87.129997,87.139999,85.470001,86.209999,9359400,85.801723
2015-09-17,89.209999,89.410004,87.919998,88.129997,3784600,87.712629
2015-09-16,88.169998,89.389999,88.019997,89.269997,3165100,88.847229
2015-09-15,87.260002,88.550003,86.900002,88.400002,3401500,87.981354
2015-09-14,87.019997,87.290001,86.349998,86.769997,3961300,86.359069
2015-09-11,86.029999,86.849998,85.809998,86.839996,3067500,86.428737
2015-09-10,86.339996,86.739998,85.669998,86.050003,3467700,85.642485
2015-09-09,88.00,88.389999,86.230003,86.410004,2731000,86.000781
2015-09-08,87.089996,87.559998,86.169998,87.529999,3001000,87.115472
2015-09-04,85.68,86.199997,85.339996,85.589996,2844900,85.184657
2015-09-03,86.949997,87.599998,86.449997,86.879997,3008100,86.468549
2015-09-02,85.699997,86.300003,84.849998,86.279999,3439700,85.871392
2015-09-01,85.209999,85.980003,84.309998,84.790001,5232300,84.38845
2015-08-31,87.169998,88.260002,85.849998,87.019997,3521000,86.607885
2015-08-28,88.080002,88.339996,87.290001,88.059998,3244700,87.642961
2015-08-27,87.379997,88.730003,86.879997,88.459999,4039900,88.041068
2015-08-26,85.220001,86.730003,83.849998,86.669998,4821400,86.259544
2015-08-25,86.080002,86.080002,83.160004,83.230003,4009700,82.83584
2015-08-24,82.669998,86.209999,82.669998,84.050003,6068200,83.651957
2015-08-21,88.25,88.50,86.940002,86.949997,4261700,86.538217
2015-08-20,89.989998,90.199997,88.660004,88.760002,3450700,88.33965
2015-08-19,90.910004,91.489998,90.360001,90.629997,2337600,90.200789
2015-08-18,91.230003,91.800003,91.230003,91.510002,1366300,91.076627
2015-08-17,90.480003,91.669998,90.169998,91.650002,1240500,91.215963
2015-08-14,90.639999,90.989998,90.25,90.919998,1466200,90.489417
2015-08-13,90.379997,90.809998,89.93,90.43,2101500,90.001739
2015-08-12,90.360001,90.419998,89.160004,90.290001,3003200,89.862403
2015-08-11,91.110001,91.519997,90.900002,91.059998,2122700,90.628753
2015-08-10,91.68,92.43,91.660004,91.949997,1783500,91.514538
2015-08-07,91.110001,91.519997,90.260002,91.059998,1690100,90.628753
2015-08-06,92.330002,92.639999,91.300003,91.57,1659100,91.13634
2015-08-05,92.400002,92.919998,91.989998,92.260002,2155100,91.823075
2015-08-04,91.260002,92.419998,91.080002,91.760002,2501500,91.325443
2015-08-03,91.519997,91.849998,90.559998,91.330002,2358600,90.897479
2015-07-31,91.959999,92.18,91.309998,91.559998,3396200,91.126385
2015-07-30,90.529999,92.040001,90.529999,91.860001,4618400,91.424967
2015-07-29,88.910004,90.989998,88.370003,90.910004,5985100,90.47947
2015-07-28,87.959999,88.410004,87.550003,88.400002,4144900,87.981354
2015-07-27,87.419998,87.879997,86.529999,87.220001,3021300,86.806942
2015-07-24,88.839996,89.059998,87.540001,87.779999,3817200,87.364288
2015-07-23,89.00,89.639999,88.220001,89.050003,7150700,88.628278
2015-07-22,87.720001,88.290001,87.529999,87.860001,3831900,87.443911
2015-07-21,88.300003,88.540001,87.650002,87.790001,3790000,87.374243
2015-07-20,88.720001,88.839996,88.410004,88.580002,2917300,88.160502
2015-07-17,88.480003,88.760002,88.239998,88.720001,2056700,88.299839
2015-07-16,88.68,88.849998,88.00,88.699997,4356800,88.279929
2015-07-15,89.129997,89.199997,88.290001,88.330002,6055600,87.911686
2015-07-14,88.25,89.019997,88.110001,88.959999,14034200,88.5387
2015-07-13,87.169998,88.099998,87.00,88.00,4938900,87.583247
2015-07-10,86.449997,86.919998,86.059998,86.650002,4654500,86.239642
2015-07-09,86.610001,86.870003,85.720001,85.739998,5154900,85.333948
2015-07-08,86.629997,86.760002,85.660004,85.739998,5126200,85.333948
2015-07-07,86.209999,87.260002,85.18,87.07,4991900,86.657651
2015-07-06,85.93,86.349998,85.720001,85.870003,7219700,85.463337
2015-07-02,86.519997,86.93,86.279999,86.800003,3782200,86.388933
2015-07-01,86.00,86.339996,85.699997,86.339996,5669300,85.931105
2015-06-30,85.269997,85.879997,85.050003,85.589996,5618700,85.184657
2015-06-29,85.139999,85.540001,84.57,84.75,6000200,84.348639
2015-06-26,85.860001,86.029999,85.360001,85.760002,10251700,85.353858
2015-06-25,85.720001,85.800003,84.889999,85.43,2548600,85.025419
2015-06-24,85.580002,85.93,85.330002,85.419998,2928300,85.015464
2015-06-23,86.150002,86.379997,85.669998,85.720001,2264300,85.179687
2015-06-22,86.25,86.68,86.150002,86.25,2530700,85.706345
2015-06-19,85.949997,86.279999,85.639999,85.839996,4175000,85.298925
2015-06-18,84.970001,86.43,84.779999,85.949997,3461100,85.408233
