Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,64.059998,64.360001,62.830002,62.939999,1533800,62.939999
2016-04-01,63.689999,64.260002,62.540001,64.139999,1112000,64.139999
2016-03-31,64.440002,64.620003,63.73,64.330002,1019400,64.330002
2016-03-30,65.25,65.50,64.07,64.330002,1018300,64.330002
2016-03-29,63.75,64.660004,63.540001,64.639999,1043500,64.639999
2016-03-28,64.639999,64.830002,63.860001,64.239998,614900,64.239998
2016-03-24,64.370003,64.610001,63.639999,64.610001,889400,64.610001
2016-03-23,66.00,66.199997,64.620003,64.739998,983800,64.739998
2016-03-22,65.629997,66.519997,65.510002,66.300003,1437400,66.300003
2016-03-21,65.220001,66.220001,64.980003,66.150002,1020800,66.150002
2016-03-18,65.690002,66.589996,65.519997,66.019997,1710600,66.019997
2016-03-17,63.810001,66.43,63.810001,65.589996,3184200,65.589996
2016-03-16,61.48,63.82,61.41,63.720001,1768100,63.720001
2016-03-15,59.00,61.630001,58.91,61.490002,2404500,61.490002
2016-03-14,62.400002,62.959999,62.009998,62.34,976000,62.34
2016-03-11,61.810001,62.970001,61.560001,62.779999,1488700,62.779999
2016-03-10,62.049999,62.080002,60.369999,61.009998,1705800,61.009998
2016-03-09,63.150002,63.369999,61.349998,62.110001,1876100,62.110001
2016-03-08,64.419998,64.620003,63.060001,63.119999,1823200,63.119999
2016-03-07,62.950001,65.370003,62.950001,65.220001,1763200,65.220001
2016-03-04,62.73,63.84,62.18,63.200001,1124600,63.200001
2016-03-03,62.650002,63.09,62.189999,62.450001,1521100,62.450001
2016-03-02,61.650002,62.82,61.630001,62.560001,2584700,62.560001
2016-03-01,61.490002,62.27,60.75,62.27,1109800,62.27
2016-02-29,61.27,61.73,60.73,60.779999,1168300,60.779999
2016-02-26,61.259998,61.59,60.84,61.110001,948900,61.110001
2016-02-25,59.77,60.650002,59.209999,60.540001,1410200,60.540001
2016-02-24,59.34,60.049999,58.150002,59.779999,1746100,59.359998
2016-02-23,61.349998,61.799999,60.25,60.380001,1140800,59.955785
2016-02-22,61.48,62.060001,61.16,61.450001,2515400,61.018267
2016-02-19,61.470001,61.52,60.209999,60.619999,2187900,60.194096
2016-02-18,61.529999,62.279999,61.09,61.650002,1465200,61.216862
2016-02-17,60.919998,62.32,60.610001,61.650002,1571300,61.216862
2016-02-16,59.84,60.299999,58.759998,60.290001,1556300,59.866417
2016-02-12,57.970001,59.470001,57.389999,59.189999,1597000,58.774143
2016-02-11,55.919998,57.419998,55.299999,57.25,2246400,56.847774
2016-02-10,58.259998,59.02,56.900002,57.009998,1876700,56.609459
2016-02-09,58.889999,59.50,57.450001,58.130001,2379500,57.721593
2016-02-08,59.150002,59.849998,58.700001,59.669998,1256000,59.25077
2016-02-05,59.459999,60.380001,59.080002,59.939999,1496600,59.518873
2016-02-04,58.25,61.279999,58.23,59.669998,2011400,59.25077
2016-02-03,57.459999,58.560001,55.779999,58.240002,2513900,57.83082
2016-02-02,57.150002,57.380001,56.380001,56.82,3151000,56.420795
2016-02-01,57.169998,58.110001,56.950001,57.82,2012800,57.413769
2016-01-29,56.880001,58.50,56.880001,58.450001,2142000,58.039344
2016-01-28,56.610001,56.98,55.580002,56.619999,2072800,56.222199
2016-01-27,55.77,56.919998,54.919998,55.310001,2106500,54.921406
2016-01-26,53.709999,57.18,53.540001,56.060001,4152500,55.666136
2016-01-25,53.18,53.639999,52.490002,53.060001,2471100,52.687214
2016-01-22,54.099998,54.599998,52.75,53.290001,2183100,52.915597
2016-01-21,52.509998,53.91,52.00,52.849998,1469300,52.478686
2016-01-20,52.50,52.970001,50.91,52.650002,1952200,52.280094
2016-01-19,53.50,53.970001,52.66,53.240002,2087000,52.865949
2016-01-15,53.740002,53.900002,52.700001,52.900002,3017300,52.528338
2016-01-14,55.380001,56.419998,54.240002,55.709999,3115400,55.318593
2016-01-13,55.720001,57.509998,55.23,55.32,2024600,54.931334
2016-01-12,57.950001,58.23,55.080002,56.470001,4214900,56.073256
2016-01-11,58.00,58.279999,56.549999,56.970001,2210100,56.569743
2016-01-08,58.560001,58.84,57.630001,57.84,2166000,57.433629
2016-01-07,58.099998,59.16,57.73,58.34,1624500,57.930116
2016-01-06,59.439999,60.049999,58.900002,59.189999,1237500,58.774143
2016-01-05,61.66,61.880001,59.970001,60.470001,1078400,60.045152
2016-01-04,60.119999,61.66,59.830002,61.639999,1962000,61.20693
2015-12-31,61.27,62.029999,61.009998,61.310001,580100,60.879251
2015-12-30,61.810001,62.470001,61.549999,61.68,802600,61.24665
2015-12-29,62.700001,63.349998,61.75,62.169998,1196800,61.733206
2015-12-28,62.200001,62.459999,61.799999,62.310001,2066400,61.872225
2015-12-24,62.029999,62.73,61.970001,62.400002,1096900,61.961593
2015-12-23,60.450001,62.50,60.450001,62.07,1499200,61.63391
2015-12-22,59.380001,60.290001,59.139999,59.849998,1226500,59.429506
2015-12-21,58.830002,59.380001,58.529999,59.169998,1272000,58.754283
2015-12-18,59.080002,59.860001,58.450001,58.50,2488200,58.088992
2015-12-17,61.209999,61.540001,59.25,59.459999,2100500,59.042246
2015-12-16,60.68,62.810001,60.150002,61.450001,2544700,61.018267
2015-12-15,62.549999,62.810001,61.889999,62.110001,1294300,61.67363
2015-12-14,61.82,62.080002,60.720001,62.049999,1671700,61.61405
2015-12-11,62.939999,63.119999,61.619999,61.740002,1474100,61.30623
2015-12-10,63.34,64.309998,63.200001,63.779999,1384500,63.331895
2015-12-09,62.84,64.400002,62.68,63.400002,1485800,62.954567
2015-12-08,63.34,63.869999,61.91,63.099998,1956100,62.656672
2015-12-07,64.040001,64.519997,63.209999,64.220001,1968300,63.768806
2015-12-04,64.769997,65.82,64.029999,64.75,2644300,64.295081
2015-12-03,65.139999,66.080002,64.540001,65.660004,2773800,65.198691
2015-12-02,66.379997,66.559998,64.800003,65.050003,1471200,64.592976
2015-12-01,65.699997,66.879997,65.68,66.57,1804500,66.102294
2015-11-30,65.199997,66.160004,65.040001,65.900002,1667500,65.437003
2015-11-27,64.870003,65.230003,64.610001,65.089996,542000,64.632688
2015-11-25,65.510002,65.809998,64.830002,65.099998,1035900,64.64262
2015-11-24,65.050003,66.169998,65.010002,65.910004,1749500,65.029888
2015-11-23,65.230003,65.809998,64.93,65.25,1119500,64.378698
2015-11-20,65.620003,66.169998,65.220001,65.410004,1073800,64.536565
2015-11-19,64.889999,65.370003,64.440002,65.349998,780400,64.477361
2015-11-18,63.849998,65.040001,63.369999,64.970001,1031000,64.102438
2015-11-17,64.360001,64.50,63.459999,63.630001,1002400,62.780331
2015-11-16,63.060001,64.360001,62.91,64.32,989800,63.461116
2015-11-13,63.849998,65.019997,63.009998,63.099998,1977800,62.257406
2015-11-12,63.779999,64.080002,62.439999,63.900002,3310600,63.046726
2015-11-11,64.129997,64.129997,63.09,63.48,929300,62.632333
2015-11-10,63.650002,64.389999,63.09,63.990002,1081300,63.135525
2015-11-09,64.339996,64.50,63.110001,63.900002,866200,63.046726
2015-11-06,64.18,64.699997,63.32,64.489998,999400,63.628844
2015-11-05,64.82,65.309998,63.970001,64.50,1284100,63.638713
2015-11-04,65.709999,66.519997,64.889999,65.00,1285800,64.132036
2015-11-03,65.480003,66.190002,65.160004,65.389999,1365800,64.516828
2015-11-02,64.349998,65.519997,64.120003,65.239998,1064000,64.368829
2015-10-30,64.18,64.790001,63.889999,64.43,1939200,63.569648
2015-10-29,63.41,64.449997,63.400002,64.080002,1404600,63.224323
2015-10-28,62.75,64.059998,62.470001,63.810001,1729400,62.957928
2015-10-27,62.950001,63.130001,62.040001,62.450001,1348800,61.616088
2015-10-26,64.440002,64.800003,63.50,63.919998,1169500,63.066456
2015-10-23,64.959999,64.959999,63.599998,64.440002,1681100,63.579517
2015-10-22,62.310001,65.290001,61.919998,64.00,3589900,63.14539
2015-10-21,61.759998,63.66,61.23,61.880001,3032000,61.0537
2015-10-20,58.860001,62.810001,58.130001,61.529999,4677800,60.708371
2015-10-19,58.16,58.529999,57.490002,57.709999,2238800,56.939381
2015-10-16,59.779999,59.810001,57.830002,58.610001,1833800,57.827364
2015-10-15,59.439999,59.950001,58.400002,59.799999,1570400,59.001473
2015-10-14,60.110001,60.330002,59.200001,59.349998,1290800,58.557481
2015-10-13,60.48,61.27,60.23,60.330002,1525800,59.524398
2015-10-12,61.669998,61.959999,60.490002,60.880001,1388700,60.067053
2015-10-09,64.00,64.199997,61.490002,61.50,2533500,60.678773
2015-10-08,61.799999,64.25,61.75,63.84,1728300,62.987526
2015-10-07,61.830002,63.689999,60.650002,61.93,2270900,61.103031
2015-10-06,60.290001,61.509998,59.970001,61.220001,1749700,60.402513
2015-10-05,58.459999,60.619999,58.029999,60.259998,1805800,59.455329
2015-10-02,56.00,58.029999,55.68,57.98,1922100,57.205776
2015-10-01,57.310001,57.790001,55.970001,56.509998,1349400,55.755404
2015-09-30,57.139999,57.59,56.080002,57.18,2182300,56.416459
2015-09-29,56.689999,56.98,56.060001,56.50,1742700,55.745539
2015-09-28,57.48,57.490002,56.299999,56.50,1232600,55.745539
2015-09-25,58.34,58.669998,57.849998,58.07,1355300,57.294574
2015-09-24,57.029999,58.25,56.25,57.939999,1613200,57.166309
2015-09-23,59.07,59.290001,57.439999,57.849998,1504700,57.077511
