Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,17.290001,17.700001,17.17,17.219999,644900,17.219999
2016-04-01,17.09,17.440001,16.91,17.299999,1121500,17.299999
2016-03-31,17.280001,17.459999,17.18,17.27,1222700,17.27
2016-03-30,16.959999,17.85,16.85,17.219999,1512400,17.219999
2016-03-29,18.120001,18.51,17.91,18.41,500900,18.41
2016-03-28,18.25,18.469999,18.049999,18.15,305900,18.15
2016-03-24,18.07,18.299999,17.809999,18.25,285500,18.25
2016-03-23,18.719999,18.77,18.139999,18.139999,370900,18.139999
2016-03-22,19.32,19.40,18.77,18.790001,366300,18.790001
2016-03-21,19.379999,19.530001,19.16,19.440001,397700,19.440001
2016-03-18,19.34,19.639999,19.27,19.40,1141600,19.40
2016-03-17,18.709999,19.50,18.59,19.379999,699200,19.379999
2016-03-16,18.530001,18.799999,18.41,18.66,672000,18.66
2016-03-15,20.60,20.60,18.360001,18.58,1458300,18.58
2016-03-14,21.209999,21.549999,20.02,20.67,1558300,20.67
2016-03-11,21.18,21.41,21.01,21.379999,278200,21.379999
2016-03-10,21.219999,21.309999,20.629999,20.969999,408700,20.969999
2016-03-09,21.33,21.60,21.10,21.16,826100,21.16
2016-03-08,21.190001,21.34,20.85,21.139999,963800,21.139999
2016-03-07,19.530001,21.299999,19.50,21.25,1094700,21.25
2016-03-04,19.76,19.799999,19.16,19.620001,882100,19.620001
2016-03-03,18.709999,19.67,18.629999,19.639999,488000,19.639999
2016-03-02,19.040001,19.120001,18.360001,18.66,484700,18.66
2016-03-01,18.530001,18.93,18.299999,18.91,476700,18.91
2016-02-29,18.33,18.59,18.16,18.26,580500,18.26
2016-02-26,18.16,18.540001,18.02,18.370001,628500,18.370001
2016-02-25,18.129999,18.139999,17.58,18.10,860500,18.10
2016-02-24,17.629999,18.190001,17.379999,18.120001,603000,18.120001
2016-02-23,18.07,18.139999,17.719999,17.83,423400,17.83
2016-02-22,18.10,18.73,17.76,18.10,954400,18.10
2016-02-19,18.389999,18.879999,17.83,17.93,671400,17.93
2016-02-18,18.24,18.700001,18.040001,18.440001,650600,18.440001
2016-02-17,18.00,18.559999,17.799999,18.139999,909800,18.139999
2016-02-16,17.120001,17.940001,16.969999,17.92,798800,17.92
2016-02-12,17.129999,17.450001,16.700001,16.74,1276600,16.74
2016-02-11,16.799999,17.25,16.52,16.92,1007600,16.92
2016-02-10,17.200001,17.33,16.67,17.10,1118200,17.10
2016-02-09,17.65,17.92,17.040001,17.139999,1423300,17.139999
2016-02-08,16.92,18.40,16.67,17.959999,1351700,17.959999
2016-02-05,18.35,18.360001,15.81,17.030001,1855900,17.030001
2016-02-04,19.92,20.15,18.719999,19.059999,1322600,19.059999
2016-02-03,18.370001,19.879999,18.33,19.84,1902700,19.84
2016-02-02,18.959999,19.02,17.98,18.08,1844300,18.08
2016-02-01,19.77,19.799999,19.129999,19.139999,1201300,19.139999
2016-01-29,19.51,20.02,19.40,19.90,1199400,19.90
2016-01-28,20.049999,20.690001,19.110001,19.370001,2255600,19.370001
2016-01-27,23.68,23.780001,18.76,20.09,5351900,20.09
2016-01-26,23.280001,23.85,23.219999,23.74,592700,23.74
2016-01-25,23.219999,23.42,23.01,23.26,645600,23.26
2016-01-22,23.129999,23.35,22.959999,23.33,580800,23.33
2016-01-21,22.75,23.110001,22.620001,22.76,573100,22.76
2016-01-20,22.190001,22.98,21.870001,22.77,786300,22.77
2016-01-19,22.860001,22.92,22.360001,22.60,838000,22.60
2016-01-15,22.07,22.65,21.93,22.57,780700,22.57
2016-01-14,22.219999,22.700001,22.129999,22.60,736700,22.60
2016-01-13,22.129999,22.68,21.76,22.200001,1390800,22.200001
2016-01-12,21.379999,22.18,21.110001,22.129999,1297200,22.129999
2016-01-11,21.690001,21.809999,20.799999,20.940001,562700,20.940001
2016-01-08,21.540001,21.76,20.549999,21.190001,902600,21.190001
2016-01-07,22.110001,22.290001,21.280001,21.42,862600,21.42
2016-01-06,22.950001,23.059999,22.33,22.530001,1130800,22.530001
2016-01-05,24.879999,25.030001,22.67,23.280001,970500,23.280001
2016-01-04,25.02,25.16,24.42,24.879999,802100,24.879999
2015-12-31,25.690001,25.85,25.26,25.309999,524900,25.309999
2015-12-30,26.030001,26.18,25.58,25.73,382900,25.73
2015-12-29,26.209999,26.209999,25.67,26.02,408400,26.02
2015-12-28,26.209999,26.389999,25.870001,26.01,306100,26.01
2015-12-24,26.280001,26.379999,25.99,26.299999,252300,26.299999
2015-12-23,25.75,26.50,25.75,26.26,457100,26.26
2015-12-22,24.85,25.620001,24.85,25.60,509800,25.60
2015-12-21,24.940001,25.10,24.59,24.84,472500,24.84
2015-12-18,24.889999,25.08,24.629999,24.77,1023100,24.77
2015-12-17,25.35,25.42,24.76,24.93,427200,24.93
2015-12-16,24.76,25.32,24.629999,25.23,445900,25.23
2015-12-15,24.129999,25.50,23.90,24.690001,877700,24.690001
2015-12-14,23.49,24.200001,23.49,23.959999,533900,23.959999
2015-12-11,23.639999,23.709999,23.26,23.440001,509100,23.440001
2015-12-10,23.35,24.129999,23.280001,23.84,265100,23.84
2015-12-09,22.860001,23.530001,22.860001,23.299999,432900,23.299999
2015-12-08,22.84,23.040001,22.48,22.879999,513000,22.879999
2015-12-07,23.00,23.059999,22.59,22.940001,499700,22.940001
2015-12-04,23.559999,23.59,22.879999,23.07,421200,23.07
2015-12-03,23.60,24.030001,23.379999,23.549999,726800,23.549999
2015-12-02,23.67,24.02,23.450001,23.51,427600,23.51
2015-12-01,23.870001,24.18,23.58,23.93,357100,23.750001
2015-11-30,23.23,23.860001,23.129999,23.75,555100,23.571354
2015-11-27,23.65,23.65,23.139999,23.18,195700,23.005642
2015-11-25,23.280001,23.950001,23.120001,23.700001,455500,23.521731
2015-11-24,23.00,23.41,22.780001,23.290001,391300,23.114815
2015-11-23,23.030001,23.370001,22.98,23.16,429500,22.985792
2015-11-20,22.93,23.25,22.73,23.120001,530900,22.946094
2015-11-19,22.639999,22.90,22.50,22.790001,437800,22.618576
2015-11-18,22.610001,23.040001,22.34,22.629999,647800,22.459778
2015-11-17,22.92,23.25,22.50,22.559999,660400,22.390305
2015-11-16,22.52,22.90,22.360001,22.860001,437900,22.688049
2015-11-13,22.33,22.83,22.290001,22.57,562300,22.40023
2015-11-12,22.77,22.860001,22.389999,22.459999,446000,22.291057
2015-11-11,23.40,23.40,22.879999,22.889999,476100,22.717822
2015-11-10,23.65,23.92,22.85,23.309999,711000,23.134663
2015-11-09,24.93,24.99,22.790001,23.67,1543900,23.491956
2015-11-06,24.60,24.91,24.120001,24.889999,439300,24.702779
2015-11-05,24.41,24.65,23.99,24.540001,259200,24.355413
2015-11-04,24.73,25.190001,24.15,24.42,524700,24.236315
2015-11-03,23.870001,24.860001,23.780001,24.68,655200,24.494359
2015-11-02,23.610001,24.09,23.35,23.91,527500,23.730151
2015-10-30,24.07,24.23,23.50,23.559999,856500,23.382783
2015-10-29,24.35,24.73,23.879999,24.07,678200,23.888947
2015-10-28,24.02,24.92,23.719999,24.51,887100,24.325638
2015-10-27,25.530001,25.60,23.870001,23.969999,1285100,23.789699
2015-10-26,27.040001,27.10,25.58,25.75,904500,25.55631
2015-10-23,26.17,29.60,25.639999,27.139999,1848800,26.935854
2015-10-22,27.42,27.559999,25.549999,26.280001,1316900,26.082324
2015-10-21,28.74,28.780001,27.73,27.77,372000,27.561117
2015-10-20,27.889999,28.719999,27.73,28.639999,571800,28.424571
2015-10-19,27.639999,28.15,27.370001,28.00,343300,27.789386
2015-10-16,27.959999,28.030001,27.200001,27.700001,360000,27.491643
2015-10-15,27.700001,27.969999,27.059999,27.85,441100,27.640515
2015-10-14,28.290001,28.629999,27.459999,27.58,308600,27.372545
2015-10-13,28.370001,28.889999,28.209999,28.309999,373300,28.097054
2015-10-12,29.41,29.65,28.469999,28.59,348900,28.374948
2015-10-09,29.610001,29.879999,29.040001,29.440001,398000,29.218555
2015-10-08,28.379999,29.60,28.209999,29.52,509300,29.297953
2015-10-07,27.700001,28.43,27.700001,28.42,329200,28.206227
2015-10-06,27.469999,27.83,27.02,27.57,592400,27.36262
2015-10-05,26.75,27.77,26.60,27.57,604900,27.36262
2015-10-02,26.370001,26.540001,25.799999,26.540001,612700,26.340369
2015-10-01,27.24,27.309999,26.18,26.52,473200,26.320519
2015-09-30,27.389999,27.450001,26.870001,27.209999,488000,27.005327
2015-09-29,26.719999,27.110001,26.67,27.09,431200,26.886231
2015-09-28,27.66,27.889999,26.610001,26.66,844400,26.459465
2015-09-25,27.870001,28.00,27.639999,27.83,634400,27.620665
2015-09-24,27.57,27.82,27.450001,27.76,498900,27.551192
2015-09-23,27.959999,28.120001,27.469999,27.639999,871900,27.432093
2015-09-22,28.18,28.27,27.74,27.940001,591300,27.729838
2015-09-21,27.85,28.51,27.690001,28.459999,1680700,28.245925
2015-09-18,26.469999,27.27,26.200001,27.120001,1162700,26.916006
2015-09-17,26.709999,27.26,26.540001,26.83,686800,26.628187
2015-09-16,26.34,26.76,25.790001,26.549999,843200,26.350292
2015-09-15,26.15,27.08,26.129999,26.68,612100,26.479315
2015-09-14,26.309999,26.35,25.82,26.16,344200,25.963226
2015-09-11,25.950001,26.50,25.690001,26.299999,408500,26.102173
2015-09-10,25.82,26.290001,25.77,26.120001,402400,25.923528
2015-09-09,26.08,26.389999,25.68,25.860001,700500,25.665484
2015-09-08,25.469999,26.120001,25.299999,25.82,757100,25.625784
2015-09-04,25.09,25.459999,25.049999,25.17,800500,24.980673
2015-09-03,25.379999,25.50,24.719999,25.43,1004200,25.238718
2015-09-02,25.639999,25.65,24.98,25.639999,555400,25.447137
2015-09-01,25.66,26.030001,25.280001,25.360001,765000,25.169245
2015-08-31,27.049999,27.16,26.120001,26.16,870400,25.963226
2015-08-28,27.02,27.629999,27.02,27.34,665000,27.134351
2015-08-27,26.360001,27.129999,26.26,27.01,724700,26.806833
2015-08-26,25.91,26.299999,25.59,26.23,847600,26.032699
2015-08-25,25.76,25.969999,25.040001,25.459999,1706400,25.268491
2015-08-24,24.01,26.440001,24.00,25.23,1291600,25.040221
2015-08-21,25.290001,26.16,25.08,25.40,1765300,25.208943
2015-08-20,25.219999,26.299999,24.540001,25.98,2021300,25.78458
2015-08-19,25.25,29.77,24.90,25.49,4870200,25.298266
2015-08-18,27.67,27.67,26.83,27.049999,847000,26.846531
2015-08-17,27.25,27.66,27.030001,27.610001,930800,27.40232
2015-08-14,27.58,27.84,27.299999,27.35,706100,27.144276
2015-08-13,28.139999,28.40,27.65,27.68,752800,27.471793
2015-08-12,27.99,28.219999,27.49,28.139999,1030900,27.928332
2015-08-11,28.870001,29.16,28.209999,28.280001,766500,28.067281
2015-08-10,29.00,29.620001,28.790001,29.360001,930500,29.139157
2015-08-07,29.25,29.889999,28.700001,28.790001,711300,28.573445
2015-08-06,29.809999,29.91,29.360001,29.41,501500,29.18878
2015-08-05,30.34,30.50,29.76,29.780001,501600,29.555998
2015-08-04,30.049999,30.48,29.76,30.110001,394800,29.883515
2015-08-03,30.34,30.82,29.799999,30.040001,446100,29.814042
2015-07-31,31.02,31.290001,30.34,30.379999,448700,30.151483
2015-07-30,30.889999,31.01,30.52,30.85,256100,30.617949
2015-07-29,30.35,31.219999,29.92,31.00,362800,30.76682
2015-07-28,30.309999,30.690001,29.93,30.559999,352600,30.330129
2015-07-27,30.27,30.51,29.84,30.15,499600,29.923214
2015-07-24,31.360001,31.360001,30.42,30.469999,341500,30.240806
2015-07-23,31.50,32.119999,31.33,31.389999,304900,31.153886
2015-07-22,31.059999,31.459999,30.940001,31.42,284600,31.183661
2015-07-21,31.58,31.93,31.120001,31.190001,258500,30.955392
2015-07-20,31.08,31.82,30.889999,31.59,354800,31.352382
2015-07-17,31.98,31.98,30.959999,31.129999,435200,30.895842
2015-07-16,32.060001,32.18,31.84,31.959999,261200,31.719598
2015-07-15,32.07,32.139999,31.65,31.82,380800,31.580652
2015-07-14,31.48,32.049999,31.379999,32.02,341600,31.779148
2015-07-13,31.67,31.67,31.33,31.48,397500,31.243209
2015-07-10,31.42,31.90,31.34,31.43,401600,31.193586
2015-07-09,30.299999,31.16,30.27,31.09,688600,30.856143
2015-07-08,30.280001,30.48,29.75,30.01,717900,29.784267
2015-07-07,30.219999,30.57,29.879999,30.549999,822900,30.320204
2015-07-06,30.00,30.200001,29.700001,30.15,3138400,29.923214
2015-07-02,30.549999,30.780001,29.959999,30.200001,679900,29.972839
2015-07-01,30.08,30.76,29.969999,30.709999,1378200,30.479001
2015-06-30,30.10,30.26,29.32,29.98,2348500,29.754492
2015-06-29,32.349998,32.52,30.25,30.280001,1948200,30.052237
2015-06-26,32.98,33.080002,32.169998,32.669998,4606200,32.424257
2015-06-25,33.360001,33.439999,32.73,33.00,867800,32.751776
2015-06-24,33.91,34.02,33.240002,33.360001,874400,33.109069
2015-06-23,33.91,34.119999,33.580002,33.990002,406200,33.734331
2015-06-22,34.049999,34.18,33.779999,33.869999,602400,33.615231
2015-06-19,33.849998,34.099998,33.630001,33.889999,531900,33.635081
2015-06-18,33.810001,34.099998,33.599998,33.869999,306400,33.615231
2015-06-17,33.73,34.139999,33.560001,33.77,395000,33.515985
2015-06-16,33.099998,33.82,33.040001,33.700001,365100,33.446512
2015-06-15,33.240002,33.459999,32.59,33.150002,405800,32.90065
2015-06-12,33.299999,34.029999,33.240002,33.400002,676200,33.148769
2015-06-11,32.900002,33.34,32.669998,33.330002,462700,33.079296
2015-06-10,33.349998,33.560001,32.810001,32.900002,825100,32.65253
2015-06-09,33.389999,33.50,32.91,33.18,627800,32.930423
