Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,26.719999,27.290001,25.940001,26.049999,8820200,26.049999
2016-04-01,26.389999,26.870001,25.60,26.610001,15192800,26.610001
2016-03-31,26.02,27.50,25.889999,27.440001,11392800,27.440001
2016-03-30,26.57,26.969999,25.66,26.200001,10607400,26.200001
2016-03-29,25.280001,26.17,24.58,26.09,12564500,26.09
2016-03-28,26.540001,26.610001,25.219999,25.84,9682000,25.84
2016-03-24,24.879999,26.629999,24.60,26.469999,12665300,26.469999
2016-03-23,27.59,27.870001,25.450001,25.76,14786100,25.76
2016-03-22,27.57,28.629999,27.50,28.01,10758200,28.01
2016-03-21,27.290001,28.85,27.07,28.02,12896600,28.02
2016-03-18,27.93,28.559999,26.450001,27.540001,25942800,27.540001
2016-03-17,27.030001,28.07,26.33,27.40,17452800,27.40
2016-03-16,24.360001,26.24,24.209999,26.219999,15682800,26.219999
2016-03-15,24.299999,24.60,23.129999,24.09,12384600,24.09
2016-03-14,24.02,24.959999,23.799999,24.790001,12254800,24.790001
2016-03-11,23.370001,25.040001,23.309999,24.780001,19564400,24.780001
2016-03-10,22.68,22.77,21.15,22.48,18353900,22.24
2016-03-09,22.07,23.440001,21.50,22.93,14397800,22.685196
2016-03-08,23.91,23.91,21.440001,21.469999,16059700,21.240782
2016-03-07,23.299999,24.719999,23.290001,24.190001,21885000,23.931745
2016-03-04,22.51,24.040001,21.450001,23.309999,21258900,23.061139
2016-03-03,21.389999,22.51,21.190001,22.00,17474400,21.765125
2016-03-02,19.059999,21.540001,18.85,21.52,20265900,21.29025
2016-03-01,19.99,20.00,18.559999,19.219999,22698700,19.014804
2016-02-29,20.42,20.440001,19.49,19.68,17878000,19.469894
2016-02-26,20.370001,20.58,19.84,20.290001,24943100,20.073382
2016-02-25,19.450001,19.950001,18.85,19.559999,16421600,19.351174
2016-02-24,18.459999,19.50,18.219999,19.41,17820900,19.202776
2016-02-23,20.08,20.389999,18.889999,18.91,19387700,18.708114
2016-02-22,18.65,20.50,18.65,20.299999,24330200,20.083273
2016-02-19,19.25,19.309999,18.07,18.65,33916500,18.45089
2016-02-18,19.209999,20.41,18.99,19.700001,97177500,19.489681
2016-02-17,20.41,20.83,18.379999,20.33,30662900,20.112954
2016-02-16,22.34,22.530001,20.25,21.26,13772500,21.033025
2016-02-12,20.620001,21.82,20.57,21.690001,19887100,21.458435
2016-02-11,21.02,21.60,19.620001,21.25,15209000,21.023132
2016-02-10,22.200001,23.42,21.32,21.629999,9868600,21.399074
2016-02-09,22.73,23.40,22.120001,22.66,8871100,22.418078
2016-02-08,24.059999,24.18,22.24,23.68,9304900,23.427189
2016-02-05,25.85,25.940001,24.34,24.85,9510100,24.584698
2016-02-04,26.77,28.870001,26.42,26.559999,11744100,26.276441
2016-02-03,25.35,26.60,24.120001,26.59,12323100,26.306121
2016-02-02,24.879999,25.379999,24.459999,24.690001,7786100,24.426406
2016-02-01,27.030001,27.030001,25.40,26.059999,8310500,25.781779
2016-01-29,27.059999,28.66,26.799999,27.90,11270900,27.602135
2016-01-28,25.799999,26.99,25.209999,26.790001,11272800,26.503987
2016-01-27,24.16,25.85,23.52,24.49,10952700,24.228541
2016-01-26,23.889999,24.65,22.700001,24.559999,7529800,24.297793
2016-01-25,24.75,26.02,22.76,22.77,10370000,22.526905
2016-01-22,26.440001,27.50,24.969999,25.629999,14612300,25.35637
2016-01-21,21.33,24.92,21.18,24.18,10875600,23.921851
2016-01-20,22.559999,22.65,19.690001,21.59,18600900,21.359502
2016-01-19,24.879999,24.879999,22.75,23.48,9417700,23.229324
2016-01-15,24.370001,24.65,23.360001,24.49,9673400,24.228541
2016-01-14,25.040001,26.219999,24.18,25.959999,8580900,25.682846
2016-01-13,26.360001,26.690001,24.219999,24.799999,11457100,24.535231
