Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,26.799999,26.889999,26.709999,26.76,3922800,26.76
2016-04-01,26.58,26.85,26.50,26.83,11245600,26.83
2016-03-31,26.639999,26.83,26.620001,26.65,8776000,26.65
2016-03-30,26.73,26.780001,26.620001,26.700001,6219800,26.700001
2016-03-29,26.48,26.75,26.48,26.709999,12731000,26.595
2016-03-28,26.48,26.65,26.440001,26.57,6561200,26.455603
2016-03-24,26.370001,26.59,26.370001,26.48,7624500,26.36599
2016-03-23,26.450001,26.52,26.25,26.50,9305100,26.385905
2016-03-22,26.379999,26.50,26.35,26.43,7935400,26.316206
2016-03-21,26.370001,26.68,26.370001,26.48,6979100,26.36599
2016-03-18,26.52,26.58,26.309999,26.50,14614400,26.385905
2016-03-17,26.27,26.60,26.24,26.450001,10469800,26.336121
2016-03-16,26.08,26.48,26.07,26.280001,8469600,26.166853
2016-03-15,26.15,26.23,26.08,26.17,5538200,26.057326
2016-03-14,26.18,26.33,26.18,26.209999,7239600,26.097152
2016-03-11,26.35,26.389999,26.16,26.24,11298100,26.127024
2016-03-10,26.35,26.41,25.98,26.23,9822000,26.117067
2016-03-09,26.35,26.52,26.190001,26.280001,9963300,26.166853
2016-03-08,26.48,26.49,26.190001,26.35,8935300,26.236551
2016-03-07,26.209999,26.559999,26.17,26.50,9218100,26.385905
2016-03-04,26.299999,26.51,26.290001,26.309999,7725900,26.196722
2016-03-03,26.309999,26.389999,26.190001,26.32,9708900,26.206679
2016-03-02,26.450001,26.59,26.209999,26.280001,12748100,26.166853
2016-03-01,26.24,26.549999,26.15,26.549999,12664900,26.435689
2016-02-29,26.049999,26.42,26.01,26.129999,16066200,26.017497
2016-02-26,26.00,26.18,25.90,26.049999,8836000,25.937841
2016-02-25,25.50,25.950001,25.370001,25.93,9303500,25.818359
2016-02-24,25.17,25.48,25.08,25.43,12115000,25.320512
2016-02-23,25.15,25.43,25.07,25.280001,12410900,25.171158
2016-02-22,25.030001,25.299999,25.030001,25.299999,12675800,25.191071
2016-02-19,25.01,25.219999,24.98,25.030001,11416000,24.922234
2016-02-18,24.90,25.360001,24.879999,25.120001,12774800,25.011847
2016-02-17,24.75,25.049999,24.67,24.98,16014800,24.872449
2016-02-16,24.280001,24.76,24.280001,24.60,14372800,24.494086
2016-02-12,24.25,24.35,24.049999,24.129999,15221000,24.026108
2016-02-11,24.34,24.540001,23.98,24.16,21624600,24.055979
2016-02-10,24.40,24.709999,24.27,24.549999,12674900,24.4443
2016-02-09,23.870001,24.35,23.870001,24.17,13431600,24.065937
2016-02-08,24.35,24.389999,23.93,24.200001,20308000,24.095808
2016-02-05,24.709999,24.75,24.459999,24.549999,10189000,24.4443
2016-02-04,24.440001,24.77,24.40,24.75,8194900,24.643439
2016-02-03,24.35,24.49,24.040001,24.469999,10497200,24.364644
2016-02-02,24.360001,24.540001,24.25,24.299999,15676700,24.195376
2016-02-01,24.48,24.75,24.43,24.52,11306200,24.41443
2016-01-29,24.35,24.77,24.25,24.77,13961400,24.663354
2016-01-28,23.90,24.299999,23.889999,24.219999,10502300,24.115721
2016-01-27,23.76,24.209999,23.76,23.90,19793500,23.797099
2016-01-26,24.209999,24.360001,24.110001,24.299999,16804600,24.195376
