Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,75.260002,75.489998,74.209999,74.669998,1730000,74.669998
2016-04-01,74.709999,75.43,74.449997,75.169998,1426900,75.169998
2016-03-31,74.959999,75.269997,74.489998,75.029999,2210200,75.029999
2016-03-30,74.82,75.300003,74.489998,74.849998,1537800,74.849998
2016-03-29,73.639999,75.220001,73.639999,75.209999,1677200,75.209999
2016-03-28,72.559998,73.870003,72.559998,73.699997,1414400,73.699997
2016-03-24,72.190002,72.550003,71.769997,72.489998,1764900,72.489998
2016-03-23,72.82,72.93,72.330002,72.540001,1698200,72.540001
2016-03-22,72.470001,73.410004,72.300003,72.739998,1785100,72.739998
2016-03-21,74.160004,74.330002,72.82,73.019997,2051200,72.515997
2016-03-18,74.699997,75.389999,74.209999,74.260002,3298400,73.747443
2016-03-17,73.489998,74.559998,73.160004,74.449997,1699900,73.936127
2016-03-16,72.510002,73.599998,72.139999,73.360001,1433100,72.853654
2016-03-15,72.510002,72.900002,72.07,72.690002,1272700,72.18828
2016-03-14,72.709999,73.199997,72.190002,72.589996,1331800,72.088964
2016-03-11,71.970001,72.980003,70.790001,72.900002,2515200,72.39683
2016-03-10,72.389999,72.720001,70.699997,71.059998,2880200,70.569526
2016-03-09,71.00,72.110001,70.830002,71.68,1654100,71.185249
2016-03-08,71.709999,71.93,70.839996,70.970001,2019900,70.480151
2016-03-07,70.989998,71.830002,70.660004,71.660004,1208800,71.165391
2016-03-04,70.970001,71.519997,70.459999,71.470001,2064500,70.9767
2016-03-03,70.029999,71.00,69.790001,70.970001,2169400,70.480151
2016-03-02,68.57,70.349998,68.57,70.019997,2643300,69.536703
2016-03-01,67.160004,68.669998,66.620003,68.620003,3162900,68.146373
2016-02-29,74.660004,75.410004,74.290001,74.489998,3181500,66.031068
2016-02-26,74.489998,74.900002,73.540001,74.550003,3067300,66.084259
2016-02-25,73.870003,74.550003,73.57,74.50,2096400,66.039934
2016-02-24,73.50,74.059998,72.160004,73.230003,1875900,64.914155
2016-02-23,74.860001,75.230003,73.510002,73.809998,1660500,65.428287
2016-02-22,73.68,74.620003,73.629997,74.199997,1718700,65.773999
2016-02-19,72.949997,73.739998,72.489998,73.120003,1482500,64.816646
2016-02-18,72.32,73.190002,71.889999,72.970001,1838800,64.683679
2016-02-17,72.330002,72.879997,72.099998,72.440002,2213000,64.213865
2016-02-16,72.029999,72.309998,71.150002,72.18,1524600,63.983389
2016-02-12,71.669998,71.669998,70.639999,71.290001,1907700,63.194456
2016-02-11,70.709999,71.129997,69.870003,70.720001,2265600,62.689184
2016-02-10,71.860001,72.949997,71.410004,71.769997,1222400,63.619944
2016-02-09,71.949997,72.440002,71.199997,71.339996,2110500,63.238774
2016-02-08,73.279999,73.589996,70.910004,72.230003,2786900,64.027713
2016-02-05,75.940002,76.150002,73.309998,73.589996,2222800,65.233268
2016-02-04,75.269997,76.93,74.480003,76.269997,2278200,67.608933
2016-02-03,75.800003,75.919998,73.400002,75.68,3099900,67.085936
2016-02-02,77.00,77.220001,74.790001,75.599998,2787600,67.015019
2016-02-01,76.190002,77.800003,75.790001,76.730003,2142600,68.016703
2016-01-29,76.629997,77.230003,74.93,77.089996,3139600,68.335816
2016-01-28,78.120003,78.379997,75.669998,75.790001,2731900,67.183445
2016-01-27,79.650002,79.650002,77.610001,78.269997,1638300,69.381817
2016-01-26,78.349998,79.900002,78.099998,79.739998,1744300,70.684888
2016-01-25,77.610001,79.199997,77.150002,78.199997,1843100,69.319767
2016-01-22,77.370003,78.050003,76.769997,77.720001,1927000,68.894278
2016-01-21,76.779999,77.419998,76.040001,76.440002,1654200,67.759634
2016-01-20,78.43,78.669998,75.410004,76.400002,2210600,67.724175
2016-01-19,78.669998,79.720001,78.32,79.18,1647400,70.188483
2016-01-15,77.139999,78.809998,76.639999,78.580002,2136000,69.656619
2016-01-14,79.330002,79.93,78.489998,78.57,2233600,69.647753
2016-01-13,80.089996,81.07,79.080002,79.169998,1561000,70.179617
2016-01-12,80.860001,80.959999,79.50,79.940002,2004100,70.862181
2016-01-11,79.150002,80.150002,78.82,79.779999,1786200,70.720347
2016-01-08,81.059998,81.129997,78.690002,78.82,1481200,69.869363
2016-01-07,79.559998,80.949997,79.559998,80.480003,1675600,71.34086
