Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,35.689999,35.77,35.400002,35.509998,4469000,35.509998
2016-04-01,35.740002,35.950001,35.349998,35.66,6543200,35.66
2016-03-31,35.540001,35.950001,35.540001,35.860001,7197800,35.860001
2016-03-30,35.75,35.759998,35.41,35.43,4128300,35.43
2016-03-29,35.240002,35.77,34.849998,35.689999,7551700,35.689999
2016-03-28,35.27,35.490002,34.950001,35.16,4487100,35.16
2016-03-24,34.720001,35.360001,34.349998,35.310001,6011200,35.310001
2016-03-23,34.98,35.50,34.509998,34.720001,11555200,34.720001
2016-03-22,34.849998,35.200001,34.630001,35.00,3882700,35.00
2016-03-21,34.75,35.080002,34.669998,34.880001,5580700,34.880001
2016-03-18,34.98,35.110001,34.66,34.84,10004900,34.84
2016-03-17,34.860001,35.00,34.549999,34.91,5451500,34.91
2016-03-16,34.389999,34.849998,34.040001,34.779999,4997100,34.779999
2016-03-15,34.509998,34.75,34.27,34.50,5014700,34.50
2016-03-14,34.669998,34.869999,34.490002,34.650002,4750200,34.650002
2016-03-11,34.93,34.98,34.439999,34.73,5709500,34.73
2016-03-10,34.25,34.849998,34.110001,34.73,7670700,34.73
2016-03-09,34.07,34.360001,33.950001,34.169998,7158500,34.169998
2016-03-08,33.900002,34.32,33.389999,34.23,8872900,34.23
2016-03-07,33.48,34.049999,33.299999,33.919998,6891100,33.919998
2016-03-04,32.860001,33.630001,32.720001,33.360001,8424000,33.360001
2016-03-03,32.369999,33.099998,32.02,33.080002,9122900,33.080002
2016-03-02,31.610001,32.349998,30.870001,32.32,7373100,32.32
2016-03-01,31.77,31.959999,31.209999,31.77,9940000,31.77
2016-02-29,31.73,32.139999,31.450001,31.49,9552800,31.49
2016-02-26,31.860001,32.139999,31.16,31.73,12898800,31.73
2016-02-25,31.74,31.98,31.559999,31.98,6071300,31.98
2016-02-24,31.200001,31.85,31.08,31.75,7723800,31.75
2016-02-23,31.09,31.620001,31.00,31.190001,8671000,31.190001
