Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,13.14,13.34,13.02,13.24,1703800,13.24
2016-04-01,12.97,13.14,12.87,13.10,1544800,13.10
2016-03-31,13.15,13.21,12.93,13.10,1745600,13.10
2016-03-30,13.18,13.37,13.11,13.19,1468100,13.19
2016-03-29,12.99,13.09,12.77,13.09,2203600,13.09
2016-03-28,13.05,13.12,12.95,13.06,1011300,13.06
2016-03-24,12.97,13.04,12.81,13.04,1319200,13.04
2016-03-23,13.28,13.34,13.08,13.08,1501600,13.08
2016-03-22,13.26,13.37,13.14,13.31,1576700,13.31
2016-03-21,13.28,13.42,13.19,13.36,1015300,13.36
2016-03-18,13.06,13.37,13.00,13.32,4637700,13.32
2016-03-17,12.92,13.00,12.73,12.98,2010700,12.98
2016-03-16,13.01,13.23,12.87,12.97,1921000,12.97
2016-03-15,13.03,13.13,12.99,13.08,1347200,13.08
2016-03-14,13.19,13.28,13.04,13.20,1446600,13.20
2016-03-11,12.89,13.24,12.84,13.23,1338000,13.23
2016-03-10,12.79,12.88,12.54,12.78,1488600,12.78
2016-03-09,12.84,12.89,12.62,12.65,1131100,12.65
2016-03-08,13.05,13.11,12.79,12.81,2118000,12.74
2016-03-07,13.10,13.23,13.02,13.19,1404000,13.117923
2016-03-04,13.07,13.24,13.02,13.20,2008500,13.127868
2016-03-03,12.88,13.10,12.84,13.01,2013800,12.938907
2016-03-02,12.50,12.92,12.47,12.86,2644300,12.789726
2016-03-01,12.12,12.64,12.09,12.50,4249000,12.431694
2016-02-29,12.44,12.49,12.00,12.02,4514800,11.954317
2016-02-26,12.32,12.67,12.26,12.47,2916700,12.401858
2016-02-25,11.96,12.17,11.90,12.17,1612500,12.103497
2016-02-24,11.97,11.99,11.66,11.95,3854300,11.884699
2016-02-23,12.38,12.38,12.03,12.15,1940500,12.083606
2016-02-22,12.20,12.46,12.20,12.42,1338300,12.352131
2016-02-19,12.04,12.26,11.99,12.20,1497400,12.133333
2016-02-18,12.43,12.46,12.00,12.10,1984400,12.03388
2016-02-17,12.54,12.65,12.33,12.38,2570300,12.31235
2016-02-16,12.36,12.48,12.18,12.41,2524200,12.342185
2016-02-12,11.86,12.17,11.84,12.15,3414400,12.083606
2016-02-11,11.65,11.81,11.51,11.62,2531500,11.556502
2016-02-10,12.15,12.36,12.02,12.02,2563900,11.954317
2016-02-09,11.67,12.17,11.67,12.07,3228800,12.004043
2016-02-08,12.09,12.12,11.72,11.93,4531200,11.864809
2016-02-05,12.51,12.66,12.30,12.33,2038800,12.262623
2016-02-04,12.46,12.70,12.33,12.52,2184600,12.451585
2016-02-03,12.38,12.49,11.93,12.47,3918100,12.401858
2016-02-02,12.46,12.50,12.16,12.26,4236600,12.193006
2016-02-01,12.69,12.81,12.63,12.69,4802100,12.620655
2016-01-29,12.71,12.88,12.59,12.73,5074900,12.660437
2016-01-28,12.63,12.82,12.55,12.67,2493400,12.600765
2016-01-27,12.32,12.77,12.32,12.46,4040900,12.391912
2016-01-26,12.13,12.41,12.08,12.36,5837600,12.292459
2016-01-25,12.46,12.50,11.99,12.05,4832900,11.984153
2016-01-22,12.41,12.61,12.31,12.52,3052100,12.451585
2016-01-21,12.32,12.57,12.18,12.22,2750900,12.153224
2016-01-20,12.32,12.45,11.89,12.31,4664600,12.242732
2016-01-19,12.96,13.02,12.45,12.58,3567100,12.511257
2016-01-15,12.63,12.83,12.41,12.81,3364900,12.74
2016-01-14,13.10,13.22,12.82,13.11,3895800,13.03836
2016-01-13,13.43,13.47,12.77,13.03,4164300,12.958797
2016-01-12,13.32,13.37,13.09,13.35,3823100,13.277049
2016-01-11,13.38,13.57,13.01,13.15,3625200,13.078142
2016-01-08,13.56,13.60,13.09,13.11,3313200,13.03836
2016-01-07,13.74,13.88,13.39,13.40,5756900,13.326775
2016-01-06,13.97,14.09,13.83,14.03,3074300,13.953333
2016-01-05,14.16,14.27,14.02,14.19,3959700,14.112458
2016-01-04,14.22,14.24,13.91,14.16,4333400,14.082623
2015-12-31,14.62,14.73,14.51,14.52,1361500,14.440656
2015-12-30,14.84,14.86,14.69,14.71,1214500,14.629617
2015-12-29,14.78,14.90,14.68,14.87,1359500,14.788743
2015-12-28,14.61,14.66,14.38,14.66,1585900,14.57989
2015-12-24,14.57,14.75,14.55,14.70,514600,14.619672
2015-12-23,14.51,14.64,14.45,14.62,1162400,14.540109
2015-12-22,14.39,14.47,14.21,14.43,1552100,14.351148
