Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,278.57001,293.23001,293.23001,293.23001,800,289.78002
2016-04-01,293.23001,293.23001,293.23001,293.23001,1000,289.78002
2016-03-28,293.23001,293.23001,293.23001,293.23001,000,286.37059
2016-03-25,293.23001,293.23001,293.23001,293.23001,000,286.37059
2016-03-15,293.23001,293.23001,293.23001,293.23001,5200,286.37059
2016-03-14,293.23001,293.23001,293.23001,293.23001,100,286.37059
2016-03-11,293.23001,293.23001,293.23001,293.23001,100,286.37059
2016-03-10,278.57001,293.23001,293.23001,293.23001,127100,286.37059
2016-03-09,293.23001,293.23001,293.23001,293.23001,1400,286.37059
2016-03-08,293.23001,293.23001,293.23001,293.23001,7300,286.37059
2016-03-07,293.23001,293.23001,293.23001,293.23001,1200,286.37059
2016-03-04,278.57001,293.23001,293.23001,293.23001,70300,286.37059
2016-03-03,293.23001,293.23001,293.23001,293.23001,41600,286.37059
2016-03-02,308.66,308.66,293.23001,293.23001,147400,286.37059
2016-03-01,324.89999,308.66,308.66,308.66,20300,301.43964
2016-02-29,342.00,342.00,342.00,342.00,8500,333.99972
2016-02-26,342.00,342.00,342.00,342.00,9000,333.99972
2016-02-24,342.00,342.00,342.00,342.00,9100,333.99972
2016-02-23,342.00,342.00,342.00,342.00,7100,333.99972
2016-02-22,342.00,342.00,342.00,342.00,20300,333.99972
2016-02-19,342.00,342.00,342.00,342.00,6600,333.99972
2016-02-18,324.89999,342.00,342.00,342.00,18000,333.99972
2016-02-17,342.00,342.00,342.00,342.00,30100,333.99972
2016-02-16,342.00,342.00,342.00,342.00,33400,333.99972
2016-02-15,342.00,342.00,342.00,342.00,79300,333.99972
2016-02-12,340.00,342.00,340.00,342.00,116800,333.99972
2016-02-11,313.00,328.00,311.01001,326.00,457200,318.37401
2016-02-10,300.00,300.00,300.00,300.00,127500,292.98221
2016-02-09,299.98001,300.00,299.98001,300.00,225000,292.98221
2016-02-08,300.00,300.00,300.00,300.00,112700,292.98221
2016-02-05,300.00,300.00,285.00,300.00,179300,292.98221
2016-02-04,297.67001,310.00,293.00,310.00,713200,302.74829
2016-02-03,270.00,283.50,272.00,283.50,903400,276.86819
2016-02-02,282.94,282.94,282.94,282.94,318500,276.3213
2016-02-01,282.94,282.94,282.94,282.94,444500,276.3213
2016-01-29,297.82999,297.82999,297.82999,297.82999,176300,290.86296
2016-01-28,297.82999,297.82999,297.82999,297.82999,88900,290.86296
2016-01-27,313.50,313.50,313.50,313.50,64200,306.16641
2016-01-26,297.82999,313.50,313.50,313.50,62500,306.16641
2016-01-25,313.50,313.50,313.50,313.50,40000,306.16641
2016-01-22,313.50,313.50,313.50,313.50,54500,306.16641
2016-01-21,313.50,330.00,330.00,330.00,64700,322.28044
2016-01-20,313.50,330.00,330.00,330.00,31000,322.28044
2016-01-19,313.50,330.00,330.00,330.00,118900,322.28044
2016-01-18,330.00,330.00,330.00,330.00,14000,322.28044
2016-01-14,330.00,330.00,330.00,330.00,15100,322.28044
2016-01-13,330.00,330.00,330.00,330.00,17200,322.28044
2016-01-12,330.00,330.00,330.00,330.00,19500,322.28044
2016-01-11,330.00,330.00,330.00,330.00,14200,322.28044
2016-01-08,330.00,330.00,330.00,330.00,10600,322.28044
2016-01-07,330.00,330.00,330.00,330.00,11900,322.28044
2016-01-06,313.50,330.00,330.00,330.00,18700,322.28044
2016-01-05,313.50,330.00,330.00,330.00,32800,322.28044
2016-01-04,328.00,330.00,330.00,330.00,105100,322.28044
2016-01-01,330.00,330.00,330.00,330.00,000,322.28044
2015-12-31,330.00,330.00,330.00,330.00,152100,322.28044
2015-12-30,315.00,315.00,315.00,315.00,6100,307.63133
2015-12-29,300.98001,315.00,294.00,315.00,173900,307.63133
2015-12-25,286.64999,286.64999,286.64999,286.64999,000,279.9445
2015-12-23,286.64999,286.64999,286.64999,286.64999,49900,279.9445
2015-12-21,254.10001,254.10001,254.10001,254.10001,53600,248.15594
2015-12-18,254.10001,254.10001,254.10001,254.10001,78000,248.15594
2015-12-17,250.00,254.10001,250.00,254.10001,83400,248.15594
2015-12-16,242.00,242.00,242.00,242.00,110300,236.33899
2015-12-15,242.00,242.00,242.00,242.00,130900,236.33899
2015-12-14,242.00,242.00,242.00,242.00,167200,236.33899
2015-12-11,237.00,248.00,225.20,248.00,5846000,242.19863
2015-12-10,236.21001,236.00,224.39999,236.00,111500,230.47934
2015-12-09,235.89999,235.89999,235.89999,235.89999,109000,230.38168
2015-12-08,236.22,235.89999,235.89999,235.89999,106700,230.38168
