Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,65.480003,65.580002,65.32,65.410004,611300,65.410004
2016-04-01,65.139999,65.559998,65.07,65.510002,893500,65.510002
2016-03-31,64.93,65.160004,64.860001,65.139999,569600,65.139999
2016-03-30,65.139999,65.18,64.900002,64.919998,672800,64.919998
2016-03-29,64.889999,65.199997,64.870003,65.199997,652600,65.199997
2016-03-28,64.830002,65.00,64.68,64.82,322000,64.82
2016-03-24,64.519997,64.870003,64.519997,64.800003,382500,64.800003
2016-03-23,64.449997,64.650002,64.300003,64.529999,454500,64.529999
2016-03-22,64.389999,64.599998,64.339996,64.339996,327000,64.339996
2016-03-21,64.50,64.690002,64.32,64.330002,423100,64.330002
2016-03-18,65.019997,65.050003,64.419998,64.50,2114300,64.50
2016-03-17,64.860001,65.080002,64.75,64.970001,777200,64.970001
2016-03-16,64.370003,64.910004,64.199997,64.870003,1011000,64.870003
2016-03-15,64.349998,64.68,63.939999,64.540001,740200,64.540001
2016-03-14,64.599998,64.739998,64.400002,64.410004,592200,64.410004
2016-03-11,64.690002,64.75,64.489998,64.699997,794700,64.699997
2016-03-10,64.779999,64.800003,64.580002,64.650002,853000,64.650002
2016-03-09,64.790001,64.790001,64.459999,64.75,827600,64.75
2016-03-08,64.650002,64.900002,64.519997,64.68,610500,64.68
2016-03-07,64.620003,64.900002,64.529999,64.879997,688400,64.879997
2016-03-04,64.519997,64.970001,64.43,64.800003,871600,64.800003
2016-03-03,64.800003,64.800003,64.400002,64.639999,583000,64.639999
2016-03-02,64.559998,64.940002,64.300003,64.800003,693200,64.800003
2016-03-01,64.699997,64.82,64.330002,64.540001,823400,64.540001
2016-02-29,64.849998,64.910004,64.580002,64.650002,658400,64.650002
2016-02-26,65.010002,65.099998,64.800003,64.809998,661500,64.809998
2016-02-25,64.849998,65.160004,64.730003,65.139999,697400,65.139999
2016-02-24,64.400002,64.919998,64.400002,64.870003,724800,64.870003
2016-02-23,64.690002,64.82,64.599998,64.610001,598700,64.610001
2016-02-22,64.790001,64.879997,64.559998,64.75,732800,64.75
2016-02-19,64.449997,64.860001,64.260002,64.75,559500,64.75
2016-02-18,64.379997,64.709999,63.799999,64.309998,1280600,64.309998
2016-02-17,64.32,64.510002,64.019997,64.510002,638000,64.510002
2016-02-16,64.830002,64.900002,64.239998,64.610001,675300,64.079999
2016-02-12,64.709999,64.809998,64.309998,64.629997,625700,64.099832
2016-02-11,64.510002,64.879997,64.510002,64.68,679800,64.149424
2016-02-10,64.650002,64.860001,64.449997,64.769997,754200,64.238683
2016-02-09,64.410004,64.989998,64.410004,64.660004,1628800,64.129592
2016-02-08,64.510002,64.690002,64.300003,64.540001,1144600,64.010574
2016-02-05,64.559998,64.860001,64.419998,64.510002,637800,63.980821
2016-02-04,64.410004,64.93,64.309998,64.650002,902600,64.119672
2016-02-03,64.620003,64.860001,64.230003,64.449997,953400,63.921308
2016-02-02,64.220001,64.75,64.220001,64.650002,1066400,64.119672
2016-02-01,63.799999,64.589996,63.740002,64.440002,926300,63.911395
2016-01-29,64.68,64.68,63.529999,63.560001,1365600,63.038613
2016-01-28,63.709999,64.860001,63.52,64.400002,717300,63.871723
