Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,15.28,15.79,15.09,15.28,1238400,15.28
2016-04-01,14.97,15.28,14.78,15.20,1037000,15.20
2016-03-31,15.36,15.59,15.12,15.14,933600,15.14
2016-03-30,15.51,15.66,15.36,15.40,507900,15.40
2016-03-29,15.10,15.54,15.00,15.50,810900,15.50
2016-03-28,15.39,15.41,15.04,15.08,412000,15.08
2016-03-24,15.22,15.39,15.16,15.39,611200,15.39
2016-03-23,15.50,15.66,15.22,15.24,693100,15.24
2016-03-22,14.96,15.65,14.91,15.50,935900,15.50
2016-03-21,15.05,15.21,14.92,14.95,697900,14.95
2016-03-18,14.98,15.34,14.92,15.12,845400,15.12
2016-03-17,15.04,15.11,14.75,14.98,735000,14.98
2016-03-16,14.40,15.13,14.39,15.07,1001300,15.07
2016-03-15,15.09,15.19,14.36,14.44,1278100,14.44
2016-03-14,14.92,15.32,14.85,15.24,1141300,15.24
2016-03-11,15.32,15.36,14.88,14.99,1130900,14.99
2016-03-10,15.53,15.94,15.26,15.31,1670400,15.31
2016-03-09,15.39,15.62,15.22,15.50,1130500,15.50
2016-03-08,15.51,15.68,15.33,15.50,1276000,15.34
2016-03-07,15.75,15.795,15.145,15.51,1228600,15.349897
2016-03-04,15.29,15.87,15.18,15.80,1383400,15.636904
2016-03-03,15.17,15.32,15.11,15.23,1435100,15.072787
2016-03-02,15.19,15.32,15.10,15.17,1565300,15.013407
2016-03-01,15.19,15.41,15.04,15.19,1361000,15.0332
2016-02-29,14.60,15.34,14.58,15.26,1506300,15.102478
2016-02-26,14.83,14.85,14.21,14.56,1273400,14.409704
2016-02-25,14.65,14.94,14.48,14.75,726900,14.597742
2016-02-24,14.77,14.855,14.36,14.58,906100,14.429497
2016-02-23,14.85,14.95,14.54,14.87,730800,14.716503
2016-02-22,14.18,14.90,14.08,14.87,899000,14.716503
2016-02-19,14.17,14.30,13.92,14.03,834600,13.885174
2016-02-18,14.09,14.40,13.56,14.30,1394000,14.152387
2016-02-17,14.95,14.99,13.27,14.24,2274800,14.093006
2016-02-16,14.77,15.55,14.77,15.34,1783600,15.181652
2016-02-12,14.39,14.69,14.04,14.58,1522400,14.429497
2016-02-11,14.39,14.72,14.08,14.36,817400,14.211768
2016-02-10,14.67,14.81,14.19,14.59,977500,14.439394
2016-02-09,14.73,15.14,14.32,14.82,1199500,14.667019
2016-02-08,14.80,15.06,14.64,14.91,921400,14.75609
2016-02-05,14.84,15.145,14.77,15.00,1165100,14.845161
2016-02-04,14.79,15.07,14.69,14.95,776100,14.795677
2016-02-03,14.86,15.015,14.59,14.89,578700,14.736297
2016-02-02,14.73,14.82,14.36,14.79,573500,14.637329
2016-02-01,14.75,15.03,14.62,14.89,606700,14.736297
2016-01-29,14.59,14.87,14.50,14.84,765500,14.686813
2016-01-28,14.46,14.59,14.14,14.53,580000,14.380013
2016-01-27,14.48,14.80,14.01,14.46,980300,14.310736
2016-01-26,14.02,14.64,14.00,14.48,997900,14.330529
2016-01-25,14.37,14.50,14.01,14.07,972300,13.924761
2016-01-22,14.49,14.67,14.20,14.32,756400,14.17218
2016-01-21,14.27,14.43,13.96,14.25,1262400,14.102903
2016-01-20,14.35,14.526,13.39,14.27,1955500,14.122697
2016-01-19,15.30,15.30,14.26,14.50,1654600,14.350323
2016-01-15,15.50,15.50,15.087,15.27,1173700,15.112375
