Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,31.389999,31.42,30.709999,30.93,1491800,30.93
2016-04-01,31.73,31.76,30.709999,31.34,2110600,31.34
2016-03-31,31.870001,32.43,31.67,31.73,2091200,31.73
2016-03-30,31.57,31.969999,31.00,31.76,2520300,31.76
2016-03-29,30.18,31.93,30.00,31.51,3800900,31.51
2016-03-28,28.950001,30.950001,28.40,30.09,8247200,30.09
2016-03-24,30.34,30.50,29.610001,30.27,4012800,30.27
2016-03-23,30.18,30.809999,30.049999,30.370001,1966600,30.370001
2016-03-22,30.75,30.790001,30.01,30.18,2172500,30.18
2016-03-21,30.92,31.66,30.049999,30.85,3356700,30.85
2016-03-18,31.58,32.290001,30.790001,30.83,5206200,30.83
2016-03-17,32.18,32.220001,31.01,31.360001,3050200,31.360001
2016-03-16,31.15,32.009998,30.82,31.91,1527200,31.91
2016-03-15,31.51,31.73,29.969999,30.780001,2009400,30.780001
2016-03-14,30.76,32.029999,30.719999,31.66,1724200,31.66
2016-03-11,30.540001,31.09,30.440001,30.75,1619300,30.75
2016-03-10,31.33,31.33,29.940001,30.440001,2049300,30.440001
2016-03-09,30.379999,31.57,30.16,31.290001,2594500,31.290001
2016-03-08,30.889999,30.99,29.809999,30.120001,2326800,30.120001
2016-03-07,31.030001,31.700001,30.379999,30.74,2822600,30.74
2016-03-04,32.27,32.560001,31.190001,31.23,2530400,31.23
2016-03-03,31.360001,32.950001,31.280001,32.709999,3549000,32.339999
2016-03-02,30.879999,31.68,29.16,31.290001,4113100,30.936063
2016-03-01,31.049999,31.24,30.49,30.940001,2130100,30.590022
2016-02-29,30.440001,31.09,30.02,30.82,2350400,30.471378
2016-02-26,30.110001,30.610001,29.93,30.540001,1693900,30.194547
2016-02-25,29.60,30.059999,29.309999,29.959999,1528900,29.621106
2016-02-24,29.42,29.90,28.26,29.889999,1604200,29.551898
2016-02-23,29.60,29.860001,28.98,29.440001,1264900,29.106989
2016-02-22,28.530001,29.629999,28.43,29.209999,1680600,28.879589
2016-02-19,29.219999,29.219999,27.780001,28.190001,2132500,27.871128
2016-02-18,28.799999,29.799999,28.67,29.24,2762000,28.909251
2016-02-17,28.219999,29.00,27.959999,28.74,1672400,28.414906
2016-02-16,27.33,28.049999,26.889999,28.00,1436000,27.683277
2016-02-12,26.77,27.379999,26.299999,26.98,2581800,26.674814
2016-02-11,26.450001,26.950001,26.139999,26.67,1479700,26.368322
2016-02-10,27.200001,27.290001,26.620001,26.65,1370100,26.348547
2016-02-09,27.65,27.879999,26.709999,27.120001,3286800,26.813232
2016-02-08,26.549999,27.959999,26.50,27.889999,2944800,27.574521
2016-02-05,27.01,27.18,26.43,26.83,1545800,26.526512
2016-02-04,26.059999,27.190001,25.379999,27.01,2000200,26.704476
2016-02-03,26.110001,26.280001,24.75,26.17,2223400,25.873977
2016-02-02,26.629999,26.709999,25.59,25.92,1840600,25.626805
2016-02-01,26.200001,26.860001,25.85,26.809999,2787300,26.506737
2016-01-29,25.76,26.25,25.610001,26.209999,2317800,25.913524
2016-01-28,26.49,26.610001,25.67,25.709999,1398900,25.41918
2016-01-27,26.24,26.780001,25.82,26.15,2002900,25.854203
2016-01-26,25.35,26.48,25.139999,26.059999,2769000,25.765221
2016-01-25,25.60,25.969999,24.91,25.059999,1445200,24.776533
2016-01-22,25.73,26.030001,25.43,25.67,1763600,25.379633
2016-01-21,25.190001,25.940001,25.15,25.290001,2118300,25.003932
2016-01-20,25.209999,25.450001,24.33,25.190001,2236300,24.905063
2016-01-19,25.959999,25.98,25.049999,25.51,2784500,25.221443
2016-01-15,25.059999,25.940001,24.85,25.639999,3187700,25.349972
2016-01-14,27.42,27.42,25.18,25.58,4589400,25.290651
