Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,51.650002,52.00,51.169998,51.220001,1702700,51.220001
2016-04-01,51.139999,51.959999,50.66,51.66,2432000,51.66
2016-03-31,49.540001,51.540001,49.400002,51.330002,5091600,51.330002
2016-03-30,49.50,50.029999,49.080002,49.48,2726300,49.48
2016-03-29,48.07,49.310001,48.060001,49.220001,2082300,49.220001
2016-03-28,48.00,48.68,47.860001,48.310001,1525800,48.310001
2016-03-24,48.040001,48.040001,47.18,47.860001,1937400,47.860001
2016-03-23,49.52,49.73,48.290001,48.369999,2039600,48.369999
2016-03-22,49.32,49.75,48.75,49.66,1922800,49.66
2016-03-21,49.32,49.990002,49.299999,49.75,1689000,49.75
2016-03-18,48.860001,49.830002,48.799999,49.599998,4536400,49.599998
2016-03-17,48.709999,48.959999,47.959999,48.73,3256400,48.73
2016-03-16,47.32,48.950001,47.009998,48.560001,3155400,48.560001
2016-03-15,48.16,48.209999,46.970001,47.349998,2632700,47.349998
2016-03-14,48.889999,48.959999,48.150002,48.389999,1884800,48.389999
2016-03-11,48.009998,49.419998,47.959999,48.93,2365800,48.93
2016-03-10,47.75,47.939999,47.02,47.630001,1593700,47.630001
2016-03-09,47.02,48.00,46.529999,47.540001,2106000,47.540001
2016-03-08,46.720001,47.23,46.470001,46.860001,3014700,46.860001
2016-03-07,46.349998,47.619999,46.299999,46.93,2702600,46.93
2016-03-04,46.310001,47.139999,45.869999,46.759998,2141200,46.759998
2016-03-03,44.970001,46.57,44.689999,46.509998,2103800,46.509998
2016-03-02,44.32,45.169998,44.02,44.919998,2354300,44.919998
2016-03-01,43.759998,44.18,43.299999,44.07,1655400,44.07
2016-02-29,43.330002,43.650002,42.990002,43.169998,1952600,43.169998
2016-02-26,43.560001,43.91,43.290001,43.380001,1588300,43.380001
2016-02-25,42.16,43.32,41.77,43.32,1539700,43.32
2016-02-24,41.779999,42.25,40.91,42.139999,1696500,42.139999
2016-02-23,42.639999,42.830002,41.939999,42.220001,1615800,42.220001
2016-02-22,42.560001,43.290001,42.240002,42.959999,2484100,42.959999
2016-02-19,41.43,42.09,41.299999,42.00,2503200,42.00
2016-02-18,41.599998,41.849998,41.189999,41.610001,2008400,41.610001
2016-02-17,40.130001,41.639999,40.130001,41.369999,2611900,41.369999
2016-02-16,39.32,39.740002,39.09,39.700001,2509500,39.700001
2016-02-12,38.110001,38.75,36.970001,38.720001,3337300,38.720001
2016-02-11,38.360001,38.599998,37.91,38.119999,3768300,37.769998
2016-02-10,39.029999,39.619999,38.799999,38.990002,2235500,38.632013
2016-02-09,38.709999,39.00,37.849998,38.709999,3149700,38.354581
2016-02-08,40.25,40.720001,38.50,39.299999,3291800,38.939164
2016-02-05,41.200001,41.41,40.580002,40.970001,2824600,40.593833
2016-02-04,39.91,41.610001,39.880001,41.25,5008500,40.871261
2016-02-03,39.869999,40.169998,38.740002,39.849998,3530800,39.484113
2016-02-02,39.77,39.799999,38.669998,39.50,2809700,39.137328
2016-02-01,39.860001,40.349998,39.119999,40.130001,3583700,39.761545
2016-01-29,39.290001,40.360001,38.130001,40.00,5470200,39.632738
2016-01-28,37.490002,41.169998,36.360001,38.919998,10967100,38.562652
2016-01-27,38.509998,39.119999,37.18,37.490002,8610400,37.145785
2016-01-26,39.57,39.619999,38.139999,38.549999,7167300,38.19605
2016-01-25,40.880001,41.43,39.900002,40.09,3119700,39.721911
2016-01-22,41.330002,41.50,40.119999,40.73,3114900,40.356035
2016-01-21,40.040001,41.369999,39.59,40.669998,3149100,40.296584
2016-01-20,39.990002,40.439999,38.880001,39.91,3526100,39.543564
2016-01-19,40.939999,41.029999,40.02,40.66,2409900,40.286678
2016-01-15,40.75,40.900002,39.380001,40.439999,5218200,40.068696
2016-01-14,41.75,42.209999,40.900002,41.970001,2480000,41.584651
2016-01-13,42.50,43.049999,41.709999,41.799999,4958000,41.41621
2016-01-12,43.400002,43.639999,41.849998,42.349998,3639900,41.961159
2016-01-11,43.43,43.849998,41.889999,42.900002,3911300,42.506113
2016-01-08,43.439999,44.080002,43.099998,43.75,4740200,43.348307
2016-01-07,42.740002,43.889999,42.509998,43.130001,3936000,42.734
2016-01-06,44.630001,44.900002,42.889999,43.400002,5167200,43.001522
2016-01-05,45.740002,46.380001,44.970001,45.290001,2392300,44.874168
2016-01-04,44.689999,45.540001,44.200001,45.52,2706000,45.102056
2015-12-31,45.52,46.09,45.34,45.389999,1757800,44.973248
2015-12-30,45.950001,46.119999,45.549999,45.560001,1323300,45.14169
2015-12-29,46.099998,46.200001,45.610001,46.02,1359400,45.597465
2015-12-28,46.029999,46.200001,45.049999,45.77,1668200,45.34976
2015-12-24,46.549999,46.549999,46.110001,46.150002,592200,45.726273
2015-12-23,45.75,47.009998,45.75,46.549999,1744400,46.122598
2015-12-22,45.459999,45.639999,45.00,45.48,1386700,45.062422
2015-12-21,45.549999,45.59,45.00,45.220001,1332100,44.804811
2015-12-18,45.240002,45.759998,45.040001,45.119999,5612100,44.705727
2015-12-17,46.66,46.700001,45.099998,45.419998,3576000,45.002972
2015-12-16,46.099998,46.950001,46.080002,46.830002,2269700,46.400029
2015-12-15,45.970001,46.580002,45.93,45.950001,1643600,45.528108
2015-12-14,45.73,46.09,45.139999,45.529999,1956900,45.111962
2015-12-11,45.759998,45.970001,45.290001,45.630001,2393900,45.211047
2015-12-10,46.25,46.43,45.939999,46.32,1778000,45.89471
2015-12-09,46.919998,47.860001,45.959999,46.139999,1950700,45.716362
2015-12-08,46.889999,47.459999,46.889999,47.18,1657700,46.439663
2015-12-07,47.25,47.860001,47.009998,47.459999,2372400,46.715268
2015-12-04,47.02,47.939999,46.779999,47.66,3639800,46.912131
2015-12-03,47.82,47.84,46.75,47.00,4252700,46.262487
2015-12-02,48.900002,48.990002,47.50,47.650002,2327000,46.902289
2015-12-01,49.00,49.529999,48.599998,48.919998,1956000,48.152357
2015-11-30,48.77,48.98,48.349998,48.919998,2594300,48.152357
2015-11-27,49.650002,49.759998,48.540001,48.73,1314800,47.96534
2015-11-25,49.560001,49.900002,49.240002,49.73,2294900,48.949648
2015-11-24,49.209999,49.77,48.68,49.540001,2523200,48.762631
2015-11-23,49.790001,50.150002,49.209999,49.720001,3194600,48.939807
2015-11-20,50.080002,50.619999,49.740002,50.290001,4379900,49.500862
2015-11-19,49.630001,50.080002,48.900002,49.810001,2362200,49.028395
2015-11-18,48.450001,49.810001,48.439999,49.77,2461600,48.989022
2015-11-17,48.200001,48.689999,47.959999,48.349998,2381200,47.591302
2015-11-16,47.490002,48.200001,47.110001,48.130001,2716000,47.374757
2015-11-13,48.200001,48.310001,47.32,47.540001,2530600,46.794015
2015-11-12,48.900002,49.119999,48.189999,48.330002,2160700,47.571619
2015-11-11,49.720001,50.150002,49.220001,49.310001,1754600,48.536241
2015-11-10,48.799999,49.639999,48.799999,49.619999,1833000,48.841374
2015-11-09,49.18,49.34,48.73,49.029999,2000500,48.260632
2015-11-06,49.209999,49.700001,48.59,49.16,2537600,48.388593
2015-11-05,49.009998,49.630001,48.889999,49.509998,1961100,48.733099
2015-11-04,49.860001,49.950001,48.720001,48.869999,4136800,48.103143
2015-11-03,48.959999,50.009998,48.959999,49.889999,2478700,49.107138
2015-11-02,49.450001,49.720001,48.98,49.099998,2898000,48.329533
2015-10-30,49.950001,49.950001,48.810001,49.450001,3781400,48.674043
2015-10-29,47.419998,49.990002,47.389999,49.959999,9364700,49.176039
2015-10-28,47.68,48.099998,46.799999,47.73,3858800,46.981032
2015-10-27,47.759998,48.169998,47.490002,47.689999,2895500,46.941659
2015-10-26,48.200001,48.389999,47.869999,47.98,3168300,47.227109
2015-10-23,48.50,48.509998,47.389999,48.200001,6521400,47.443658
2015-10-22,47.279999,48.189999,47.00,48.110001,6748700,47.35507
2015-10-21,47.799999,48.290001,46.470001,47.029999,10864200,46.292015
2015-10-20,51.290001,51.990002,46.52,48.25,31739400,47.492873
2015-10-19,55.290001,57.099998,55.209999,56.049999,4406700,55.170476
2015-10-16,55.150002,55.490002,54.950001,55.41,1915800,54.54052
2015-10-15,54.75,55.080002,53.529999,54.970001,4080600,54.107425
2015-10-14,55.00,55.68,54.25,54.389999,2665100,53.536525
2015-10-13,54.34,55.970001,54.02,55.00,3163000,54.136953
2015-10-12,54.52,54.740002,53.77,54.66,3280600,53.802288
2015-10-09,55.080002,55.59,54.849998,55.09,2470000,54.225541
2015-10-08,54.23,55.349998,54.200001,55.080002,2527600,54.2157
2015-10-07,54.869999,55.310001,53.919998,54.549999,4504400,53.694014
2015-10-06,55.75,56.23,54.59,54.82,2811500,53.959778
2015-10-05,55.23,56.400002,55.200001,55.849998,2500000,54.973614
2015-10-02,53.369999,54.990002,53.07,54.950001,2134800,54.087739
2015-10-01,54.849998,54.950001,53.130001,54.09,2672500,53.241233
2015-09-30,54.310001,55.470001,54.18,54.900002,3069900,54.038524
2015-09-29,52.790001,53.580002,52.419998,53.220001,2663300,52.384886
2015-09-28,53.52,53.740002,52.450001,52.75,2376200,51.92226
2015-09-25,53.889999,54.139999,53.580002,53.880001,1910800,53.034529
2015-09-24,52.310001,53.68,52.23,53.439999,2312600,52.601431
2015-09-23,53.599998,53.860001,52.950001,53.09,2026000,52.256925
2015-09-22,53.810001,53.939999,53.23,53.599998,2769700,52.75892
2015-09-21,54.529999,55.50,54.50,54.82,2001400,53.959778
2015-09-18,55.009998,55.080002,54.16,54.419998,4488700,53.566053
2015-09-17,55.970001,56.560001,55.560001,55.700001,1885300,54.82597
2015-09-16,54.919998,56.16,54.889999,55.959999,2080600,55.081888
2015-09-15,54.349998,55.16,54.259998,54.990002,1801700,54.127112
2015-09-14,54.82,55.360001,54.34,54.48,2423500,53.625113
2015-09-11,54.41,54.919998,54.349998,54.779999,2236900,53.920404
2015-09-10,55.259998,55.259998,54.00,54.799999,3386700,53.634953
2015-09-09,56.27,56.68,55.310001,55.43,1919700,54.251561
