Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,79.32,79.599998,78.699997,78.93,3537400,78.93
2016-04-01,79.809998,80.150002,78.699997,79.379997,11880300,79.379997
2016-03-31,83.650002,83.669998,83.330002,83.43,3456800,83.43
2016-03-30,83.980003,83.980003,83.32,83.660004,2447400,83.660004
2016-03-29,83.32,83.879997,83.190002,83.559998,3998400,83.559998
2016-03-28,84.050003,84.339996,83.68,83.75,8817800,83.75
2016-03-24,81.860001,82.849998,81.57,82.129997,4008000,82.129997
2016-03-23,83.75,83.860001,82.489998,82.669998,5318400,82.669998
2016-03-22,83.309998,84.220001,82.160004,83.839996,9953200,83.839996
2016-03-21,84.169998,84.370003,83.459999,84.190002,14710000,84.190002
2016-03-18,79.949997,80.690002,79.699997,80.57,24546900,80.57
2016-03-17,75.860001,79.00,75.470001,76.389999,5418000,76.389999
2016-03-16,75.790001,76.120003,75.599998,76.089996,4057500,76.089996
2016-03-15,76.00,76.529999,75.699997,76.150002,4782200,76.150002
2016-03-14,75.910004,76.440002,74.849998,75.93,19495400,75.93
2016-03-11,70.050003,70.82,69.879997,70.419998,3904100,70.419998
2016-03-10,69.900002,70.279999,68.32,69.349998,1195700,69.349998
2016-03-09,70.169998,70.209999,69.57,69.940002,2980700,69.565003
2016-03-08,70.239998,70.879997,69.629997,69.769997,3648200,69.395908
2016-03-07,70.379997,71.089996,70.150002,71.00,3089500,70.619317
2016-03-04,69.900002,70.68,69.809998,70.550003,1660800,70.171733
2016-03-03,69.860001,70.519997,69.599998,70.07,1696400,69.694303
2016-03-02,69.650002,70.330002,69.489998,70.25,1862000,69.873338
2016-03-01,69.470001,70.57,69.470001,70.199997,1915700,69.823603
2016-02-29,69.18,69.940002,68.889999,69.110001,2131200,68.739451
2016-02-26,69.650002,69.809998,68.980003,69.25,1286200,68.8787
2016-02-25,67.610001,69.029999,67.360001,68.959999,1639700,68.590254
2016-02-24,66.349998,67.739998,65.68,67.510002,1308400,67.148031
2016-02-23,67.010002,67.410004,66.720001,66.779999,3444500,66.421942
2016-02-22,66.93,67.870003,66.800003,67.260002,3608800,66.899372
2016-02-19,65.25,66.419998,64.790001,66.330002,2250900,65.974358
2016-02-18,65.690002,66.440002,64.650002,65.43,4514200,65.079182
2016-02-17,65.75,67.75,65.660004,66.949997,3124600,66.591029
2016-02-16,64.360001,65.900002,64.25,65.040001,2643800,64.691274
2016-02-12,62.68,64.139999,62.150002,64.010002,1187900,63.666797
2016-02-11,60.900002,62.630001,60.889999,62.110001,2190300,61.776983
2016-02-10,61.700001,63.040001,61.330002,62.029999,1604600,61.69741
2016-02-09,59.459999,61.869999,59.259998,61.200001,2927800,60.871863
2016-02-08,60.419998,60.84,58.380001,60.080002,3179500,59.757869
2016-02-05,61.689999,62.00,60.59,61.009998,1563400,60.682879
2016-02-04,60.75,62.150002,60.380001,62.029999,2099300,61.69741
2016-02-03,60.869999,61.18,59.310001,60.91,1783900,60.583417
