Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,26.24,26.59,26.200001,26.33,3409500,26.33
2016-04-01,26.379999,26.42,25.940001,26.23,4241400,26.23
2016-03-31,26.450001,26.57,26.219999,26.42,3699300,26.42
2016-03-30,26.790001,26.950001,26.33,26.41,2614200,26.41
2016-03-29,26.459999,26.77,26.17,26.719999,3698300,26.719999
2016-03-28,26.66,26.74,26.190001,26.42,3884000,26.42
2016-03-24,26.84,27.09,26.60,26.610001,3816800,26.610001
2016-03-23,26.959999,27.110001,26.76,26.99,2572700,26.99
2016-03-22,27.16,27.280001,26.77,26.969999,3238100,26.969999
2016-03-21,27.389999,27.73,27.379999,27.58,3007000,27.58
2016-03-18,26.950001,27.389999,26.77,27.370001,6935600,27.370001
2016-03-17,27.10,27.23,26.889999,27.01,2801500,27.01
2016-03-16,27.08,27.18,26.75,27.09,2841700,27.09
2016-03-15,27.709999,27.76,27.200001,27.23,2955900,27.23
2016-03-14,28.200001,28.32,27.780001,27.92,2379800,27.92
2016-03-11,28.07,28.610001,28.01,28.17,3685600,28.17
2016-03-10,27.559999,28.10,27.52,28.07,5921200,27.87
2016-03-09,28.00,28.200001,27.370001,27.41,5075400,27.214703
2016-03-08,28.02,28.16,27.33,27.879999,6399900,27.681354
2016-03-07,27.540001,28.299999,27.299999,28.110001,9105800,27.909716
2016-03-04,29.27,29.809999,26.93,27.76,22307800,27.56221
2016-03-03,32.619999,32.990002,32.450001,32.900002,2839200,32.665588
2016-03-02,32.709999,32.810001,32.400002,32.59,2784100,32.357796
2016-03-01,33.169998,33.25,32.400002,32.810001,3797900,32.576229
2016-02-29,33.68,33.700001,32.849998,32.880001,2813000,32.64573
2016-02-26,33.84,34.00,33.639999,33.73,1606800,33.489673
2016-02-25,33.630001,33.869999,33.380001,33.709999,2065800,33.469815
2016-02-24,33.389999,33.560001,32.73,33.490002,1836400,33.251385
2016-02-23,33.790001,33.91,33.43,33.650002,2079600,33.410245
2016-02-22,34.349998,34.669998,33.84,34.029999,2126600,33.787534
2016-02-19,34.25,34.25,33.700001,33.959999,1835100,33.718033
2016-02-18,34.619999,34.779999,34.18,34.200001,1881900,33.956325
2016-02-17,34.919998,35.139999,34.630001,34.68,2534200,34.432905
2016-02-16,34.00,34.68,33.610001,34.59,3546800,34.343546
2016-02-12,33.450001,33.849998,33.200001,33.720001,2510400,33.479746
2016-02-11,33.52,33.66,32.77,33.16,3369000,32.923734
2016-02-10,34.52,34.759998,33.970001,34.02,2423700,33.777607
2016-02-09,34.200001,34.689999,33.91,34.18,2838900,33.936467
2016-02-08,34.630001,34.880001,34.080002,34.50,3604900,34.254187
2016-02-05,34.619999,35.080002,34.57,34.98,3906800,34.730766
2016-02-04,33.990002,34.650002,33.82,34.619999,2062800,34.373331
2016-02-03,34.25,34.34,33.700001,34.07,2316600,33.82725
