Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,77.82,77.93,76.940002,76.989998,939400,76.989998
2016-04-01,77.389999,78.00,75.57,77.800003,1881400,77.800003
2016-03-31,78.629997,79.099998,77.339996,77.860001,1342900,77.860001
2016-03-30,78.839996,79.099998,77.800003,78.709999,913100,78.709999
2016-03-29,77.860001,78.660004,77.110001,78.480003,649400,78.480003
2016-03-28,78.410004,78.540001,77.599998,77.839996,698100,77.839996
2016-03-24,78.599998,79.349998,77.800003,78.160004,780800,78.160004
2016-03-23,79.480003,79.50,78.50,79.040001,934500,79.040001
2016-03-22,78.239998,80.32,78.18,79.620003,1162400,79.620003
2016-03-21,78.529999,78.93,77.93,78.559998,949800,78.559998
2016-03-18,78.889999,79.57,78.519997,78.900002,1214500,78.900002
2016-03-17,78.300003,79.190002,77.93,78.519997,1003400,78.519997
2016-03-16,77.599998,78.529999,77.269997,78.360001,920600,78.360001
2016-03-15,78.629997,79.529999,76.730003,77.660004,1468000,77.660004
2016-03-14,80.00,80.540001,79.529999,79.589996,866700,79.589996
2016-03-11,80.129997,80.629997,78.949997,80.419998,956600,80.419998
2016-03-10,79.900002,81.129997,78.790001,79.639999,852200,79.639999
2016-03-09,78.769997,80.190002,78.309998,79.760002,1090500,79.760002
2016-03-08,78.75,79.43,77.18,78.169998,1480500,78.169998
2016-03-07,80.550003,80.650002,78.889999,79.330002,1187400,78.830003
2016-03-04,80.559998,81.889999,80.540001,81.150002,943800,80.638531
2016-03-03,79.75,80.68,79.57,80.470001,848900,79.962817
2016-03-02,79.139999,81.220001,79.00,80.150002,911200,79.644834
2016-03-01,78.769997,80.230003,77.730003,79.400002,1531700,78.899561
2016-02-29,77.459999,79.75,77.43,78.019997,1677900,77.528254
2016-02-26,76.529999,76.970001,76.18,76.540001,850200,76.057587
2016-02-25,75.93,76.360001,75.209999,76.139999,751600,75.660106
2016-02-24,74.940002,75.660004,74.480003,75.459999,790800,74.984392
2016-02-23,76.00,76.360001,75.32,75.400002,797100,74.924772
2016-02-22,75.809998,76.830002,75.809998,76.440002,1130200,75.958218
2016-02-19,74.510002,75.389999,73.739998,75.18,1123300,74.706158
2016-02-18,74.349998,76.099998,74.220001,74.349998,724800,73.881387
2016-02-17,73.800003,74.629997,73.660004,74.260002,808800,73.791958
2016-02-16,73.050003,73.550003,72.529999,73.459999,1077700,72.996997
2016-02-12,72.50,72.519997,71.220001,72.059998,948300,71.60582
2016-02-11,71.720001,72.400002,70.970001,71.709999,1066300,71.258027
2016-02-10,73.260002,73.669998,72.400002,72.720001,1298300,72.261663
2016-02-09,72.199997,73.720001,72.080002,72.730003,1301400,72.271603
2016-02-08,74.800003,75.269997,71.760002,73.019997,2037700,72.559768
2016-02-05,78.839996,78.839996,74.919998,75.68,1792900,75.203006
2016-02-04,77.720001,79.82,77.580002,78.839996,1455500,78.343086
2016-02-03,77.529999,78.860001,77.25,77.889999,3180100,77.399076
2016-02-02,84.010002,84.089996,77.029999,78.239998,6299600,77.746869
2016-02-01,86.080002,87.139999,85.779999,86.720001,1395100,86.173425
2016-01-29,85.279999,87.110001,84.970001,86.970001,1338800,86.421849
2016-01-28,85.040001,85.489998,83.949997,84.790001,890300,84.255589
2016-01-27,85.230003,87.019997,84.559998,84.839996,1186700,84.305269
2016-01-26,84.290001,85.720001,84.169998,85.620003,985700,85.080359
2016-01-25,83.900002,84.760002,83.410004,84.129997,1610400,83.599745
2016-01-22,84.010002,84.120003,82.699997,84.059998,2094600,83.530186
2016-01-21,83.690002,84.559998,82.43,82.849998,1081300,82.327814
2016-01-20,83.269997,84.139999,81.57,83.580002,1272000,83.053216
2016-01-19,84.989998,85.459999,83.199997,84.339996,1170000,83.80842
2016-01-15,82.720001,84.339996,82.25,84.25,1660300,83.718991
2016-01-14,85.529999,85.540001,84.25,84.489998,1532800,83.957477
2016-01-13,88.879997,89.349998,85.25,85.400002,1444400,84.861745
2016-01-12,87.32,89.169998,86.459999,88.910004,1948300,88.349624
2016-01-11,86.599998,87.459999,85.389999,86.940002,1273900,86.392039
2016-01-08,86.50,87.720001,85.800003,85.839996,2067100,85.298966
2016-01-07,85.849998,87.620003,85.519997,86.239998,2098300,85.696447
2016-01-06,87.25,88.580002,86.980003,87.370003,1971200,86.819329
2016-01-05,87.879997,89.25,87.209999,88.169998,1175500,87.614283
2016-01-04,86.400002,87.690002,85.959999,87.650002,1327100,87.097563
2015-12-31,87.209999,87.660004,86.690002,86.900002,593600,86.35229
2015-12-30,88.059998,88.199997,87.230003,87.43,482900,86.878949
2015-12-29,87.769997,88.68,87.519997,88.300003,577500,87.743468
2015-12-28,88.949997,89.00,86.510002,87.089996,1190600,86.541088
2015-12-24,87.82,89.779999,87.82,89.480003,728900,88.916031
2015-12-23,86.970001,88.160004,86.839996,87.82,1006100,87.26649
2015-12-22,85.019997,86.879997,84.559998,86.650002,1201800,86.103866
2015-12-21,83.290001,84.410004,83.07,84.349998,1044800,83.81836
2015-12-18,83.00,83.199997,82.470001,82.709999,1624200,82.188697
2015-12-17,84.25,84.599998,82.870003,83.120003,823200,82.596116
