Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,16.00,16.040001,15.59,15.68,11262300,15.68
2016-04-01,16.469999,16.469999,16.00,16.059999,11384800,16.059999
2016-03-31,16.450001,16.73,16.360001,16.700001,8326400,16.700001
2016-03-30,16.549999,16.77,16.450001,16.459999,5843800,16.459999
2016-03-29,16.200001,16.540001,15.95,16.459999,7475400,16.459999
2016-03-28,16.219999,16.440001,16.02,16.34,5753900,16.140001
2016-03-24,16.07,16.25,15.77,16.18,7300600,15.981959
2016-03-23,16.48,16.51,16.01,16.18,11951700,15.981959
2016-03-22,16.73,16.77,16.34,16.48,11057200,16.278286
2016-03-21,16.99,17.26,16.67,16.82,8196800,16.614125
2016-03-18,16.809999,17.08,16.76,16.969999,19795700,16.762289
2016-03-17,16.98,16.98,16.120001,16.75,14295600,16.544982
2016-03-16,16.450001,16.969999,16.450001,16.91,9350400,16.703024
2016-03-15,16.65,16.73,16.370001,16.559999,7031800,16.357307
2016-03-14,16.799999,17.17,16.65,16.870001,15992700,16.663514
2016-03-11,16.290001,16.67,16.17,16.629999,9953200,16.42645
2016-03-10,16.32,16.50,15.73,16.049999,10025400,15.853549
2016-03-09,16.32,16.370001,15.99,16.17,9644100,15.972081
2016-03-08,16.73,16.84,16.219999,16.27,10673800,16.070858
2016-03-07,16.389999,16.85,16.299999,16.84,9775700,16.633881
2016-03-04,16.18,16.58,16.129999,16.49,7293200,16.288164
2016-03-03,15.99,16.23,15.95,16.110001,11328900,15.912816
2016-03-02,15.82,16.00,15.78,15.95,8003400,15.754774
2016-03-01,15.48,15.88,15.46,15.85,9658500,15.655998
2016-02-29,15.42,15.54,15.24,15.31,8786800,15.122608
2016-02-26,15.54,15.74,15.34,15.39,9182900,15.201629
2016-02-25,15.14,15.51,14.99,15.51,7223100,15.32016
2016-02-24,14.86,15.12,14.64,15.05,7536800,14.86579
2016-02-23,15.23,15.46,14.93,14.96,7504700,14.776892
2016-02-22,15.21,15.59,15.14,15.32,8763800,15.132485
2016-02-19,15.17,15.27,14.89,15.06,8193100,14.875668
2016-02-18,15.04,15.52,14.89,15.32,9495700,15.132485
2016-02-17,15.57,16.00,14.60,14.97,20458200,14.786769
2016-02-16,14.64,14.89,14.53,14.84,13978600,14.65836
2016-02-12,14.07,14.48,13.98,14.42,9798500,14.243501
2016-02-11,13.83,14.04,13.66,13.88,9800400,13.710111
2016-02-10,13.90,14.54,13.87,14.08,8472800,13.907663
2016-02-09,13.56,14.34,13.56,13.85,11314200,13.680478
2016-02-08,14.04,14.05,13.41,13.76,12926600,13.59158
2016-02-05,14.12,14.54,13.91,14.15,11994700,13.976805
2016-02-04,13.59,14.29,13.54,14.20,13723700,14.026194
2016-02-03,13.33,13.68,12.98,13.64,10255600,13.473048
2016-02-02,13.53,13.53,13.02,13.23,9583400,13.068066
2016-02-01,13.72,13.88,13.55,13.71,6979300,13.542191
2016-01-29,13.39,14.08,13.27,13.85,15907600,13.680478
2016-01-28,13.73,13.82,13.11,13.19,11083800,13.028556
2016-01-27,13.81,14.09,13.40,13.55,7579700,13.38415
2016-01-26,13.63,14.12,13.59,13.87,13113600,13.700233
2016-01-25,13.81,13.93,13.49,13.57,9534200,13.403905
2016-01-22,13.75,14.31,13.58,13.80,19432100,13.63109
2016-01-21,12.92,13.89,12.79,13.50,14843300,13.334762
2016-01-20,12.63,13.00,12.17,12.83,12428500,12.672962
2016-01-19,13.28,13.50,12.80,12.82,10988900,12.663085
2016-01-15,13.36,13.45,12.86,13.16,10937000,12.998923
2016-01-14,13.53,13.88,13.17,13.78,12012000,13.611334
2016-01-13,14.34,14.36,13.38,13.46,13945600,13.295251
2016-01-12,14.92,15.00,14.23,14.33,13354100,14.154603
2016-01-11,14.47,14.84,14.45,14.75,10259600,14.569462
2016-01-08,14.56,14.78,14.49,14.51,6623100,14.3324
2016-01-07,14.90,15.10,14.53,14.55,7847800,14.37191
2016-01-06,15.16,15.22,14.92,15.07,8897400,14.885545
2016-01-05,15.21,15.41,15.03,15.39,8954100,15.201629
2016-01-04,15.08,15.27,14.90,15.16,7723800,14.974443
2015-12-31,15.72,15.74,15.33,15.34,6264400,15.15224
2015-12-30,15.90,16.10,15.72,15.76,4345400,15.5671
2015-12-29,15.71,15.94,15.68,15.93,5793200,15.735019
2015-12-28,15.90,15.97,15.63,15.78,5229500,15.389302
2015-12-24,16.00,16.059999,15.89,15.95,2665800,15.555093
2015-12-23,15.48,15.96,15.41,15.96,7589700,15.564846
