Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,18.43,18.43,17.74,17.870001,1071900,17.870001
2016-04-01,18.040001,18.639999,17.92,18.49,760300,18.49
2016-03-31,17.799999,18.370001,17.799999,18.25,724400,18.25
2016-03-30,17.84,18.00,17.33,17.90,891800,17.90
2016-03-29,17.74,17.799999,16.98,17.639999,772300,17.639999
2016-03-28,17.84,18.00,17.719999,17.940001,648200,17.74
2016-03-24,17.389999,17.790001,17.129999,17.59,548600,17.393902
2016-03-23,17.83,17.83,17.389999,17.42,375900,17.225797
2016-03-22,17.700001,17.889999,17.370001,17.83,445300,17.631226
2016-03-21,17.950001,17.99,17.33,17.809999,380000,17.611449
2016-03-18,18.129999,18.35,17.809999,17.959999,705500,17.759776
2016-03-17,17.959999,18.26,16.860001,17.77,1401600,17.571896
2016-03-16,15.87,17.18,15.78,17.01,1429900,16.820368
2016-03-15,16.110001,16.110001,15.85,15.90,321200,15.722742
2016-03-14,16.15,16.370001,16.059999,16.17,275100,15.989732
2016-03-11,15.76,16.299999,15.76,16.190001,472600,16.00951
2016-03-10,15.88,15.98,15.46,15.69,259000,15.515083
2016-03-09,15.97,16.030001,15.55,15.75,381000,15.574415
2016-03-08,16.059999,16.09,15.78,15.91,244300,15.732631
2016-03-07,15.78,16.190001,15.43,16.190001,548000,16.00951
2016-03-04,15.71,16.00,15.56,15.79,514100,15.613969
2016-03-03,15.37,15.92,15.28,15.76,401400,15.584303
2016-03-02,15.31,15.40,15.06,15.38,304500,15.20854
2016-03-01,14.93,15.39,14.87,15.31,347100,15.13932
2016-02-29,14.95,14.96,14.58,14.78,480300,14.615228
2016-02-26,14.77,15.29,14.77,14.94,506100,14.773444
2016-02-25,14.27,14.66,14.24,14.66,312600,14.496566
2016-02-24,14.12,14.54,13.79,14.30,499800,14.14058
2016-02-23,14.68,14.82,14.15,14.36,648900,14.19991
2016-02-22,14.38,14.79,14.37,14.69,455300,14.526231
2016-02-19,14.25,14.28,13.99,14.27,564000,14.110915
2016-02-18,14.14,14.31,13.85,14.27,446600,14.110915
