Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,32.200001,32.380001,31.74,32.00,21507000,32.00
2016-04-01,32.27,32.470001,32.099998,32.450001,18011300,32.450001
2016-03-31,32.529999,32.66,32.32,32.349998,17650800,32.349998
2016-03-30,32.450001,32.75,32.290001,32.709999,16364800,32.709999
2016-03-29,31.93,32.439999,31.73,32.380001,15178600,32.380001
2016-03-28,31.870001,32.00,31.620001,31.90,11419200,31.90
2016-03-24,31.870001,31.950001,31.700001,31.879999,14126100,31.879999
2016-03-23,32.470001,32.470001,31.98,32.00,18460900,32.00
2016-03-22,32.16,32.459999,31.950001,32.32,22150700,32.32
2016-03-21,32.23,32.419998,31.950001,32.34,21642300,32.34
2016-03-18,32.16,32.689999,32.060001,32.68,49633200,32.68
2016-03-17,31.76,32.169998,31.700001,31.98,22813000,31.98
2016-03-16,31.49,31.799999,31.17,31.690001,26062400,31.690001
2016-03-15,31.34,31.65,31.059999,31.65,16893700,31.65
2016-03-14,31.66,31.690001,31.299999,31.43,17391300,31.43
2016-03-11,31.67,31.790001,31.530001,31.76,22394500,31.76
2016-03-10,31.139999,31.40,30.379999,31.25,29434600,31.25
2016-03-09,30.83,31.040001,30.67,30.870001,14572800,30.870001
2016-03-08,30.83,30.879999,30.379999,30.559999,18850600,30.559999
2016-03-07,30.59,31.120001,30.50,30.940001,18858200,30.940001
2016-03-04,30.50,30.860001,30.049999,30.629999,20169900,30.629999
2016-03-03,31.129999,31.35,30.540001,30.58,25608800,30.58
2016-03-02,30.299999,30.870001,30.120001,30.540001,23418500,30.540001
2016-03-01,29.93,30.530001,29.75,30.370001,25355600,30.370001
2016-02-29,29.719999,30.139999,29.58,29.59,21616500,29.59
2016-02-26,29.879999,30.08,29.700001,29.799999,19878200,29.799999
2016-02-25,29.32,29.620001,28.950001,29.620001,17311000,29.620001
2016-02-24,28.52,29.299999,28.379999,29.190001,21444600,29.190001
2016-02-23,29.299999,29.35,28.60,28.799999,26432900,28.799999
2016-02-22,29.110001,29.540001,29.00,29.35,23750400,29.35
2016-02-19,29.200001,29.33,28.709999,28.709999,41618800,28.709999
2016-02-18,29.530001,29.76,29.379999,29.42,20261500,29.42
2016-02-17,28.860001,29.620001,28.73,29.469999,27295100,29.469999
2016-02-16,28.75,28.950001,28.360001,28.780001,30354200,28.780001
2016-02-12,28.57,28.700001,28.139999,28.639999,19507900,28.639999
2016-02-11,27.83,28.41,27.68,28.219999,28142600,28.219999
