Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,41.02,41.119999,40.50,40.560001,3065000,40.560001
2016-04-01,40.75,41.02,40.380001,40.970001,3986400,40.970001
2016-03-31,41.00,41.16,40.610001,41.040001,4313000,41.040001
2016-03-30,41.450001,41.549999,40.869999,41.00,2993700,41.00
2016-03-29,40.77,41.360001,40.34,41.34,2966000,41.34
2016-03-28,40.900002,41.009998,40.540001,40.860001,2159200,40.860001
2016-03-24,40.50,40.82,40.220001,40.790001,2746500,40.790001
2016-03-23,41.18,41.380001,40.650002,40.709999,2636800,40.709999
2016-03-22,41.220001,41.799999,40.959999,41.279999,3436400,41.279999
2016-03-21,40.950001,42.09,40.950001,41.459999,4512300,41.459999
2016-03-18,41.91,41.91,40.509998,40.939999,9818200,40.939999
2016-03-17,40.310001,41.700001,40.240002,41.27,5021500,41.27
2016-03-16,39.349998,40.57,39.290001,40.389999,5839000,40.389999
2016-03-15,39.82,39.939999,39.130001,39.470001,4896600,39.470001
2016-03-14,39.98,40.43,39.860001,40.009998,5546800,40.009998
2016-03-11,39.799999,40.049999,39.709999,39.900002,4144100,39.900002
2016-03-10,38.779999,39.360001,38.459999,39.25,5242900,39.25
2016-03-09,38.09,38.619999,37.880001,38.549999,3928100,38.549999
2016-03-08,38.740002,38.900002,37.77,37.830002,3492000,37.830002
2016-03-07,38.650002,39.09,38.549999,38.919998,2788500,38.919998
2016-03-04,38.23,39.169998,38.130001,38.73,4652100,38.73
2016-03-03,36.799999,38.369999,36.779999,38.310001,5129500,38.310001
2016-03-02,36.450001,37.049999,36.419998,36.779999,3123300,36.779999
2016-03-01,36.02,36.91,35.93,36.639999,3639800,36.639999
2016-02-29,35.200001,36.200001,35.16,35.700001,4242700,35.700001
2016-02-26,35.00,35.50,34.970001,35.240002,3335400,35.240002
2016-02-25,34.779999,34.950001,34.310001,34.790001,3083900,34.790001
2016-02-24,33.990002,34.860001,33.799999,34.709999,3610800,34.709999
2016-02-23,34.18,34.310001,33.759998,34.189999,3749900,34.189999
2016-02-22,34.43,34.50,34.080002,34.349998,4028100,34.349998
2016-02-19,34.810001,34.810001,33.43,34.009998,5873900,34.009998
2016-02-18,35.540001,35.610001,35.029999,35.32,2970400,35.32
2016-02-17,35.299999,36.169998,35.259998,35.580002,4466400,35.580002
2016-02-16,34.549999,35.139999,34.220001,35.099998,3380500,35.099998
2016-02-12,33.57,35.150002,33.52,34.16,6366300,34.16
2016-02-11,33.849998,34.130001,32.860001,33.119999,5885500,33.119999
2016-02-10,35.27,36.119999,34.700001,34.779999,7779000,34.339998
2016-02-09,34.009998,35.200001,33.75,35.130001,6144000,34.685573
2016-02-08,34.50,34.610001,33.720001,34.360001,4257100,33.925313
2016-02-05,35.060001,35.360001,34.810001,34.970001,6531400,34.527597
2016-02-04,34.23,35.389999,33.900002,35.07,6493900,34.62633
2016-02-03,34.700001,35.48,33.060001,34.169998,8870700,33.737715
2016-02-02,34.080002,34.09,33.48,33.860001,5374200,33.431639
2016-02-01,34.029999,34.330002,33.509998,34.09,5573900,33.658729
2016-01-29,32.880001,34.220001,32.830002,34.209999,6266000,33.77721
2016-01-28,33.099998,33.240002,32.560001,32.650002,4276100,32.236947
2016-01-27,32.77,33.669998,32.529999,32.91,6765000,32.493657
2016-01-26,32.810001,33.290001,32.580002,32.869999,8396000,32.454162
2016-01-25,34.98,35.009998,32.50,32.580002,14645200,32.167833
2016-01-22,36.029999,36.799999,36.029999,36.450001,3713800,35.988873
2016-01-21,35.450001,35.990002,34.939999,35.459999,3355600,35.011396
2016-01-20,35.07,35.610001,34.029999,35.290001,4650400,34.843548
2016-01-19,36.759998,36.830002,35.02,35.639999,4418100,35.189119
2016-01-15,35.490002,36.799999,35.490002,36.419998,5079700,35.95925
2016-01-14,36.169998,36.790001,35.689999,36.540001,4106100,36.077735
2016-01-13,36.549999,37.049999,35.98,36.049999,3962300,35.593932
2016-01-12,36.720001,36.880001,35.950001,36.349998,3960200,35.890136
2016-01-11,36.18,36.540001,35.950001,36.400002,5870700,35.939506
2016-01-08,36.299999,36.779999,35.779999,35.900002,4781000,35.445832
2016-01-07,36.790001,37.220001,36.18,36.290001,4851900,35.830897
2016-01-06,37.470001,37.580002,37.119999,37.389999,3536800,36.91698
2016-01-05,37.790001,38.00,37.419998,37.990002,3313900,37.509391
2016-01-04,37.16,37.669998,36.860001,37.669998,4115100,37.193436
2015-12-31,38.080002,38.200001,37.689999,37.700001,2572500,37.223059
2015-12-30,38.52,38.790001,38.16,38.200001,2425200,37.716734
2015-12-29,38.360001,38.75,38.209999,38.650002,2885200,38.161042
2015-12-28,38.349998,38.439999,37.959999,38.119999,2243600,37.637744
2015-12-24,38.380001,38.720001,38.27,38.52,1147700,38.032685
2015-12-23,37.939999,38.349998,37.73,38.330002,2512000,37.84509
2015-12-22,37.389999,37.869999,37.099998,37.650002,3716100,37.173693
2015-12-21,37.200001,37.610001,36.950001,37.299999,2973600,36.828118
2015-12-18,37.540001,37.580002,36.759998,36.799999,6255600,36.334444
2015-12-17,38.689999,38.75,37.720001,37.720001,3402100,37.242807
2015-12-16,38.380001,38.66,37.759998,38.580002,3488900,38.091928
2015-12-15,37.970001,38.450001,37.82,38.16,4033000,37.677239
2015-12-14,38.07,38.18,37.290001,37.57,3312800,37.094703
2015-12-11,38.50,38.599998,38.02,38.130001,2541600,37.64762
2015-12-10,39.34,39.509998,38.720001,38.759998,2326000,38.269647
2015-12-09,39.110001,39.93,39.09,39.400002,2796400,38.901553
2015-12-08,39.360001,39.919998,39.16,39.299999,2944900,38.802816
2015-12-07,39.950001,40.060001,39.470001,39.779999,2136500,39.276743
2015-12-04,39.650002,40.330002,39.34,40.23,3137100,39.721051
2015-12-03,40.049999,40.450001,39.380001,39.610001,4519900,39.108896
2015-12-02,41.049999,41.169998,39.91,40.07,5312800,39.563075
2015-12-01,41.919998,42.119999,40.900002,41.220001,3626900,40.698528
2015-11-30,42.040001,42.369999,41.66,41.830002,5052200,41.300812
2015-11-27,41.68,42.110001,41.50,41.849998,1067900,41.320556
2015-11-25,41.810001,41.93,41.330002,41.639999,2123600,41.113213
2015-11-24,41.009998,41.919998,40.869999,41.830002,3176500,41.300812
2015-11-23,41.169998,41.889999,41.080002,41.189999,2148300,40.668905
2015-11-20,41.490002,41.84,41.049999,41.220001,2137800,40.698528
2015-11-19,41.029999,41.439999,40.830002,41.259998,2581000,40.738019
2015-11-18,40.00,41.139999,40.00,41.060001,3132100,40.540553
2015-11-17,40.220001,41.709999,39.860001,39.869999,7074700,39.365605
2015-11-16,40.16,40.290001,39.59,39.990002,4530700,39.48409
2015-11-13,40.25,40.689999,39.990002,40.189999,3702400,39.681556
2015-11-12,41.50,41.689999,40.220001,40.240002,2953300,39.730927
2015-11-11,42.099998,42.43,41.880001,42.32,3222100,41.350179
2015-11-10,42.009998,42.32,41.419998,41.950001,2389800,40.988659
2015-11-09,42.360001,42.509998,41.799999,42.110001,2722400,41.144992
2015-11-06,41.849998,42.700001,41.630001,42.549999,4341900,41.574907
2015-11-05,42.52,42.75,41.849998,42.040001,3059600,41.076596
2015-11-04,42.990002,43.09,42.439999,42.509998,2397900,41.535823
2015-11-03,43.119999,43.43,42.75,42.779999,2568900,41.799636
2015-11-02,42.75,43.619999,42.720001,43.419998,2279600,42.424969
2015-10-30,43.150002,43.41,42.650002,42.689999,2589200,41.711699
2015-10-29,43.970001,44.00,42.799999,42.98,4086800,41.995054
2015-10-28,43.029999,44.18,42.650002,43.93,3576400,42.923284
2015-10-27,43.279999,43.43,42.700001,43.009998,2797900,42.024365
2015-10-26,43.82,43.900002,43.169998,43.459999,2926300,42.464053
2015-10-23,43.169998,43.959999,42.950001,43.849998,4370200,42.845115
2015-10-22,41.66,42.900002,41.509998,42.689999,4149600,41.711699
2015-10-21,41.259998,41.389999,40.599998,41.200001,3245400,40.255846
2015-10-20,41.349998,41.869999,41.18,41.439999,2676100,40.490344
2015-10-19,41.970001,41.990002,41.209999,41.509998,2655000,40.55874
2015-10-16,42.18,42.299999,41.599998,42.130001,2321200,41.164534
2015-10-15,42.049999,42.27,41.150002,42.150002,2971800,41.184076
2015-10-14,42.169998,42.50,41.91,42.110001,2469300,41.144992
2015-10-13,41.709999,42.48,41.630001,42.029999,2618000,41.066823
2015-10-12,42.75,42.939999,41.380001,41.950001,3646100,40.988659
2015-10-09,42.669998,44.830002,42.599998,43.23,7870700,42.239325
2015-10-08,40.299999,41.16,40.200001,41.09,2836100,40.148366
2015-10-07,40.43,40.43,39.790001,40.290001,2386300,39.3667
