Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,61.959999,62.040001,61.290001,61.43,1624500,61.43
2016-04-01,61.290001,62.209999,60.869999,62.080002,1836300,62.080002
2016-03-31,62.049999,62.23,61.759998,62.009998,1713700,62.009998
2016-03-30,62.349998,62.48,61.77,62.07,1755900,62.07
2016-03-29,61.00,62.23,60.549999,62.07,2210900,62.07
2016-03-28,60.52,61.330002,60.360001,61.279999,1959500,61.279999
2016-03-24,60.75,61.360001,60.630001,61.279999,1811900,61.279999
2016-03-23,61.50,61.689999,60.810001,61.41,1921700,61.41
2016-03-22,61.490002,61.970001,61.299999,61.57,2084900,61.57
2016-03-21,61.310001,61.959999,61.16,61.950001,2305700,61.950001
2016-03-18,61.060001,61.799999,60.740002,61.689999,4105000,61.689999
2016-03-17,59.209999,61.009998,59.080002,61.00,3406800,61.00
2016-03-16,58.639999,59.389999,58.25,59.220001,1637100,59.220001
2016-03-15,58.68,58.68,57.889999,58.639999,1875800,58.639999
2016-03-14,59.509998,59.59,58.860001,59.099998,1790000,59.099998
2016-03-11,58.139999,58.959999,58.060001,58.790001,1901500,58.790001
2016-03-10,57.52,57.709999,56.73,57.41,2345500,57.41
2016-03-09,57.220001,57.549999,56.98,57.310001,1384000,57.310001
2016-03-08,58.00,58.169998,56.889999,57.200001,2266000,56.879999
2016-03-07,57.52,58.779999,57.52,58.310001,2496900,57.98379
2016-03-04,57.389999,57.900002,56.950001,57.43,1938600,57.108712
2016-03-03,57.150002,58.060001,57.060001,57.57,1744100,57.247928
2016-03-02,56.75,57.23,56.610001,57.23,1676900,56.90983
2016-03-01,56.18,57.279999,55.509998,57.099998,2260200,56.780556
2016-02-29,56.59,56.740002,55.529999,55.560001,2709300,55.249175
2016-02-26,56.75,57.00,56.049999,56.549999,2421400,56.233634
2016-02-25,55.560001,56.490002,55.049999,56.490002,2685600,56.173972
2016-02-24,52.709999,55.630001,52.310001,55.450001,4893500,55.139789
2016-02-23,53.650002,54.869999,53.330002,53.419998,2619100,53.121144
2016-02-22,52.02,53.759998,52.02,53.700001,2185600,53.39958
2016-02-19,52.07,52.07,51.32,52.02,1387100,51.728978
2016-02-18,52.630001,52.779999,51.919998,52.099998,2145200,51.808529
2016-02-17,52.349998,53.540001,52.110001,52.450001,2996000,52.156573
2016-02-16,51.990002,51.990002,50.98,51.740002,3221900,51.450546
2016-02-12,49.630001,51.450001,49.080002,51.32,6507300,51.032893
2016-02-11,48.630001,49.610001,48.310001,48.990002,2140200,48.71593
2016-02-10,49.91,50.57,49.439999,49.549999,2366300,49.272795
2016-02-09,50.490002,51.549999,49.290001,50.150002,3818400,49.869441
2016-02-08,50.23,50.310001,48.959999,49.459999,3417500,49.183298
2016-02-05,51.299999,52.07,50.919998,51.34,3152300,51.052782
2016-02-04,49.779999,51.919998,49.689999,51.299999,2790000,51.013005
2016-02-03,49.029999,50.290001,48.240002,49.950001,3195300,49.670559
2016-02-02,50.259998,50.259998,48.490002,48.799999,3280800,48.526991
2016-02-01,50.91,51.110001,49.860001,50.91,1670000,50.625187
2016-01-29,50.450001,51.52,50.240002,51.470001,2522600,51.182056
2016-01-28,50.970001,51.060001,49.509998,49.950001,2425100,49.670559
2016-01-27,50.360001,51.060001,49.68,50.02,2421000,49.740167
2016-01-26,49.209999,50.669998,48.990002,50.59,2317400,50.306978
2016-01-25,50.049999,50.43,48.759998,48.82,2704200,48.54688
2016-01-22,49.41,50.82,49.32,50.459999,1786500,50.177704
2016-01-21,49.080002,49.68,48.049999,48.830002,3168700,48.556826
2016-01-20,49.939999,49.939999,47.080002,48.919998,4184900,48.646319
2016-01-19,52.369999,52.560001,50.029999,50.580002,3519200,50.297035
2016-01-15,50.619999,52.029999,50.560001,51.740002,2525200,51.450546
2016-01-14,51.540001,52.41,50.599998,52.060001,1915300,51.768755
2016-01-13,52.709999,52.98,51.32,51.389999,2909100,51.102502
2016-01-12,52.040001,52.610001,51.41,52.32,2044900,52.027299
2016-01-11,51.599998,51.93,50.939999,51.48,2206300,51.191998
2016-01-08,52.080002,52.240002,51.189999,51.310001,1841500,51.022951
2016-01-07,52.310001,52.560001,51.580002,51.799999,2301400,51.510208
2016-01-06,53.759998,54.209999,53.029999,53.389999,2288400,53.091313
2016-01-05,55.310001,55.700001,54.419998,54.549999,2345300,54.244823
2016-01-04,54.400002,55.220001,53.98,55.139999,2637500,54.831522
2015-12-31,55.450001,55.82,55.27,55.290001,1091700,54.980685
2015-12-30,56.220001,56.48,55.779999,55.830002,1248200,55.517665
2015-12-29,55.900002,56.369999,55.52,56.23,1422300,55.915425
2015-12-28,55.52,55.68,55.049999,55.509998,1204700,55.199451
2015-12-24,55.529999,55.849998,55.389999,55.630001,455300,55.318783
2015-12-23,54.610001,56.080002,54.41,55.639999,2404200,55.328725
2015-12-22,53.299999,54.52,53.25,54.23,2684100,53.926613
2015-12-21,53.009998,53.330002,52.389999,53.139999,1745200,52.842711
