Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,32.720001,32.799999,32.48,32.720001,1104900,32.720001
2016-04-01,33.259998,33.549999,32.27,32.73,2149500,32.73
2016-03-31,33.580002,34.150002,33.50,33.91,1212000,33.91
2016-03-30,33.59,33.849998,33.400002,33.610001,790000,33.610001
2016-03-29,33.00,33.52,32.470001,33.50,1114600,33.50
2016-03-28,32.830002,33.360001,32.810001,33.09,762200,33.09
2016-03-24,32.700001,32.82,32.380001,32.77,797100,32.77
2016-03-23,32.889999,32.990002,32.639999,32.849998,1182200,32.849998
2016-03-22,32.259998,32.990002,32.18,32.959999,1206300,32.959999
2016-03-21,32.57,32.599998,31.93,32.389999,890300,32.389999
2016-03-18,32.66,33.169998,32.380001,32.779999,2227800,32.779999
2016-03-17,31.620001,32.68,31.51,32.619999,1481100,32.619999
2016-03-16,31.07,31.59,30.91,31.48,1025200,31.48
2016-03-15,31.440001,31.620001,31.07,31.190001,875400,31.190001
2016-03-14,31.77,31.959999,31.129999,31.68,1000700,31.68
2016-03-11,30.93,31.83,30.67,31.790001,1362300,31.790001
2016-03-10,31.50,31.610001,30.32,30.60,1703200,30.60
2016-03-09,31.040001,31.57,30.719999,31.459999,1848600,31.459999
2016-03-08,30.700001,31.049999,30.540001,30.940001,1569000,30.940001
2016-03-07,29.77,30.84,29.690001,30.83,1360000,30.83
2016-03-04,30.190001,30.559999,29.860001,29.99,1011500,29.99
2016-03-03,29.50,30.290001,29.16,30.200001,1532800,30.200001
2016-03-02,29.889999,30.00,29.52,29.99,1238000,29.505
2016-03-01,29.52,30.030001,29.51,29.969999,1311700,29.485323
2016-02-29,29.60,29.969999,29.27,29.379999,1372300,28.904864
2016-02-26,29.85,30.00,29.43,29.559999,907100,29.081954
2016-02-25,29.32,29.950001,28.790001,29.93,1152100,29.445971
2016-02-24,29.110001,29.17,28.799999,29.129999,1180500,28.658907
2016-02-23,29.370001,29.639999,29.129999,29.26,879800,28.786806
2016-02-22,29.26,29.530001,28.950001,29.450001,866400,28.973734
2016-02-19,29.09,29.190001,28.57,28.950001,966100,28.48182
2016-02-18,28.860001,29.469999,28.67,29.27,1194700,28.796645
2016-02-17,28.700001,29.18,28.290001,29.059999,1016900,28.59004
2016-02-16,27.719999,28.639999,27.49,28.629999,1434300,28.166993
2016-02-12,26.790001,27.43,26.73,27.40,1066600,26.956885
2016-02-11,26.24,26.75,26.16,26.610001,1520500,26.179662
2016-02-10,26.59,27.00,26.450001,26.73,1488300,26.297721
2016-02-09,26.41,26.76,26.27,26.559999,3525700,26.13047
2016-02-08,26.76,26.809999,26.08,26.67,3336600,26.238691
2016-02-05,27.02,27.15,26.719999,27.00,1514700,26.563355
2016-02-04,27.129999,27.549999,26.91,27.35,1657600,26.907695
2016-02-03,26.809999,27.16,26.290001,27.10,1530800,26.661738
2016-02-02,26.90,26.99,26.35,26.620001,1161800,26.189501
2016-02-01,27.24,27.41,26.92,27.08,1458600,26.642061
2016-01-29,26.40,27.65,26.209999,27.540001,3934500,27.094623
2016-01-28,26.129999,26.379999,25.870001,26.10,903100,25.67791
2016-01-27,25.709999,26.209999,25.60,25.83,1192100,25.412276
2016-01-26,25.459999,25.82,25.35,25.809999,1949100,25.392599
2016-01-25,25.48,25.49,25.16,25.27,1373200,24.861333
2016-01-22,25.17,25.700001,25.15,25.51,1123400,25.097451
2016-01-21,24.67,25.34,24.389999,24.870001,1183400,24.467802
2016-01-20,24.57,24.84,23.639999,24.559999,1475300,24.162814
2016-01-19,25.110001,25.15,24.540001,24.83,1003000,24.428448
2016-01-15,24.700001,24.99,24.32,24.84,1142300,24.438286
2016-01-14,25.09,25.389999,24.709999,25.110001,1260300,24.70392
2016-01-13,25.41,25.780001,25.040001,25.059999,938000,24.654728
2016-01-12,26.07,26.139999,25.17,25.370001,1076000,24.959716
2016-01-11,25.709999,26.040001,25.440001,25.91,1159900,25.490982
2016-01-08,26.379999,26.620001,25.51,25.620001,1659300,25.205673
2016-01-07,26.73,26.809999,26.110001,26.219999,824300,25.795968
2016-01-06,27.08,27.26,26.93,27.120001,800600,26.681415
2016-01-05,26.91,27.370001,26.75,27.33,783000,26.888018
2016-01-04,26.799999,26.879999,26.309999,26.84,1082400,26.405942
2015-12-31,27.530001,27.57,26.99,27.01,744400,26.573193
2015-12-30,27.92,28.07,27.52,27.58,829800,27.133975
2015-12-29,27.540001,28.34,27.540001,28.26,1620700,27.802978
2015-12-28,27.290001,27.49,27.16,27.41,659700,26.966724
2015-12-24,27.57,27.709999,27.27,27.34,623400,26.897856
2015-12-23,27.219999,27.68,27.049999,27.540001,1442400,27.094623
2015-12-22,27.030001,27.33,26.90,27.10,1389500,26.661738
2015-12-21,26.969999,27.25,26.639999,26.959999,797300,26.524001
2015-12-18,27.09,27.139999,26.77,26.77,2537800,26.337075
2015-12-17,27.49,27.67,27.10,27.16,1197500,26.720767
2015-12-16,26.82,27.559999,26.780001,27.50,1913100,27.055269
2015-12-15,26.34,26.83,26.23,26.719999,1311800,26.287882
2015-12-14,26.73,26.90,25.99,26.129999,1239600,25.707423
2015-12-11,26.58,26.84,26.48,26.75,1365500,26.317398
2015-12-10,27.049999,27.50,26.639999,26.84,1293800,26.405942
2015-12-09,26.870001,27.379999,26.780001,27.07,1069000,26.632222
2015-12-08,27.280001,27.290001,26.870001,26.98,1017800,26.543678
2015-12-07,27.540001,27.67,27.129999,27.299999,1029500,26.858502
2015-12-04,27.43,27.93,27.33,27.60,2263600,27.153652
2015-12-03,27.50,28.25,27.24,27.370001,1608000,26.927372
2015-12-02,28.00,28.15,27.459999,27.49,1370600,27.04543
2015-12-01,27.969999,28.16,27.790001,28.040001,1499800,27.586537
2015-11-30,28.129999,28.26,27.73,27.780001,2203600,27.330741
2015-11-27,27.93,28.35,27.879999,28.059999,961100,27.606212
2015-11-25,28.85,28.940001,28.35,28.41,1238200,27.473395
2015-11-24,28.809999,28.950001,28.43,28.700001,978100,27.753835
2015-11-23,28.870001,29.190001,28.790001,28.940001,771300,27.985923
2015-11-20,28.92,29.200001,28.690001,28.93,1522200,27.976252
2015-11-19,28.99,29.17,28.780001,28.860001,1190900,27.90856
2015-11-18,28.639999,28.92,28.50,28.889999,1135800,27.93757
2015-11-17,28.76,28.76,28.25,28.450001,2378900,27.512077
2015-11-16,28.58,28.860001,28.43,28.799999,889900,27.850537
2015-11-13,29.129999,29.33,28.58,28.610001,881500,27.666802
2015-11-12,29.43,29.49,28.99,29.120001,1292600,28.159989
2015-11-11,29.700001,29.799999,29.370001,29.50,800100,28.52746
2015-11-10,29.90,30.059999,29.33,29.59,938000,28.614493
2015-11-09,30.219999,30.35,29.52,29.959999,1463700,28.972294
2015-11-06,31.24,31.459999,30.16,30.290001,1994900,29.291417
2015-11-05,31.41,31.58,31.08,31.440001,1079900,30.403504
2015-11-04,32.099998,32.18,31.35,31.41,1170900,30.374492
2015-11-03,31.690001,32.240002,31.540001,32.080002,1365600,31.022406
2015-11-02,30.66,31.969999,30.50,31.809999,1786400,30.761305
2015-10-30,30.40,30.950001,29.90,30.639999,1935500,29.629877
2015-10-29,30.43,30.809999,30.030001,30.299999,2759900,29.301086
