Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,39.189999,39.189999,38.709999,38.759998,3989800,38.759998
2016-04-01,38.52,39.209999,38.470001,39.150002,4497600,39.150002
2016-03-31,38.880001,39.02,38.599998,38.970001,3706800,38.970001
2016-03-30,38.52,38.98,38.400002,38.880001,3325000,38.880001
2016-03-29,38.360001,38.419998,37.869999,38.25,2640600,38.25
2016-03-28,38.549999,38.549999,38.080002,38.18,2526600,38.18
2016-03-24,38.00,38.34,37.599998,38.32,3052400,38.32
2016-03-23,38.459999,38.540001,37.869999,38.09,2698900,38.09
2016-03-22,38.689999,38.790001,38.34,38.48,3759500,38.48
2016-03-21,38.669998,38.98,38.57,38.82,2393300,38.82
2016-03-18,38.98,39.119999,38.619999,38.860001,6167000,38.860001
2016-03-17,38.200001,38.919998,38.200001,38.740002,3446600,38.740002
2016-03-16,37.00,38.27,36.880001,38.259998,2503800,38.259998
2016-03-15,37.34,37.689999,37.16,37.66,1995900,37.66
2016-03-14,37.049999,37.759998,37.00,37.599998,2456500,37.599998
2016-03-11,36.93,37.509998,36.75,37.459999,3604200,37.459999
2016-03-10,36.889999,37.099998,36.16,36.509998,2323100,36.509998
2016-03-09,36.869999,37.099998,36.630001,36.860001,1761900,36.860001
2016-03-08,37.490002,37.509998,36.639999,36.759998,2838600,36.469998
2016-03-07,37.650002,38.009998,37.529999,37.669998,2292500,37.372818
2016-03-04,37.740002,38.040001,37.470001,37.970001,2642500,37.670455
2016-03-03,37.52,37.93,37.419998,37.790001,2659100,37.491874
2016-03-02,37.43,37.700001,37.27,37.52,2481100,37.224004
2016-03-01,36.849998,37.57,36.799999,37.459999,3145500,37.164476
2016-02-29,37.02,37.110001,36.43,36.459999,3824700,36.172365
2016-02-26,36.619999,37.099998,36.459999,37.00,3297000,36.708106
2016-02-25,35.77,36.470001,35.639999,36.43,3751300,36.142603
2016-02-24,35.029999,35.84,34.630001,35.77,2493800,35.48781
2016-02-23,35.689999,36.130001,35.400002,35.470001,3259700,35.190177
2016-02-22,35.34,35.990002,35.27,35.830002,7603200,35.547338
2016-02-19,35.59,35.669998,34.650002,34.880001,5127900,34.604832
2016-02-18,36.310001,36.310001,35.34,35.700001,3373300,35.418362
2016-02-17,35.869999,36.220001,35.59,36.110001,4177500,35.825128
2016-02-16,35.299999,35.580002,34.860001,35.48,4940700,35.200097
2016-02-12,34.560001,34.950001,34.16,34.810001,5346200,34.535384
2016-02-11,34.41,34.759998,33.849998,34.209999,4169600,33.940115
2016-02-10,35.689999,35.860001,34.860001,34.900002,3729600,34.624674
2016-02-09,34.959999,35.599998,34.849998,35.330002,4896900,35.051282
2016-02-08,35.290001,35.529999,34.639999,35.400002,4492000,35.12073
2016-02-05,36.18,36.50,35.59,35.779999,3383200,35.497729
2016-02-04,35.650002,36.759998,35.259998,36.439999,5039200,36.152522
2016-02-03,35.619999,35.689999,34.779999,35.599998,4546800,35.319149
2016-02-02,34.700001,35.360001,34.41,35.25,5327300,34.971912
2016-02-01,35.490002,35.540001,34.66,35.009998,4503300,34.733803
2016-01-29,34.970001,35.939999,34.77,35.869999,5392600,35.587019
2016-01-28,35.669998,36.110001,34.549999,34.66,6501200,34.386566
2016-01-27,35.02,36.310001,35.02,35.130001,7207100,34.852859
2016-01-26,34.330002,35.23,34.060001,35.209999,8092500,34.932226
2016-01-25,35.619999,36.00,33.860001,34.209999,18222100,33.940115
2016-01-22,35.990002,36.240002,35.09,35.599998,4566100,35.319149
2016-01-21,34.959999,35.950001,34.689999,35.240002,5006900,34.961992
2016-01-20,34.110001,34.98,33.759998,34.68,9069100,34.406409
2016-01-19,35.07,35.43,34.290001,34.720001,6576100,34.446094
2016-01-15,34.139999,35.09,34.110001,34.709999,13557100,34.436171
2016-01-14,34.689999,35.650002,33.619999,35.209999,12931400,34.932226
2016-01-13,35.93,36.18,34.34,34.66,6106700,34.386566
2016-01-12,35.810001,36.240002,35.169998,35.900002,5964500,35.616785
2016-01-11,35.669998,36.16,34.98,35.369999,6004500,35.090964
2016-01-08,36.299999,36.540001,35.279999,35.349998,5786000,35.071121
2016-01-07,36.650002,36.919998,35.779999,35.84,5668200,35.557257
2016-01-06,37.91,37.959999,36.919998,37.34,4906300,37.045424
2016-01-05,39.080002,39.209999,38.130001,38.580002,3191000,38.275643
2016-01-04,38.869999,39.110001,38.27,39.080002,3824200,38.771698
2015-12-31,40.00,40.130001,39.48,39.490002,2179800,39.178464
2015-12-30,40.52,40.650002,40.16,40.23,1446800,39.912624
2015-12-29,40.110001,40.630001,40.09,40.52,2020000,40.200337
2015-12-28,40.279999,40.279999,39.740002,39.889999,2037700,39.575306
2015-12-24,40.599998,40.799999,40.360001,40.50,1127200,40.180494
2015-12-23,39.900002,40.93,39.900002,40.700001,3697800,40.378917
2015-12-22,39.549999,39.790001,39.369999,39.66,3131300,39.347121
2015-12-21,39.040001,39.299999,38.779999,39.240002,3425100,38.930436
2015-12-18,38.66,38.990002,38.509998,38.75,5221600,38.4443
2015-12-17,39.709999,39.830002,38.669998,38.889999,4871700,38.583195
2015-12-16,39.75,40.00,38.880001,39.700001,5609200,39.386806
2015-12-15,39.740002,40.080002,39.139999,39.380001,4148500,39.069331
2015-12-14,40.139999,40.290001,39.32,39.669998,3830000,39.35704
2015-12-11,40.299999,40.689999,40.049999,40.18,4113800,39.863019
2015-12-10,40.709999,41.43,40.700001,40.959999,3796400,40.636864
2015-12-09,40.619999,41.700001,40.529999,40.709999,2597400,40.388837
2015-12-08,41.740002,41.919998,41.130001,41.25,2994700,40.636866
2015-12-07,42.91,42.939999,41.93,42.150002,3128200,41.52349
2015-12-04,42.610001,43.279999,42.369999,43.150002,4053800,42.508626
2015-12-03,43.130001,43.130001,42.240002,42.57,4595200,41.937246
2015-12-02,44.919998,44.970001,42.849998,42.93,8214800,42.291895
2015-12-01,46.369999,47.32,45.200001,45.470001,6113500,44.794142
2015-11-30,45.869999,46.349998,45.57,46.00,3874500,45.316263
2015-11-27,45.529999,45.880001,45.380001,45.700001,1071900,45.020723
2015-11-25,45.549999,45.860001,45.41,45.470001,2041300,44.794142
2015-11-24,45.52,45.919998,45.330002,45.509998,3482800,44.833545
2015-11-23,46.080002,46.619999,45.740002,45.889999,2400500,45.207897
2015-11-20,45.990002,46.419998,45.900002,46.02,2996200,45.335966
2015-11-19,45.599998,45.93,45.330002,45.700001,2619900,45.020723
2015-11-18,44.16,45.549999,43.959999,45.509998,3376600,44.833545
2015-11-17,44.139999,44.48,43.810001,43.91,2833900,43.257328
2015-11-16,43.099998,44.130001,42.959999,44.119999,2962700,43.464206
2015-11-13,43.880001,44.299999,43.07,43.080002,2336000,42.439667
2015-11-12,44.110001,44.470001,43.919998,43.93,3274300,43.277031
2015-11-11,44.709999,44.799999,44.279999,44.50,2573000,43.838559
2015-11-10,44.52,44.68,43.990002,44.50,2160500,43.838559
2015-11-09,45.080002,45.130001,44.360001,44.650002,2127700,43.986331
2015-11-06,45.029999,45.310001,44.75,45.240002,2372300,44.567561
2015-11-05,44.950001,45.220001,44.610001,45.189999,3314000,44.518301
2015-11-04,44.970001,45.23,44.880001,45.00,3151200,44.331127
2015-11-03,45.169998,45.389999,44.759998,44.959999,2809900,44.29172
2015-11-02,45.23,45.389999,45.09,45.169998,3117900,44.498598
2015-10-30,44.529999,45.490002,44.240002,45.18,4535600,44.508452
2015-10-29,42.82,44.610001,42.77,44.400002,3534600,43.740047
2015-10-28,44.470001,45.18,44.110001,44.98,4366900,44.311424
2015-10-27,44.75,44.900002,44.080002,44.439999,2567400,43.779449
2015-10-26,45.00,45.16,44.860001,45.00,3353600,44.331127
2015-10-23,45.52,45.52,44.889999,45.009998,4046900,44.340977
2015-10-22,44.389999,45.490002,44.330002,45.110001,3311600,44.439492
