Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,25.450001,25.51,24.92,25.190001,4532900,25.190001
2016-04-01,25.40,25.690001,25.360001,25.559999,3841800,25.559999
2016-03-31,25.52,25.709999,25.42,25.51,4621200,25.51
2016-03-30,25.85,26.02,25.469999,25.51,4296400,25.51
2016-03-29,25.52,25.809999,25.379999,25.66,4533800,25.66
2016-03-28,25.469999,25.540001,25.26,25.450001,4982300,25.450001
2016-03-24,25.52,25.549999,24.959999,25.360001,5852200,25.360001
2016-03-23,25.959999,26.02,25.620001,25.639999,6842800,25.639999
2016-03-22,25.67,26.10,25.639999,25.93,7239700,25.93
2016-03-21,25.85,26.27,25.700001,25.799999,10654100,25.799999
2016-03-18,26.360001,26.459999,26.030001,26.389999,6166200,26.389999
2016-03-17,25.75,26.49,25.709999,26.33,6302900,26.33
2016-03-16,24.77,25.76,24.76,25.700001,6857300,25.700001
2016-03-15,25.799999,25.860001,25.440001,25.709999,4930700,25.709999
2016-03-14,25.940001,26.10,25.700001,25.90,4990900,25.90
2016-03-11,25.51,26.24,25.48,26.209999,7205800,26.209999
2016-03-10,25.27,25.719999,25.16,25.309999,8859200,25.309999
2016-03-09,25.190001,25.50,24.82,25.23,4476800,25.23
2016-03-08,25.049999,25.370001,24.799999,25.030001,4416000,25.030001
2016-03-07,25.02,25.360001,24.959999,25.190001,3319700,25.190001
2016-03-04,24.99,25.25,24.700001,25.25,4915800,25.25
2016-03-03,24.65,24.93,24.50,24.90,3489100,24.90
2016-03-02,24.83,25.00,24.719999,24.940001,3154600,24.940001
2016-03-01,24.75,25.00,24.52,24.93,4448600,24.93
2016-02-29,24.59,25.10,24.48,24.700001,3986900,24.700001
2016-02-26,24.91,25.040001,24.42,24.60,5660700,24.60
2016-02-25,24.91,25.129999,24.77,24.959999,5047000,24.86
2016-02-24,24.17,24.870001,24.08,24.84,5493700,24.740482
2016-02-23,24.709999,25.00,24.389999,24.559999,4781500,24.461603
2016-02-22,24.67,25.00,24.620001,24.780001,4667500,24.680722
2016-02-19,24.00,24.65,23.940001,24.57,8364000,24.471563
2016-02-18,23.74,24.10,23.67,24.00,4865400,23.903847
2016-02-17,23.35,23.60,23.299999,23.57,3620600,23.475569
2016-02-16,22.01,23.25,22.01,23.209999,7593900,23.117011
2016-02-12,21.99,22.01,21.57,21.84,6965300,21.752501
2016-02-11,21.49,22.059999,21.49,21.700001,6186400,21.613062
2016-02-10,22.190001,22.379999,21.60,21.620001,6360100,21.533383
2016-02-09,21.77,22.440001,21.690001,21.99,4972800,21.901899
2016-02-08,22.540001,22.65,21.620001,21.969999,9357800,21.881979
2016-02-05,23.629999,23.799999,22.879999,22.90,7415000,22.808253
2016-02-04,23.90,24.059999,23.60,23.73,8286700,23.634928
2016-02-03,24.08,24.139999,23.700001,23.92,11297200,23.824167
2016-02-02,24.030001,24.23,23.809999,24.00,15723400,23.903847
2016-02-01,23.309999,24.35,23.16,24.33,15483000,24.232525
2016-01-29,22.950001,23.60,22.799999,23.60,16576600,23.50545
2016-01-28,23.76,24.00,21.950001,22.459999,28937300,22.370016
2016-01-27,26.50,26.67,26.24,26.540001,6362600,26.433671
2016-01-26,26.209999,26.75,26.209999,26.65,5426900,26.543229
2016-01-25,26.110001,26.219999,25.860001,26.190001,5316500,26.085073
2016-01-22,26.049999,26.17,25.940001,26.120001,5151500,26.015354
2016-01-21,25.82,26.16,25.57,25.639999,8806300,25.537276
2016-01-20,25.26,25.940001,25.030001,25.59,12489800,25.487477
2016-01-19,25.709999,25.83,25.35,25.74,5902400,25.636875
2016-01-15,25.540001,25.860001,25.389999,25.74,7168000,25.636875
2016-01-14,25.68,26.370001,25.440001,26.16,5008700,26.055193
2016-01-13,26.33,26.51,25.51,25.66,4563800,25.557196
2016-01-12,26.290001,26.34,25.690001,26.25,4664700,26.144832
2016-01-11,25.91,26.139999,25.620001,26.01,3737200,25.905794
2016-01-08,26.25,26.299999,25.67,25.719999,4727600,25.616955
2016-01-07,26.360001,26.809999,25.98,26.09,6599500,25.985474
2016-01-06,27.110001,27.139999,26.610001,26.780001,4873400,26.67271
2016-01-05,27.57,27.73,27.209999,27.549999,7589100,27.439623
