Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,14.70,14.70,14.39,14.42,1191800,14.42
2016-04-01,14.47,14.70,14.33,14.67,1421300,14.67
2016-03-31,14.66,14.77,14.55,14.63,1251600,14.63
2016-03-30,14.57,14.90,14.57,14.69,1890300,14.69
2016-03-29,13.83,14.53,13.58,14.47,2459400,14.47
2016-03-28,14.02,14.08,13.85,13.87,1839800,13.87
2016-03-24,14.00,14.03,13.80,14.01,1099000,14.01
2016-03-23,14.22,14.24,14.02,14.14,1393400,14.14
2016-03-22,14.17,14.35,14.06,14.24,1555600,14.24
2016-03-21,14.30,14.46,14.11,14.32,1689000,14.32
2016-03-18,14.84,14.84,14.24,14.31,3339900,14.31
2016-03-17,14.00,14.83,14.00,14.66,3436000,14.66
2016-03-16,13.53,14.10,13.47,14.04,1993700,14.04
2016-03-15,13.82,13.84,13.37,13.58,1400000,13.58
2016-03-14,14.05,14.12,13.72,13.95,1421900,13.95
2016-03-11,13.83,14.25,13.76,14.15,1701400,14.15
2016-03-10,13.90,13.90,13.35,13.54,1458400,13.54
2016-03-09,13.75,13.90,13.63,13.76,1189600,13.76
2016-03-08,13.86,13.99,13.64,13.67,2613800,13.67
2016-03-07,13.75,14.03,13.69,14.02,2049600,14.02
2016-03-04,13.94,14.06,13.69,13.86,2499500,13.86
2016-03-03,13.60,13.98,13.53,13.91,2179000,13.91
2016-03-02,13.52,13.56,13.14,13.47,2404800,13.47
2016-03-01,13.10,13.61,13.09,13.54,3495600,13.54
2016-02-29,12.95,13.11,12.83,12.93,1857900,12.93
2016-02-26,12.94,13.07,12.85,12.93,1111600,12.93
2016-02-25,12.63,12.80,12.47,12.80,1078600,12.80
2016-02-24,12.27,12.70,12.03,12.62,1604200,12.62
2016-02-23,12.69,12.75,12.47,12.51,1356300,12.51
2016-02-22,12.53,12.94,12.53,12.78,1897900,12.78
2016-02-19,12.48,12.56,12.32,12.36,1961200,12.36
2016-02-18,12.83,12.84,12.48,12.63,1620800,12.63
2016-02-17,12.68,13.21,12.64,12.79,2520100,12.79
2016-02-16,12.27,12.65,12.13,12.55,2094200,12.55
2016-02-12,11.70,12.17,11.64,12.05,2113700,12.05
2016-02-11,11.28,11.61,11.07,11.47,2749200,11.47
2016-02-10,11.56,12.07,11.53,11.61,3904400,11.61
2016-02-09,11.29,11.77,11.24,11.51,3338700,11.42
2016-02-08,12.09,12.09,11.28,11.57,4467600,11.47953
2016-02-05,12.23,12.65,12.11,12.31,4892700,12.213745
2016-02-04,11.69,12.36,11.69,12.30,3782900,12.203823
