Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,48.41,48.93,47.900002,48.029999,1005600,48.029999
2016-04-01,48.029999,48.549999,48.029999,48.52,869500,48.52
2016-03-31,48.02,48.50,47.779999,48.400002,839600,48.400002
2016-03-30,48.349998,48.349998,47.75,47.950001,444500,47.950001
2016-03-29,47.43,48.220001,47.139999,48.189999,563200,48.189999
2016-03-28,47.32,47.740002,47.220001,47.560001,417400,47.560001
2016-03-24,46.75,47.200001,46.41,47.189999,636200,47.189999
2016-03-23,47.52,47.73,47.02,47.049999,977200,47.049999
2016-03-22,47.41,47.77,47.139999,47.450001,653400,47.450001
2016-03-21,48.189999,48.189999,47.509998,47.669998,631900,47.669998
2016-03-18,48.130001,48.450001,47.860001,48.130001,1744000,48.130001
2016-03-17,47.110001,48.23,46.970001,48.130001,801400,48.130001
2016-03-16,46.450001,47.32,46.209999,47.110001,683500,47.110001
2016-03-15,46.560001,46.810001,46.259998,46.490002,565300,46.490002
2016-03-14,46.310001,46.950001,46.220001,46.75,555000,46.75
2016-03-11,46.200001,46.490002,45.869999,46.43,754200,46.43
2016-03-10,46.470001,46.57,45.290001,46.130001,790800,45.810002
2016-03-09,46.669998,46.73,46.029999,46.25,647300,45.929168
2016-03-08,46.389999,46.66,45.759998,46.200001,827700,45.879516
2016-03-07,46.919998,47.07,46.580002,46.880001,595200,46.554799
2016-03-04,47.130001,47.189999,46.549999,47.09,616200,46.763341
2016-03-03,46.619999,47.189999,46.470001,47.150002,457600,46.822926
2016-03-02,46.119999,46.740002,45.919998,46.73,1032200,46.405838
2016-03-01,45.16,46.32,44.880001,46.09,810900,45.770278
2016-02-29,45.290001,45.810001,44.66,44.66,1086700,44.350198
2016-02-26,45.009998,45.490002,44.68,45.330002,988100,45.015552
2016-02-25,44.91,45.00,44.200001,44.709999,1010600,44.39985
2016-02-24,43.82,44.880001,43.720001,44.75,765500,44.439573
2016-02-23,44.57,44.82,44.209999,44.23,703800,43.92318
2016-02-22,43.98,44.650002,43.889999,44.560001,675700,44.250893
2016-02-19,43.540001,43.82,43.150002,43.700001,970800,43.396858
2016-02-18,43.549999,44.00,43.259998,43.68,869200,43.376996
2016-02-17,43.299999,43.540001,42.990002,43.470001,903800,43.168454
2016-02-16,42.830002,43.029999,42.27,42.98,947700,42.681851
2016-02-12,41.73,42.349998,41.330002,42.330002,986200,42.036363
2016-02-11,41.00,41.400002,40.759998,41.18,1033800,40.894338
2016-02-10,41.419998,42.150002,41.18,41.630001,798500,41.341218
2016-02-09,39.959999,41.25,39.950001,40.959999,1062600,40.675863
2016-02-08,40.34,40.610001,39.560001,40.48,1087900,40.199194
2016-02-05,41.200001,41.279999,40.349998,40.77,938900,40.487183
2016-02-04,40.720001,41.450001,40.470001,41.200001,985600,40.9142
2016-02-03,41.57,41.630001,40.029999,40.830002,1443200,40.546768
2016-02-02,43.00,43.00,39.759998,40.790001,1898100,40.507044
2016-02-01,41.25,41.73,40.779999,41.580002,1139000,41.291565
2016-01-29,40.09,41.580002,40.080002,41.509998,1608500,41.222047
2016-01-28,39.91,39.950001,39.27,39.700001,751200,39.424606
2016-01-27,39.68,40.130001,39.25,39.560001,625100,39.285577
2016-01-26,39.549999,40.080002,39.34,39.869999,686900,39.593424
2016-01-25,39.34,39.939999,39.110001,39.349998,1228000,39.077031
2016-01-22,39.279999,39.970001,38.950001,39.389999,879100,39.116755
2016-01-21,37.900002,38.990002,37.619999,38.73,1135400,38.461333
2016-01-20,37.75,38.220001,36.639999,37.790001,1422900,37.527855
2016-01-19,39.119999,39.189999,38.00,38.299999,842300,38.034316
2016-01-15,37.939999,38.91,37.759998,38.709999,1462800,38.441471
2016-01-14,38.150002,39.139999,37.740002,38.790001,1017300,38.520918
2016-01-13,39.830002,40.009998,37.98,38.099998,1183500,37.835702
2016-01-12,40.189999,40.349998,39.279999,39.630001,900300,39.355091
2016-01-11,40.580002,40.720001,39.169998,39.68,1373200,39.404744
2016-01-08,40.540001,41.139999,40.279999,40.41,2346300,40.129679
2016-01-07,39.669998,40.630001,39.470001,40.23,2073800,39.950928
2016-01-06,40.639999,41.09,39.900002,40.34,1892700,40.060165
2016-01-05,41.200001,41.57,40.970001,41.48,1135700,41.192257
