Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,34.330002,34.380001,32.900002,33.009998,2389900,33.009998
2016-04-01,34.27,34.630001,33.720001,34.470001,1275300,34.470001
2016-03-31,34.450001,35.25,34.450001,34.68,1567500,34.68
2016-03-30,34.77,35.43,34.419998,34.630001,1355100,34.630001
2016-03-29,33.82,34.529999,33.380001,34.52,1889600,34.52
2016-03-28,34.099998,34.380001,33.799999,34.099998,1102200,34.099998
2016-03-24,33.810001,34.139999,33.439999,34.009998,1290800,34.009998
2016-03-23,34.919998,35.049999,34.189999,34.369999,1360800,34.369999
2016-03-22,34.220001,35.400002,34.02,34.970001,1737000,34.970001
2016-03-21,34.639999,35.02,34.139999,34.599998,953400,34.599998
2016-03-18,34.700001,35.389999,34.349998,34.66,1935000,34.66
2016-03-17,33.470001,34.759998,33.470001,34.360001,2135900,34.360001
2016-03-16,32.369999,33.720001,32.150002,33.599998,1657700,33.599998
2016-03-15,32.400002,32.48,31.799999,32.040001,1168400,32.040001
2016-03-14,32.98,33.130001,32.02,32.84,1193700,32.84
2016-03-11,31.93,33.41,31.780001,33.23,1237000,33.23
2016-03-10,32.240002,32.240002,29.969999,31.190001,2582100,31.190001
2016-03-09,32.27,32.27,31.57,31.99,855100,31.99
2016-03-08,32.450001,32.919998,31.91,32.110001,2484600,32.110001
2016-03-07,31.91,33.029999,31.65,32.98,1635300,32.779999
2016-03-04,31.99,33.040001,31.73,32.419998,2020200,32.223394
2016-03-03,30.799999,32.080002,30.59,31.85,1781700,31.656853
2016-03-02,30.07,30.809999,29.809999,30.780001,1554900,30.593342
2016-03-01,28.959999,30.23,28.93,30.209999,2183900,30.026797
2016-02-29,28.620001,28.790001,28.33,28.559999,1568200,28.386803
2016-02-26,28.25,28.92,28.10,28.59,1069500,28.416622
2016-02-25,27.91,28.110001,27.50,27.940001,1697200,27.770564
2016-02-24,27.24,28.08,27.00,27.91,2000700,27.740745
2016-02-23,28.41,28.66,27.629999,27.719999,2208000,27.551897
2016-02-22,28.02,28.530001,27.93,28.50,1367100,28.327168
2016-02-19,27.59,27.620001,27.120001,27.42,1207300,27.253717
2016-02-18,27.76,28.00,27.559999,27.790001,1893900,27.621474
2016-02-17,27.639999,28.09,27.610001,27.66,1749800,27.492261
2016-02-16,27.040001,27.459999,26.75,27.219999,1343000,27.054929
2016-02-12,25.959999,26.90,25.50,26.639999,1598600,26.478447
2016-02-11,25.41,25.719999,24.93,25.200001,2673200,25.047181
2016-02-10,26.24,26.91,25.709999,26.16,2238600,26.001358
2016-02-09,25.35,26.40,25.00,25.93,2601600,25.772753
2016-02-08,26.860001,26.92,25.719999,26.469999,3440600,26.309477
2016-02-05,28.35,28.51,27.58,27.620001,1277400,27.452505
2016-02-04,27.92,28.75,27.84,28.290001,1397600,28.118442
2016-02-03,28.450001,28.700001,27.209999,28.09,1380100,27.919654
2016-02-02,29.290001,29.370001,27.93,28.209999,1844500,28.038925
2016-02-01,30.040001,30.35,29.610001,29.84,2269700,29.659042
2016-01-29,30.26,30.639999,29.75,30.620001,1866600,30.434312
2016-01-28,29.90,30.129999,29.360001,29.40,1767800,29.221709
2016-01-27,30.01,30.290001,29.33,29.610001,2153400,29.430437
2016-01-26,29.540001,29.98,29.40,29.75,1617300,29.569587
2016-01-25,30.98,31.49,29.440001,29.50,2495000,29.321103
2016-01-22,31.75,32.009998,29.60,31.209999,3150000,31.020732
2016-01-21,31.75,32.779999,31.40,31.77,1636200,31.577338
2016-01-20,31.209999,31.93,30.559999,31.629999,2361500,31.438185
2016-01-19,32.689999,33.220001,31.75,31.91,1732300,31.716488
2016-01-15,31.65,32.200001,31.26,32.00,2241600,31.805943
2016-01-14,33.580002,33.580002,31.67,32.790001,2964600,32.591153
2016-01-13,35.400002,35.619999,33.150002,33.389999,3486400,33.187513
2016-01-12,35.349998,35.490002,34.759998,35.389999,2283400,35.175384
2016-01-11,35.279999,35.52,34.43,34.970001,2416000,34.757933
2016-01-08,36.369999,36.580002,35.240002,35.299999,1840200,35.08593
2016-01-07,36.709999,36.990002,35.84,35.98,1251500,35.761806
2016-01-06,38.029999,38.029999,37.02,37.580002,1985100,37.352106
2016-01-05,39.779999,39.970001,38.23,38.68,1426200,38.445433
2016-01-04,38.27,39.779999,37.900002,39.73,2067800,39.489065
2015-12-31,39.060001,39.880001,38.27,39.23,583300,38.992097
2015-12-30,39.549999,39.91,39.34,39.349998,607500,39.111368
2015-12-29,39.84,40.040001,39.310001,39.759998,476900,39.518882
2015-12-28,39.459999,39.66,39.119999,39.540001,557600,39.300219
2015-12-24,39.759998,39.939999,39.490002,39.669998,201200,39.429428
2015-12-23,39.099998,39.880001,38.360001,39.740002,894100,39.499007
2015-12-22,38.52,38.860001,37.849998,38.75,711300,38.515009
2015-12-21,38.240002,38.619999,38.009998,38.560001,987200,38.326162
2015-12-18,38.869999,39.099998,37.84,37.849998,1949700,37.620465
2015-12-17,40.369999,40.400002,39.049999,39.07,1062300,38.833068
2015-12-16,39.060001,40.330002,38.720001,40.259998,1848000,40.01585
2015-12-15,38.50,39.130001,38.290001,38.709999,1423400,38.47525
2015-12-14,39.610001,39.830002,37.84,38.119999,1566100,37.888828
2015-12-11,40.77,41.00,39.279999,39.66,1972400,39.220703
2015-12-10,41.459999,42.07,41.00,41.599998,1110800,41.139213
2015-12-09,41.959999,42.68,41.490002,41.610001,1316600,41.149105
2015-12-08,43.299999,43.299999,41.919998,42.119999,911700,41.653454
2015-12-07,44.049999,44.200001,43.00,43.209999,1286300,42.731381
2015-12-04,43.84,44.50,43.630001,44.34,1404500,43.848865
2015-12-03,44.049999,44.049999,43.18,43.75,1564300,43.2654
2015-12-02,44.91,45.080002,43.68,43.900002,904200,43.41374
2015-12-01,44.75,45.360001,43.939999,44.880001,1124100,44.382885
2015-11-30,43.669998,44.869999,43.419998,44.380001,1763200,43.888423
2015-11-27,43.68,43.84,43.130001,43.549999,392700,43.067615
2015-11-25,42.939999,43.759998,42.73,43.669998,864400,43.186284
2015-11-24,42.68,43.02,42.380001,42.810001,770900,42.335813
2015-11-23,43.419998,43.50,42.82,42.860001,605700,42.385259
2015-11-20,43.869999,44.279999,43.299999,43.380001,928600,42.899499
2015-11-19,44.209999,44.279999,43.610001,43.77,638800,43.285179
2015-11-18,43.009998,44.150002,42.68,44.110001,1332700,43.621413
2015-11-17,43.220001,43.369999,42.68,42.740002,787400,42.266589
2015-11-16,42.380001,43.16,42.240002,43.150002,487400,42.672048
2015-11-13,43.02,43.200001,42.349998,42.419998,1108300,41.95013
2015-11-12,44.639999,44.639999,43.16,43.16,726800,42.681935
2015-11-11,45.060001,45.50,43.93,44.189999,775400,43.700525
2015-11-10,44.869999,45.18,44.00,44.560001,982300,44.066429
2015-11-09,45.650002,45.889999,44.73,45.07,1026500,44.570779
2015-11-06,46.349998,46.41,45.07,45.459999,1019500,44.956458
2015-11-05,45.259998,45.939999,45.25,45.810001,901400,45.302584
2015-11-04,46.080002,46.290001,45.080002,45.119999,1345900,44.620224
2015-11-03,45.799999,46.34,45.27,45.880001,717200,45.371808
2015-11-02,44.880001,45.880001,44.880001,45.740002,1038900,45.233359
2015-10-30,44.139999,45.740002,43.509998,44.75,1216600,44.254324
2015-10-29,45.509998,45.810001,44.799999,45.16,1223800,44.659782
2015-10-28,44.689999,45.77,44.689999,45.759998,821900,45.253135
2015-10-27,45.00,45.209999,44.400002,44.700001,638500,44.204878
2015-10-26,45.560001,45.639999,45.150002,45.34,742200,44.837788
2015-10-23,45.52,45.75,45.049999,45.560001,761800,45.055353
2015-10-22,43.599998,45.689999,43.59,45.16,1273000,44.659782
2015-10-21,43.330002,44.299999,42.799999,43.490002,2218700,43.008282
2015-10-20,43.080002,43.549999,42.900002,43.169998,1425100,42.691823
2015-10-19,43.580002,44.299999,43.00,43.060001,1239100,42.583044
2015-10-16,43.610001,44.040001,43.209999,43.810001,986700,43.324737
2015-10-15,43.130001,43.77,42.849998,43.439999,1117200,42.958832
2015-10-14,43.389999,43.919998,42.799999,42.93,838700,42.454483
2015-10-13,43.529999,44.259998,43.220001,43.290001,1068500,42.810496
2015-10-12,43.93,44.18,43.07,43.740002,933300,43.255513
2015-10-09,43.990002,44.369999,42.98,43.849998,1214500,43.364291
2015-10-08,43.560001,44.509998,43.34,44.07,1028900,43.581855
2015-10-07,43.869999,44.439999,43.330002,43.849998,1207100,43.364291
2015-10-06,42.560001,43.869999,42.490002,43.700001,2197500,43.215955
2015-10-05,42.34,43.689999,42.009998,42.990002,1957400,42.316036
2015-10-02,40.52,41.990002,40.209999,41.959999,1276400,41.302181
2015-10-01,41.52,41.91,40.869999,41.25,1478500,40.603312
2015-09-30,41.75,42.099998,41.09,41.610001,1101600,40.957669
2015-09-29,41.400002,41.599998,40.860001,41.18,1030800,40.53441
2015-09-28,41.950001,42.59,41.040001,41.360001,2293500,40.711589
2015-09-25,42.400002,42.560001,41.900002,42.16,1584700,41.499046
2015-09-24,41.450001,42.119999,41.209999,42.02,919100,41.361241
2015-09-23,42.029999,42.209999,41.57,41.860001,1152700,41.20375
2015-09-22,41.869999,42.389999,41.57,42.040001,1547700,41.380928
2015-09-21,43.279999,43.439999,42.709999,42.98,1135000,42.30619
2015-09-18,43.380001,43.939999,42.790001,42.880001,3841600,42.20776
2015-09-17,43.849998,44.900002,43.110001,44.040001,2068400,43.349574
2015-09-16,42.82,43.990002,42.66,43.84,1593800,43.152708
2015-09-15,42.299999,43.119999,42.119999,42.889999,769300,42.217601
2015-09-14,42.610001,42.650002,42.09,42.150002,934200,41.489204
2015-09-11,42.310001,42.669998,41.98,42.599998,1363300,41.932147
2015-09-10,42.630001,43.02,42.310001,42.52,1389900,41.853403
2015-09-09,43.869999,43.900002,42.689999,42.810001,1128000,42.138857
2015-09-08,42.349998,43.290001,42.139999,43.209999,1543500,42.532584
2015-09-04,41.41,41.790001,41.049999,41.50,1256100,40.849393
2015-09-03,42.529999,42.939999,42.139999,42.389999,1240300,41.72544
2015-09-02,43.740002,43.740002,41.970001,42.689999,1086800,42.020736
2015-09-01,43.32,43.639999,42.43,42.75,1329000,42.079797
2015-08-31,44.380001,44.68,43.939999,44.330002,1221500,43.635028
2015-08-28,44.799999,44.990002,44.18,44.75,1220100,44.048442
2015-08-27,44.380001,45.360001,44.049999,45.119999,964300,44.41264
2015-08-26,44.080002,44.310001,42.790001,43.869999,1656000,43.182237
2015-08-25,46.299999,46.299999,42.939999,42.970001,1979700,42.296349
