Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,0.068,0.068,0.068,0.068,000,0.068
2016-04-01,5.96,5.96,5.37,5.55,25900,5.55
2016-03-31,6.14,6.14,5.71,5.94,14600,5.94
2016-03-30,6.14,6.24,6.00,6.05,9700,6.05
2016-03-29,6.10,6.29,5.95,6.17,9100,6.17
2016-03-28,6.05,6.05,6.05,6.05,000,6.05
2016-03-25,6.05,6.05,6.05,6.05,000,6.05
2016-03-24,6.44,6.44,5.85,6.05,15300,6.05
2016-03-23,6.39,6.49,6.39,6.44,6200,6.44
2016-03-22,6.19,6.50,6.11,6.40,3000,6.40
2016-03-21,6.24,6.24,6.00,6.23,2100,6.23
2016-03-18,6.24,6.24,6.00,6.21,4600,6.21
2016-03-17,6.00,6.29,6.00,6.26,6500,6.26
2016-03-16,6.09,6.09,6.08,6.08,200,6.08
2016-03-15,6.10,6.10,6.00,6.07,700,6.07
2016-03-14,6.21,6.21,5.94,6.13,1800,6.13
2016-03-11,6.22,6.23,6.00,6.00,5300,6.00
2016-03-10,6.34,6.39,5.96,6.14,7000,6.14
2016-03-09,6.50,6.50,6.14,6.37,1500,6.37
2016-03-08,6.49,6.53,6.08,6.47,9000,6.47
2016-03-07,6.22,6.55,6.01,6.52,11300,6.52
2016-03-04,6.25,6.25,6.25,6.25,000,6.25
2016-03-03,6.05,6.29,6.05,6.26,4000,6.26
2016-03-02,6.00,6.13,5.91,6.05,2000,6.05
2016-03-01,5.89,5.89,5.62,5.86,4700,5.86
2016-02-29,5.99,6.13,5.52,5.87,3800,5.87
2016-02-26,6.58,6.58,5.74,5.99,8900,5.99
2016-02-25,6.57,6.69,6.20,6.20,12200,6.20
2016-02-24,6.01,6.53,6.01,6.53,14100,6.53
2016-02-23,6.08,6.18,5.94,6.17,4800,6.17
2016-02-22,6.06,6.08,5.74,6.08,7800,6.08
2016-02-19,5.64,6.05,5.64,5.94,10300,5.94
2016-02-18,6.05,6.07,5.56,5.80,5600,5.80
2016-02-17,5.53,6.08,5.35,6.01,21600,6.01
2016-02-16,5.59,5.64,5.21,5.54,14100,5.54
2016-02-15,5.15,5.57,5.15,5.40,36800,5.40
2016-02-12,4.64,4.65,4.52,4.65,5100,4.65
2016-02-11,4.65,4.65,4.45,4.45,600,4.45
2016-02-10,4.65,4.65,4.50,4.65,2800,4.65
2016-02-09,4.35,4.69,4.35,4.49,4800,4.49
2016-02-08,4.20,4.62,4.20,4.62,1800,4.62
2016-02-05,4.08,4.20,4.01,4.20,2500,4.20
2016-02-04,4.16,4.17,4.00,4.00,6900,4.00
2016-02-03,4.08,4.20,4.08,4.20,400,4.20
2016-02-02,4.08,4.17,4.08,4.13,700,4.13
2016-02-01,4.18,4.25,4.00,4.00,4800,4.00
2016-01-29,4.14,4.20,4.01,4.19,1000,4.19
2016-01-28,3.97,4.06,3.85,4.06,3100,4.06
2016-01-27,3.95,3.95,3.82,3.82,000,3.82
2016-01-26,3.97,3.97,3.81,3.82,100,3.82
2016-01-25,4.07,4.07,3.90,3.90,3900,3.90
2016-01-22,4.10,4.10,3.95,3.96,300,3.96
2016-01-21,4.09,4.09,4.00,4.06,300,4.06
2016-01-20,4.27,4.27,3.85,4.13,8900,4.13
2016-01-19,4.29,4.29,4.20,4.20,800,4.20
2016-01-18,4.38,4.38,4.15,4.15,2700,4.15
2016-01-15,4.22,4.46,4.22,4.30,8200,4.30
2016-01-14,3.70,4.47,3.70,4.13,26600,4.13
2016-01-13,3.67,3.70,3.67,3.67,2000,3.67
2016-01-12,3.67,3.67,3.66,3.67,400,3.67
2016-01-11,3.58,3.69,3.58,3.69,100,3.69
2016-01-08,3.77,3.77,3.77,3.77,000,3.77
2016-01-07,3.73,3.73,3.56,3.71,1400,3.71
2016-01-06,3.77,3.77,3.77,3.77,000,3.77
2016-01-05,3.77,3.77,3.77,3.77,000,3.77
2016-01-04,3.65,3.65,3.65,3.65,1100,3.65
2016-01-01,3.62,3.62,3.62,3.62,000,3.62
2015-12-31,3.62,3.62,3.62,3.62,000,3.62
2015-12-30,3.62,3.62,3.62,3.62,000,3.62
2015-12-29,3.62,3.63,3.62,3.62,1200,3.62
2015-12-28,3.63,3.65,3.63,3.65,2600,3.65
2015-12-25,3.65,3.65,3.65,3.65,000,3.65
2015-12-24,3.65,3.65,3.65,3.65,000,3.65
2015-12-23,3.65,3.65,3.65,3.65,1100,3.65
2015-12-22,3.70,3.70,3.65,3.65,900,3.65
2015-12-21,3.80,3.80,3.65,3.65,200,3.65
2015-12-18,3.79,3.79,3.65,3.65,000,3.65
2015-12-17,3.80,3.80,3.63,3.63,1100,3.63
2015-12-16,3.95,3.95,3.71,3.71,100,3.71
2015-12-15,3.80,3.84,3.67,3.67,3000,3.67
2015-12-14,3.83,3.83,3.67,3.67,000,3.67
2015-12-11,3.88,3.88,3.66,3.66,1900,3.66
2015-12-10,3.66,3.66,3.66,3.66,000,3.66
2015-12-09,3.79,3.79,3.61,3.66,1200,3.66
2015-12-08,3.96,3.96,3.78,3.78,500,3.78
2015-12-07,3.93,3.95,3.85,3.94,2700,3.94
2015-12-04,3.66,3.99,3.66,3.92,5000,3.92
2015-12-03,3.90,3.99,3.82,3.99,500,3.99
2015-12-02,3.80,4.00,3.80,3.96,2400,3.96
2015-12-01,3.80,3.80,3.69,3.79,58900,3.79
2015-11-30,3.60,3.96,3.60,3.63,38700,3.63
2015-11-27,3.52,3.55,3.52,3.55,1800,3.55
2015-11-26,3.61,3.65,3.51,3.55,64100,3.55
2015-11-25,3.63,3.63,3.50,3.50,7000,3.50
2015-11-24,3.65,3.65,3.65,3.65,000,3.65
2015-11-23,3.58,3.65,3.58,3.65,400,3.65
2015-11-20,3.70,3.72,3.58,3.58,9200,3.58
2015-11-19,3.70,3.70,3.70,3.70,500,3.70
2015-11-18,3.60,3.70,3.60,3.70,4300,3.70
2015-11-17,3.69,3.70,3.53,3.53,6200,3.53
2015-11-16,3.50,3.70,3.50,3.70,35600,3.70
2015-11-13,3.68,3.68,3.47,3.47,3000,3.47
2015-11-12,3.79,3.79,3.63,3.64,3000,3.64
2015-11-11,3.71,3.71,3.71,3.71,000,3.71
2015-11-10,3.50,3.71,3.50,3.71,3000,3.71
2015-11-09,3.85,3.85,3.85,3.85,000,3.85
2015-11-06,3.85,3.85,3.62,3.85,000,3.85
2015-11-05,3.70,3.70,3.50,3.50,4900,3.50
2015-11-04,3.81,3.81,3.70,3.70,3800,3.70
2015-11-03,3.82,3.88,3.82,3.82,1400,3.82
2015-11-02,3.95,3.96,3.81,3.85,6000,3.85
2015-10-30,3.83,3.93,3.83,3.93,2000,3.93
2015-10-29,4.23,4.23,3.82,3.82,000,3.82
2015-10-28,4.27,4.27,4.03,4.20,2500,4.20
2015-10-27,4.00,4.29,3.97,4.27,2100,4.27
2015-10-26,4.35,4.35,3.79,3.91,6000,3.91
2015-10-23,4.19,4.19,4.00,4.00,1200,4.00
2015-10-22,4.05,4.39,3.99,4.12,4300,4.12
2015-10-21,4.37,4.37,4.05,4.05,4700,4.05
2015-10-20,4.40,4.45,4.25,4.37,2800,4.37
2015-10-19,4.45,4.45,4.39,4.39,1700,4.39
2015-10-16,4.58,4.59,4.45,4.45,2500,4.45
2015-10-15,4.58,4.58,4.40,4.40,700,4.40
2015-10-14,4.58,4.58,4.58,4.58,000,4.58
2015-10-13,4.20,4.58,4.20,4.58,3400,4.58
2015-10-12,4.50,4.59,4.10,4.40,1100,4.40
2015-10-09,4.50,4.50,4.32,4.50,1900,4.50
2015-10-08,4.59,4.59,4.59,4.59,000,4.59
2015-10-07,4.59,4.59,4.59,4.59,000,4.59
2015-10-06,4.59,4.59,4.59,4.59,000,4.59
2015-10-05,4.59,4.59,4.34,4.59,2900,4.59
2015-10-02,4.74,4.74,4.74,4.74,000,4.74
2015-10-01,4.74,4.74,4.40,4.74,600,4.74
2015-09-30,4.70,4.70,4.70,4.70,000,4.70
2015-09-29,4.70,4.70,4.23,4.70,5300,4.70
2015-09-28,4.76,4.76,4.55,4.70,100,4.70
2015-09-25,4.76,4.76,4.76,4.76,400,4.76
2015-09-24,4.88,4.89,4.62,4.87,2400,4.87
2015-09-23,4.90,4.90,4.62,4.84,500,4.84
2015-09-22,4.87,4.87,4.65,4.79,3600,4.79
2015-09-21,4.84,4.84,4.84,4.84,000,4.84
2015-09-18,4.88,4.89,4.58,4.84,400,4.84
2015-09-17,4.79,4.89,4.79,4.80,200,4.80
2015-09-16,4.50,4.60,4.49,4.60,500,4.60
2015-09-15,4.50,4.50,4.34,4.49,100,4.49
2015-09-14,4.50,4.50,4.50,4.50,000,4.50
2015-09-11,4.50,4.50,4.50,4.50,000,4.50
2015-09-10,4.50,4.50,4.49,4.50,3600,4.50
2015-09-09,4.48,4.49,4.48,4.49,400,4.49
2015-09-08,4.49,4.49,4.35,4.40,300,4.40
2015-09-07,4.49,4.50,4.32,4.35,2200,4.35
2015-09-04,4.49,4.49,4.20,4.32,3200,4.32
2015-09-03,4.50,4.50,4.14,4.30,4100,4.30
2015-09-02,4.53,4.53,4.33,4.49,600,4.49
2015-09-01,4.55,4.55,4.38,4.55,800,4.55
2015-08-31,4.60,4.98,4.60,4.60,6400,4.60
2015-08-28,4.00,4.14,4.00,4.14,2900,4.14
2015-08-27,4.10,4.11,4.10,4.11,300,4.11
2015-08-26,4.12,4.12,4.12,4.12,000,4.12
2015-08-25,4.00,4.14,4.00,4.12,1200,4.12
2015-08-24,4.36,4.40,4.00,4.00,36500,4.00
2015-08-21,4.69,4.69,4.43,4.60,3100,4.60
2015-08-20,4.91,4.91,4.69,4.69,200,4.69
2015-08-19,4.99,4.99,4.69,4.92,1200,4.92
2015-08-18,4.99,4.99,4.89,4.89,400,4.89
2015-08-17,4.93,4.99,4.93,4.99,6800,4.99
2015-08-14,4.50,4.94,4.40,4.73,14400,4.73
2015-08-13,4.50,4.50,4.24,4.24,400,4.24
2015-08-12,4.50,4.50,4.45,4.45,000,4.45
2015-08-11,4.48,4.48,4.48,4.48,000,4.48
2015-08-10,4.48,4.48,4.48,4.48,000,4.48
2015-08-07,4.50,4.50,4.48,4.48,3000,4.48
2015-08-06,4.39,4.78,4.27,4.69,5100,4.69
2015-08-05,4.25,4.47,4.25,4.47,2900,4.47
2015-08-04,3.80,4.50,3.71,4.50,21800,4.50
2015-08-03,3.80,3.80,3.80,3.80,000,3.80
2015-07-31,3.85,3.85,3.80,3.80,1300,3.80
2015-07-30,3.75,3.84,3.59,3.81,2000,3.81
2015-07-29,3.50,3.84,3.50,3.73,3000,3.73
2015-07-28,3.58,3.59,3.57,3.57,21500,3.57
2015-07-27,3.58,3.58,3.55,3.55,400,3.55
2015-07-24,3.59,3.59,3.50,3.50,600,3.50
