Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,77.11,77.11,77.11,77.11,000,77.11
2016-04-01,76.73,76.73,76.73,76.73,000,76.73
2016-03-31,77.71,77.71,77.71,77.71,000,77.71
2016-03-30,76.75,76.75,76.75,76.75,000,76.75
2016-03-29,77.34,77.34,77.34,77.34,000,77.34
2016-03-28,76.03,76.03,76.03,76.03,000,76.03
2016-03-25,76.03,76.03,76.03,76.03,000,76.03
2016-03-24,76.03,76.03,76.03,76.03,000,76.03
2016-03-23,76.18,76.18,76.18,76.18,000,76.18
2016-03-22,76.85,76.85,76.85,76.85,000,76.85
2016-03-21,77.52,77.52,77.52,77.52,000,77.52
2016-03-18,76.57,76.57,76.57,76.57,000,76.57
2016-03-17,77.42,77.42,77.42,77.42,000,77.42
2016-03-16,78.25,78.25,78.25,78.25,000,78.25
2016-03-15,77.60,77.60,77.60,77.60,000,77.60
2016-03-14,76.92,76.92,76.92,76.92,000,76.92
2016-03-11,77.55,77.85,77.55,77.85,000,77.85
2016-03-10,77.93,77.93,77.93,77.93,000,77.93
2016-03-09,78.30,78.30,78.30,78.30,000,78.30
2016-03-08,77.37,77.37,77.37,77.37,000,77.37
2016-03-07,79.27,79.27,79.27,79.27,000,79.27
2016-03-04,78.92,78.92,78.92,78.92,000,78.92
2016-03-03,80.01,80.01,80.01,80.01,000,80.01
2016-03-02,80.11,80.11,80.11,80.11,000,80.11
2016-03-01,77.90,77.90,77.90,77.90,000,77.90
2016-02-29,76.39,76.39,76.39,76.39,000,76.39
2016-02-26,77.30,77.30,77.30,77.30,000,77.30
2016-02-25,75.32,75.32,75.32,75.32,000,75.32
2016-02-24,75.97,75.97,75.97,75.97,000,75.97
2016-02-23,75.41,75.41,75.41,75.41,000,75.41
2016-02-22,75.54,75.54,75.54,75.54,000,75.54
2016-02-19,75.27,75.27,75.27,75.27,000,75.27
2016-02-18,73.19,73.19,73.19,73.19,000,73.19
2016-02-17,72.00,72.00,72.00,72.00,000,72.00
2016-02-16,73.77,73.77,73.77,73.77,000,73.77
2016-02-15,72.79,72.79,72.79,72.79,000,72.79
2016-02-12,73.99,73.99,73.99,73.99,000,73.99
2016-02-11,73.81,73.81,73.81,73.81,000,73.81
2016-02-10,72.66,72.66,72.66,72.66,000,72.66
2016-02-09,71.60,71.60,71.60,71.60,000,71.60
2016-02-08,76.27,76.27,76.27,76.27,000,76.27
2016-02-05,79.35,79.35,79.35,79.35,000,79.35
