Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,33.889999,33.959999,32.599998,32.799999,454500,32.799999
2016-04-01,32.990002,33.880001,32.84,33.869999,499800,33.869999
2016-03-31,32.619999,33.630001,32.619999,33.43,687100,33.43
2016-03-30,32.619999,33.259998,32.419998,32.630001,495000,32.630001
2016-03-29,31.23,32.709999,31.209999,32.41,658500,32.41
2016-03-28,31.459999,31.629999,31.16,31.48,297200,31.48
2016-03-24,31.00,31.25,30.809999,31.25,426100,31.25
2016-03-23,31.440001,31.49,31.01,31.120001,388800,31.120001
2016-03-22,31.10,31.690001,31.07,31.51,357100,31.51
2016-03-21,31.07,31.389999,30.85,31.34,389100,31.34
2016-03-18,30.969999,31.73,30.90,31.25,852400,31.25
2016-03-17,30.18,31.209999,30.059999,30.969999,908300,30.969999
2016-03-16,30.389999,30.68,29.209999,30.209999,1138000,30.209999
2016-03-15,30.82,31.200001,29.90,30.52,993300,30.52
2016-03-14,32.98,33.369999,31.02,31.129999,1282800,31.129999
2016-03-11,32.25,33.599998,32.23,33.369999,479100,33.369999
2016-03-10,32.41,32.66,31.190001,31.91,524200,31.91
2016-03-09,31.799999,32.549999,31.639999,32.25,487600,32.25
2016-03-08,33.310001,33.310001,31.23,31.66,601400,31.66
2016-03-07,32.549999,33.68,32.549999,33.560001,611400,33.560001
2016-03-04,32.459999,32.889999,32.32,32.599998,712000,32.599998
2016-03-03,31.940001,32.759998,31.940001,32.330002,698400,32.330002
2016-03-02,31.75,32.16,31.42,31.940001,573100,31.940001
2016-03-01,31.50,32.049999,31.25,31.879999,816100,31.879999
2016-02-29,30.09,31.59,30.059999,31.02,793900,31.02
2016-02-26,30.84,30.99,29.940001,30.110001,636700,30.110001
2016-02-25,29.91,30.629999,29.469999,30.610001,747800,30.610001
2016-02-24,29.66,30.700001,29.41,30.370001,907100,30.01
2016-02-23,31.51,31.690001,29.23,30.08,1392000,29.723437
2016-02-22,30.75,31.540001,30.610001,31.370001,1315300,30.998147
2016-02-19,30.60,30.60,29.27,30.299999,1140600,29.940829
2016-02-18,29.309999,30.90,29.139999,30.75,1223400,30.385495
2016-02-17,25.99,28.780001,25.959999,28.68,1620700,28.340033
2016-02-16,24.870001,25.790001,24.709999,25.74,1016600,25.434883
2016-02-12,24.809999,25.24,24.110001,24.450001,816300,24.160175
2016-02-11,24.77,25.16,24.530001,24.549999,640900,24.258988
2016-02-10,25.459999,25.719999,25.129999,25.139999,661000,24.841995
2016-02-09,25.92,26.43,25.25,25.32,673200,25.019861
2016-02-08,27.299999,27.43,25.84,26.360001,465900,26.047534
2016-02-05,27.68,28.190001,27.559999,27.700001,401900,27.37165
2016-02-04,26.950001,28.139999,26.950001,27.75,533500,27.421057
2016-02-03,27.10,27.450001,26.440001,27.01,549200,26.689829
2016-02-02,27.58,27.709999,26.870001,27.00,358100,26.679947
2016-02-01,28.00,28.15,27.559999,27.93,414800,27.598923
2016-01-29,27.25,28.209999,27.25,28.209999,865600,27.875603
2016-01-28,27.67,27.83,26.809999,26.940001,730500,26.620659
2016-01-27,27.10,27.780001,27.040001,27.309999,705400,26.986272
2016-01-26,26.99,27.59,26.860001,27.32,489700,26.996153
2016-01-25,27.66,27.82,26.719999,26.77,373400,26.452674
2016-01-22,27.40,27.889999,27.34,27.84,672700,27.50999
2016-01-21,26.74,27.41,26.32,26.76,504300,26.442792
2016-01-20,27.23,27.23,26.00,26.790001,779600,26.472437
2016-01-19,28.559999,28.559999,27.209999,27.77,1011500,27.44082
2016-01-15,28.32,28.52,27.52,28.209999,823900,27.875603
2016-01-14,28.799999,29.860001,28.530001,29.40,535300,29.051497
2016-01-13,28.68,29.719999,28.51,28.67,1047200,28.330151
2016-01-12,28.57,29.57,27.90,28.639999,1219200,28.300506
2016-01-11,28.610001,28.68,27.74,28.15,465800,27.816315
2016-01-08,29.24,29.33,28.379999,28.459999,614400,28.12264
2016-01-07,29.74,29.959999,28.950001,29.049999,582400,28.705646
2016-01-06,30.059999,30.549999,29.290001,30.40,735400,30.039644
2016-01-05,30.639999,31.65,30.549999,30.610001,538400,30.247155
2016-01-04,31.73,31.809999,30.309999,30.639999,1008400,30.276799
2015-12-31,33.27,33.48,32.419998,32.450001,552900,32.065344
2015-12-30,31.040001,33.580002,31.040001,33.50,1196200,33.102897
2015-12-29,31.879999,32.07,30.969999,31.120001,943800,30.75111
2015-12-28,31.93,32.049999,31.120001,31.690001,411100,31.314353
2015-12-24,32.299999,32.50,32.09,32.099998,186600,31.719491
2015-12-23,32.110001,32.439999,31.790001,32.369999,611900,31.986291
2015-12-22,31.60,31.98,31.51,31.83,414400,31.452693
2015-12-21,31.48,31.629999,31.120001,31.52,313900,31.146368
2015-12-18,31.459999,31.690001,31.10,31.110001,763000,30.741228
2015-12-17,32.41,32.459999,31.40,31.559999,362500,31.185893
2015-12-16,32.189999,32.900002,32.02,32.279999,540700,31.897358
2015-12-15,32.18,32.639999,31.889999,31.959999,666500,31.581151
2015-12-14,32.23,32.580002,31.23,31.99,757800,31.610796
2015-12-11,32.599998,32.84,32.07,32.290001,616000,31.907241
2015-12-10,32.75,33.220001,32.400002,33.099998,638100,32.707637
2015-12-09,32.880001,33.52,32.490002,32.779999,549400,32.391431
2015-12-08,33.119999,33.459999,32.849998,32.970001,423200,32.579181
2015-12-07,33.740002,33.939999,33.290001,33.59,593900,33.191831
2015-12-04,33.779999,34.32,33.59,33.880001,419400,33.478394
2015-12-03,34.09,34.23,33.470001,33.810001,430800,33.409224
2015-12-02,34.740002,35.00,33.779999,33.91,551100,33.508037
2015-12-01,34.400002,34.889999,34.23,34.84,508600,34.427013
2015-11-30,34.73,34.880001,34.080002,34.34,641000,33.93294
2015-11-27,34.330002,34.849998,34.080002,34.700001,417600,34.288673
2015-11-25,33.450001,34.529999,33.450001,34.200001,681100,33.7946
2015-11-24,34.43,34.59,33.48,34.240002,813900,33.834127
2015-11-23,35.57,35.650002,34.580002,34.810001,643400,34.041637
2015-11-20,35.130001,35.599998,35.040001,35.43,548300,34.647951
2015-11-19,35.169998,35.560001,34.93,34.970001,519900,34.198105
2015-11-18,34.09,35.279999,34.09,35.220001,838600,34.442587
2015-11-17,33.09,34.299999,32.939999,33.849998,1132000,33.102824
2015-11-16,31.309999,32.52,31.139999,32.27,560300,31.557702
2015-11-13,32.610001,32.849998,31.110001,31.299999,858000,30.609112
2015-11-12,33.310001,33.900002,32.810001,32.84,529700,32.11512
2015-11-11,33.830002,34.060001,33.220001,33.560001,532500,32.819228
2015-11-10,34.23,34.610001,33.52,33.82,530100,33.073488
2015-11-09,35.02,35.77,34.400002,34.48,653600,33.718919
2015-11-06,34.459999,35.209999,34.09,35.209999,819400,34.432806
2015-11-05,34.130001,34.740002,33.950001,34.50,458700,33.738478
2015-11-04,34.529999,35.099998,34.040001,34.110001,743700,33.357087
2015-11-03,33.380001,34.849998,33.259998,34.57,670200,33.806933
2015-11-02,32.549999,33.650002,32.259998,33.50,727400,32.760551
2015-10-30,32.669998,33.119999,32.459999,32.490002,741700,31.772847
2015-10-29,32.599998,33.00,31.780001,32.580002,911500,31.860861
2015-10-28,30.700001,32.889999,30.18,32.889999,1899100,32.164015
2015-10-27,33.75,34.470001,30.75,30.92,2305200,30.2375
2015-10-26,35.32,35.380001,34.470001,35.369999,1419400,34.589274
2015-10-23,33.639999,35.529999,33.380001,35.25,2305300,34.471924
2015-10-22,31.27,35.439999,31.129999,32.880001,1377400,32.154238
2015-10-21,31.24,31.43,31.02,31.059999,428200,30.374409
2015-10-20,31.17,31.389999,30.98,31.18,498000,30.491761
2015-10-19,31.049999,31.49,30.709999,31.209999,723200,30.521098
2015-10-16,30.870001,31.120001,30.49,31.00,470000,30.315734
2015-10-15,30.85,31.00,30.360001,30.84,594900,30.159266
2015-10-14,30.84,31.190001,30.719999,30.77,630700,30.090811
2015-10-13,31.00,31.49,30.879999,30.90,440500,30.217941
2015-10-12,31.690001,31.860001,30.719999,31.17,396700,30.481982
2015-10-09,31.549999,31.700001,31.08,31.65,745500,30.951386
2015-10-08,31.540001,31.860001,31.110001,31.58,852300,30.882932
2015-10-07,32.029999,32.490002,31.16,31.51,1070300,30.814477
2015-10-06,31.139999,31.549999,31.030001,31.25,628700,30.560216
2015-10-05,30.129999,31.389999,30.129999,31.040001,772100,30.354852
2015-10-02,28.709999,29.959999,28.60,29.959999,614500,29.298689
2015-10-01,28.99,29.540001,28.65,29.209999,753700,28.565244
2015-09-30,28.379999,29.040001,28.16,28.98,566500,28.340321
2015-09-29,28.120001,28.52,27.719999,27.92,596600,27.303719
2015-09-28,28.32,28.719999,28.01,28.08,644800,27.460188
2015-09-25,28.870001,29.01,28.42,28.540001,646400,27.910035
2015-09-24,28.08,28.73,28.08,28.559999,630900,27.929592
2015-09-23,28.92,29.040001,28.309999,28.40,479800,27.773124
2015-09-22,28.620001,29.049999,28.60,28.76,568900,28.125178
2015-09-21,29.110001,29.610001,28.879999,29.049999,625800,28.408776
2015-09-18,29.799999,29.860001,28.90,29.030001,764700,28.389219
2015-09-17,30.129999,30.559999,29.889999,30.200001,678600,29.533393
2015-09-16,29.450001,30.200001,29.34,30.120001,717600,29.455159
2015-09-15,29.07,29.450001,29.02,29.379999,529700,28.731492
2015-09-14,29.18,29.26,28.790001,28.969999,557700,28.330542
2015-09-11,28.73,29.219999,28.48,29.219999,892100,28.575024
2015-09-10,28.83,29.459999,28.719999,28.90,798100,28.262087
2015-09-09,29.219999,29.65,28.83,28.92,815700,28.281646
2015-09-08,28.93,29.129999,28.639999,28.959999,858100,28.320762
2015-09-04,28.34,28.700001,28.209999,28.34,563200,27.714449
2015-09-03,28.629999,29.16,28.540001,28.809999,476700,28.174074
2015-09-02,28.610001,28.700001,27.99,28.50,749800,27.870917
2015-09-01,29.23,29.690001,28.08,28.129999,1077600,27.509083
2015-08-31,29.790001,30.49,29.559999,29.98,959800,29.318248
2015-08-28,29.60,30.639999,29.540001,29.969999,625800,29.308469
2015-08-27,29.129999,29.91,29.09,29.780001,781600,29.122664
2015-08-26,28.27,28.969999,27.969999,28.870001,1171500,28.232751
2015-08-25,29.67,29.67,28.16,28.18,2144400,27.205927
2015-08-24,27.51,30.09,27.219999,28.93,1567100,27.930003
2015-08-21,29.860001,30.58,29.110001,29.16,1000900,28.152052
2015-08-20,30.790001,31.200001,30.24,30.24,736200,29.194721
2015-08-19,31.959999,32.150002,30.860001,30.889999,1057400,29.822252
2015-08-18,32.32,32.41,31.91,32.139999,402100,31.029045
2015-08-17,32.259998,32.619999,32.029999,32.400002,508300,31.28006
2015-08-14,32.07,32.529999,31.98,32.48,388200,31.357292
2015-08-13,32.68,32.689999,32.110001,32.130001,693600,31.019392
2015-08-12,32.049999,32.619999,31.40,32.599998,890200,31.473144
2015-08-11,32.790001,32.889999,31.940001,32.139999,727200,31.029045
2015-08-10,32.669998,33.330002,32.529999,33.009998,811100,31.868971
2015-08-07,32.849998,33.220001,32.32,32.41,519300,31.289712
2015-08-06,33.529999,33.59,32.959999,33.049999,637500,31.90759
2015-08-05,33.419998,33.950001,33.150002,33.369999,926000,32.216528
2015-08-04,33.290001,33.57,32.41,32.529999,891600,31.405563
2015-08-03,33.959999,34.310001,33.400002,33.580002,1109500,32.419272
2015-07-31,34.25,34.369999,33.779999,33.990002,1171300,32.8151
2015-07-30,34.470001,34.560001,33.650002,34.110001,1212100,32.930951
2015-07-29,33.84,34.639999,33.779999,34.48,1500800,33.28816
2015-07-28,33.580002,34.009998,33.07,33.91,1301000,32.737863
2015-07-27,33.310001,33.630001,32.799999,33.540001,1832800,32.380654
2015-07-24,35.310001,35.689999,33.880001,33.91,2061100,32.737863
2015-07-23,36.43,36.959999,35.299999,35.389999,1682300,34.166705
2015-07-22,37.459999,37.509998,36.00,36.25,1789400,34.996979
2015-07-21,42.110001,42.349998,36.360001,37.75,8400800,36.44513
2015-07-20,45.919998,47.689999,45.759998,47.32,1368500,45.684332
2015-07-17,45.990002,46.049999,45.130001,45.779999,681100,44.197563
2015-07-16,45.57,46.139999,45.099998,45.990002,362900,44.400306
2015-07-15,45.23,45.529999,45.00,45.360001,365300,43.792082
2015-07-14,45.029999,45.57,44.990002,45.220001,371000,43.656922
2015-07-13,44.59,45.189999,44.310001,45.07,300900,43.512105
2015-07-10,44.00,44.43,43.720001,44.32,359200,42.78803
2015-07-09,44.27,44.27,43.369999,43.52,425400,42.015684
2015-07-08,44.450001,45.240002,43.580002,43.650002,706500,42.141191
2015-07-07,44.369999,44.900002,43.639999,44.77,393200,43.222476
2015-07-06,44.119999,44.439999,43.799999,44.310001,344900,42.778377
2015-07-02,44.869999,44.950001,44.349998,44.599998,377500,43.05835
2015-07-01,44.509998,44.830002,44.130001,44.73,730600,43.183858
2015-06-30,44.529999,44.860001,44.040001,44.200001,596200,42.672179
2015-06-29,44.389999,44.75,44.16,44.25,591000,42.72045
2015-06-26,44.75,44.849998,44.310001,44.799999,693700,43.251438
2015-06-25,45.18,45.43,44.43,44.700001,540200,43.154896
2015-06-24,45.290001,45.889999,45.060001,45.41,396900,43.840353
2015-06-23,45.209999,45.400002,45.110001,45.389999,521400,43.821044
2015-06-22,45.349998,45.610001,44.919998,45.130001,454300,43.570033
2015-06-19,45.610001,45.990002,44.790001,45.259998,758700,43.695536
2015-06-18,45.18,45.900002,45.00,45.740002,459200,44.158948
2015-06-17,44.73,45.869999,44.73,45.189999,885200,43.627956
2015-06-16,44.889999,45.50,44.560001,45.360001,340100,43.792082
2015-06-15,44.970001,44.970001,44.450001,44.900002,312300,43.347983
2015-06-12,45.34,45.73,44.959999,45.380001,324500,43.811391
2015-06-11,44.709999,45.799999,44.709999,45.619999,613100,44.043093
2015-06-10,45.18,45.459999,44.740002,44.799999,539300,43.251438
2015-06-09,44.790001,44.98,44.200001,44.950001,382000,43.396254
2015-06-08,45.00,45.189999,44.509998,44.689999,299700,43.145239
2015-06-05,44.610001,45.23,44.200001,45.00,876600,43.444525
2015-06-04,45.599998,45.869999,44.59,44.759998,692300,43.21282
2015-06-03,45.68,46.16,45.41,45.66,469700,44.081712
2015-06-02,45.470001,45.73,45.080002,45.540001,379100,43.96586
2015-06-01,46.41,46.490002,45.27,45.650002,885100,44.072059
2015-05-29,46.130001,46.189999,45.470001,45.98,588400,44.39065
2015-05-28,45.919998,46.490002,45.740002,46.220001,473800,44.622356
2015-05-27,45.349998,45.959999,45.09,45.849998,950600,44.265143
2015-05-26,45.889999,46.18,45.32,45.689999,644400,43.763118
2015-05-22,45.529999,45.93,45.330002,45.849998,615600,43.916371
2015-05-21,44.93,45.66,44.720001,45.599998,578200,43.676914
2015-05-20,44.720001,44.970001,44.560001,44.939999,344700,43.044748
2015-05-19,45.200001,45.380001,44.490002,44.720001,351600,42.834029
2015-05-18,44.970001,45.259998,44.50,45.150002,556600,43.245895
2015-05-15,44.610001,44.93,44.27,44.889999,350300,42.996858
2015-05-14,43.959999,45.029999,43.639999,44.73,745700,42.843605
2015-05-13,43.689999,43.939999,43.220001,43.669998,456800,41.828307
2015-05-12,43.619999,43.619999,42.82,43.540001,430700,41.703792
2015-05-11,43.18,44.00,42.810001,43.700001,496100,41.857045
