Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,34.490002,34.75,33.73,33.810001,3566600,33.810001
2016-04-01,33.549999,34.41,33.400002,34.259998,4530700,34.259998
2016-03-31,33.509998,33.84,33.50,33.619999,4080200,33.619999
2016-03-30,32.880001,33.68,32.830002,33.59,4052100,33.59
2016-03-29,32.380001,32.799999,32.209999,32.779999,3697300,32.779999
2016-03-28,32.419998,32.849998,32.330002,32.380001,2743300,32.380001
2016-03-24,32.369999,32.619999,32.09,32.349998,3497900,32.349998
2016-03-23,32.279999,32.689999,32.07,32.470001,3381100,32.470001
2016-03-22,32.389999,32.59,32.200001,32.220001,2728200,32.220001
2016-03-21,32.580002,32.889999,32.240002,32.599998,3407200,32.599998
2016-03-18,32.93,33.25,32.700001,32.779999,10248400,32.779999
2016-03-17,32.330002,32.889999,32.150002,32.810001,4685500,32.810001
2016-03-16,31.719999,32.400002,31.719999,32.169998,4347900,32.169998
2016-03-15,32.450001,32.540001,31.959999,32.240002,3087600,32.240002
2016-03-14,32.849998,33.00,32.560001,32.82,3340000,32.82
2016-03-11,33.84,33.919998,32.98,33.040001,4528300,33.040001
2016-03-10,33.50,33.91,33.189999,33.619999,5273600,33.619999
2016-03-09,33.099998,33.619999,33.00,33.279999,4265800,33.279999
2016-03-08,32.639999,33.240002,32.299999,33.080002,3623300,33.080002
2016-03-07,32.099998,32.849998,32.060001,32.639999,3162300,32.639999
2016-03-04,32.84,33.200001,32.18,32.220001,4297800,32.220001
2016-03-03,32.75,33.209999,32.619999,32.98,5203600,32.98
2016-03-02,32.27,32.810001,32.00,32.639999,4382400,32.639999
2016-03-01,32.830002,32.93,32.080002,32.27,4325200,32.27
2016-02-29,32.529999,33.00,32.110001,32.52,3594500,32.52
2016-02-26,33.18,33.330002,32.400002,32.470001,3560100,32.470001
2016-02-25,32.169998,33.150002,32.110001,33.139999,4076800,33.139999
2016-02-24,31.700001,32.380001,31.459999,32.32,3249600,32.32
2016-02-23,32.369999,32.400002,31.809999,31.969999,3480700,31.969999
2016-02-22,31.799999,32.52,31.68,32.400002,3813100,32.400002
