Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,63.029999,63.299999,62.669998,63.23,5093000,63.23
2016-04-01,62.349998,63.150002,62.110001,63.060001,5805700,63.060001
2016-03-31,62.580002,63.00,62.369999,62.66,6372600,62.66
2016-03-30,62.16,62.799999,62.029999,62.580002,6620800,62.580002
2016-03-29,61.860001,62.580002,61.48,62.029999,8823300,62.029999
2016-03-28,60.869999,61.849998,60.849998,61.630001,4446100,61.630001
2016-03-24,60.810001,61.290001,60.509998,60.880001,5649500,60.880001
2016-03-23,60.860001,61.779999,60.330002,61.41,6001000,61.41
2016-03-22,61.450001,61.66,60.77,61.00,5191700,61.00
2016-03-21,61.450001,62.00,61.060001,61.720001,4073700,61.720001
2016-03-18,62.389999,62.439999,61.389999,61.540001,16490600,61.540001
2016-03-17,62.07,62.68,62.009998,62.330002,7216800,62.330002
2016-03-16,61.830002,62.220001,61.279999,62.07,5237600,62.07
2016-03-15,61.689999,62.060001,61.669998,61.860001,5815100,61.860001
2016-03-14,62.139999,62.299999,61.57,62.009998,4755100,62.009998
2016-03-11,62.799999,62.860001,61.740002,62.009998,7469800,62.009998
2016-03-10,62.91,63.150002,62.419998,63.00,6126100,62.435001
2016-03-09,62.639999,62.889999,62.400002,62.810001,5932700,62.246707
2016-03-08,61.77,62.389999,61.450001,62.299999,5875100,61.741278
2016-03-07,62.860001,63.080002,61.599998,61.810001,9973000,61.255675
2016-03-04,62.150002,63.07,61.880001,62.98,5930900,62.41518
2016-03-03,61.50,62.290001,61.16,62.23,5119100,61.671906
2016-03-02,61.48,61.689999,61.029999,61.50,5623100,60.948454
2016-03-01,62.130001,62.290001,61.32,61.73,7102000,61.17639
2016-02-29,61.509998,62.240002,61.27,61.57,6266400,61.017826
2016-02-26,62.529999,62.529999,61.279999,61.540001,5543600,60.988096
2016-02-25,61.50,62.450001,61.380001,62.380001,5207200,61.820563
2016-02-24,61.200001,61.419998,60.630001,61.360001,4186900,60.80971
2016-02-23,61.220001,61.77,61.040001,61.52,4686100,60.968275
2016-02-22,60.560001,61.360001,60.560001,61.209999,4590500,60.661053
2016-02-19,60.619999,60.93,60.029999,60.560001,4982300,60.016885
2016-02-18,60.32,60.700001,60.23,60.619999,5524700,60.076345
2016-02-17,60.470001,60.75,59.849998,60.400002,5311700,59.85832
2016-02-16,60.259998,60.540001,59.73,60.299999,6590900,59.759215
2016-02-12,60.330002,60.639999,59.509998,59.970001,6719700,59.432176
2016-02-11,59.57,60.299999,59.18,59.990002,5865900,59.451997
2016-02-10,60.610001,61.080002,59.919998,60.049999,6137500,59.511457
2016-02-09,60.150002,61.130001,59.73,60.450001,7670800,59.907871
2016-02-08,59.110001,60.419998,59.00,60.119999,7922900,59.580829
2016-02-05,59.799999,60.00,58.84,59.799999,7506300,59.263699
2016-02-04,59.349998,59.959999,58.869999,59.48,6364700,58.946569
2016-02-03,60.50,61.02,59.139999,59.84,7979700,59.303341
2016-02-02,60.439999,60.799999,60.049999,60.490002,6734700,59.947513
2016-02-01,60.73,61.380001,60.700001,60.939999,6017600,60.393474
2016-01-29,60.220001,61.18,60.02,61.110001,10240000,60.561952
2016-01-28,58.110001,59.889999,58.02,59.630001,7445900,59.095225
2016-01-27,58.990002,60.119999,58.509998,58.959999,8297200,58.431232
2016-01-26,58.709999,59.700001,58.349998,58.959999,8360900,58.431232
2016-01-25,58.490002,59.139999,58.27,58.400002,6677800,57.876257
2016-01-22,58.150002,58.41,57.52,58.279999,6449300,57.75733
2016-01-21,57.48,57.740002,56.759998,57.450001,6150900,56.934776
2016-01-20,57.57,58.139999,56.150002,57.220001,9562900,56.706839
2016-01-19,57.779999,58.650002,57.689999,58.400002,7911500,57.876257
2016-01-15,57.049999,58.150002,56.830002,57.200001,9785800,56.687018
2016-01-14,57.700001,58.700001,57.509998,58.220001,6739100,57.697871
2016-01-13,59.349998,59.349998,57.700001,57.779999,7714600,57.261814
2016-01-12,59.959999,60.080002,58.919998,59.380001,5628400,58.847467
2016-01-11,58.68,59.740002,58.68,59.459999,8228800,58.926748
2016-01-08,58.299999,59.23,58.029999,58.240002,7059500,57.717692
2016-01-07,57.919998,59.299999,57.830002,58.139999,7314200,57.618586
2016-01-06,58.049999,59.470001,58.00,59.169998,7686600,58.639348
2016-01-05,57.48,58.740002,57.419998,58.549999,6407700,58.024909
2016-01-04,57.540001,57.580002,56.560001,57.389999,6800600,56.875312
2015-12-31,58.509998,58.700001,58.099998,58.209999,3652200,57.687958
2015-12-30,58.98,59.130001,58.619999,58.799999,3236800,58.272667
2015-12-29,58.59,58.990002,58.349998,58.919998,3813300,58.39159
2015-12-28,58.110001,58.439999,57.830002,58.27,3376900,57.747421
2015-12-24,58.32,58.580002,58.25,58.290001,1785200,57.767243
2015-12-23,57.939999,58.490002,57.68,58.43,4148700,57.905986
2015-12-22,57.169998,57.889999,56.75,57.77,6713700,57.251906
2015-12-21,57.43,57.720001,56.639999,57.439999,7881700,56.364929
2015-12-18,58.130001,58.189999,57.110001,57.130001,11698500,56.060733
2015-12-17,58.790001,58.950001,58.34,58.43,5165700,57.336401
2015-12-16,57.720001,59.150002,57.400002,58.950001,6865100,57.846669
2015-12-15,57.779999,58.240002,57.16,57.34,6015200,56.266802
2015-12-14,56.389999,57.59,56.169998,57.52,6497300,56.443433
2015-12-11,56.720001,57.09,56.240002,56.459999,5310900,55.403271
2015-12-10,57.48,57.66,56.830002,57.18,4717800,56.109797
2015-12-09,58.02,58.470001,57.049999,57.330002,5427900,56.256991
2015-12-08,58.18,58.360001,57.759998,58.23,3227300,57.140144
2015-12-07,58.59,58.91,58.07,58.27,4262000,57.179396
2015-12-04,57.459999,58.57,57.43,58.509998,7450900,57.414902
2015-12-03,57.700001,58.00,56.860001,57.09,5165000,56.021481
2015-12-02,57.889999,58.400002,57.75,57.84,5269500,56.757444
2015-12-01,57.66,57.959999,57.27,57.889999,4852100,56.806507
2015-11-30,57.959999,58.50,57.50,57.599998,7878400,56.521934
2015-11-27,57.59,58.029999,57.50,57.75,1767900,56.669128
2015-11-25,57.599998,57.73,57.16,57.50,2980100,56.423807
2015-11-24,57.389999,57.830002,57.009998,57.57,3714300,56.492497
2015-11-23,57.32,57.84,57.139999,57.619999,4521800,56.54156
2015-11-20,57.549999,58.380001,57.080002,57.130001,6329000,56.060733
2015-11-19,57.220001,58.029999,57.220001,57.459999,5583700,56.384555
2015-11-18,56.889999,57.150002,56.439999,57.060001,6322200,55.992044
2015-11-17,56.849998,57.099998,56.509998,56.68,3883400,55.619155
2015-11-16,56.279999,56.919998,56.25,56.77,5152000,55.707471
2015-11-13,56.759998,57.040001,56.259998,56.279999,4651700,55.22664
2015-11-12,57.150002,57.400002,56.59,56.759998,5254100,55.697656
2015-11-11,57.00,57.740002,57.00,57.209999,8123400,56.139234
2015-11-10,57.009998,57.290001,56.709999,56.790001,4866800,55.727097
2015-11-09,56.779999,57.380001,56.580002,57.080002,6247700,56.01167
2015-11-06,57.75,57.790001,56.349998,57.09,7996300,56.021481
2015-11-05,58.400002,58.459999,57.77,58.049999,5382100,56.963513
2015-11-04,57.889999,58.23,57.77,58.029999,9298800,56.943886
2015-11-03,59.939999,60.00,57.73,57.849998,12133800,56.767255
2015-11-02,60.82,60.889999,59.990002,60.50,5921200,59.367658
2015-10-30,61.200001,61.299999,60.450001,60.470001,6882500,59.338221
2015-10-29,61.459999,61.740002,60.529999,61.529999,6018100,60.378379
2015-10-28,61.330002,61.439999,60.57,61.439999,5143900,60.290063
2015-10-27,61.060001,61.279999,60.610001,61.060001,4500900,59.917178
2015-10-26,61.360001,61.580002,60.939999,61.400002,5101700,60.250815
2015-10-23,61.509998,61.580002,60.220001,61.049999,8025000,59.907363
2015-10-22,60.099998,61.57,60.09,61.400002,7372700,60.250815
2015-10-21,59.740002,60.330002,59.369999,59.84,5204700,58.720011
2015-10-20,59.669998,59.939999,59.369999,59.740002,5432000,58.621884
