Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,26.379999,26.65,25.65,25.809999,4493300,25.809999
2016-04-01,26.889999,27.030001,25.790001,26.84,7019800,26.84
2016-03-31,28.16,28.309999,26.879999,27.00,6776400,27.00
2016-03-30,27.85,28.41,27.690001,28.120001,3778600,28.120001
2016-03-29,27.639999,28.059999,26.950001,27.969999,4089400,27.969999
2016-03-28,27.51,28.059999,26.82,27.959999,4624300,27.959999
2016-03-24,27.75,27.75,26.860001,27.26,6434400,27.26
2016-03-23,28.700001,28.83,27.889999,28.02,5680800,28.02
2016-03-22,29.51,29.700001,28.92,29.15,3957900,29.15
2016-03-21,29.58,30.209999,29.51,29.719999,3604000,29.719999
2016-03-18,30.07,30.299999,29.34,29.719999,14727600,29.719999
2016-03-17,29.51,30.25,29.290001,29.870001,5485100,29.870001
2016-03-16,28.08,29.23,28.040001,29.10,4640800,29.10
2016-03-15,29.030001,29.190001,28.27,28.540001,4411300,28.540001
2016-03-14,28.60,29.91,28.32,29.459999,5217400,29.459999
2016-03-11,29.50,29.799999,28.50,28.700001,7705400,28.700001
2016-03-10,30.190001,30.35,28.92,29.459999,6890500,29.459999
2016-03-09,29.35,30.16,29.040001,30.129999,5587900,30.129999
2016-03-08,30.02,30.370001,29.10,29.129999,5947300,29.129999
2016-03-07,29.59,31.10,29.59,30.370001,8674100,30.370001
2016-03-04,28.549999,29.82,28.50,29.610001,9109700,29.610001
2016-03-03,28.190001,28.620001,27.889999,28.49,4458000,28.49
2016-03-02,26.75,28.42,26.629999,28.15,6645100,28.15
2016-03-01,26.559999,27.35,26.48,27.10,5778300,27.10
2016-02-29,26.60,27.200001,26.33,26.65,7683400,26.375
2016-02-26,25.73,27.07,25.620001,26.82,8208200,26.543246
2016-02-25,24.969999,25.68,24.50,25.42,4698500,25.157693
2016-02-24,24.08,25.08,23.110001,24.969999,6586800,24.712336
2016-02-23,25.059999,25.07,24.120001,24.379999,5016400,24.128424
2016-02-22,24.40,25.219999,24.40,25.16,3692900,24.900375
2016-02-19,25.59,25.60,24.10,24.40,6529600,24.148218
2016-02-18,25.43,25.889999,24.76,25.719999,6359800,25.454596
2016-02-17,23.790001,25.51,23.68,25.299999,7562600,25.03893
2016-02-16,22.860001,23.620001,22.200001,23.540001,7381400,23.297093
2016-02-12,24.68,24.91,22.51,22.91,12192700,22.673593
2016-02-11,23.17,25.77,22.370001,24.75,11169500,24.494606
2016-02-10,24.190001,24.50,23.34,23.42,5091800,23.178331
2016-02-09,23.09,24.059999,22.58,23.860001,6326000,23.613791
2016-02-08,24.50,24.59,23.059999,23.58,6038900,23.336679
2016-02-05,24.700001,25.459999,24.209999,24.860001,4654000,24.603472
2016-02-04,24.00,25.370001,23.959999,24.799999,8350100,24.54409
2016-02-03,22.440001,23.940001,22.43,23.93,5728400,23.683068
2016-02-02,23.629999,23.629999,22.02,22.10,6465500,21.871952
2016-02-01,23.950001,24.07,23.02,23.92,5736000,23.673171
2016-01-29,23.440001,24.10,22.790001,24.10,7734400,23.851314
2016-01-28,22.49,23.18,22.049999,23.00,5406200,22.762664
2016-01-27,22.809999,23.200001,22.16,22.57,5721900,22.337101
2016-01-26,22.43,23.09,22.40,22.85,5043500,22.614213
2016-01-25,23.219999,23.219999,22.16,22.40,7811000,22.168855
2016-01-22,25.25,26.23,23.370001,23.85,9015800,23.603894
2016-01-21,24.110001,24.969999,23.790001,24.620001,5979200,24.365949
2016-01-20,24.379999,24.40,22.690001,23.93,8875800,23.683068
2016-01-19,25.76,25.950001,24.25,24.83,7747100,24.573781
2016-01-15,24.440001,25.68,24.23,25.469999,9118900,25.207176
2016-01-14,24.08,25.379999,23.76,25.059999,7342200,24.801407
2016-01-13,24.75,25.17,24.030001,24.139999,6384300,23.8909
2016-01-12,24.299999,24.77,23.65,24.559999,8549900,24.306566
2016-01-11,25.00,25.07,23.52,23.799999,7972700,23.554409
2016-01-08,25.50,25.60,24.77,24.91,5372300,24.652955
2016-01-07,26.17,26.34,25.34,25.530001,5552700,25.266558
2016-01-06,27.83,27.85,26.27,26.440001,5965400,26.167168
2016-01-05,28.66,28.67,27.870001,28.299999,4995600,28.007973
2016-01-04,27.309999,28.43,27.219999,28.42,7316400,28.126736
2015-12-31,28.059999,28.299999,27.530001,27.59,4235800,27.305301
2015-12-30,28.91,29.08,28.17,28.35,3016000,28.057459
2015-12-29,29.17,29.35,28.52,28.870001,3260900,28.572093
2015-12-28,29.60,29.629999,28.620001,28.98,3238100,28.680957
2015-12-24,30.09,30.450001,29.629999,29.75,1668900,29.443012
2015-12-23,28.959999,30.50,28.90,30.01,6161400,29.700329
2015-12-22,27.40,28.959999,27.370001,28.700001,6796800,28.403847
2015-12-21,28.709999,28.799999,26.959999,27.24,8913300,26.958912
2015-12-18,28.73,29.379999,28.50,28.540001,12515400,28.245499
2015-12-17,30.030001,30.139999,28.82,28.84,4880800,28.542402
2015-12-16,29.68,30.129999,28.940001,30.09,4558800,29.779503
2015-12-15,28.84,29.620001,28.84,29.469999,4209900,29.1659
2015-12-14,29.360001,29.49,28.27,28.700001,5010600,28.403847
2015-12-11,29.860001,29.940001,29.280001,29.370001,4180100,29.066934
2015-12-10,30.82,31.450001,30.02,30.07,4687200,29.759709
2015-12-09,30.23,30.99,30.190001,30.84,5394200,30.521764
2015-12-08,31.82,31.93,30.00,30.02,8154000,29.710226
2015-12-07,30.719999,32.259998,30.370001,32.049999,9705100,31.719277
2015-12-04,31.00,31.049999,30.09,30.879999,6470700,30.56135
2015-12-03,30.940001,31.15,30.540001,31.030001,5467100,30.709804
2015-12-02,31.809999,31.85,30.43,30.709999,4906300,30.393105
2015-12-01,31.50,32.25,31.280001,31.82,5679100,31.491651
2015-11-30,31.08,31.82,30.610001,31.639999,5514100,31.041346
2015-11-27,31.469999,31.52,30.82,31.049999,1899100,30.462509
2015-11-25,31.360001,31.82,31.08,31.459999,2881800,30.864751
2015-11-24,30.91,31.780001,30.67,31.530001,4340600,30.933429
2015-11-23,31.17,31.50,30.940001,30.959999,4505000,30.374212
2015-11-20,32.450001,32.66,31.09,31.26,4043500,30.668537
2015-11-19,32.049999,32.950001,32.00,32.310001,3625200,31.698671
2015-11-18,31.709999,32.130001,31.530001,31.950001,4567100,31.345482
2015-11-17,32.869999,32.959999,31.51,31.73,4526200,31.129643
2015-11-16,32.259998,32.970001,32.130001,32.68,3435500,32.061669
2015-11-13,31.690001,32.509998,31.530001,32.209999,4389300,31.600561
2015-11-12,31.459999,32.139999,31.26,31.66,3279600,31.060968
2015-11-11,31.85,31.940001,31.07,31.85,3597600,31.247374
2015-11-10,32.610001,32.740002,31.34,31.76,4424100,31.159076
2015-11-09,32.50,32.799999,31.700001,32.639999,4515500,32.022425
2015-11-06,32.669998,32.91,32.150002,32.50,4354400,31.885075
2015-11-05,33.450001,33.889999,32.48,32.669998,6326900,32.051856
2015-11-04,36.52,36.529999,33.189999,33.380001,8162100,32.748425
2015-11-03,33.540001,36.950001,33.240002,36.509998,7134600,35.819201
