Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,8.86,9.15,8.52,8.75,7611000,8.75
2016-04-01,8.96,9.16,8.75,8.92,7935800,8.92
2016-03-31,9.07,9.34,8.94,9.20,9134300,9.20
2016-03-30,9.07,9.26,8.82,9.09,6855300,9.09
2016-03-29,8.44,9.02,8.36,8.93,6788800,8.93
2016-03-28,8.74,8.79,8.40,8.68,5116100,8.68
2016-03-24,8.19,8.70,8.02,8.69,6787600,8.69
2016-03-23,8.80,9.00,8.37,8.47,6974600,8.47
2016-03-22,9.26,9.30,8.87,8.95,7233200,8.95
2016-03-21,9.07,9.45,8.87,9.41,6283300,9.41
2016-03-18,9.58,9.84,9.01,9.14,15421500,9.14
2016-03-17,9.11,9.64,8.92,9.49,12237000,9.49
2016-03-16,8.99,9.14,8.63,8.90,7555700,8.90
2016-03-15,8.79,8.87,8.43,8.79,7098200,8.79
2016-03-14,8.86,9.04,8.61,9.01,10567300,9.01
2016-03-11,8.80,9.41,8.71,9.20,12204000,9.20
2016-03-10,8.19,8.59,7.96,8.44,9132400,8.44
2016-03-09,8.38,8.53,7.75,8.24,9854100,8.24
2016-03-08,8.39,8.45,7.58,8.04,12101300,8.04
2016-03-07,8.29,9.01,8.12,8.60,16248200,8.540001
2016-03-04,8.66,9.07,8.20,8.29,16782100,8.232163
2016-03-03,7.44,8.90,7.36,8.36,15774900,8.301674
2016-03-02,6.81,7.47,6.70,7.47,15053900,7.417884
2016-03-01,7.40,7.59,6.78,6.87,18451600,6.82207
2016-02-29,7.36,7.52,7.10,7.16,9832600,7.110047
2016-02-26,7.09,7.47,6.96,7.30,7511500,7.24907
2016-02-25,6.82,6.91,6.22,6.90,8397100,6.851861
2016-02-24,6.60,6.96,6.44,6.93,5483600,6.881651
2016-02-23,7.15,7.66,6.78,6.88,8780300,6.832
2016-02-22,6.88,7.45,6.88,7.31,6579300,7.259
2016-02-19,6.75,6.89,6.46,6.88,8910300,6.832
2016-02-18,7.30,7.35,6.76,6.98,9647200,6.931302
2016-02-17,6.62,7.49,6.62,7.16,16739400,7.110047
2016-02-16,6.14,6.47,6.03,6.30,12326200,6.256047
2016-02-12,5.88,6.23,5.79,5.97,7461200,5.928349
2016-02-11,5.75,5.79,5.35,5.74,10772700,5.699953
2016-02-10,5.99,6.32,5.87,5.94,6220000,5.898558
2016-02-09,6.40,6.44,5.76,6.10,9367800,6.057442
2016-02-08,6.75,6.75,6.20,6.59,9109100,6.544024
2016-02-05,7.24,7.49,6.83,7.01,8562500,6.961093
2016-02-04,6.89,7.57,6.86,7.36,9973500,7.308651
2016-02-03,6.47,6.80,6.03,6.79,10780100,6.742628
2016-02-02,6.39,6.56,6.16,6.31,9405700,6.265977
2016-02-01,7.14,7.14,6.50,6.62,8945300,6.573814
2016-01-29,6.87,7.39,6.69,7.36,9230200,7.308651
2016-01-28,6.82,7.09,6.62,6.80,9175200,6.752558
2016-01-27,5.93,6.58,5.85,6.33,8490200,6.285837
2016-01-26,5.90,6.00,5.67,5.96,4279400,5.918419
2016-01-25,6.05,6.41,5.65,5.67,7214100,5.630442
2016-01-22,6.35,6.50,6.04,6.29,14023200,6.246116
2016-01-21,5.37,5.92,5.24,5.91,8766100,5.868767
2016-01-20,5.64,5.71,4.93,5.53,16309200,5.491419
2016-01-19,6.45,6.47,5.84,5.87,8577900,5.829047
2016-01-15,6.29,6.44,6.12,6.37,6477400,6.325558
2016-01-14,6.57,6.86,6.30,6.70,6556600,6.653256
2016-01-13,6.96,7.04,6.49,6.50,7871800,6.454651
2016-01-12,7.13,7.25,6.38,6.79,9198900,6.742628
2016-01-11,7.18,7.18,6.75,6.93,6990700,6.881651
2016-01-08,7.51,7.58,6.92,7.19,10072100,7.139837
2016-01-07,7.69,7.85,7.38,7.41,7895600,7.358302
2016-01-06,8.12,8.25,7.85,7.94,4965300,7.884605
2016-01-05,8.64,8.65,8.21,8.47,6792700,8.410907
2016-01-04,8.48,8.71,8.29,8.64,5783300,8.579721
2015-12-31,8.23,8.63,8.22,8.51,3946300,8.450628
2015-12-30,8.20,8.53,8.18,8.30,4148700,8.242093
2015-12-29,8.62,8.73,8.32,8.50,4660600,8.440698
