Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,119.029999,119.18,117.940002,118.720001,1309900,118.720001
2016-04-01,118.089996,118.989998,117.459999,118.709999,2076200,118.709999
2016-03-31,118.239998,118.800003,117.849998,118.339996,1993800,118.339996
2016-03-30,119.150002,119.370003,118.099998,118.50,1288400,118.50
2016-03-29,117.949997,119.129997,117.18,119.010002,1379900,119.010002
2016-03-28,118.349998,118.900002,117.360001,117.580002,1378800,117.580002
2016-03-24,117.489998,118.620003,117.279999,118.480003,2410300,118.480003
2016-03-23,116.699997,118.099998,116.419998,117.690002,1664300,117.690002
2016-03-22,117.360001,118.160004,116.720001,117.040001,1475200,117.040001
2016-03-21,117.870003,118.389999,116.610001,117.57,1575100,117.57
2016-03-18,118.739998,118.879997,117.57,118.50,5351100,118.50
2016-03-17,117.279999,118.550003,116.510002,118.330002,1907900,118.330002
2016-03-16,115.540001,117.519997,114.440002,117.120003,1883300,117.120003
2016-03-15,115.849998,116.669998,115.300003,115.599998,2320500,115.599998
2016-03-14,116.230003,116.769997,115.279999,115.839996,1501900,115.839996
2016-03-11,116.279999,116.379997,115.370003,115.82,1587500,115.82
2016-03-10,116.830002,116.970001,114.529999,115.690002,1563300,115.690002
2016-03-09,115.339996,116.410004,115.339996,116.260002,1857400,116.260002
2016-03-08,114.489998,115.699997,114.169998,115.449997,2060800,115.449997
2016-03-07,114.059998,114.730003,113.489998,114.449997,2128400,114.449997
2016-03-04,111.209999,114.540001,110.650002,114.290001,2920800,114.290001
2016-03-03,112.480003,112.540001,109.959999,111.620003,3433900,111.620003
2016-03-02,112.239998,112.860001,109.339996,112.360001,2755900,112.360001
2016-03-01,113.43,113.720001,111.959999,112.599998,2458200,112.599998
2016-02-29,112.370003,113.940002,112.050003,112.82,2625900,112.82
2016-02-26,115.300003,115.809998,112.190002,112.519997,2439200,112.519997
2016-02-25,116.370003,116.980003,115.120003,115.839996,2194100,115.839996
2016-02-24,114.660004,116.110001,114.459999,116.00,3338800,116.00
2016-02-23,115.330002,116.540001,114.849998,116.120003,2307300,115.250003
2016-02-22,115.099998,116.529999,114.75,115.699997,2615500,114.833144
2016-02-19,114.50,115.449997,113.599998,114.75,3372000,113.890265
2016-02-18,111.839996,114.779999,111.690002,114.330002,3271200,113.473414
2016-02-17,112.260002,112.269997,111.269997,111.43,2698300,110.59514
2016-02-16,112.449997,112.959999,111.209999,112.349998,2348800,111.508245
2016-02-12,112.120003,112.330002,110.599998,111.669998,2861800,110.833339
2016-02-11,113.029999,113.959999,111.879997,111.900002,3263200,111.061619
2016-02-10,112.620003,114.120003,111.410004,113.739998,3448600,112.88783
2016-02-09,114.010002,115.949997,113.650002,115.349998,3443900,114.485768
2016-02-08,113.639999,114.610001,112.800003,114.169998,2574200,113.314609
2016-02-05,113.300003,114.139999,112.220001,113.610001,2751800,112.758807
2016-02-04,113.919998,114.959999,112.550003,113.519997,2928200,112.669477
2016-02-03,114.129997,115.510002,113.68,114.75,3383000,113.890265
2016-02-02,112.050003,114.07,112.00,113.910004,2755100,113.056562
2016-02-01,111.639999,113.440002,110.790001,112.980003,3779300,112.13353
2016-01-29,109.389999,111.860001,108.800003,111.709999,6156600,110.87304
2016-01-28,105.760002,108.769997,105.529999,108.300003,3671500,107.488593
2016-01-27,106.879997,107.800003,106.209999,106.730003,2749900,105.930356
2016-01-26,106.599998,107.730003,105.860001,106.559998,3068000,105.761624
2016-01-25,106.720001,107.029999,105.470001,106.419998,2133300,105.622674
2016-01-22,105.800003,106.68,105.010002,106.599998,2350100,105.801325
2016-01-21,105.43,105.779999,103.860001,105.040001,2196600,104.253016
2016-01-20,106.860001,107.540001,103.349998,105.309998,3466500,104.520989
2016-01-19,105.459999,108.239998,105.129997,107.809998,3824600,107.002259
2016-01-15,105.440002,105.889999,104.080002,105.260002,3815000,104.471368
2016-01-14,104.809998,106.769997,104.379997,105.690002,2495400,104.898147
2016-01-13,105.68,105.889999,103.739998,104.620003,2573200,103.836164
2016-01-12,105.769997,106.080002,104.339996,105.379997,2154700,104.590465
2016-01-11,105.32,106.599998,105.110001,105.580002,4099300,104.788971
2016-01-08,104.870003,105.900002,104.75,105.169998,3595500,104.382039
2016-01-07,103.190002,105.059998,103.029999,104.699997,3217700,103.915559
2016-01-06,103.889999,104.669998,103.50,104.239998,1745800,103.459006
2016-01-05,103.690002,104.940002,102.199997,104.580002,2228800,103.796463
2016-01-04,102.870003,103.650002,102.339996,103.57,1929100,102.794028
2015-12-31,104.910004,104.919998,103.029999,103.889999,1436200,103.11163
2015-12-30,104.650002,105.260002,104.459999,104.910004,1409600,104.123992
2015-12-29,104.650002,105.300003,104.470001,104.650002,1110800,103.865938
2015-12-28,103.68,104.07,103.300003,103.989998,1634200,103.210879
2015-12-24,103.849998,104.150002,103.510002,103.93,552800,103.151331
2015-12-23,103.080002,104.309998,103.00,103.980003,1611200,103.20096
2015-12-22,102.650002,103.290001,101.510002,102.910004,1674700,102.138977
2015-12-21,102.779999,102.959999,101.50,102.300003,2369000,101.533546
2015-12-18,103.360001,103.400002,100.709999,102.110001,4747800,101.344968
2015-12-17,103.650002,104.43,103.010002,103.410004,2439100,102.635231
2015-12-16,99.400002,103.919998,99.400002,103.650002,4370900,102.87343
2015-12-15,98.480003,99.269997,98.029999,98.720001,2572400,97.980367
2015-12-14,97.480003,98.389999,97.07,97.980003,3050300,97.245913
2015-12-11,96.879997,97.730003,96.309998,97.410004,1911700,96.680184
2015-12-10,98.989998,98.989998,97.489998,97.599998,1805600,96.868755
2015-12-09,98.790001,99.809998,98.00,98.760002,3315300,98.020068
2015-12-08,98.339996,99.480003,98.089996,99.339996,2740000,98.595717
2015-12-07,98.019997,98.709999,97.730003,98.57,2823100,97.831489
2015-12-04,96.959999,98.309998,96.419998,98.139999,3511600,97.404711
2015-12-03,97.480003,98.010002,96.190002,96.419998,2672200,95.697596
2015-12-02,100.230003,100.43,97.910004,97.989998,2844900,97.255833
2015-12-01,100.029999,100.959999,99.650002,100.57,1942200,99.816505
2015-11-30,99.279999,100.50,99.260002,99.860001,2349500,99.111825
2015-11-27,99.120003,99.699997,99.019997,99.370003,724900,98.625498
2015-11-25,99.18,99.269997,98.529999,98.879997,1097300,98.139164
2015-11-24,99.300003,99.910004,98.650002,99.410004,1698200,98.6652
2015-11-23,101.00,101.339996,100.230003,100.489998,1757200,98.972868
2015-11-20,100.959999,101.870003,100.57,101.019997,1762100,99.494865
2015-11-19,99.849998,101.25,99.629997,100.989998,2318700,99.46532
2015-11-18,100.75,101.260002,98.550003,99.699997,4806300,98.194794
2015-11-17,102.040001,103.07,100.510002,100.75,2421400,99.228945
2015-11-16,100.50,102.18,100.139999,102.120003,1629200,100.578264
2015-11-13,100.800003,101.669998,100.220001,100.43,2411800,98.913776
2015-11-12,99.699997,101.589996,99.470001,100.730003,3298500,99.20925
2015-11-11,99.089996,99.839996,98.769997,99.720001,1744700,98.214496
2015-11-10,98.879997,99.519997,98.639999,99.00,1686600,97.505365
2015-11-09,98.629997,99.290001,98.260002,98.910004,2139900,97.416728
2015-11-06,100.650002,101.07,97.449997,98.839996,3070300,97.347777
2015-11-05,103.040001,103.510002,102.040001,102.099998,1583100,100.558562
2015-11-04,102.32,103.32,102.099998,103.220001,1500700,101.661656
2015-11-03,101.75,102.480003,101.360001,102.309998,1273700,100.765391
2015-11-02,102.760002,103.00,101.410004,102.230003,1688100,100.686604
2015-10-30,101.839996,103.029999,101.529999,102.660004,2202800,101.110113
2015-10-29,102.650002,102.650002,101.00,101.779999,1697600,100.243394
2015-10-28,104.099998,105.300003,101.519997,102.949997,1934600,101.395728
2015-10-27,103.720001,104.290001,103.470001,104.099998,2103400,102.528367
2015-10-26,104.779999,104.779999,103.269997,103.849998,2381600,102.282142
2015-10-23,105.559998,105.839996,104.370003,104.559998,1711100,102.981422
2015-10-22,104.470001,105.849998,104.18,105.709999,1677000,104.114061
2015-10-21,104.300003,104.879997,103.910004,104.199997,1166500,102.626856
2015-10-20,103.510002,104.459999,103.199997,103.940002,1387500,102.370787
2015-10-19,103.599998,103.82,102.550003,103.769997,1275500,102.203348
2015-10-16,103.779999,104.260002,103.129997,103.660004,1626700,102.095015
2015-10-15,101.43,103.370003,101.25,103.199997,1794800,101.641954
2015-10-14,101.330002,101.760002,100.690002,100.93,1201700,99.406228
2015-10-13,101.269997,101.860001,100.949997,101.239998,1264700,99.711545
2015-10-12,101.050003,102.120003,101.00,101.449997,1799800,99.918374
2015-10-09,100.800003,101.209999,100.239998,101.050003,1739800,99.524419
2015-10-08,99.559998,100.980003,99.199997,100.849998,1751600,99.327434
2015-10-07,100.050003,100.860001,99.75,99.93,1632800,98.421325
2015-10-06,100.410004,100.410004,99.50,99.849998,1972000,98.342531
2015-10-05,98.949997,100.769997,98.550003,100.720001,2580900,99.199399
2015-10-02,97.099998,98.620003,96.599998,98.540001,2823600,97.052311
