Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,23.809999,23.92,23.42,23.60,2349000,23.60
2016-04-01,23.41,23.889999,23.40,23.82,2962600,23.82
2016-03-31,23.41,23.74,23.370001,23.559999,2842200,23.559999
2016-03-30,23.209999,23.559999,23.190001,23.389999,2170000,23.389999
2016-03-29,22.700001,23.17,22.530001,23.17,2301100,23.17
2016-03-28,22.99,23.209999,22.84,22.92,1850900,22.92
2016-03-24,22.98,23.15,22.860001,23.030001,2304100,23.030001
2016-03-23,22.84,23.139999,22.73,23.02,1596600,23.02
2016-03-22,22.92,23.00,22.75,22.799999,1283200,22.799999
2016-03-21,22.83,22.940001,22.60,22.889999,2011600,22.889999
2016-03-18,23.35,23.35,22.790001,22.799999,3943900,22.799999
2016-03-17,23.200001,23.42,23.110001,23.33,2056400,23.33
2016-03-16,22.65,23.15,22.49,23.10,1981900,23.10
2016-03-15,22.74,22.959999,22.57,22.67,2849800,22.67
2016-03-14,22.66,22.90,22.66,22.780001,1541100,22.780001
2016-03-11,22.84,22.99,22.67,22.74,1848700,22.74
2016-03-10,22.50,22.82,22.41,22.77,2101200,22.77
2016-03-09,22.51,22.790001,22.48,22.620001,1169100,22.620001
2016-03-08,22.41,22.66,22.299999,22.48,1789400,22.48
2016-03-07,22.24,22.549999,22.16,22.360001,2841700,22.360001
2016-03-04,22.23,22.51,22.09,22.40,1995700,22.40
2016-03-03,22.08,22.360001,21.870001,22.34,2535400,22.34
2016-03-02,21.41,22.10,20.940001,22.07,2960500,22.07
2016-03-01,21.57,21.719999,21.440001,21.50,2536300,21.50
2016-02-29,21.52,21.73,21.469999,21.48,2226600,21.48
2016-02-26,21.92,22.00,21.450001,21.51,2716200,21.51
2016-02-25,21.860001,22.059999,21.74,22.030001,1968200,22.030001
2016-02-24,21.700001,21.91,21.620001,21.75,2485200,21.75
2016-02-23,21.879999,22.02,21.75,21.799999,3125200,21.799999
2016-02-22,21.82,22.07,21.68,21.91,2411200,21.91
2016-02-19,21.73,22.139999,21.52,21.870001,3273800,21.870001
2016-02-18,21.25,22.10,21.15,21.870001,4141100,21.870001
2016-02-17,21.17,21.49,20.879999,21.35,4237600,21.35
2016-02-16,21.440001,21.559999,20.959999,21.110001,2583800,21.110001
2016-02-12,21.379999,21.389999,21.02,21.280001,3219400,21.280001
2016-02-11,21.35,21.42,20.940001,21.10,4150700,21.10
2016-02-10,21.200001,21.65,21.059999,21.48,4691300,21.48
2016-02-09,20.799999,21.379999,20.76,21.24,2964700,21.24
2016-02-08,21.07,21.24,20.719999,20.91,1950300,20.91
2016-02-05,21.07,21.139999,20.68,20.98,3763500,20.98
2016-02-04,21.450001,21.530001,21.059999,21.16,3624000,21.16
2016-02-03,21.379999,21.66,21.309999,21.48,4137300,21.324999
2016-02-02,21.23,21.530001,21.07,21.26,5417300,21.106587
2016-02-01,21.02,21.32,20.85,21.299999,4254200,21.146298
2016-01-29,21.01,21.129999,20.860001,21.01,4958300,20.858391
2016-01-28,20.27,20.85,20.200001,20.75,3868200,20.600267
2016-01-27,20.309999,20.379999,19.99,20.139999,3681900,19.994668
2016-01-26,20.40,20.67,20.290001,20.309999,2447500,20.163442
2016-01-25,20.24,20.43,20.129999,20.379999,3481800,20.232936
2016-01-22,19.73,20.34,19.540001,20.280001,2744600,20.133659
2016-01-21,19.50,19.799999,19.33,19.530001,2703400,19.389071
2016-01-20,19.90,20.02,19.049999,19.459999,3218100,19.319575
2016-01-19,19.889999,20.110001,19.780001,20.040001,2419800,19.895392
2016-01-15,19.68,19.91,19.530001,19.74,1995300,19.597555
2016-01-14,19.48,20.15,19.48,20.00,2402800,19.855679
2016-01-13,19.52,19.66,19.34,19.469999,2140100,19.329503
2016-01-12,19.82,19.90,19.459999,19.540001,2405300,19.399
2016-01-11,19.50,19.85,19.50,19.790001,2156500,19.647196
2016-01-08,19.52,19.790001,19.42,19.469999,2933800,19.329503
2016-01-07,19.719999,19.84,19.40,19.50,3047600,19.359287
2016-01-06,19.690001,20.00,19.59,19.940001,3525700,19.796113
2016-01-05,19.50,19.93,19.280001,19.83,3138800,19.686906
2016-01-04,19.41,19.66,19.309999,19.52,2592700,19.379143
2015-12-31,19.780001,19.860001,19.49,19.51,2559200,19.369215
2015-12-30,19.75,19.889999,19.74,19.82,1780400,19.676978
2015-12-29,19.50,19.83,19.50,19.799999,1580400,19.657122
2015-12-28,19.280001,19.469999,19.17,19.469999,1355300,19.329503
2015-12-24,19.33,19.459999,19.299999,19.309999,815400,19.170658
2015-12-23,19.120001,19.379999,19.02,19.33,2683100,19.190514
2015-12-22,18.889999,19.120001,18.639999,19.110001,1741900,18.972102
2015-12-21,19.030001,19.059999,18.790001,18.889999,2753900,18.753688
2015-12-18,19.18,19.200001,18.85,18.959999,3578000,18.823183
2015-12-17,19.370001,19.43,19.120001,19.280001,1638700,19.140876
2015-12-16,18.84,19.309999,18.76,19.309999,2892300,19.170658
2015-12-15,18.84,18.889999,18.68,18.709999,2758800,18.574987
2015-12-14,18.629999,18.84,18.60,18.84,2007800,18.70405
2015-12-11,18.91,18.950001,18.629999,18.66,2169700,18.525349
2015-12-10,19.26,19.540001,19.02,19.040001,3151100,18.902608
2015-12-09,19.290001,19.43,19.08,19.26,2863300,19.121019
2015-12-08,19.07,19.309999,18.969999,19.25,2757500,19.111091
2015-12-07,19.00,19.15,18.719999,19.139999,4429200,19.001884
2015-12-04,18.99,19.15,18.870001,19.10,3416800,18.962174
2015-12-03,19.32,19.389999,18.90,18.93,2083000,18.793401
2015-12-02,19.389999,19.41,19.190001,19.290001,3364400,19.150804
2015-12-01,19.23,19.41,19.139999,19.389999,2023800,19.25008
2015-11-30,19.26,19.309999,19.00,19.190001,4042100,19.051525
2015-11-27,19.18,19.379999,19.120001,19.219999,866100,19.081307
2015-11-25,19.50,19.50,19.08,19.139999,3029900,19.001884
2015-11-24,19.73,19.73,19.49,19.52,2330700,19.379143
2015-11-23,19.85,20.01,19.65,19.75,2326200,19.607483
2015-11-20,19.77,20.129999,19.719999,19.83,2877200,19.686906
2015-11-19,19.60,19.75,19.52,19.709999,1447200,19.567771
2015-11-18,19.34,19.60,19.15,19.58,3404400,19.43871
2015-11-17,19.24,19.48,19.129999,19.18,1674100,19.041597
2015-11-16,19.040001,19.32,19.00,19.32,2094200,19.180586
2015-11-13,19.07,19.200001,19.00,19.08,1670000,18.942318
2015-11-12,19.360001,19.52,19.09,19.139999,1754700,19.001884
2015-11-11,19.32,19.57,19.290001,19.42,2365200,19.279865
2015-11-10,18.940001,19.299999,18.90,19.25,3071400,19.111091
2015-11-09,18.83,19.049999,18.76,18.92,2636900,18.783473
2015-11-06,19.24,19.309999,18.77,18.959999,4611500,18.823183
2015-11-05,19.370001,19.700001,19.25,19.559999,3686800,19.418854
2015-11-04,19.120001,19.389999,19.120001,19.360001,3315700,19.220298
2015-11-03,19.219999,19.440001,19.00,19.120001,2628600,18.98203
2015-11-02,19.129999,19.280001,19.040001,19.18,3131700,19.041597
2015-10-30,18.92,19.35,18.92,19.16,2835500,19.021741
2015-10-29,19.10,19.10,18.74,18.889999,4103600,18.753688
2015-10-28,19.190001,19.280001,18.85,19.10,3182000,18.962174
2015-10-27,19.52,19.559999,19.129999,19.27,2805600,18.977066
2015-10-26,19.65,19.65,19.43,19.57,1544900,19.272505
2015-10-23,19.719999,19.85,19.49,19.610001,2385200,19.311898
2015-10-22,19.440001,19.799999,19.389999,19.75,1742700,19.449769
2015-10-21,19.59,19.75,19.360001,19.40,1543500,19.105089
2015-10-20,19.50,19.559999,19.299999,19.540001,3464900,19.242962
2015-10-19,19.42,19.549999,19.290001,19.549999,1818400,19.252809
2015-10-16,19.469999,19.52,19.290001,19.459999,1855900,19.164177
2015-10-15,19.120001,19.42,18.940001,19.389999,2204800,19.095241
2015-10-14,19.120001,19.18,19.030001,19.07,1517600,18.780106
2015-10-13,18.809999,19.290001,18.809999,19.110001,3736400,18.819499
2015-10-12,19.040001,19.15,18.940001,19.049999,2257200,18.760409
2015-10-09,19.07,19.08,18.92,18.98,2522900,18.691474
2015-10-08,18.90,19.15,18.790001,19.09,2573300,18.799802
2015-10-07,18.82,19.059999,18.75,18.93,4831300,18.642235
2015-10-06,19.01,19.040001,18.67,18.719999,4287900,18.435426
2015-10-05,18.91,19.16,18.82,19.049999,3733500,18.760409
2015-10-02,18.559999,18.83,18.40,18.82,3600900,18.533906
2015-10-01,18.700001,18.799999,18.33,18.469999,3535800,18.189226
2015-09-30,17.99,18.57,17.93,18.549999,3570900,18.26801
2015-09-29,17.85,18.059999,17.719999,17.90,2790700,17.627892
2015-09-28,17.889999,18.00,17.67,17.83,3034600,17.558956
2015-09-25,17.67,18.129999,17.67,17.950001,4170800,17.677133
2015-09-24,17.379999,17.59,17.299999,17.59,3230300,17.322605
2015-09-23,17.360001,17.58,17.280001,17.440001,2567000,17.174885
2015-09-22,17.41,17.49,17.27,17.32,2607900,17.056709
2015-09-21,17.48,17.57,17.379999,17.49,2093700,17.224124
2015-09-18,17.35,17.719999,17.33,17.42,6332000,17.155189
2015-09-17,17.200001,17.76,17.049999,17.48,2828700,17.214276
2015-09-16,16.870001,17.23,16.860001,17.190001,2235900,16.928686
2015-09-15,16.83,16.969999,16.66,16.860001,2084800,16.603702
2015-09-14,16.620001,16.76,16.559999,16.74,2247200,16.485526
2015-09-11,16.50,16.68,16.41,16.610001,3573600,16.357503
2015-09-10,16.459999,16.780001,16.35,16.58,3303900,16.327958
2015-09-09,16.639999,16.75,16.41,16.469999,2804500,16.219629
2015-09-08,16.41,16.75,16.41,16.629999,2914800,16.377197
2015-09-04,16.299999,16.32,16.040001,16.17,2303900,15.924191
2015-09-03,16.34,16.540001,16.280001,16.459999,2243200,16.209781
2015-09-02,16.620001,16.639999,16.209999,16.290001,3440000,16.042367
2015-09-01,16.49,16.74,16.40,16.48,3510700,16.229478
2015-08-31,16.969999,16.99,16.67,16.790001,2694900,16.534767
2015-08-28,17.02,17.09,16.90,17.059999,1990500,16.800661
2015-08-27,16.780001,17.059999,16.700001,17.049999,2348700,16.790813
2015-08-26,16.48,16.73,16.24,16.700001,5629600,16.446135
2015-08-25,16.780001,16.85,16.200001,16.200001,6058100,15.953735
2015-08-24,16.870001,17.120001,16.43,16.52,5984900,16.268871
2015-08-21,17.450001,17.59,17.24,17.280001,3596200,17.017318
2015-08-20,17.790001,17.799999,17.540001,17.540001,3851000,17.273365
2015-08-19,17.68,17.91,17.559999,17.809999,2811500,17.53926
2015-08-18,17.959999,18.040001,17.66,17.74,3228300,17.470324
2015-08-17,17.84,18.18,17.76,18.00,4302700,17.726372
2015-08-14,17.690001,17.950001,17.610001,17.82,3645500,17.549108
2015-08-13,17.620001,17.82,17.49,17.719999,3453000,17.450628
2015-08-12,17.08,17.73,17.01,17.709999,5583600,17.440779
2015-08-11,16.91,17.18,16.76,17.09,4103200,16.830205
2015-08-10,16.959999,17.030001,16.780001,16.879999,3927400,16.623397
2015-08-07,16.83,16.99,16.690001,16.91,3678800,16.652941
2015-08-06,16.82,16.93,16.530001,16.85,4300100,16.593854
2015-08-05,16.92,17.17,16.809999,16.83,4681500,16.574158
2015-08-04,17.00,17.09,16.700001,16.82,4899100,16.564309
2015-08-03,16.60,17.34,16.440001,17.07,5230900,16.810509
2015-07-31,17.26,17.629999,17.23,17.459999,6072300,17.19458
2015-07-30,16.959999,17.129999,16.90,17.120001,2744900,16.85975
2015-07-29,17.040001,17.16,16.969999,17.040001,4476200,16.780966
2015-07-28,17.219999,17.33,17.17,17.24,4858600,16.825281
2015-07-27,17.00,17.32,16.99,17.25,4558900,16.835041
2015-07-24,16.549999,17.08,16.530001,17.030001,4693700,16.620334
2015-07-23,16.92,17.00,16.49,16.540001,3763000,16.142121
2015-07-22,16.82,17.040001,16.82,16.959999,3500400,16.552016
2015-07-21,16.91,16.99,16.780001,16.84,3341500,16.434904
2015-07-20,16.90,16.940001,16.77,16.91,4777300,16.50322
2015-07-17,17.23,17.27,16.889999,16.90,6035200,16.49346
2015-07-16,17.00,17.34,16.85,17.32,5929600,16.903357
2015-07-15,16.83,16.98,16.610001,16.98,4408600,16.571535
2015-07-14,16.90,16.93,16.700001,16.780001,3821500,16.376348
2015-07-13,17.00,17.120001,16.690001,16.91,4825600,16.50322
2015-07-10,16.76,16.959999,16.690001,16.91,4268700,16.50322
2015-07-09,17.469999,17.469999,16.75,16.75,6645500,16.347069
2015-07-08,17.09,17.32,16.950001,17.139999,7037800,16.727686
2015-07-07,16.959999,17.139999,16.700001,17.120001,10865400,16.708169
2015-07-06,16.950001,17.09,16.65,16.84,11163000,16.434904
2015-07-02,17.610001,17.940001,16.91,16.99,16010300,16.581295
2015-07-01,45.610003,45.71,45.01,45.449999,9519800,17.428948
2015-06-30,45.610003,46.019999,45.44,45.589999,7406200,17.482634
2015-06-29,46.299999,46.810001,45.920002,45.950001,5545600,17.620686
2015-06-26,46.530001,46.530001,46.110001,46.250001,7501100,17.735729
2015-06-25,47.100001,47.220002,46.43,46.540001,5423400,17.846936
2015-06-24,47.230001,47.340002,46.820001,46.999999,4831700,18.023334
2015-06-23,46.83,48.090001,46.83,47.360002,5500800,18.161386
2015-06-22,48.27,48.910002,48.060002,48.310003,6191000,18.525688
2015-06-19,48.450003,48.720003,48.020003,48.050002,6882700,18.425985
2015-06-18,48.41,48.96,48.25,48.720003,8946700,18.682913
2015-06-17,46.69,49.160003,46.69,48.40,16656800,18.5602
2015-06-16,46.180003,46.680001,45.99,46.670001,5796700,17.896788
2015-06-15,46.00,46.490002,45.70,46.350002,6674000,17.774077
2015-06-12,46.070002,46.330003,45.830001,45.960001,4679000,17.624521
2015-06-11,45.890003,46.370002,45.71,46.350002,5998600,17.774077
2015-06-10,45.370002,45.810001,45.210003,45.640002,3629700,17.501809
2015-06-09,45.029999,45.330003,44.960001,45.060003,2690300,17.279394
2015-06-08,45.319999,45.540001,44.980001,45.01,4399000,17.260219
2015-06-05,45.189998,45.42,44.770003,45.290005,3693000,17.367594
2015-06-04,45.830006,46.240001,45.640002,45.680001,3430200,17.517148
2015-06-03,46.520001,46.680001,45.830006,46.040003,4970900,17.6552
2015-06-02,46.810001,46.830005,46.14,46.520001,4172000,17.839267
2015-06-01,47.139999,47.42,47.020004,47.060002,3281500,18.046344
2015-05-29,47.310003,47.530001,47.090001,47.180003,4926600,18.092361
2015-05-28,46.85,47.41,46.510002,47.360002,4480500,18.161386
2015-05-27,47.070002,47.210002,46.729999,46.85,4720000,17.965813
2015-05-26,47.220002,47.26,46.860004,47.040003,7754900,18.038675
2015-05-22,47.11,47.630002,46.810001,47.320003,5057700,18.146048
2015-05-21,47.080001,47.42,46.740003,47.090001,5880700,18.057848
2015-05-20,46.960001,47.790001,46.830005,47.210002,9528500,18.103865
2015-05-19,46.210002,47.100001,46.14,46.930002,6663100,17.996492
2015-05-18,45.200003,46.599999,45.100001,46.580004,9870300,17.862277
2015-05-15,44.180004,45.490003,44.080002,45.480003,7361900,17.440454
2015-05-14,44.14,44.840001,44.049999,44.16,7064200,16.934265
2015-05-13,44.580005,44.85,43.810002,43.939998,8151600,16.8499
2015-05-12,44.16,44.580005,43.840001,44.459999,7267500,17.049307
2015-05-11,44.340003,45.080002,44.16,44.380002,6701000,17.01863
2015-05-08,43.610004,44.420001,43.560001,44.070003,6638900,16.899753
2015-05-07,42.960002,43.30,42.89,43.03,3492800,16.500938
2015-05-06,43.230002,43.420001,42.250002,42.860001,5790600,16.435748
2015-05-05,44.060003,44.130001,42.89,43.120001,4730100,16.535451
2015-05-04,43.880004,44.610004,43.880004,44.14,2744800,16.926596
2015-05-01,43.479999,43.910003,43.200004,43.86,5235600,16.819223
2015-04-30,44.02,44.500003,43.130001,43.420001,5947700,16.650494
2015-04-29,44.029999,44.14,43.710001,44.00,3999700,16.872909
2015-04-28,43.900004,44.509997,43.800002,44.30,4793500,16.987952
2015-04-27,45.00,45.00,44.100002,44.400001,4496500,16.926597
2015-04-24,44.57,45.250001,44.57,44.87,3889800,17.105774
2015-04-23,44.209998,44.86,44.209998,44.59,4316100,16.99903
2015-04-22,43.889999,44.44,43.540002,44.189999,5593400,16.846538
2015-04-21,43.630003,44.220003,43.500003,43.680002,5783500,16.652112
2015-04-20,43.319999,43.820002,43.189999,43.509998,6934900,16.587301
2015-04-17,42.950002,43.319999,42.800003,43.150005,5734600,16.450061
2015-04-16,43.640003,43.680002,42.950002,43.330004,5834200,16.518682
2015-04-15,43.390002,43.880004,43.260001,43.759999,5737200,16.682609
2015-04-14,43.330004,43.540002,43.070003,43.29,6104900,16.503432
2015-04-13,43.939998,43.939998,43.220003,43.220003,4112700,16.476746
2015-04-10,43.770003,43.980001,43.410001,43.880004,3342900,16.728359
2015-04-09,43.919998,43.919998,43.400002,43.630003,3183000,16.633051
2015-04-08,44.319999,44.370002,43.830001,44.029999,3952600,16.785541
2015-04-07,44.57,44.640003,44.180004,44.200003,4241500,16.850352
2015-04-06,44.370002,44.940002,44.180004,44.670002,3156300,17.029529
2015-04-02,44.310004,44.86,44.070003,44.16,5950700,16.835101
2015-04-01,44.060003,44.450004,43.500003,44.250001,6621300,16.869412
2015-03-31,44.180004,44.640003,43.880004,44.16,7384100,16.835101
2015-03-30,44.00,44.349998,43.749999,44.180004,5043900,16.842727
2015-03-27,42.669997,44.150005,42.550002,43.919998,7574900,16.743605
2015-03-26,43.100002,43.340004,42.779999,42.800003,5148500,16.31663
2015-03-25,43.270001,43.520002,42.990001,43.090002,7137700,16.427186
2015-03-24,43.580005,43.800002,43.070003,43.090002,3858500,16.427186
2015-03-23,43.87,44.120001,43.650003,43.72,5895500,16.66736
2015-03-20,43.459999,44.110001,43.250002,43.980001,6847600,16.76648
2015-03-19,43.640003,44.060003,43.140001,43.200004,4227000,16.469122
2015-03-18,41.960002,44.029999,41.740005,43.770003,5488300,16.686423
2015-03-17,41.790003,42.000001,41.580001,41.919999,4571600,15.981146
2015-03-16,41.410002,42.03,41.390003,41.840002,3746500,15.950649
2015-03-13,41.970002,42.000001,40.89,41.220003,3515900,15.714287
2015-03-12,41.270002,42.209999,41.160001,42.060004,3856400,16.03452
2015-03-11,41.570001,41.730001,40.89,40.960003,4397000,15.615167
2015-03-10,41.490004,41.939998,41.250002,41.570001,4280900,15.847717
2015-03-09,41.730001,41.88,41.560002,41.639999,2844300,15.874402
2015-03-06,42.369998,42.369998,41.32,41.590001,5530300,15.855341
2015-03-05,42.609999,43.01,42.390002,42.900004,3587900,16.354753
2015-03-04,42.360003,42.60,42.189999,42.45,2967500,16.183198
2015-03-03,42.30,42.630004,42.02,42.509998,2892400,16.206071
2015-03-02,42.830002,42.930003,42.02,42.339999,6060200,16.141263
