Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,12.77,13.27,12.62,12.81,6554300,12.81
2016-04-01,12.98,12.99,12.33,12.77,7085200,12.77
2016-03-31,12.94,13.20,12.82,13.01,5099100,13.01
2016-03-30,13.35,13.56,12.93,12.94,5509300,12.94
2016-03-29,12.78,13.23,12.10,13.22,7162900,13.22
2016-03-28,13.20,13.25,12.67,12.89,3114900,12.89
2016-03-24,12.86,13.18,12.35,13.14,5809700,13.14
2016-03-23,13.69,13.72,12.98,12.99,4166300,12.99
2016-03-22,13.50,13.92,13.38,13.77,3813700,13.77
2016-03-21,13.67,14.00,13.49,13.56,4555900,13.56
2016-03-18,13.97,14.47,13.64,13.70,7955000,13.70
2016-03-17,14.06,14.37,13.59,13.96,5091800,13.96
2016-03-16,13.35,13.90,13.25,13.85,4936500,13.85
2016-03-15,13.54,13.57,12.84,13.30,5352200,13.30
2016-03-14,13.73,13.94,13.51,13.67,6319900,13.67
2016-03-11,13.13,13.87,13.12,13.74,8262600,13.74
2016-03-10,12.44,13.01,12.25,12.89,7738800,12.89
2016-03-09,12.57,12.84,12.00,12.36,15573300,12.36
2016-03-08,13.59,13.65,12.45,12.51,8399700,12.51
2016-03-07,13.06,14.16,13.03,13.64,9329900,13.64
2016-03-04,12.49,13.30,12.44,13.07,8033100,13.07
2016-03-03,12.11,12.77,12.07,12.52,7249200,12.52
2016-03-02,11.13,12.19,11.05,12.16,5908300,12.16
2016-03-01,10.87,11.28,10.66,11.26,6733100,11.26
2016-02-29,10.35,10.98,10.11,10.78,10215400,10.78
2016-02-26,10.97,11.32,10.93,11.08,5192400,11.08
2016-02-25,10.86,11.37,10.66,10.90,3836800,10.90
2016-02-24,10.18,10.95,9.97,10.83,6341400,10.83
2016-02-23,10.45,10.55,10.14,10.32,4030300,10.32
2016-02-22,10.15,10.58,10.12,10.57,6487800,10.57
2016-02-19,10.28,10.29,9.76,10.01,5759600,10.01
2016-02-18,10.20,10.53,10.06,10.43,7247200,10.43
2016-02-17,9.81,10.75,9.78,10.20,6840000,10.20
2016-02-16,9.57,9.80,9.50,9.70,4091500,9.70
2016-02-12,9.70,9.73,9.03,9.58,6316800,9.58
2016-02-11,10.44,10.57,9.53,9.59,5841300,9.59
2016-02-10,10.77,10.97,10.17,10.70,5083900,10.70
2016-02-09,10.90,11.01,10.60,10.84,4920400,10.84
2016-02-08,11.42,11.92,10.95,11.14,8487500,11.14
2016-02-05,11.60,11.81,11.16,11.57,11185200,11.57
2016-02-04,11.24,12.14,11.19,11.68,11590900,11.68
2016-02-03,10.84,11.68,10.82,11.38,8688500,11.38
2016-02-02,10.57,10.75,10.20,10.71,5143300,10.71
2016-02-01,10.63,10.76,10.11,10.67,6125700,10.67
2016-01-29,10.30,10.79,10.30,10.64,7526000,10.64
2016-01-28,9.82,10.15,9.65,10.10,6479600,10.10
2016-01-27,9.68,10.29,9.46,9.89,7390400,9.745001
2016-01-26,9.18,9.73,8.96,9.67,5084100,9.528226
2016-01-25,9.63,9.76,8.93,8.98,7453200,8.848342
2016-01-22,10.04,10.24,9.73,9.93,8052800,9.784414
2016-01-21,9.60,10.48,9.57,9.89,9008100,9.745001
2016-01-20,9.71,9.79,8.92,9.58,9379500,9.439545
2016-01-19,10.22,10.40,9.86,10.03,7006900,9.882947
2016-01-15,10.14,10.24,9.52,10.11,6972900,9.961774
2016-01-14,9.87,10.60,9.64,10.48,8482300,10.32635
2016-01-13,10.04,10.27,9.58,9.82,8335300,9.676026
2016-01-12,10.31,10.66,9.79,9.90,9426800,9.754853
2016-01-11,11.33,11.37,10.18,10.23,10061300,10.080015
2016-01-08,11.36,11.74,11.06,11.34,6937800,11.173742
2016-01-07,10.83,11.66,10.73,11.26,6546400,11.094915
2016-01-06,11.72,11.79,10.94,11.03,8211400,10.868286
2016-01-05,11.57,12.04,11.12,11.97,6550300,11.794505
