Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,45.540001,45.57,45.07,45.360001,5755900,45.360001
2016-04-01,43.860001,45.57,43.759998,45.540001,6709300,45.540001
2016-03-31,44.439999,44.599998,44.16,44.290001,6004400,44.290001
2016-03-30,45.080002,45.57,44.299999,44.369999,8016000,44.369999
2016-03-29,43.939999,44.98,43.759998,44.950001,5075200,44.950001
2016-03-28,42.959999,43.830002,42.790001,43.810001,3341200,43.810001
2016-03-24,42.799999,43.470001,42.720001,42.98,3828800,42.98
2016-03-23,43.060001,43.360001,42.810001,43.09,4832200,43.09
2016-03-22,42.84,43.610001,42.689999,43.27,2998700,43.27
2016-03-21,43.02,43.540001,42.580002,43.169998,4825600,43.169998
2016-03-18,42.68,44.060001,42.580002,42.98,5605300,42.98
2016-03-17,42.130001,42.970001,41.790001,42.630001,4164200,42.630001
2016-03-16,41.189999,42.389999,41.040001,42.16,4888000,42.16
2016-03-15,40.970001,41.540001,40.700001,41.369999,3050800,41.369999
2016-03-14,40.970001,41.330002,40.700001,41.27,3257100,41.27
2016-03-11,40.25,41.209999,40.060001,41.16,6646900,41.16
2016-03-10,40.16,40.16,39.049999,39.799999,4870900,39.799999
2016-03-09,38.98,39.869999,38.82,39.849998,6918600,39.849998
2016-03-08,39.23,39.23,38.139999,38.700001,4893300,38.700001
2016-03-07,40.91,40.91,39.389999,39.59,5208600,39.59
2016-03-04,41.299999,42.09,40.799999,40.98,5515800,40.98
2016-03-03,40.369999,41.299999,40.060001,41.279999,5540900,41.279999
2016-03-02,39.419998,40.400002,39.16,40.310001,4569800,40.310001
2016-03-01,38.330002,39.68,37.959999,39.509998,4079100,39.509998
2016-02-29,38.52,38.919998,37.830002,38.009998,4834000,38.009998
2016-02-26,37.93,39.18,37.900002,38.669998,6248200,38.669998
2016-02-25,37.529999,38.040001,36.720001,37.869999,5487100,37.869999
2016-02-24,37.50,37.860001,37.080002,37.740002,2755300,37.550002
2016-02-23,37.82,38.099998,37.52,37.869999,3719900,37.679344
2016-02-22,37.970001,38.799999,37.889999,38.110001,3529700,37.918138
2016-02-19,37.439999,37.580002,36.849998,37.459999,3507900,37.271409
2016-02-18,37.299999,37.549999,36.889999,37.50,4634700,37.311208
2016-02-17,36.130001,37.799999,36.029999,37.43,6600900,37.241561
2016-02-16,35.27,36.099998,34.84,36.00,4754300,35.81876
2016-02-12,33.759998,34.810001,33.419998,34.790001,4006900,34.614853
2016-02-11,34.02,34.52,33.259998,33.759998,4834700,33.590035
2016-02-10,34.549999,35.240002,34.299999,34.869999,3657400,34.694448
2016-02-09,33.919998,34.700001,33.43,34.27,8404600,34.09747
2016-02-08,36.049999,36.119999,33.77,34.259998,9930400,34.087518
2016-02-05,37.310001,37.610001,36.389999,36.43,7357000,36.246595
2016-02-04,36.209999,37.57,36.049999,37.52,6034400,37.331108
2016-02-03,37.650002,37.709999,35.470001,36.23,6553900,36.047602
2016-02-02,38.380001,38.509998,37.060001,37.25,5731000,37.062467
2016-02-01,39.18,39.419998,38.48,39.009998,8183300,38.813605
2016-01-29,37.240002,38.84,37.00,38.779999,9700900,38.584763
2016-01-28,37.349998,37.77,36.52,37.509998,6026200,37.321156
2016-01-27,37.919998,38.310001,36.959999,37.150002,5122700,36.962972
2016-01-26,37.220001,38.240002,37.110001,38.18,5461300,37.987785
2016-01-25,36.799999,37.48,36.669998,37.130001,5988300,36.943072
2016-01-22,37.389999,37.799999,36.59,36.970001,3676100,36.783878
2016-01-21,36.18,37.490002,35.630001,36.849998,7980800,36.664479
2016-01-20,35.580002,36.43,34.50,36.07,8847100,35.888407
2016-01-19,37.68,37.84,35.630001,36.200001,5970700,36.017754
2016-01-15,36.369999,37.189999,36.099998,37.130001,6538600,36.943072
2016-01-14,37.610001,38.040001,36.880001,37.48,8768300,37.291308
2016-01-13,40.150002,40.779999,37.93,37.970001,7430300,37.778843
2016-01-12,39.810001,40.049999,38.869999,39.970001,3923000,39.768774
2016-01-11,39.41,39.740002,38.43,39.349998,5387200,39.151893
2016-01-08,40.790001,40.790001,39.279999,39.380001,5811000,39.181745
2016-01-07,41.619999,41.619999,40.150002,40.330002,6087500,40.126963
2016-01-06,42.77,42.970001,41.779999,42.220001,5857700,42.007447
2016-01-05,43.459999,43.830002,43.029999,43.419998,3693100,43.201403
2016-01-04,43.310001,43.57,42.470001,43.439999,5525900,43.221302
2015-12-31,43.630001,44.630001,43.419998,44.080002,2155000,43.858083
2015-12-30,44.290001,44.290001,43.740002,43.75,1795900,43.529743
2015-12-29,44.580002,44.759998,43.91,44.240002,3038300,44.017278
2015-12-28,43.610001,44.400002,43.169998,44.369999,2934600,44.146621
2015-12-24,44.150002,44.310001,43.529999,43.610001,1184500,43.390448
2015-12-23,44.669998,44.759998,43.68,44.27,4498100,44.047125
2015-12-22,44.830002,44.939999,43.470001,44.43,4641200,44.20632
2015-12-21,44.939999,45.09,44.43,44.799999,2704700,44.574456
2015-12-18,44.57,45.029999,44.110001,44.709999,5537000,44.484909
2015-12-17,45.330002,45.43,44.040001,44.82,6693900,44.594356
2015-12-16,44.98,45.869999,43.91,45.18,10678200,44.952544
2015-12-15,42.610001,44.48,42.400002,44.130001,20298600,43.907831
2015-12-14,41.630001,43.549999,40.119999,42.150002,24933300,41.9378
2015-12-11,46.689999,46.689999,45.080002,45.279999,2253700,45.052039
2015-12-10,46.580002,48.18,46.48,47.220001,4560800,46.982275
2015-12-09,46.57,47.540001,45.799999,46.52,4709000,46.285798
2015-12-08,48.240002,48.380001,45.529999,46.950001,7509100,46.713633
2015-12-07,44.669998,50.900002,43.950001,48.16,7264600,47.917541
2015-12-04,43.98,44.889999,43.849998,44.830002,1666400,44.604308
2015-12-03,44.900002,44.900002,43.52,43.799999,1997500,43.57949
2015-12-02,45.50,45.580002,44.450001,44.639999,2033700,44.415262
2015-12-01,44.830002,45.540001,44.669998,45.509998,1805100,45.280881
2015-11-30,44.57,44.709999,44.25,44.66,1767100,44.435161
2015-11-27,44.509998,44.759998,44.400002,44.619999,401700,44.395362
2015-11-25,44.57,44.84,44.279999,44.540001,1002000,44.315767
2015-11-24,44.389999,44.810001,44.310001,44.689999,1021800,44.275967
2015-11-23,44.369999,44.939999,44.360001,44.75,824000,44.335412
2015-11-20,44.200001,44.419998,43.970001,44.41,1334800,43.998562
2015-11-19,44.200001,44.369999,43.740002,43.93,1299500,43.52301
2015-11-18,43.48,44.169998,43.18,44.099998,1187400,43.691433
2015-11-17,43.459999,44.07,43.23,43.43,1523500,43.027642
2015-11-16,42.560001,43.27,42.43,43.240002,1609500,42.839403
2015-11-13,44.150002,44.23,42.630001,42.68,2464300,42.28459
2015-11-12,44.48,44.73,44.209999,44.220001,2459100,43.810324
2015-11-11,44.330002,44.990002,44.110001,44.98,2368400,44.563281
2015-11-10,43.700001,44.34,43.639999,44.18,1644600,43.770693
2015-11-09,44.049999,44.23,43.400002,43.799999,3026400,43.394213
2015-11-06,43.75,44.360001,43.73,44.25,2286000,43.840045
2015-11-05,44.040001,44.099998,43.450001,43.849998,1653600,43.443749
2015-11-04,44.00,44.23,43.560001,43.919998,1729900,43.5131
2015-11-03,43.68,44.209999,43.509998,43.970001,2728000,43.56264
2015-11-02,42.540001,43.759998,42.389999,43.709999,2091600,43.305047
2015-10-30,41.509998,43.009998,41.400002,42.43,3949900,42.036906
2015-10-29,43.48,43.59,43.00,43.279999,2127700,42.87903
2015-10-28,43.400002,43.900002,43.110001,43.720001,1372700,43.314956
2015-10-27,43.18,43.459999,42.98,43.259998,1557400,42.859215
2015-10-26,42.959999,43.50,42.799999,43.389999,1689300,42.988011
2015-10-23,43.389999,43.41,42.759998,42.950001,2409700,42.552089
