Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,28.60,29.41,28.299999,28.370001,2119200,28.370001
2016-04-01,29.08,29.459999,28.50,28.73,2653000,28.73
2016-03-31,29.01,29.93,28.85,29.860001,2558400,29.860001
2016-03-30,28.85,29.48,28.52,29.040001,2323600,29.040001
2016-03-29,27.76,28.639999,27.35,28.459999,2622500,28.459999
2016-03-28,28.40,28.790001,28.059999,28.33,1986200,28.33
2016-03-24,27.91,28.73,27.469999,28.68,3202800,28.68
2016-03-23,29.790001,30.00,28.41,28.440001,2386100,28.440001
2016-03-22,29.23,30.450001,29.049999,30.209999,2348800,30.209999
2016-03-21,30.780001,30.82,29.32,29.690001,2888600,29.690001
2016-03-18,30.559999,30.99,29.690001,30.82,8397600,30.82
2016-03-17,29.700001,30.48,29.219999,30.219999,2551000,30.219999
2016-03-16,27.940001,29.559999,27.90,29.51,2343100,29.51
2016-03-15,27.60,27.74,26.790001,27.719999,1862600,27.719999
2016-03-14,27.85,28.43,27.52,28.18,2279500,28.18
2016-03-11,27.780001,28.57,27.67,28.309999,3140100,28.309999
2016-03-10,26.25,27.67,26.02,27.43,3834400,27.43
2016-03-09,26.719999,27.110001,25.719999,26.469999,3216800,26.469999
2016-03-08,27.43,27.52,26.02,26.219999,4901800,26.219999
2016-03-07,26.370001,28.17,26.370001,27.629999,4146200,27.629999
2016-03-04,26.950001,28.030001,25.610001,26.360001,4675600,26.360001
2016-03-03,25.33,26.90,25.32,26.60,4326800,26.60
2016-03-02,24.00,25.59,23.799999,25.57,3211700,25.57
2016-03-01,24.23,24.50,23.34,24.200001,2680300,24.200001
2016-02-29,23.110001,24.370001,22.83,24.00,4193900,24.00
2016-02-26,21.98,23.68,21.780001,23.01,5622500,23.01
2016-02-25,21.32,21.620001,20.50,21.370001,4183900,21.370001
2016-02-24,20.700001,21.709999,19.940001,21.52,5523500,21.52
2016-02-23,21.32,21.639999,20.549999,21.309999,4620300,21.309999
2016-02-22,21.15,21.75,21.07,21.40,4101600,21.40
2016-02-19,20.700001,20.860001,20.110001,20.66,2795600,20.66
2016-02-18,22.129999,22.200001,20.50,21.190001,3726500,21.190001
2016-02-17,21.60,22.219999,20.690001,21.73,6062600,21.73
2016-02-16,20.48,21.15,20.26,21.030001,3648300,21.030001
2016-02-12,20.27,20.450001,19.299999,20.18,3905300,20.18
2016-02-11,20.10,20.77,18.879999,19.620001,5333400,19.620001
2016-02-10,20.67,21.50,19.799999,20.91,3958000,20.91
2016-02-09,21.809999,22.139999,19.860001,20.629999,8739400,20.629999
2016-02-08,24.299999,24.450001,21.790001,23.16,5762600,23.16
2016-02-05,25.10,25.719999,24.540001,25.540001,4139600,25.540001
2016-02-04,24.780001,25.99,24.629999,25.49,3737800,25.49
2016-02-03,23.74,24.75,22.65,24.639999,3213700,24.639999
2016-02-02,22.73,23.58,22.440001,23.120001,2662500,23.120001
2016-02-01,24.110001,24.16,22.85,23.440001,3169700,23.440001
2016-01-29,24.110001,25.030001,23.84,24.91,3712000,24.91
2016-01-28,23.42,24.190001,23.18,23.91,4295900,23.91
2016-01-27,24.27,24.50,22.91,23.129999,4562800,22.514999
2016-01-26,24.26,24.790001,23.42,24.299999,3677400,23.65389
2016-01-25,24.41,25.959999,23.610001,23.620001,4500000,22.991972
2016-01-22,23.65,25.15,23.25,25.10,8188000,24.43262
2016-01-21,20.16,23.08,20.02,22.620001,5255700,22.018561
2016-01-20,20.809999,21.129999,18.98,20.040001,6006400,19.50716
2016-01-19,22.23,22.42,20.23,20.790001,4104900,20.237219
2016-01-15,21.290001,22.200001,20.98,21.940001,4009800,21.356641
2016-01-14,21.10,22.870001,20.73,22.780001,5665800,22.174307
2016-01-13,22.049999,22.25,20.370001,20.969999,5252700,20.412431
2016-01-12,23.940001,23.940001,20.639999,21.85,5058800,21.269034
2016-01-11,23.709999,23.82,22.200001,22.610001,3377300,22.008827
2016-01-08,23.00,23.65,22.389999,23.049999,4032000,22.437126
2016-01-07,23.75,24.129999,22.67,22.780001,3153600,22.174307
2016-01-06,24.610001,24.629999,23.43,24.219999,5046500,23.576017
2016-01-05,25.309999,25.66,24.969999,25.370001,3638600,24.695442
2016-01-04,24.66,25.559999,24.48,25.35,4140600,24.675973
2015-12-31,23.860001,24.790001,23.32,24.66,3905200,24.004319
2015-12-30,23.940001,24.469999,23.35,23.440001,2354600,22.816758
2015-12-29,24.50,24.879999,23.65,24.049999,3020000,23.410537
2015-12-28,24.00,24.190001,23.23,24.120001,3239100,23.478678
2015-12-24,24.35,24.719999,23.879999,24.120001,2207600,23.478678
2015-12-23,23.780001,24.969999,23.120001,24.290001,4638000,23.644158
2015-12-22,21.77,23.66,21.48,23.120001,7306300,22.505266
2015-12-21,19.41,21.870001,19.34,21.85,10064100,21.269034
2015-12-18,19.809999,20.129999,18.84,18.93,9886000,18.426673
2015-12-17,20.809999,21.00,19.120001,19.860001,6815100,19.331946
2015-12-16,21.08,21.620001,20.559999,20.879999,3761600,20.324824
2015-12-15,20.83,21.559999,20.790001,21.34,4721300,20.772594
2015-12-14,20.110001,20.610001,19.68,20.60,4529800,20.05227
2015-12-11,21.92,21.969999,20.01,20.309999,5705400,19.76998
2015-12-10,22.17,22.92,21.799999,22.299999,3150500,21.707068
2015-12-09,21.85,22.99,21.540001,22.200001,5529200,21.609728
2015-12-08,21.110001,22.299999,20.91,21.459999,5883400,20.889402
2015-12-07,23.969999,23.969999,21.09,21.620001,6363900,21.04515
2015-12-04,26.65,26.90,24.60,24.799999,4683200,24.140596
2015-12-03,27.209999,27.42,26.50,26.790001,2912200,26.077685
2015-12-02,28.809999,28.879999,26.92,26.99,3441400,26.272367
2015-12-01,29.41,29.889999,28.90,29.209999,2410100,28.433339
2015-11-30,29.629999,29.870001,29.16,29.48,2214900,28.69616
2015-11-27,29.940001,30.43,29.41,29.459999,957600,28.676691
2015-11-25,29.93,30.629999,29.51,30.41,2389000,29.601433
2015-11-24,29.139999,30.389999,29.110001,30.280001,2544800,29.47489
2015-11-23,28.620001,29.48,28.42,29.09,1762100,28.31653
2015-11-20,28.90,29.25,28.40,28.60,1762300,27.839559
2015-11-19,29.16,29.34,28.639999,28.98,1633500,28.209454
2015-11-18,28.629999,29.870001,28.59,29.299999,2683400,28.520946
2015-11-17,29.50,29.50,28.370001,28.459999,2128800,27.70328
2015-11-16,28.639999,29.74,28.41,29.719999,2715100,28.929778
2015-11-13,28.34,28.559999,27.440001,28.49,3573900,27.732483
2015-11-12,29.370001,29.43,28.139999,28.219999,2299100,27.469662
2015-11-11,30.780001,30.99,29.360001,29.50,2633100,28.715629
2015-11-10,30.75,31.01,30.309999,30.780001,1973400,29.961596
2015-11-09,31.60,31.93,30.530001,30.799999,2654100,29.981062
2015-11-06,31.07,31.629999,30.129999,31.60,2997200,30.759792
2015-11-05,33.32,33.50,30.790001,31.370001,3391200,30.535908
2015-11-04,34.66,35.650002,32.900002,33.560001,2587100,32.667679
2015-11-03,34.419998,34.900002,33.759998,34.07,2316300,33.164117
2015-11-02,33.50,34.610001,33.439999,34.400002,1886000,33.485345
2015-10-30,33.43,34.200001,32.869999,33.919998,1643200,33.018104
2015-10-29,32.889999,33.709999,32.18,33.279999,1164900,32.395122
2015-10-28,33.450001,34.02,32.98,33.639999,2666900,32.146904
2015-10-27,33.959999,33.990002,32.66,33.27,2868400,31.793327
2015-10-26,36.060001,36.189999,34.549999,34.599998,1993400,33.064293
2015-10-23,36.689999,38.009998,35.720001,36.23,1876200,34.621948
2015-10-22,37.400002,37.48,36.130001,36.68,2699700,35.051975
2015-10-21,38.040001,38.360001,37.200001,37.400002,1420800,35.74002
2015-10-20,38.169998,38.77,37.849998,38.130001,1254500,36.437619
2015-10-19,38.509998,38.599998,37.470001,38.330002,2298500,36.628742
2015-10-16,38.73,39.07,38.07,38.830002,1396900,37.10655
2015-10-15,37.799999,38.700001,36.759998,38.610001,2223900,36.896314
2015-10-14,38.220001,38.689999,37.349998,37.810001,1980400,36.131822
2015-10-13,38.349998,39.02,38.07,38.130001,1559200,36.437619
2015-10-12,39.580002,39.619999,38.209999,38.799999,1469900,37.077879
2015-10-09,39.240002,39.869999,38.919998,39.580002,2203400,37.823262
2015-10-08,38.869999,39.369999,38.07,39.099998,1847900,37.364563
2015-10-07,38.380001,39.459999,38.110001,38.869999,2471100,37.144772
2015-10-06,36.869999,38.52,36.82,37.84,2435700,36.160489
2015-10-05,35.150002,36.98,35.110001,36.939999,2782200,35.300434
2015-10-02,32.32,34.630001,32.220001,34.599998,3265600,33.064293
2015-10-01,32.50,33.00,32.189999,32.779999,3053800,31.325074
2015-09-30,31.27,32.240002,30.84,32.200001,3112700,30.770819
2015-09-29,33.290001,33.57,30.67,30.860001,4358600,29.490294
2015-09-28,34.689999,34.93,32.869999,33.00,2774000,31.53531
2015-09-25,35.09,35.279999,34.599998,35.189999,1736400,33.628107
2015-09-24,35.169998,35.240002,33.860001,34.830002,2217900,33.284088
2015-09-23,36.77,37.189999,35.259998,35.330002,1950200,33.761896
2015-09-22,35.669998,37.220001,35.630001,36.709999,2499900,35.080643
2015-09-21,35.950001,36.68,35.57,36.490002,1682700,34.87041
2015-09-18,35.57,35.889999,35.139999,35.740002,4600700,34.153698
2015-09-17,36.290001,37.060001,35.939999,36.279999,2219900,34.669728
2015-09-16,35.16,36.220001,35.16,36.07,3049300,34.469049
2015-09-15,34.959999,35.209999,34.57,34.849998,2458700,33.303197
2015-09-14,35.029999,35.110001,34.369999,34.50,2105000,32.968733
2015-09-11,35.380001,35.759998,34.689999,35.189999,1935400,33.628107
2015-09-10,36.080002,36.279999,35.290001,36.16,2126200,34.555055
2015-09-09,36.32,36.939999,35.709999,35.84,2607600,34.249258
2015-09-08,35.369999,36.48,35.240002,36.43,2414000,34.813072
2015-09-04,34.52,35.599998,34.349998,35.400002,3084300,33.828789
2015-09-03,35.59,36.459999,35.18,35.669998,2218700,34.086802
2015-09-02,35.630001,35.700001,34.220001,35.34,2606100,33.771451
2015-09-01,34.799999,35.41,34.689999,34.939999,4036500,33.389203
2015-08-31,35.310001,36.360001,34.57,36.009998,3446300,34.411711
2015-08-28,34.549999,36.080002,34.490002,35.630001,3194300,34.04858
2015-08-27,32.959999,34.669998,32.509998,34.48,2767900,32.949621
2015-08-26,32.599998,32.610001,31.59,32.560001,3317900,31.114841
2015-08-25,33.540001,33.540001,31.620001,31.629999,3818000,30.226116
2015-08-24,32.82,33.68,31.43,32.169998,4431900,30.742148
2015-08-21,34.580002,35.16,33.990002,34.130001,3383500,32.615157
2015-08-20,35.029999,35.700001,34.529999,34.880001,4488700,33.331868
2015-08-19,35.279999,35.560001,33.75,34.990002,4263200,33.436987
2015-08-18,36.849998,36.919998,34.84,35.619999,3506900,34.039022
2015-08-17,36.259998,36.790001,36.16,36.59,2615700,34.96597
2015-08-14,36.509998,36.77,35.919998,36.279999,3051500,34.669728
2015-08-13,37.529999,38.220001,35.959999,36.34,5006800,34.727066
2015-08-12,35.869999,37.939999,35.869999,37.759998,2472100,36.084038
2015-08-11,35.169998,36.060001,34.720001,36.040001,2545300,34.440382
2015-08-10,34.779999,35.720001,34.540001,35.700001,2419000,34.115473
2015-08-07,35.18,35.759998,34.150002,34.32,1911700,32.796722
2015-08-06,34.77,35.639999,33.720001,35.310001,3157900,33.742783
2015-08-05,38.52,38.869999,34.630001,34.82,5601700,33.27453
2015-08-04,36.50,36.650002,35.52,35.689999,3039800,34.105914
2015-08-03,37.549999,37.549999,36.41,36.57,2783200,34.946857
2015-07-31,38.040001,38.380001,37.73,37.790001,2633800,36.112709
2015-07-30,39.130001,39.790001,37.41,37.91,2686500,36.227382
2015-07-29,38.59,40.080002,38.139999,40.00,2572100,37.64647
2015-07-28,37.84,39.200001,37.599998,38.759998,2537200,36.479428
2015-07-27,37.400002,38.150002,36.919998,37.869999,1830400,35.641795
2015-07-24,38.77,38.82,37.599998,37.68,2937800,35.462975
2015-07-23,38.32,38.73,37.950001,38.669998,3573900,36.394723
2015-07-22,39.259998,39.279999,38.02,38.299999,2938900,36.046494
2015-07-21,39.09,39.619999,38.900002,39.48,2749800,37.157066
2015-07-20,40.25,40.400002,38.84,39.09,2581200,36.790013
2015-07-17,40.82,40.880001,40.27,40.389999,2053300,38.013523
2015-07-16,40.77,41.00,40.549999,40.98,1638400,38.568808
2015-07-15,41.00,41.189999,40.32,40.630001,1924800,38.239403
2015-07-14,41.130001,41.490002,41.02,41.400002,1890900,38.964098
2015-07-13,39.950001,41.380001,39.950001,41.200001,2168400,38.775865
2015-07-10,39.16,39.610001,38.799999,39.540001,1693700,37.213537
2015-07-09,39.240002,39.93,39.049999,39.139999,1893600,36.83707
2015-07-08,38.93,39.759998,38.279999,38.509998,2173000,36.244137
2015-07-07,37.860001,39.23,37.459999,39.119999,2565500,36.818247
2015-07-06,38.77,38.98,37.779999,37.93,1708500,35.698266
2015-07-02,39.07,39.529999,38.759998,39.220001,1136500,36.912365
2015-07-01,39.540001,39.740002,38.639999,38.799999,2362700,36.517075
2015-06-30,39.450001,39.630001,38.959999,39.48,2106100,37.157066
2015-06-29,39.349998,39.880001,39.07,39.110001,1582300,36.808837
2015-06-26,39.259998,39.93,38.939999,39.919998,1906600,37.571175
2015-06-25,40.209999,40.360001,39.299999,39.310001,1796300,36.99707
2015-06-24,40.540001,40.82,40.27,40.360001,1501200,37.985289
2015-06-23,40.82,41.080002,40.59,40.639999,1801600,38.248813
2015-06-22,39.790001,41.299999,39.790001,40.790001,3713800,38.389989
2015-06-19,39.189999,39.549999,38.810001,39.040001,2078700,36.742956
2015-06-18,39.290001,39.490002,38.75,39.27,1688600,36.959422
2015-06-17,39.07,39.290001,38.669998,39.209999,1709100,36.902951
2015-06-16,39.00,39.380001,38.509998,38.950001,2475700,36.658251
2015-06-15,38.59,39.529999,38.529999,39.02,2526700,36.724132
2015-06-12,39.200001,39.209999,38.439999,38.830002,3557400,36.545313
2015-06-11,39.459999,39.669998,39.099998,39.380001,3169400,37.062951
