Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,16.139999,16.139999,15.96,16.049999,2728900,16.049999
2016-04-01,15.83,16.129999,15.77,16.129999,4472000,16.129999
2016-03-31,16.09,16.120001,15.84,15.93,4379700,15.93
2016-03-30,15.97,16.219999,15.90,16.09,4143600,16.09
2016-03-29,15.81,15.96,15.67,15.92,3640000,15.92
2016-03-28,15.95,15.99,15.80,15.85,4350800,15.85
2016-03-24,15.90,15.94,15.73,15.86,4779800,15.86
2016-03-23,16.139999,16.17,15.96,15.96,3558300,15.96
2016-03-22,16.01,16.27,15.99,16.17,3391200,16.17
2016-03-21,15.82,16.129999,15.82,16.129999,2867500,16.129999
2016-03-18,15.99,16.23,15.77,16.02,6275800,16.02
2016-03-17,15.84,15.99,15.59,15.94,3269500,15.94
2016-03-16,15.80,16.02,15.66,15.84,3985700,15.84
2016-03-15,15.76,15.92,15.73,15.88,3365300,15.88
2016-03-14,15.87,15.99,15.70,15.90,3282400,15.90
2016-03-11,15.84,15.95,15.69,15.94,3331200,15.94
2016-03-10,15.56,15.79,15.42,15.72,5429000,15.72
2016-03-09,14.84,15.58,14.84,15.41,2987900,15.41
2016-03-08,15.55,15.66,15.46,15.48,3898300,15.48
2016-03-07,15.49,15.69,15.43,15.63,2931700,15.63
2016-03-04,15.53,15.71,15.48,15.61,2765600,15.61
2016-03-03,15.24,15.53,15.19,15.53,3524600,15.53
2016-03-02,15.08,15.30,15.00,15.29,2640100,15.29
2016-03-01,14.70,15.13,14.69,15.13,3512600,15.13
2016-02-29,14.89,14.91,14.61,14.61,3830400,14.61
2016-02-26,14.92,14.99,14.75,14.91,3728700,14.91
2016-02-25,14.64,14.80,14.51,14.78,2170500,14.78
2016-02-24,14.46,14.58,14.24,14.56,4901300,14.56
2016-02-23,14.83,14.87,14.56,14.70,4015500,14.70
2016-02-22,14.82,14.93,14.76,14.86,2241300,14.86
2016-02-19,14.49,14.75,14.34,14.67,3732800,14.67
2016-02-18,14.72,14.73,14.40,14.50,4074000,14.50
2016-02-17,14.78,14.95,14.56,14.68,4816900,14.68
2016-02-16,14.48,14.98,14.36,14.83,4938300,14.83
2016-02-12,14.08,14.47,14.03,14.36,4529300,14.36
2016-02-11,13.89,14.35,13.70,13.85,3677900,13.85
2016-02-10,14.61,14.74,14.15,14.20,5352400,14.20
2016-02-09,14.15,14.72,14.15,14.54,8564200,14.54
2016-02-08,14.03,14.45,13.94,14.36,6933800,14.36
2016-02-05,14.37,14.52,14.24,14.25,5857500,14.25
2016-02-04,14.07,14.53,14.07,14.33,4332000,14.33
2016-02-03,14.16,14.25,13.78,14.17,6690800,14.17
2016-02-02,14.18,14.31,14.00,14.07,3779300,14.07
2016-02-01,14.36,14.45,14.09,14.33,3872600,14.33
2016-01-29,14.04,14.37,14.00,14.37,4569300,14.37
2016-01-28,14.01,14.23,13.97,14.04,3459900,14.04
2016-01-27,14.10,14.48,14.02,14.13,4395900,13.962
2016-01-26,13.64,14.16,13.64,14.11,6523400,13.942238
2016-01-25,13.90,13.90,13.62,13.64,7304000,13.477827
2016-01-22,14.35,14.48,13.78,13.94,9265200,13.774259
2016-01-21,14.51,14.68,14.24,14.33,6147700,14.159622
2016-01-20,14.23,14.62,13.98,14.44,6849900,14.268314
2016-01-19,14.67,14.69,14.35,14.46,4265400,14.288077
2016-01-15,14.42,14.80,14.11,14.48,6872200,14.307838
2016-01-14,14.57,15.02,14.40,14.81,7220500,14.633916
2016-01-13,15.12,15.17,14.47,14.49,6628300,14.31772
2016-01-12,15.16,15.17,14.81,15.02,4638000,14.841419
2016-01-11,15.04,15.11,14.83,14.99,5113700,14.811775
2016-01-08,15.37,15.39,14.92,14.95,4088700,14.772251
2016-01-07,15.31,15.48,15.19,15.25,3783500,15.068684
2016-01-06,15.55,15.70,15.49,15.61,3604800,15.424403
2016-01-05,15.80,15.88,15.64,15.76,3561200,15.57262
2016-01-04,15.85,15.94,15.64,15.77,4508800,15.582502
2015-12-31,16.25,16.360001,16.139999,16.15,2073100,15.957983
2015-12-30,16.52,16.540001,16.33,16.35,1667900,16.155606
2015-12-29,16.41,16.559999,16.360001,16.52,2453400,16.323585
2015-12-28,16.26,16.360001,16.120001,16.34,1955300,16.145724
2015-12-24,16.290001,16.41,16.25,16.35,733900,16.155606
2015-12-23,16.26,16.35,16.219999,16.32,2259900,16.125962
2015-12-22,16.10,16.209999,15.85,16.18,3973000,15.987627
2015-12-21,15.99,16.08,15.86,16.02,3238500,15.829529
2015-12-18,16.280001,16.559999,15.85,15.90,16613800,15.710955
2015-12-17,16.559999,16.58,16.219999,16.26,3442700,16.066676
2015-12-16,16.43,16.59,16.25,16.530001,3909200,16.333466
2015-12-15,16.120001,16.440001,16.10,16.32,4219600,16.125962
2015-12-14,16.08,16.10,15.84,15.99,4603200,15.799885
2015-12-11,16.040001,16.120001,15.88,15.99,3455900,15.799885
2015-12-10,16.139999,16.379999,16.10,16.23,3325300,16.037032
